,AMBV4,ARCZ6,BBDC4,BBAS3,BRTP3,BRTP4,CMIG4,CESP4,CPLE6,CRTP5,ELET3,ELET6,ELPL4,EMBR3,EMBR4,EBTP3,EBTP4,GGBR4,ITSA4,ITUB4,PETR3,PETR4,SBSP3,CSNA3,CSTB4,CRUZ3,VCPA4,TCOC4,TNEP4,TNLP3,TNLP4,TMAR5,TMCP4,VIVT3,TSPP4,TCSL4,TRPL4,USIM5,VALE3,VALE5
2002-07-01,5.58,4.2,1.004,1.2126556634902954,11.84,,2831.50146484375,10.46,0.513,32.39,6.376297950744629,4.298,10.41,11.59864902496338,14.18,1.36,0.78,1.7653217315673828,0.5077565908432007,1.5962395668029783,2.983264207839966,2.185110330581665,2.232713460922241,1.3080604076385498,20.88,1.4,15.72,10.27,2.42,13.06,13.33,23.27,22.55,8.05357551574707,7.61,2.52,2365.137939453125,1.0782393217086792,3.183257341384888,3.69
2002-07-02,5.64,4.21,0.984,1.239730954170227,11.34,,2814.49755859375,10.27,0.501,32.47,6.314038276672363,4.213,10.44,11.522453308105469,14.08,1.3,0.82,1.82496190071106,0.510442852973938,1.6265498399734497,2.9182255268096924,2.15643048286438,2.224159002304077,1.410653591156006,21.08,1.4,15.88,10.15,2.5,12.61,13.08,22.81,21.95,7.924202919006348,7.72,2.64,2404.426513671875,1.1211055517196655,3.178784847259521,3.65
2002-07-03,5.6,4.14,0.977,1.2197808027267456,11.53,11.23,2773.33251953125,9.88,0.494,31.34,5.989855766296387,3.992,10.33,11.420860290527344,13.78,1.28,0.78,1.7653217315673828,0.5023833513259888,1.576033115386963,2.884293556213379,2.13958740234375,2.200569629669189,1.361494064331055,20.26,1.4,15.72,9.55,2.41,12.44,12.92,22.42,21.62,7.85951566696167,7.58,2.52,2435.8564453125,1.088131308555603,3.191387414932251,3.69
2002-07-04,5.62,4.1,0.984,1.2311807870864868,11.34,11.23,2746.48486328125,9.8,0.5,31.74,5.987708568572998,3.975,10.41,11.437789916992188,13.92,1.28,0.83,1.8130335807800293,0.4970100522041321,1.5810855627059937,2.884293556213379,2.0986168384552,2.223640203475952,1.3956921100616455,20.18,1.41,16.19,9.28,2.37,12.5,12.92,22.81,21.2,7.794827938079834,7.38,2.46,2416.213134765625,1.0897796154022217,3.179191827774048,3.68
2002-07-05,5.56,4.17,0.963,1.2140806913375854,11.38,11.15,2657.88818359375,9.78,0.501,31.41,5.826690673828125,3.889,10.41,11.640979766845703,13.88,1.3,0.82,1.7891777753829956,0.4943237900733948,1.5406742095947266,2.836221218109131,2.1136393547058105,2.1751654148101807,1.361494064331055,19.96,1.4,15.72,8.82,2.33,12.5,12.87,22.52,20.95,7.730139255523682,7.29,2.46,2317.9921875,1.0848344564437866,3.191387414932251,3.65
2002-07-08,5.78,4.12,0.977,1.218355417251587,11.84,11.69,2729.4814453125,9.73,0.522,31.41,5.79878044128418,3.949,10.41,11.844165802001951,14.07,1.26,0.84,1.8488168716430664,0.4916371703147888,1.5659315586090088,2.7943713665008545,2.0863256454467773,2.1777572631835938,1.3679062128067017,20.1,1.41,15.42,9.36,2.37,12.84,13.27,22.7,21.79,7.762486934661865,7.32,2.53,2376.92431640625,1.065049648284912,3.1507341861724854,3.68
2002-07-10,5.86,4.02,0.929,1.225480556488037,11.82,11.63,2720.531982421875,9.38,0.513,31.41,5.624881744384766,3.813,10.54,11.59018325805664,13.65,1.3,0.84,1.8488168716430664,0.4808912575244903,1.5305718183517456,2.805116653442383,2.030332326889038,2.188904285430908,1.3401209115982056,19.41,1.42,15.18,9.58,2.44,12.7,13.12,22.79,21.79,7.600767135620117,7.11,2.46,2298.3486328125,1.0436168909072876,3.089751005172729,3.56
2002-07-11,5.7,3.87,0.943,1.3679779767990112,12.0,11.85,2741.115234375,9.84,0.545,32.54,5.914713382720947,3.915,10.78,11.835700035095217,13.82,1.38,0.85,1.82496190071106,0.4862642288208008,1.5500696897506714,2.810771942138672,2.0713024139404297,2.3156654834747314,1.301648736000061,20.1,1.46,14.69,10.32,2.7,13.32,13.53,23.53,24.72,7.616939067840576,6.97,2.71,2341.5654296875,1.0419682264328003,3.0531623363494877,3.5
2002-07-12,5.7,3.94,1.018,1.3836536407470703,12.09,12.35,2756.32861328125,9.96,0.543,32.47,5.968386173248291,3.949,10.89,11.17534065246582,13.61,1.33,0.84,1.7533941268920898,0.5077565908432007,1.616446018218994,2.771183490753174,2.0713024139404297,2.30426025390625,1.2781373262405396,19.82,1.48,14.59,10.91,2.84,13.36,13.63,23.99,26.4,7.920967102050781,7.37,2.84,2365.137939453125,1.0370217561721802,3.089751005172729,3.45
2002-07-15,5.64,3.99,0.997,1.4691516160964966,11.12,11.75,2648.938720703125,9.86,0.528,31.25,5.646352291107178,3.787,10.65,11.412391662597656,13.63,1.18,0.71,1.7295390367507937,0.5023833513259888,1.616446018218994,2.7202842235565186,2.030332326889038,2.21223521232605,1.297373652458191,19.9,1.45,14.07,10.57,2.66,12.44,13.16,22.56,25.22,7.584593772888184,7.0,2.75,2266.917724609375,1.002400279045105,3.1263415813446045,3.5
