,ACES4,AMBV4,ARCZ6,ARCE3,BBDC4,BRAP4,BBAS3,BRTP3,BRTP4,BRKM5,CMET4,CCRO3,CMIG4,CPLE6,ELET3,ELET6,ELPL4,EMBR3,EMBR4,EBTP4,GGBR4,GOAU4,PTIP4,ITSA4,ITUB4,LAME4,PCAR4,PRGA4,PETR3,PETR4,SBSP3,SDIA4,CSNA3,CRUZ3,VCPA4,TCOC4,TNLP3,TNLP4,TMAR5,TMCP4,VIVT3,TSPP4,TCSL4,UBBR11,USIM5,VALE3,VALE5
2005-06-30,27.4,12.09,7.3,,2.638,3.861790657043457,4.510052680969238,24.57,14.01,9.217890739440918,2.43,1.9376624822616575,6710.048828125,0.614,7.061158657073975,6.29,20.01,12.309809684753418,19.6,2.47,4.561365127563477,5.275498390197754,9.64,1.3675081729888916,4.364403247833252,0.87,38.02,60.33,6.860657215118408,4.935655117034912,3.2602858543396,4.64,3.240228176116944,3.34,24.26,20.89,35.87,21.79,35.15,32.68,11.698711395263672,8.98,3.32,8.77,6.281488418579102,8.45209789276123,10.47
2005-07-01,27.4,12.39,7.3,,2.638,3.907843828201294,4.5171799659729,24.02,14.17,9.100015640258787,2.53,1.976853847503662,6779.8525390625,0.633,6.998898983001709,6.196,19.77,12.18281364440918,19.15,2.52,4.5411810874938965,5.334870338439941,9.64,1.3648165464401243,4.43512487411499,0.882,38.42,62.27,6.925130367279053,5.071370124816895,3.2719502449035645,4.69,3.248778343200684,3.34,24.1,20.94,36.13,21.83,35.9,32.43,11.967164993286133,9.11,3.38,8.65,6.462843894958496,8.597233772277832,10.67
2005-07-04,27.3,12.27,7.26,,2.638,3.9270331859588623,4.3746843338012695,24.06,13.97,8.897268295288086,2.55,1.9489611387252808,6684.99072265625,0.622,6.850762844085693,6.094,19.41,12.005023956298828,18.88,2.52,4.424118995666504,5.238826274871826,9.78,1.3567407131195068,4.394612312316895,0.89,38.02,60.93,6.950581073760986,5.067151546478272,3.191330909729004,4.65,3.184657335281372,3.26,24.08,20.4,35.41,21.55,35.76,32.01,11.743990898132324,8.83,3.32,8.49,6.289730072021484,8.587478637695312,10.69
2005-07-05,26.3,12.34,7.3,,2.59,3.85699462890625,4.274932384490967,23.76,13.7,8.74638843536377,2.5,1.9101229906082156,6523.90673828125,0.598,6.462173938751221,5.856,19.05,12.233612060546877,19.45,2.41,4.3191680908203125,5.074676036834717,9.45,1.3432811498641968,4.394711971282959,0.882,37.37,60.33,7.0976243019104,5.123403072357178,3.22373366355896,4.61,3.1282312870025635,3.26,23.33,20.1,34.42,21.34,34.8,31.26,11.789277076721191,8.85,3.24,8.62,6.042428970336914,8.542351722717285,10.58
2005-07-06,25.24,12.33,7.3,,2.542,3.9433443546295166,4.210809230804443,24.29,13.8,8.50120735168457,2.5,1.8959999084472656,6353.87353515625,0.582,6.397768497467041,5.702,18.59,12.021954536437988,19.62,2.31,4.37971830368042,5.008317947387695,9.17,1.3378974199295044,4.325000762939453,0.89,36.31,59.82,7.08348560333252,5.105120658874512,3.22580885887146,4.54,3.1290862560272217,3.33,22.9,20.49,33.89,21.34,34.65,31.09,11.48200511932373,8.87,3.2,8.45,5.968237400054932,8.750907897949219,10.73
2005-07-07,25.37,12.53,7.16,,2.501,4.024897575378418,4.139558792114258,24.02,13.87,8.28902816772461,2.56,1.8921163082122805,6309.12841796875,0.589,6.462173938751221,5.805,18.91,12.08968448638916,19.19,2.33,4.30907678604126,4.817972660064697,9.14,1.3405892848968506,4.409866809844971,0.903,36.26,59.47,6.9698100090026855,4.996840476989746,3.1983301639556885,4.68,3.060690402984619,3.39,22.57,21.07,34.34,21.52,34.5,30.84,11.365568161010742,8.48,3.09,8.32,5.85447883605957,8.743590354919434,10.84
2005-07-08,24.71,12.41,7.14,,2.495,4.182247638702393,4.146685600280762,23.93,13.8,8.010843276977539,2.59,1.8889394998550413,6309.12841796875,0.587,6.35482931137085,5.6,18.91,12.055819511413574,19.19,2.35,4.369625568389893,4.9070329666137695,9.12,1.3352056741714478,4.43512487411499,0.853,36.51,60.38,7.080655574798584,5.086370944976807,3.216216325759888,4.68,3.0444467067718506,3.27,22.07,20.81,33.87,21.09,34.01,30.58,11.417318344116213,8.79,3.07,8.39,5.803369045257568,9.000935554504395,11.26
2005-07-11,26.37,12.43,7.44,,2.542,4.182247638702393,4.254982948303223,24.28,13.87,8.840690612792969,2.61,1.9136533737182615,6436.2080078125,0.611,6.786356449127197,5.992,20.66,12.021954536437988,18.99,2.44,4.702646255493164,5.326140403747559,9.68,1.3567407131195068,4.470483303070068,0.841,35.68,62.2,6.9845147132873535,5.061997890472412,3.2950210571289062,4.81,3.2145800590515137,3.23,22.65,21.25,34.21,21.15,34.23,31.34,11.676061630249023,8.97,3.15,8.43,6.182567596435547,9.049718856811523,11.26
2005-07-12,27.34,12.48,7.5,,2.542,4.1496262550354,4.274932384490967,24.77,13.97,9.260327339172363,2.63,1.9136533737182615,6693.94140625,0.639,7.254379749298096,6.392,20.33,12.021954536437988,19.19,2.45,4.841907978057861,5.411706924438477,10.18,1.370200276374817,4.515841007232666,0.825,37.04,62.37,7.063689231872559,5.156214714050293,3.410377025604248,4.92,3.4146370887756348,3.26,23.25,21.93,34.48,21.4,34.59,31.84,11.611385345458984,9.3,3.17,8.46,6.673873901367188,9.007030487060547,11.29
2005-07-13,28.55,12.33,7.67,,2.59,4.154424667358398,4.403181076049805,25.36,14.22,9.944008827209473,2.67,1.9065927267074585,6488.109375,0.639,7.06330680847168,6.222,20.0,12.402932167053224,19.68,2.52,4.934751510620117,5.586334705352783,10.22,1.4025033712387085,4.54120397567749,0.825,37.52,62.39,7.058036804199219,5.147778034210205,3.419450044631958,4.83,3.506969690322876,3.25,24.01,21.93,34.54,21.42,34.82,32.43,11.456134796142578,9.43,3.32,8.52,6.982179641723633,9.146071434020996,11.47
