,VIVO4,AMBV4,ARCZ6,BBDC4,BRAP4,BBAS3,BRTP3,BRTP4,BRKM5,CCRO3,CMIG4,CESP6,CPLE6,CSAN3,CPFE3,CYRE3,DURA4,ELET3,ELET6,EMBR3,ENBR3,GFSA3,GGBR4,GOAU4,GOLL4,PTIP4,ITSA4,ITUB4,JBSS3,KLBN4,LIGT3,RENT3,LAME4,LREN3,NATU3,NETC4,BNCA3,PCAR4,PETR3,PETR4,POSI3,RDCD3,RSID3,SBSP3,SDIA4,CSNA3,CRUZ3,TAMM4,VCPA4,TNLP3,TNLP4,TMAR5,TCSL4,UBBR11,USIM3,USIM5,VALE3,VALE5,ALLL11
2007-07-02,32.84,21.36,12.51,5.851,14.583657264709473,12.055316925048828,51.79,22.02,9.065759658813477,5.111079692840576,3.537918329238892,17.199,1.471,4.904725551605225,8.202290534973145,7.838427066802978,52.34,12.45202922821045,11.388,19.870094299316406,5.622869491577148,689.9854736328125,16.66404914855957,20.14529037475586,59.605560302734375,26.2,2.9978487491607666,8.74497127532959,6.233965396881104,,15.873456001281738,4.528858661651611,3.111,4.404052257537842,8.87,32.84,29.01,61.01,13.60707664489746,10.518736839294434,31.099618911743164,,477.0434875488281,8.92774486541748,9.25,8.669106483459473,5.99,58.46,42.74,51.88,23.12,35.14,6.19,20.61,22.470195770263672,18.795001983642575,21.59980583190918,24.36,26.41
2007-07-03,33.84,21.85,12.55,5.885,14.679604530334473,12.277605056762695,51.64,22.6,9.115846633911133,5.084246635437012,3.4660398960113525,17.342,1.437,4.852227210998535,8.294913291931152,7.867197036743164,52.06,12.08491039276123,10.98,19.81082344055176,5.576849460601807,703.128173828125,16.763023376464844,20.233253479003903,58.89596939086914,26.6,2.980718851089477,8.759114265441895,6.352284908294678,,15.645243644714355,4.580056190490723,3.164,4.394473552703857,8.71,33.6,29.17,60.27,13.889849662780762,10.70195198059082,31.83137321472168,,491.3548278808594,9.280290603637695,9.27,8.75460147857666,6.11,57.67,43.6,50.98,23.81,36.04,6.25,21.14,22.49597549438477,18.778514862060547,21.658344268798828,24.43,26.58
2007-07-04,33.72,21.97,12.57,5.871,14.775547981262209,12.264781951904297,51.79,23.26,9.065759658813477,4.943017959594727,3.490278482437134,17.215,1.409,4.822229385375977,8.138482093811035,7.921543598175049,52.8,11.99903392791748,10.963,19.8277645111084,5.473651885986328,711.9993286132812,16.723438262939453,19.91069602966309,57.57140350341797,27.41,2.963589668273926,8.727794647216797,6.300520896911621,,15.61988639831543,4.5977783203125,3.189,4.310654640197754,8.61,33.19,29.23,60.04,13.878540992736816,10.721864700317385,32.416770935058594,,496.4581604003906,9.369465827941896,9.1,8.618666648864746,6.12,56.39,43.85,50.53,24.4,37.0,6.13,20.88,22.52174949645996,18.72081184387207,21.904712677001957,24.86,26.56
2007-07-05,33.09,22.02,12.74,5.851,14.938653945922852,12.568297386169434,51.3,23.97,9.015671730041504,4.930306434631348,3.502821445465088,17.342,1.435,4.739734172821045,8.047917366027832,7.991871356964111,54.22,12.162195205688477,10.997,19.768495559692383,5.466678619384766,723.1705322265625,16.693742752075195,19.940017700195312,58.64051818847656,26.9,2.941563367843628,8.686373710632324,6.477999687194824,,15.36631679534912,4.505232334136963,3.365,4.247193336486816,8.74,33.11,29.03,60.69,14.07082462310791,10.769655227661133,32.76070022583008,,510.3256530761719,9.041802406311035,9.24,8.643461227416992,6.1,56.86,44.51,51.21,24.93,37.75,6.06,20.88,22.49597549438477,18.514724731445312,22.136445999145508,25.08,26.67
2007-07-06,33.48,22.2,12.59,5.796,15.295572280883787,12.74357795715332,52.08,24.79,9.065759658813477,5.129440307617188,3.52705979347229,17.452,1.477,4.867226600646973,7.96970272064209,8.23162841796875,55.55,12.27383804321289,11.074,19.69230842590332,5.550352573394775,731.7131958007812,16.974170684814453,19.90776824951172,56.67258834838867,26.7,2.934222459793091,8.686373710632324,6.581529140472412,,15.493102073669434,4.430405616760254,3.324,4.250784873962402,8.66,32.92,28.8,62.28,14.217867851257324,10.901090621948242,32.91437530517578,,524.7478637695312,9.33213710784912,9.32,8.677656173706055,6.09,57.33,44.33,52.09,25.43,38.73,6.07,21.08,22.676422119140625,18.679594039916992,22.39013290405273,25.45,27.11
2007-07-10,34.48,22.02,12.65,5.83,15.17852020263672,12.525553703308104,51.31,24.7,9.040717124938965,5.253720283508301,3.418400287628174,17.41,1.422,4.79973030090332,7.945002555847168,8.1293306350708,55.65,12.022649765014648,10.988,19.903955459594727,5.550352573394775,711.6708374023438,17.00716209411621,19.690771102905277,54.85604095458984,25.75,2.9121947288513184,8.668185234069824,6.522369384765625,,15.01639175415039,4.389057636260986,3.295,4.298681735992432,8.51,32.98,28.92,60.61,13.95771598815918,10.717880249023438,33.22170639038086,,503.6692504882813,9.580992698669434,9.1,8.520349502563477,5.85,56.57,45.87,52.91,25.48,37.94,6.01,20.83,22.28974151611328,18.184986114501957,22.25840759277344,25.24,26.6
2007-07-11,33.31,22.18,12.59,5.878,15.324356079101562,12.542654991149902,50.82,24.42,9.015671730041504,5.28055477142334,3.46854829788208,17.478,1.476,4.781731605529785,7.928535461425781,8.02383804321289,55.65,12.162195205688477,10.988,20.23414421081543,5.64797306060791,697.54248046875,17.036849975585938,19.73475646972656,54.25997924804688,25.54,2.990508317947388,8.860143661499023,6.906907558441162,,15.462674140930176,4.361489295959473,3.295,4.310654640197754,8.48,32.85,29.39,61.17,14.036890983581545,10.767666816711426,33.258296966552734,,498.1222534179688,9.570623397827148,9.29,8.64003849029541,5.86,56.93,46.56,52.24,25.56,37.81,5.92,21.52,22.341297149658203,18.539457321166992,22.780418395996094,25.88,26.46
2007-07-12,32.81,22.19,12.59,6.11,16.120698928833008,12.867547988891602,51.11,25.13,9.10081958770752,5.2057037353515625,3.507000684738159,17.706,1.479,4.805729866027832,8.058209419250488,7.937524795532227,55.45,12.235191345214844,11.005,20.26800346374512,5.696782112121582,692.614013671875,16.990665435791016,19.54415702819824,54.59112548828125,25.76,3.09573745727539,9.233942031860352,6.906907558441162,,15.716243743896484,4.304385662078857,3.341,4.405250549316406,8.57,32.8,29.98,64.45,14.410155296325684,11.004646301269531,33.587589263916016,,510.3256530761719,9.985384941101074,9.41,9.105127334594728,5.84,58.09,47.53,53.27,25.43,37.81,6.14,22.98,22.61799430847168,18.795001983642575,23.858572006225582,27.19,26.67
2007-07-13,32.54,22.32,12.55,6.254,16.502559661865234,12.735026359558104,49.75,24.84,9.135881423950195,5.168983459472656,3.4952950477600098,17.342,1.501,4.894225597381592,8.150830268859863,8.055805206298828,54.13,12.147170066833496,10.963,19.72616577148437,5.578244209289551,708.713623046875,16.891687393188477,19.47085189819336,54.67627716064453,25.82,3.083502531051636,9.168278694152832,6.759008884429932,,15.721319198608398,4.3122639656066895,3.447,4.4782915115356445,8.48,33.55,29.88,66.4,14.552667617797852,11.06239891052246,33.14852523803711,33.5,525.8572998046875,9.794597625732422,9.44,9.190622329711914,5.83,59.02,48.25,52.57,25.43,37.81,6.17,22.37,22.85686683654785,18.90876197814941,23.600008010864254,26.83,26.46
2007-07-16,32.49,22.25,12.53,6.418,16.24350929260254,12.91029930114746,49.13,24.69,9.150908470153809,5.153448581695557,3.415891647338867,17.097,1.464,4.949723243713379,8.052034378051758,7.991871356964111,52.67,12.127846717834473,10.937,18.972679138183597,5.463889122009277,691.9568481445312,16.835603713989258,19.4415225982666,54.34513473510742,25.58,3.1544718742370605,9.365280151367188,6.714638233184815,,15.640175819396973,4.265005111694336,3.439,4.45075273513794,8.43,34.28,29.31,66.0,14.410155296325684,11.012612342834473,32.819236755371094,33.95000076293945,526.4119873046875,9.844366073608398,9.6,8.985433578491211,6.0,60.24,48.89,50.66,24.92,37.81,6.07,22.38,22.341297149658203,18.646625518798828,23.234115600585938,26.39,26.32
