,ALLL3,AMBV4,BRML3,B3SA3,BBDC4,BRAP4,BBAS3,BRKM5,BRFS3,BISA3,CCRO3,CMIG4,CESP6,HGTX3,CIEL3,CPLE6,CSAN3,CPFE3,CYRE3,DASA3,DXCO3,ELET3,ELET6,ELPL4,EMBR3,FIBR3,GFSA3,GGBR4,GOAU4,GOLL4,HYPE3,ITSA4,ITUB4,JBSS3,LIGT3,PRML3,RENT3,LAME4,LREN3,MRFG3,MMXM3,MRVE3,NATU3,OGXP3,PCAR4,PDGR3,PETR3,PETR4,RDCD3,RSID3,SANB11,CSNA3,CRUZ3,VIVT4,TNLP4,TIMS3,UGPA3,USIM3,USIM5,VALE3,VALE5
2011-06-30,12.88,47.57,10.054059028625488,2.180416822433472,7.799,15.785125732421877,13.604686737060549,12.087047576904297,24.35972023010254,6.77,7.529398918151855,4.014669418334961,15.041,24.808,5.0154523849487305,2.03,3.834107160568237,11.77263641357422,9.927594184875488,19.22787857055664,6.794460296630859,11.08000373840332,13.346,25.35,10.891353607177734,16.983110427856445,351.4023742675781,11.656649589538574,13.04721736907959,18.6299991607666,11.553675651550291,3.563559293746948,10.528693199157717,4.172740459442139,20.32005882263184,46.94330596923828,5.841667652130127,3.123,7.886561393737793,11.52022933959961,1251.3587646484375,6.699228763580322,15.01,1459.0,68.88,3874.26611328125,12.753450393676758,10.54378890991211,23.520000457763672,302.8285522460937,9.09583854675293,11.070920944213867,16.51,24.974,23.95,6.769154071807861,8.423166275024414,20.104572296142575,11.503884315490724,25.931453704833984,32.22
2011-07-01,12.56,48.5,10.138544082641602,2.294397592544556,7.819,16.343183517456055,13.662986755371094,12.141270637512209,24.451642990112305,6.84,7.60234260559082,4.003254890441895,14.999,24.808,5.050174713134766,2.014,3.802935361862183,11.6142578125,10.167939186096191,19.502559661865234,6.892187118530273,11.064091682434082,13.235,25.86,10.927967071533203,16.817827224731445,352.8221740722656,11.935553550720217,13.242924690246582,19.420000076293945,11.640130996704102,3.5724761486053467,10.540821075439451,4.196008682250977,20.147031784057617,46.94330596923828,5.908668041229248,3.139,8.03899097442627,11.81197452545166,1305.3095703125,7.004209995269775,15.43,1510.0,69.69,3966.8251953125,12.77774429321289,10.557125091552734,23.59000015258789,307.1004333496094,9.011344909667969,11.11707592010498,16.83,25.499,24.15,6.700703144073486,8.423166275024414,19.813451766967773,11.680222511291504,27.08418655395508,33.65
2011-07-04,12.51,48.35,9.96957015991211,2.279622793197632,7.929,16.542490005493164,13.813617706298828,12.016551971435549,24.40567970275879,6.79,7.616931915283203,4.012134075164795,15.092,24.808,5.0540313720703125,2.048,3.771764039993286,11.77263641357422,10.248056411743164,19.28281021118164,6.789318084716797,11.005746841430664,13.185,26.91,11.028641700744627,,352.8221740722656,12.24305820465088,13.484299659729004,20.059999465942383,11.875921249389648,3.587336540222168,10.633282661437988,4.320105075836182,20.126270294189453,,5.86488151550293,3.152,8.118521690368652,11.74464988708496,1327.7890625,6.957687854766846,15.8,,68.82,3980.048095703125,12.753450393676758,10.57934856414795,,312.3216247558594,9.046137809753418,11.278608322143556,17.08,25.406,24.05,6.609431266784668,8.423166275024414,20.46419715881348,11.940529823303224,27.430007934570312,33.95
2011-07-05,12.71,48.82,9.986467361450195,2.226853609085083,7.908,16.303321838378906,13.745585441589355,11.880987167358398,24.35972023010254,6.58,7.568300724029541,3.955089092254639,15.033,24.593,5.0154523849487305,2.012,3.72812294960022,11.77263641357422,10.047765731811523,19.594118118286133,6.609299182891846,10.798892974853516,13.023,26.91,10.96457290649414,16.86741065979004,347.1429748535156,11.964155197143556,13.295113563537598,20.299999237060547,11.71086883544922,3.581393957138061,10.62173080444336,4.219276905059815,20.26469039916992,47.23670196533203,5.713801383972168,3.111,7.972718715667725,11.55763339996338,1293.3204345703125,6.694060325622559,15.23,1508.0,67.5,3856.635986328125,12.636849403381348,10.472665786743164,23.049999237060547,298.08203125,8.971578598022461,11.163228034973145,17.13,24.852,23.55,6.594220161437988,8.423166275024414,20.35288619995117,11.73900032043457,26.87983512878418,33.44
2011-07-06,12.83,48.63,9.772433280944824,2.209968090057373,7.813,16.263460159301758,13.62897777557373,11.691191673278809,23.45886611938477,6.56,7.492116928100586,3.980440855026245,15.109,23.883,5.011592864990234,1.993,3.706303834915161,11.746240615844728,9.780717849731444,19.65821075439453,6.660731792449951,10.73524570465088,12.801,26.58,11.010335922241213,17.272361755371094,340.0439453125,11.89979362487793,13.145069122314451,19.770000457763672,11.341465950012209,3.5368101596832275,10.462806701660156,4.164984226226807,20.07090187072754,46.45431137084961,5.644555568695068,3.029,7.92897891998291,11.333213806152344,1305.3095703125,6.538984775543213,14.77,1500.0,66.26,3790.52197265625,12.612558364868164,10.450441360473633,23.0,293.0981750488281,8.822469711303711,11.019001007080078,16.96,24.814,23.95,6.647459030151367,8.423166275024414,20.21588897705078,11.587855339050291,26.79076766967773,33.43
2011-07-07,12.76,48.02,9.716105461120604,2.2416293621063232,7.689,16.36311149597168,13.264569282531738,11.468864440917969,23.532405853271484,6.47,7.351093292236328,3.917056083679199,15.414,23.25,5.012879371643066,1.97,3.623698472976685,11.503397941589355,9.74733543395996,19.68568229675293,6.532146453857422,10.623862266540527,12.759,27.1,10.754068374633787,17.02443504333496,338.6241149902344,11.871191024780272,13.340780258178713,19.100000381469727,10.917043685913086,3.4535927772521973,10.243210792541504,4.071911811828613,19.641796112060547,46.25871658325195,5.780948162078857,2.938,7.687742710113525,11.333213806152344,1329.2877197265625,6.332218647003174,14.27,1508.0,65.4,3750.85400390625,12.666003227233888,10.503783226013184,22.920000076293945,295.4714660644531,8.69324016571045,11.220917701721191,16.63,24.777,23.82,6.685489654541016,8.423166275024414,19.53089141845703,11.293959617614746,26.95843505859375,33.55
2011-07-08,12.71,47.28,9.828757286071776,2.2078564167022705,7.56,16.159822463989258,12.900150299072266,11.062169075012209,23.13714027404785,6.52,7.294357776641846,3.905641794204712,15.667,22.832,5.096470832824707,1.965,3.67824912071228,11.656492233276367,9.56040096282959,19.22787857055664,6.357269287109375,10.501870155334473,12.657,26.95,10.708308219909668,16.454200744628906,330.10528564453125,11.685254096984863,13.177689552307127,19.770000457763672,10.594799995422363,3.3911778926849365,10.026501655578612,4.126204490661621,19.794063568115234,46.25871658325195,5.602590084075928,2.889,7.528685092926025,11.333213806152344,1336.7808837890625,6.109945297241211,14.34,1482.0,64.92,3706.77783203125,12.597982406616213,10.41932487487793,22.96999931335449,288.5889587402344,8.484481811523438,10.961307525634766,16.47,24.42,23.43,6.868027687072754,8.423166275024414,19.03427124023437,11.285562515258787,26.77503967285156,33.26
2011-07-11,12.54,46.52,9.941407203674316,2.1360905170440674,7.334,15.94456672668457,12.535748481750488,11.116394996643066,23.39452171325684,6.32,7.440246105194092,3.866352796554565,15.414,23.143,5.061748027801514,1.945,3.681366443634033,11.788475036621094,9.353435516357422,18.77006721496582,6.120673179626465,10.226064682006836,12.265,26.58,10.424582481384276,15.784791946411133,316.6171264648437,11.384900093078612,12.916742324829102,18.75,10.14679718017578,3.2663495540618896,9.656641960144045,3.986595869064331,19.627960205078125,44.49834060668945,5.476690292358398,2.844,7.476991653442383,11.333213806152344,1299.3150634765625,5.825642108917236,14.31,1437.0,63.32,3570.142822265625,12.389066696166992,10.290417671203612,22.84000015258789,277.6719665527344,8.250872611999512,10.57477855682373,16.48,24.936,23.0,6.693096160888672,8.423166275024414,18.623273849487305,10.815330505371094,26.544496536254883,32.91
2011-07-12,12.14,45.8,9.997733116149902,2.066435575485229,7.177,15.852890968322754,12.560041427612305,10.926603317260742,23.90929412841797,6.15,7.3462300300598145,3.914520025253296,15.464,23.25,5.063034534454346,1.962,3.76085376739502,11.77263641357422,9.21323585510254,18.760915756225582,6.120673179626465,10.268495559692385,12.367,27.24,10.387969970703123,15.619504928588867,318.746826171875,10.99872589111328,12.518804550170898,18.149999618530277,10.138937950134276,3.197990894317627,9.405258178710938,3.87801194190979,19.5864315032959,43.61815643310547,5.501870155334473,2.815,7.646655559539795,11.333213806152344,1273.8382568359375,5.779118537902832,14.54,1409.0,62.06,3574.55029296875,12.389066696166992,10.27708339691162,22.549999237060547,273.16278076171875,8.07193660736084,10.326705932617188,16.36,24.392,23.07,6.776758193969727,8.423166275024414,17.904029846191406,10.378686904907228,26.565454483032227,33.0
2011-07-13,12.72,45.98,10.138544082641602,2.1107616424560547,7.361,16.024293899536133,12.851563453674316,11.360414505004885,26.2441463470459,6.28,7.569923877716064,3.947479724884033,15.617,23.766,5.198065280914307,1.99,3.782673597335816,12.031316757202148,9.787391662597656,19.09053039550781,6.094954967498779,10.316231727600098,12.41,27.36,10.516106605529783,15.536860466003418,326.5557556152344,11.013033866882324,12.577516555786133,17.950000762939453,10.264695167541504,3.203935384750366,9.465935707092283,4.149473190307617,19.517221450805664,45.67192459106445,5.533344745635986,2.885,7.7844977378845215,11.408019065856934,1299.3150634765625,6.02207088470459,14.34,1412.0,62.34,3697.962890625,12.534823417663574,10.397100448608398,22.799999237060547,288.11431884765625,8.10175895690918,10.522855758666992,16.7,24.833,23.15,6.898453235626221,8.423166275024414,18.126651763916016,10.462657928466797,26.895557403564453,33.47
2011-07-14,12.26,46.07,9.873817443847656,2.0368847846984863,7.191,15.90869140625,12.623204231262209,11.333300590515137,27.301271438598636,6.19,7.57154369354248,3.953821182250977,15.701,23.474,5.189063549041748,1.949,3.7686476707458496,11.851824760437012,9.7406587600708,18.760915756225582,5.894360065460205,10.332143783569336,12.359,27.36,10.433734893798828,15.412898063659668,318.746826171875,10.798491477966309,12.368760108947754,17.459999084472656,10.406167984008787,3.126660108566284,9.185659408569336,4.188252925872803,19.932483673095703,44.00934982299805,5.476690292358398,2.819,7.667860507965088,11.408019065856934,1318.7972412109375,5.742935657501221,14.0,1373.0,63.96,3530.474609375,12.291900634765623,10.20151710510254,23.059999465942383,273.6374206542969,7.8532395362854,10.20555591583252,16.84,24.871,22.51,6.693096160888672,8.423166275024414,17.63859748840332,10.286319732666016,26.528772354125977,33.04
2011-07-15,11.99,45.03,9.716105461120604,2.062213659286499,7.061,15.864846229553224,12.521173477172852,11.387526512145996,27.11742401123047,6.05,7.402963161468506,3.980440855026245,16.107,22.579,5.151769638061523,1.94,3.7546193599700928,11.751521110534668,9.733981132507324,18.495384216308597,5.986942291259766,10.289712905883787,12.231,27.17,10.369668006896973,15.18149757385254,315.9072265625,10.455229759216309,12.068674087524414,17.469999313354492,10.335431098937988,3.120715856552124,9.156763076782228,4.296837329864502,19.90479850769043,44.7917366027832,5.3193135261535645,2.795,7.488922595977783,11.482826232910156,1303.8109130859375,5.799795150756836,13.89,1390.0,64.14,3539.289794921875,12.330768585205078,10.219293594360352,23.0,272.4507751464844,7.803534984588623,9.969021797180176,16.51,24.58,22.84,6.655067920684815,8.423166275024414,17.784156799316406,10.042807579040527,26.5130615234375,33.1
2011-07-18,12.08,45.5,9.716105461120604,2.013667106628418,6.917,15.864846229553224,12.185911178588867,11.306188583374023,26.565881729125977,5.79,7.328399181365967,3.918742656707764,16.048,21.401,5.176203727722168,1.92,3.6704564094543457,11.67233180999756,9.46025848388672,18.083356857299805,5.853213787078857,10.263190269470217,12.274,27.17,10.29644775390625,15.18149757385254,315.9072265625,10.455229759216309,12.068674087524414,17.469999313354492,10.2568359375,3.090994358062744,9.072972297668455,4.149473190307617,19.96708869934082,43.42255783081055,5.434722423553467,2.717,7.101881980895996,11.445423126220703,1297.81640625,5.763611793518066,13.87,1357.0,62.72,3512.844482421875,12.243314743041992,10.117056846618652,23.3799991607666,266.9922790527344,7.5798659324646,9.778642654418944,16.37,24.974,22.6,5.6206793785095215,8.423166275024414,17.878341674804688,9.824484825134276,26.591651916503903,33.22
2011-07-19,12.05,46.08,9.716105461120604,2.007333993911743,7.006,15.896738052368164,12.462861061096191,11.45802116394043,26.188995361328125,5.79,7.388373851776123,3.891704797744751,15.507,20.759,5.218640804290772,1.894,3.659546375274658,11.561467170715332,9.67389678955078,18.220703125,6.033234596252441,10.07755184173584,12.078,27.23,10.040183067321776,15.04100513458252,320.1665954589844,10.290749549865724,11.92515468597412,16.479999542236328,10.453324317932127,3.1623260974884038,9.289680480957031,4.017620086669922,20.27853012084961,45.67192459106445,5.258460521697998,2.729,7.071397304534912,11.445423126220703,1318.7972412109375,5.7687811851501465,14.27,1360.0,61.87,3543.697265625,12.151002883911133,10.068160057067873,23.950000762939453,272.9254150390625,7.589807510375977,9.899791717529297,16.56,25.218,22.25,6.7235188484191895,8.423166275024414,17.749908447265625,9.782500267028809,26.649288177490234,33.3
2011-07-20,11.78,45.56,9.856918334960938,2.032663583755493,7.088,15.84491729736328,12.720376968383787,11.54478359222412,26.538305282592773,5.85,7.260317325592041,3.866352796554565,15.65,21.946,5.248220443725586,1.876,3.704744577407837,11.693449020385742,9.927594184875488,18.17491912841797,5.91493558883667,9.997992515563965,11.925,27.14,10.250690460205078,14.6939058303833,335.7845153808594,10.262142181396484,11.729446411132812,16.25,10.24111270904541,3.1623260974884038,9.356133460998535,3.9400596618652335,20.07090187072754,43.7159538269043,5.206000804901123,2.799,7.32986307144165,11.482826232910156,1296.3177490234375,5.7687811851501465,14.06,1401.0,62.15,3596.588134765625,12.05383586883545,9.94814682006836,24.0,274.112060546875,7.599748611450195,9.755562782287598,16.59,25.302,21.91,6.731125354766846,8.423166275024414,17.604341506958008,9.723721504211426,26.649288177490234,33.12
2011-07-21,11.86,45.33,10.138544082641602,2.104429244995117,7.259,15.90869140625,13.031343460083008,11.430907249450684,27.071462631225582,6.18,7.229519844055176,3.910715103149414,15.997,22.53,5.303518295288086,1.894,3.818521738052368,11.6142578125,10.301465034484863,17.991796493530273,6.125816822052002,10.093464851379396,11.976,27.19,10.360513687133787,15.288934707641602,359.9212341308594,10.676921844482422,12.192623138427734,16.479999542236328,9.90315055847168,3.221766710281372,9.483277320861816,4.033132553100586,19.86327362060547,43.7159538269043,5.518655776977539,2.848,7.512784481048584,11.819457054138184,1324.791748046875,6.125452518463135,13.47,1414.0,63.6,3812.559814453125,12.364778518676758,10.223740577697754,24.100000381469727,292.62353515625,7.778683662414551,9.951714515686035,16.66,25.481,22.01,6.845212459564209,8.423166275024414,18.109525680541992,10.109984397888184,26.72788429260254,33.2
2011-07-22,12.0,45.52,10.110383987426758,2.0790998935699463,7.273,16.044221878051758,13.152810096740724,11.116394996643066,27.071462631225582,6.26,7.362436771392822,3.885364770889282,16.217,22.764,5.235360622406006,1.905,3.81384539604187,11.69872760772705,10.541810035705566,17.982635498046875,6.110385894775391,10.178327560424805,12.103,27.2,10.397123336791992,15.313725471496582,364.8905944824219,10.498138427734377,11.970820426940918,17.0,10.19395923614502,3.2247390747070312,9.486164093017578,4.033132553100586,19.80098533630371,43.61815643310547,5.541738510131836,2.877,7.588333606719971,11.542672157287598,1312.802734375,6.363234043121338,13.27,1393.0,62.97,3834.597900390625,12.389066696166992,10.210405349731444,24.239999771118164,299.0313415527344,7.927797794342041,9.807487487792969,16.63,25.077,21.5,6.700703144073486,8.423166275024414,18.366403579711918,9.765706062316896,26.811717987060547,33.31
