,ALLL3,ABEV3,AEDU3,BRML3,BBSE3,B3SA3,BRPR3,BBDC3,BBDC4,BRAP4,BBAS3,BRKM5,BRFS3,BISA3,CCRO3,CMIG4,CESP6,CTIP3,HGTX3,CIEL3,CPLE6,CSAN3,CPFE3,CYRE3,DASA3,DXCO3,ECOR3,ELET3,ELET6,ELPL4,EMBR3,ENBR3,YDUQ3,EVEN3,FIBR3,GFSA3,GGBR4,GOAU4,GOLL4,HYPE3,ITSA4,ITUB4,JBSS3,KLBN4,COGN3,LIGT3,PRML3,RENT3,LAME4,LREN3,MRFG3,MRVE3,NATU3,OIBR4,PCAR4,PDGR3,PETR3,PETR4,QUAL3,RSID3,SBSP3,SANB11,CSNA3,CRUZ3,VIVT4,TIMS3,EGIE3,UGPA3,USIM5,VALE3,VALE5
2013-07-01,9.39,11.908552169799805,12.91,11.246519088745115,9.22883415222168,2.971102714538574,4.808279037475586,8.287120819091797,8.202,8.91264820098877,12.393341064453123,9.714341163635254,45.5081672668457,1.46,12.081496238708496,4.321709156036377,10.566,20.31,22.9,10.895421981811523,1.456,7.081964492797852,12.268662452697754,10.948596954345703,10.867025375366213,7.594435691833496,10.990991592407228,2.8557844161987305,5.651,5.71,19.63481712341309,6.458680629730225,11.925848960876465,6.492247104644775,21.280540466308597,135.5916290283203,9.841209411621094,11.264403343200684,7.079999923706055,11.743462562561035,3.267660856246948,9.698474884033203,5.319277286529541,1.589100956916809,6.619101524353027,12.07749080657959,8.704071044921875,6.876198768615723,4.161,8.964949607849121,5.7675957679748535,3.7167270183563232,20.11,34.17427062988281,94.85,925.7510986328124,7.488689422607422,7.614004611968994,10.585256576538086,71.0,17.802181243896484,7.233310222625732,3.897574186325073,25.12,32.116,6.5008978843688965,15.122787475585938,23.102882385253903,6.295843124389648,17.403961181640625,22.53
2013-07-02,9.1,11.682668685913086,12.42,10.702706336975098,9.065349578857422,2.8268520832061768,4.579313278198242,8.028180122375488,7.778,8.608316421508789,11.693940162658691,9.45944595336914,44.66769409179688,1.4,11.63558292388916,4.212376594543457,10.295,19.94,22.521,10.64235496520996,1.441,6.904098510742188,12.11418914794922,10.59254550933838,11.09922695159912,7.3465986251831055,10.61149787902832,2.793431282043457,5.583,5.33,19.38996696472168,6.297929763793945,11.44851779937744,6.020379543304443,20.826007843017575,127.78269958496094,9.663492202758787,11.094758987426758,6.75,11.44173812866211,3.1094226837158203,9.279909133911133,5.131261825561523,1.5499333143234253,6.298822402954102,12.061826705932615,7.726085186004639,6.76791524887085,3.948,8.571503639221191,5.401042461395264,3.6377692222595215,19.66,32.867061614990234,91.3,853.1431884765625,7.193618774414063,7.269200801849365,9.93539333343506,66.75,17.52769660949707,7.0146026611328125,3.6599957942962646,24.68,30.943,6.383693695068359,15.057168960571287,22.62778091430664,5.873303413391113,16.819698333740234,21.56
2013-07-03,8.95,11.560375213623049,12.17,10.783700942993164,9.096993446350098,2.812891960144043,4.579313278198242,8.003931045532227,7.703,8.421364784240723,11.358230590820312,9.629375457763672,44.11053466796875,1.34,11.558939933776855,4.201657295227051,10.135,19.3,21.742,10.760196685791016,1.445,6.88125467300415,11.930011749267578,10.476144790649414,10.867025375366213,7.43511152267456,10.632980346679688,2.7497830390930176,5.583,5.21,19.38996696472168,6.401269912719727,11.262059211730955,5.849531650543213,20.826007843017575,124.23316955566406,9.967096328735352,11.37297821044922,6.25,11.592601776123049,3.069861650466919,9.174407958984377,5.248771667480469,1.5583257675170898,6.234767436981201,12.09315586090088,7.823884010314941,6.824309825897217,3.919,8.529349327087402,5.401042461395264,3.4460105895996094,19.66,31.839962005615234,91.03,812.3012084960938,7.3411545753479,7.510091781616211,9.754180908203123,66.0,16.712085723876953,6.923920154571533,3.56368088722229,24.42,30.774,6.368068218231201,14.855938911437988,22.63209724426269,6.084573268890381,16.754779815673828,21.49
2013-07-04,8.8,11.53879165649414,12.21,10.905191421508787,9.350126266479492,2.8268520832061768,4.592032909393311,8.028180122375488,7.689,8.864824295043945,11.531686782836914,9.629375457763672,44.66769409179688,1.41,11.58680820465088,4.193082809448242,10.202,19.25,22.521,10.779513359069824,1.458,6.853514194488525,12.20924949645996,10.674712181091309,11.127092361450195,7.464616775512695,10.668779373168944,2.7871956825256348,5.762,5.33,19.050952911376957,6.229040145874023,11.515640258789062,6.18309211730957,,125.65298461914062,9.98931121826172,11.454404830932615,6.349999904632568,11.751402854919434,3.105465173721313,9.290116310119627,5.099925994873047,1.5667189359664917,6.192062377929688,12.218473434448242,,6.948391914367676,3.96,8.655814170837402,5.386081218719482,3.5531699657440186,19.42,33.42729187011719,92.71,853.1431884765625,7.412377834320068,7.538431167602539,9.62295913696289,67.0,16.861095428466797,6.92925500869751,3.6407320499420166,24.64,30.868,6.329000949859619,15.157782554626465,22.588911056518555,6.194435119628906,17.39215850830078,22.29
2013-07-05,8.73,11.722952842712402,12.22,10.922547340393066,9.281570434570312,2.829178810119629,4.630194187164307,7.745304584503174,7.45,8.760481834411621,11.436564445495604,9.181893348693848,45.092655181884766,1.46,11.928213119506836,4.244533538818359,9.898,18.78,22.452,10.818150520324709,1.474,6.8453545570373535,12.108248710632324,10.42136573791504,11.080652236938477,7.559031009674072,10.847786903381348,2.7497830390930176,5.796,5.57,19.399385452270508,6.309414386749268,11.53801727294922,6.020379543304443,21.280540466308597,131.33221435546875,9.700514793395996,11.149044036865234,6.139999866485596,12.069009780883787,3.0659055709838867,9.119964599609377,5.068589210510254,1.523354172706604,6.170711517333984,12.140148162841797,8.215078353881836,6.842360973358154,3.936,8.599609375,5.475849628448486,3.4967703819274902,19.69,33.24054718017578,90.75,834.9912109375,6.959597587585449,7.155841827392578,9.529230117797852,64.75,16.87677764892578,6.923920154571533,3.499469041824341,24.62,30.492,6.48527193069458,15.310890197753906,22.653696060180664,5.611328601837158,16.93773078918457,21.85
2013-07-08,8.83,11.669718742370604,12.32,10.6795654296875,9.439778327941896,2.8221986293792725,4.670899391174316,7.688729763031006,7.409,8.695266723632812,11.419777870178224,8.78538990020752,44.629920959472656,1.52,11.767961502075195,4.302415370941162,10.16,18.68,22.783,10.665536880493164,1.45,6.853514194488525,12.084484100341797,10.489837646484377,10.959906578063965,7.405605792999268,10.74038314819336,2.762254238128662,5.83,5.83,19.408802032470703,6.200332164764404,12.082474708557127,6.020379543304443,21.239219665527344,129.9123992919922,9.589442253112791,10.918326377868652,6.409999847412109,11.672000885009766,3.061950445175171,9.150595664978027,5.08425760269165,1.486984372138977,6.253983974456787,12.31246280670166,8.215078353881836,7.007046222686768,4.018,8.612248420715332,5.445927143096924,3.474210739135742,19.74,33.8941535949707,92.29,812.3012084960938,6.923985004425049,7.084991931915283,9.535479545593262,64.75,16.861095428466797,6.875911235809326,3.5058908462524414,24.53,30.699,6.461832046508789,15.052793502807615,22.459333419799805,5.569075584411621,16.748878479003906,21.55
2013-07-10,8.63,11.768994331359863,12.84,10.876265525817873,9.360673904418944,2.90130352973938,4.648001670837402,7.793797492980957,7.43,8.803956985473633,11.492514610290527,8.943991661071777,45.54594421386719,1.52,11.747058868408203,4.364562511444092,10.346,18.65,22.871,10.752466201782228,1.565,6.833932876586914,12.29836654663086,10.52407455444336,10.820586204528809,7.688850402832031,10.668779373168944,2.843313217163086,5.932,5.97,19.785490036010746,6.475902557373047,12.23909854888916,5.849531650543213,20.9251766204834,134.1718292236328,9.47836685180664,10.979399681091309,6.900000095367432,12.069009780883787,3.0935986042022705,9.184624671936035,5.131261825561523,1.509366154670715,6.414124488830566,12.688414573669434,8.31287670135498,6.982230186462402,4.042,8.662842750549316,5.475849628448486,3.4290904998779297,20.18,32.40019989013672,94.34,785.0732421875,7.020646095275879,7.203074932098389,9.341769218444824,63.25,17.684537887573242,6.886579036712647,3.525153398513794,24.65,30.004,6.5008978843688965,15.223398208618164,22.70120429992676,5.704288005828857,17.144285202026367,21.84
2013-07-11,8.72,11.787697792053224,12.83,11.136601448059082,9.439778327941896,3.001349687576294,4.846439361572266,8.189820289611816,7.785,9.238722801208496,11.845006942749023,9.21021556854248,45.73482131958008,1.51,11.95608139038086,4.431018829345703,10.591,19.25,22.9,10.868377685546877,1.559,7.158658027648926,12.470662117004396,10.921208381652832,11.071364402770996,7.777363777160644,10.847786903381348,2.961784601211548,6.001,6.05,19.757232666015625,6.6136884689331055,12.529973030090332,6.174957275390625,21.321861267089844,137.72134399414062,9.796780586242676,11.230474472045898,7.199999809265137,12.251630783081056,3.145026445388794,9.41602611541748,5.013752460479736,1.5037704706192017,6.437609672546387,12.758905410766602,8.410675048828125,7.185266971588135,4.1,8.735908508300781,5.715230941772461,3.6377692222595215,19.75,32.49356842041016,95.74,775.9972534179688,7.544652938842773,7.443964958190918,9.441747665405272,63.75,17.896284103393555,7.041274547576904,3.8076791763305664,25.07,30.389,6.547779560089111,15.643354415893556,23.23677635192871,5.780345916748047,17.988224029541016,22.75
2013-07-12,8.42,11.793449401855469,12.51,11.101888656616213,9.34485149383545,2.943182945251465,4.859160423278809,8.17095947265625,7.765,9.099597930908203,11.749890327453612,9.02895736694336,45.36651992797852,1.52,11.56590747833252,4.295982837677002,10.591,18.61,22.91,10.771787643432615,1.509,7.075437545776367,12.179542541503906,10.572003364562988,10.644113540649414,7.753760814666748,10.704581260681152,2.9804909229278564,6.103,5.83,19.964418411254883,6.619429588317871,12.447932243347168,6.101735591888428,21.63590812683105,130.622314453125,9.441341400146484,10.911540031433104,7.190000057220459,11.902266502380373,3.1252474784851074,9.317344665527344,4.927578449249268,1.5317472219467163,6.405582427978516,12.492605209350586,6.4547038078308105,6.993509769439697,4.112,8.688131332397461,5.5356950759887695,3.4347310066223145,19.53,31.186359405517575,95.6,766.9212646484375,7.40220308303833,7.2880940437316895,9.373013496398926,62.25,17.504165649414062,6.902582168579102,3.6022064685821533,24.86,30.023,6.375882148742676,15.293395042419434,23.193580627441406,5.535272121429443,17.610523223876953,22.35
2013-07-15,8.62,11.94308090209961,12.78,11.52999782562256,9.286842346191406,2.957143068313598,5.093213081359863,8.583146095275879,7.963,9.260459899902344,12.080013275146484,9.60105323791504,45.18709182739258,1.56,11.70525360107422,4.304557800292969,10.727,19.42,22.89,10.955307960510254,1.49,7.081964492797852,12.476606369018556,10.989681243896484,11.247836112976074,7.78326416015625,10.862107276916504,3.0615503787994385,6.392,6.08,20.199846267700195,6.659616947174072,12.470306396484377,6.231905937194824,21.817720413208008,134.1718292236328,9.55241584777832,11.087972640991213,7.420000076293945,12.235751152038574,3.1766748428344727,9.48748779296875,5.123427867889404,1.5793086290359497,6.450422286987305,12.680581092834473,7.237092971801758,7.038628578186035,4.166,8.69094181060791,5.632943630218506,3.6772477626800537,19.65,34.26764297485352,97.24,794.1492309570312,7.498865127563477,7.321156978607178,9.46674346923828,63.75,17.88844108581543,7.0679473876953125,3.9039947986602783,24.66,30.436,6.48527193069458,15.481500625610352,23.23677635192871,6.38035249710083,17.78166961669922,22.6
