,AMBV4,ARCZ6,BBDC4,BBAS3,BRTP3,BRTP4,CMIG4,CPLE6,CRTP5,ELET3,ELET6,ELPL4,EMBR3,EMBR4,EBTP3,EBTP4,GGBR4,ITSA4,ITUB4,PETR3,PETR4,SBSP3,CSNA3,CSTB4,CRUZ3,VCPA4,TCOC4,TNEP4,TNLP3,TNLP4,TMAR5,TMCP4,VIVT3,TSPP4,TCSL4,USIM5,VALE3,VALE5
2002-10-31,6.94,4.53,0.875,1.3893531560897827,12.77,15.03,2210.43212890625,0.373,27.1,4.338888645172119,3.013,5.61,11.30233383178711,13.87,1.14,0.97,2.0277345180511475,0.5023833513259888,1.616446018218994,2.7089731693267822,2.016220092773437,2.0229992866516118,1.053715467453003,27.99,1.81,17.23,8.92,2.36,10.39,12.09,21.4,23.71,8.021234512329102,7.87,2.41,0.8803970217704773,3.902844190597534,4.92
2002-11-01,6.98,4.47,0.854,1.4392282962799072,12.52,14.77,2235.489990234375,0.365,28.09,4.396854400634766,3.004,5.67,10.921357154846191,13.48,1.15,0.98,2.063517808914185,0.4835776388645172,1.5911871194839478,2.7089731693267822,2.011667490005493,1.9828195571899412,1.0686769485473633,27.62,1.81,16.78,8.95,2.34,10.29,11.9,21.11,23.63,8.247640609741211,8.23,2.41,0.9034784436225892,3.819502115249634,4.88
2002-11-04,6.58,4.53,0.827,1.4321026802062988,11.99,14.0,2219.3818359375,0.356,28.17,4.433351516723633,2.928,5.61,10.819759368896484,13.06,1.11,0.96,2.099302053451538,0.4701449573040008,1.5255205631256104,2.658073663711548,1.9574943780899048,2.004594326019287,1.087912917137146,27.63,1.8,17.19,8.66,2.35,9.98,11.77,20.57,22.79,8.250875473022461,7.85,2.44,0.8836947679519653,3.821941614151001,4.78
2002-11-05,6.65,4.39,0.82,1.4891020059585571,12.0,13.83,2120.94140625,0.347,27.68,4.164989471435547,2.86,5.55,10.498046875,13.19,1.08,0.96,2.087373733520508,0.4701449573040008,1.5224894285202026,2.578896999359131,1.9210764169692995,1.981523513793945,1.102874755859375,28.31,1.8,17.0,8.74,2.38,10.07,11.76,20.27,23.71,8.02446460723877,8.04,2.52,0.8770999908447266,3.645906925201416,4.6
2002-11-06,6.56,4.51,0.813,1.4534767866134644,11.65,13.62,2058.297119140625,0.34,26.76,3.973915100097656,2.749,5.22,10.870558738708496,13.48,1.02,0.92,2.0158066749572754,0.4674583673477173,1.44540536403656,2.54496431350708,1.8937629461288448,1.891830921173096,1.102874755859375,28.55,1.79,16.98,8.82,2.43,9.75,11.47,19.93,23.46,7.924202919006348,7.97,2.52,0.8655588626861572,3.745103120803833,4.77
2002-11-07,6.73,4.35,0.813,1.4720016717910769,11.6,13.49,2049.347900390625,0.334,26.89,3.8214848041534415,2.664,5.27,10.929821968078612,13.79,0.99,0.88,1.9680949449539185,0.4782046973705292,1.4750065803527832,2.652419328689575,1.9893605709075928,1.9263083934783936,1.1434839963912964,28.01,1.81,16.48,9.3,2.42,10.01,11.46,20.01,23.21,7.697795391082764,8.16,2.52,0.8803970217704773,3.862189292907715,4.79
2002-11-08,6.63,4.33,0.806,1.4677268266677856,11.25,12.75,2089.618896484375,0.334,27.59,3.84295392036438,2.689,5.35,11.217668533325195,14.05,1.01,0.92,1.9442397356033323,0.4916371703147888,1.5093560218811035,2.6303625106811523,1.96933114528656,1.97037672996521,1.1584458351135254,28.0,1.81,16.87,9.39,2.54,10.07,11.64,19.72,24.72,8.085920333862305,8.27,2.5,0.870505154132843,3.841862678527832,4.79
2002-11-11,6.84,4.18,0.82,1.4677268266677856,11.02,12.75,2145.99853515625,0.339,27.26,3.757077932357788,2.689,5.22,11.217668533325195,13.8,1.06,0.94,1.991951823234558,0.4970100522041321,1.5356239080429075,2.6948347091674805,2.002108573913574,1.9781533479690552,1.1349350214004517,27.57,1.83,16.13,9.6,2.49,10.24,11.58,19.5,24.89,7.895088195800781,8.14,2.41,0.8721535801887512,3.796736240386963,4.69
2002-11-12,6.76,4.25,0.806,1.466301679611206,10.83,12.38,2063.66650390625,0.326,25.82,3.692670583724976,2.664,5.08,10.752032279968262,13.59,1.02,0.9,1.956167697906494,0.4808912575244903,1.5406742095947266,2.658073663711548,1.9688758850097656,1.9346034526824951,1.1050117015838623,26.87,1.82,16.47,9.79,2.35,9.75,11.36,19.44,23.97,7.827171325683594,7.82,2.31,0.8342339992523193,3.817469596862793,4.71
2002-11-13,6.75,4.37,0.813,1.4107279777526855,11.12,12.39,2108.412841796875,0.333,25.62,3.8257784843444815,2.766,5.18,10.963685035705566,13.58,1.05,0.92,1.9084556102752688,0.4701449573040008,1.5053147077560425,2.6269688606262207,1.926084280014038,1.9382328987121584,1.1819565296173096,26.48,1.82,16.86,9.6,2.4,9.91,11.41,20.07,24.89,7.798061370849609,7.69,2.24,0.8507207632064819,3.821941614151001,4.75
