,ACES4,AMBV4,ARCZ6,BBDC4,BBAS3,BRTP4,BRKM5,CMET4,CMIG4,CPLE6,CRTP5,ELET3,ELET6,ELPL4,EMBR3,EMBR4,EBTP3,EBTP4,GGBR4,ITSA4,ITUB4,PETR3,PETR4,SBSP3,CSNA3,CSTB4,CRUZ3,VCPA4,TCOC4,TNLP3,TNLP4,TMAR5,TMCP4,VIVT3,TSPP4,TCSL4,USIM5,VALE3,VALE5
2003-10-31,11.58,8.36,6.54,1.182,2.678959369659424,15.43,4.635653018951416,0.9,3801.585693359375,0.47,44.52,7.696640968322754,6.579,8.08,11.260002136230469,18.33,3.28,4.03,2.5425307750701904,0.7737240195274353,2.374152898788452,3.800479650497437,2.867957592010498,2.951547145843506,3.362057685852051,62.85,2.86,24.24,21.2,19.4,20.57,31.65,38.04,10.15591812133789,13.45,2.93,3.782081365585327,5.285102367401123,6.58
2003-11-03,11.77,8.46,6.54,1.196,2.7644567489624023,15.99,4.722570896148682,0.91,3937.612060546875,0.483,45.55,8.093819618225098,6.903,8.49,11.17534065246582,18.38,3.38,4.22,2.601008415222168,0.7871567606925964,2.444873571395874,3.896057605743408,2.9544517993927,3.0689759254455566,3.443277359008789,65.6,2.95,24.54,22.0,19.78,21.2,32.03,39.63,9.965089797973633,14.08,3.07,4.004654884338379,5.326162338256836,6.52
2003-11-04,11.77,8.6,6.34,1.162,2.7573320865631104,16.06,4.832668304443359,0.92,3927.767333984375,0.504,45.38,8.22263240814209,6.937,8.62,11.260002136230469,18.56,3.37,4.22,2.60588002204895,0.7925299406051636,2.452957391738892,3.874002456665039,2.942615509033203,3.04149866104126,3.4902989864349365,66.08,2.98,23.97,21.57,19.6,20.99,32.03,40.64,10.15591812133789,13.83,3.15,3.956841468811035,5.374541759490967,6.65
2003-11-05,11.58,8.33,6.38,1.168,2.74308180809021,15.62,4.983326435089111,0.9,3816.799072265625,0.512,45.68,8.17110824584961,6.843,8.46,11.17534065246582,18.33,3.33,4.08,2.649738311767578,0.7952171564102173,2.399410963058472,3.814619541168213,2.8747870922088623,2.996134042739868,3.362057685852051,64.22,3.04,23.48,21.46,19.19,20.53,30.95,41.64,10.204435348510742,14.04,3.22,3.8628671169281006,5.272905349731445,6.44
2003-11-06,11.68,8.19,6.26,1.162,2.814330101013184,15.69,4.902202606201172,0.88,3830.2236328125,0.5,45.45,8.712127685546875,7.184,8.82,11.429325103759766,18.66,3.33,4.19,2.704561471939087,0.7871567606925964,2.3792061805725098,3.9277288913726807,2.9681081771850586,3.0326850414276123,3.304348945617676,63.5,2.99,23.4,22.29,19.03,20.75,30.87,44.32,10.349982261657717,14.52,3.29,3.810109615325928,5.134679317474365,6.4
2003-11-07,11.68,8.43,6.38,1.189,2.785831928253174,16.04,5.070245265960693,0.89,3772.053466796875,0.508,46.07,8.866703987121582,7.141,9.46,11.666377067565918,18.99,3.26,4.13,2.6503472328186035,0.7844706177711487,2.3842570781707764,3.949785470962525,2.972660779953003,3.033980369567871,3.265876293182373,64.26,3.02,23.29,22.22,18.51,20.59,30.57,44.5,10.25294589996338,14.43,3.39,3.795269966125488,5.081828594207764,6.37
2003-11-10,11.68,8.55,6.21,1.182,2.8114795684814453,15.57,4.971736907958984,0.88,3758.630615234375,0.505,45.81,8.90964126586914,7.098,9.64,11.801838874816896,19.29,3.2,4.08,2.564459800720215,0.7683517932891846,2.343846321105957,3.919246673583984,2.9417052268981934,3.018428087234497,3.21671724319458,64.11,3.02,23.47,22.36,17.85,20.01,29.83,44.15,10.058883666992188,14.62,3.4,3.7919750213623047,4.939537525177002,6.28
2003-11-11,11.51,8.62,6.19,1.168,2.785831928253174,15.16,4.960147857666016,0.88,3757.73388671875,0.494,45.55,9.019132614135742,7.081,9.23,11.767972946166992,19.34,3.13,4.04,2.570551633834839,0.7737240195274353,2.3842570781707764,3.930554389953613,2.979489803314209,2.9956157207489014,3.3193106651306152,64.48,3.04,22.98,22.22,17.48,19.48,28.62,41.81,9.932746887207031,14.64,3.28,3.900786876678467,4.9761271476745605,6.28
2003-11-12,11.51,8.85,6.29,1.209,2.827155590057373,15.69,5.1200785636901855,0.9,3757.73388671875,0.51,46.08,9.193032264709473,7.022,9.48,12.005023956298828,19.8,3.3,4.24,2.563848733901977,0.7817840576171875,2.4095146656036377,3.9871106147766113,3.0363926887512207,3.04149866104126,3.4005300998687744,64.72,3.08,22.93,22.75,18.05,20.21,29.7,41.81,10.087995529174805,14.83,3.36,4.092034816741943,5.081828594207764,6.34
2003-11-13,11.77,9.04,6.26,1.196,2.8072049617767334,15.64,5.000710964202881,0.92,3585.01806640625,0.495,45.3,8.694952964782715,6.741,8.91,11.894962310791016,19.84,4.58,4.38,2.527911424636841,0.7737240195274353,2.3387951850891118,4.043666839599609,3.0618863105773926,3.0189456939697266,3.520221948623657,65.98,3.1,23.07,22.61,17.99,20.19,29.5,40.55,9.961854934692385,14.66,3.15,4.154685020446777,5.194033622741699,6.4
