,ACES4,AMBV4,ARCZ6,BBDC4,BRAP4,BBAS3,BRTP4,BRKM5,CMET4,CCRO3,CMIG4,CPLE6,CRTP5,ELET3,ELET6,ELPL4,EMBR3,EMBR4,EBTP3,EBTP4,GGBR4,GOAU4,ITSA4,ITUB4,PCAR4,PRGA4,PETR3,PETR4,SBSP3,SDIA4,CSNA3,CSTB4,CRUZ3,VCPA4,TCOC4,TNLP3,TNLP4,TMAR5,TMCP4,VIVT3,TSPP4,TCSL4,UBBR11,USIM5,VALE3,VALE5
2004-11-01,29.46,9.97,8.47,1.736,3.262133836746216,4.018436431884766,13.31,12.290276527404783,1.85,1.4723131656646729,5816.9267578125,0.48,47.13,9.500040054321287,7.907,15.85,11.759503364562988,19.32,6.29,2.31,5.4812750816345215,6.149582386016846,1.1041691303253174,3.475359916687012,54.22,48.62,5.762930870056152,4.273711681365967,2.8185646533966064,5.11,3.676248550415039,116.57,3.66,32.76,23.78,23.1,20.05,30.88,31.84,12.322943687438965,14.45,3.53,7.45,7.254212379455566,7.439796924591064,9.31
2004-11-03,29.64,9.94,8.47,1.736,3.367673397064209,4.125309944152832,13.89,12.213786125183104,1.89,1.4687820672988892,5807.97802734375,0.487,48.55,9.85427951812744,8.145,16.05,11.962695121765137,19.6,6.29,2.44,5.713379383087158,6.291865825653076,1.101482629776001,3.45515251159668,55.13,48.54,5.767453670501709,4.263242244720459,2.983691453933716,5.22,3.742079019546509,118.8,3.64,32.68,24.08,23.76,20.6,31.88,32.51,12.817798614501951,15.21,3.61,7.43,7.338295459747314,7.486141681671143,9.36
2004-11-04,29.39,9.77,8.63,1.763,3.392139673233032,4.317681312561035,13.82,12.33083724975586,1.95,1.4370057582855225,5868.83251953125,0.49,48.39,9.899364471435549,8.213,16.34,12.072758674621582,19.62,6.32,2.47,5.705638885498047,6.322760105133057,1.1149152517318726,3.475359916687012,54.98,48.4,5.812132835388184,4.288281440734863,3.018428087234497,5.16,3.8044896125793457,115.77,3.65,33.19,24.02,23.97,20.86,32.34,32.25,13.005396842956545,15.23,3.64,7.48,7.524595260620117,7.523952007293701,9.37
2004-11-05,28.33,9.71,8.58,1.763,3.45402455329895,4.32481050491333,13.41,12.307657241821287,1.9,1.419705510139465,5727.43408203125,0.472,46.2,9.596652030944824,7.933,15.83,11.886497497558594,19.67,6.3,2.35,5.641111373901367,6.25103759765625,1.0934231281280518,3.4399991035461426,53.59,48.4,5.921284198760986,4.361116409301758,2.9956157207489014,5.08,3.69334888458252,115.07,3.59,33.02,23.0,23.53,20.26,31.41,31.0,12.74341106414795,14.61,3.61,7.48,7.358078956604004,7.743486881256103,9.62
2004-11-08,28.4,9.52,8.53,1.729,3.4780099391937256,4.222209453582764,13.07,12.226532936096191,1.88,1.4581900835037231,5485.80859375,0.469,45.49,9.199474334716797,7.72,15.35,12.081216812133787,19.93,6.33,2.32,5.536574363708496,6.124139308929443,1.0773035287857056,3.364227533340454,53.84,47.63,5.859074115753174,4.306487560272217,3.02750015258789,5.09,3.6232428550720215,112.74,3.64,32.64,22.8,23.12,20.09,31.14,30.75,12.491134643554688,14.29,3.57,7.37,7.353133678436279,7.708118915557861,9.51
2004-11-09,28.57,9.57,8.61,1.716,3.645914316177368,4.283483982086182,13.02,12.342425346374512,1.94,1.4705475568771362,5473.2802734375,0.47,45.49,9.165122985839844,7.754,15.33,11.937292098999023,20.23,6.33,2.3,5.652724266052246,6.19586181640625,1.0826773643493652,3.424842119216919,53.84,46.33,5.808173656463623,4.272346019744873,3.059903860092163,4.98,3.654875278472901,114.57,3.59,32.87,22.4,23.12,20.01,30.88,29.82,12.407037734985352,13.54,3.61,7.55,7.550975322723389,7.952042102813721,9.81
2004-11-10,28.78,9.59,8.88,1.742,3.753852844238281,4.417430877685547,13.15,12.91492748260498,1.92,1.497028112411499,5458.06787109375,0.475,45.93,9.253145217895508,7.813,15.0,12.36060619354248,20.24,6.33,2.29,5.71596097946167,6.339313507080078,1.1149152517318726,3.5157687664031982,53.5,47.55,5.847762584686279,4.333801746368408,3.018428087234497,5.04,3.7275447845458975,114.35,3.59,32.98,23.19,22.95,20.05,30.94,29.33,12.617269515991213,14.37,3.57,7.59,7.5592169761657715,7.9947333335876465,9.92
2004-11-11,29.01,9.48,8.88,1.736,3.756251096725464,4.390357971191406,13.05,13.281145095825195,1.96,1.5535199642181396,5487.59912109375,0.466,46.37,9.377666473388672,7.847,14.91,12.436797142028809,20.32,6.38,2.34,5.6398210525512695,6.258759498596191,1.106855869293213,3.491522789001465,53.4,47.48,5.853419780731201,4.34973669052124,3.052644729614258,5.0,3.7283997535705566,117.67,3.52,32.07,23.22,23.46,20.18,31.17,29.16,12.791922569274902,14.76,3.57,7.51,7.567461967468262,7.948386192321777,9.8
2004-11-12,29.19,9.53,8.82,1.736,3.861311674118042,4.431680679321289,13.21,13.466571807861328,2.03,1.58176589012146,5547.5576171875,0.516,46.37,9.841398239135742,8.375,16.08,12.44526195526123,20.53,6.38,2.47,5.788232803344727,6.411036014556885,1.117601990699768,3.505666255950928,53.43,49.25,5.900356769561768,4.361116409301758,3.064570188522339,5.14,3.905373334884644,118.68,3.54,32.32,24.08,24.29,20.63,32.33,29.67,12.843679428100586,14.45,3.74,7.63,7.946660995483398,8.198413848876953,10.11
2004-11-16,28.83,9.5,8.68,1.709,3.8622710704803462,4.559928894042969,12.99,13.443391799926758,2.03,1.6131887435913086,5548.45361328125,0.538,45.93,9.577327728271484,8.282,15.55,12.529924392700195,20.24,6.39,2.37,5.710801124572754,6.366898059844971,1.0987961292266846,3.4450504779815674,53.43,49.7,5.635683059692383,4.15626335144043,3.0876407623291016,5.18,3.915632724761963,119.5,3.64,32.15,23.73,24.22,20.54,32.03,29.33,12.998920440673828,15.12,3.61,7.44,8.111529350280762,7.867891788482666,9.75
