,ACES4,AMBV4,ARCZ6,ARCE3,BBDC4,BRAP4,BBAS3,BRTP3,BRTP4,BRKM5,CMET4,CCRO3,CMIG4,CPLE6,ELET3,ELET6,ELPL4,EMBR4,EBTP4,GGBR4,GOAU4,GOLL4,PTIP4,ITSA4,ITUB4,KLBN4,LAME4,NATU3,NETC4,PCAR4,PETR3,PETR4,SBSP3,SDIA4,CSNA3,CRUZ3,VCPA4,TNLP3,TNLP4,TMAR5,TMCP4,VIVT3,TCSL4,UBBR11,USIM5,VALE3,VALE5,VIVO4
2005-10-31,26.51,13.05,7.84,,3.438,5.660763263702393,5.899404525756836,24.97,15.25,9.147165298461914,3.53,2.100782632827759,7338.27783203125,0.697,8.458792686462402,6.954,19.95,21.7,2.72,6.266202449798584,7.185904026031494,36.10360336303711,11.47,1.8143723011016848,5.446410655975342,,0.944,4.98,14.25,48.19,8.064711570739746,6.039333820343018,3.3157591819763184,5.48,3.697622776031494,3.26,22.68,34.35,22.39,36.35,29.49,10.786614418029783,3.87,10.63,7.499866962432861,11.363375663757324,13.42,
2005-11-01,26.91,13.18,7.88,,3.602,5.804679393768311,6.034783840179443,25.53,15.55,9.529083251953123,3.6,2.1519782543182373,7700.716796875,0.723,8.587606430053711,7.107,20.17,21.69,2.71,6.483695030212402,7.399877548217773,38.67256164550781,11.9,1.8278316259384155,5.420144081115723,,0.976,5.0,14.41,49.38,8.177816390991211,6.134957313537598,3.3492002487182617,5.68,3.84723687171936,3.33,22.83,35.06,22.67,37.38,29.33,10.802791595458984,3.94,11.07,7.740573406219482,11.6841402053833,13.76,
2005-11-03,26.81,13.21,7.52,,3.561,5.995611667633057,5.9849066734313965,25.44,15.34,9.35462760925293,3.68,2.189050436019897,7785.73291015625,0.747,8.727154731750488,7.226,19.68,21.77,2.82,6.569869518280029,7.453368663787842,39.99848175048828,11.95,1.8359066247940063,5.339323997497559,,0.993,4.9,14.73,49.6,8.449277877807617,6.299955368041992,3.447187662124634,5.5,3.821589231491089,3.32,21.85,35.48,22.99,38.32,29.58,10.91922664642334,4.01,10.89,7.600434303283691,11.829275131225586,13.97,
2005-11-04,26.73,13.02,7.44,,3.561,5.804679393768311,5.899404525756836,26.1,15.35,9.397062301635742,3.65,2.1766932010650635,7660.447265625,0.747,8.757211685180664,7.362,20.32,21.35,2.9,6.454967021942139,7.328552722930908,40.14580154418945,11.81,1.8359066247940063,5.344373226165772,,0.993,4.87,14.88,48.35,8.119001388549805,6.1124587059021,3.311094045639038,5.72,3.667698383331299,3.34,21.85,35.48,22.99,38.56,29.24,11.045371055603027,4.0,10.8,7.4190802574157715,11.524369239807127,13.7,
2005-11-07,27.01,13.17,7.4,,3.595,5.7758965492248535,6.167303085327148,26.09,15.02,9.524370193481444,3.66,2.163982391357422,7553.95068359375,0.761,8.802298545837402,7.379,20.76,21.35,2.9,6.651941776275635,7.435536861419678,39.7314567565918,11.74,1.8735939264297483,5.420144081115723,,1.001,5.08,15.04,48.65,8.012677192687988,6.0655837059021,3.274542570114136,5.88,3.6865079402923584,3.46,21.51,34.74,22.85,37.68,29.24,11.32028865814209,4.05,11.2,7.369618415832519,11.658528327941896,13.82,
2005-11-08,27.17,13.24,7.35,,3.622,5.754788398742676,6.178703784942627,25.26,14.72,9.609238624572754,3.56,2.1530373096466064,7491.306640625,0.739,8.73788833618164,7.294,20.86,21.2,2.82,6.524731159210205,7.316070556640625,40.6061897277832,11.93,1.9005146026611328,5.536328315734863,,1.005,5.27,15.52,49.57,8.175557136535645,6.168707370758057,3.276616334915161,5.85,3.7873919010162354,3.48,21.26,34.74,22.78,38.26,29.49,11.323518753051758,3.99,11.31,7.682868957519531,11.5365629196167,13.75,
2005-11-09,26.77,13.16,7.2,,3.602,5.651167392730713,6.056159019470215,25.46,14.54,9.184885025024414,3.35,2.1961116790771484,7338.27783203125,0.726,8.523200035095215,7.167,20.06,21.04,2.86,6.459071159362793,7.308936595916748,41.43489456176758,11.93,1.913973331451416,5.55552339553833,,1.001,5.26,,49.84,8.143884658813477,6.15745735168457,3.357494592666626,5.83,3.718996047973633,3.48,20.76,33.79,22.52,38.07,29.91,11.449660301208496,3.97,11.35,7.691112041473389,11.391427040100098,13.63,
2005-11-10,26.87,13.29,7.28,,3.684,5.531235218048096,6.314072608947754,26.09,14.53,9.345196723937988,3.33,2.224357843399048,7204.935546875,0.742,8.662748336791992,7.337,20.18,21.15,3.06,6.524731159210205,7.471200466156006,42.35567474365234,12.29,1.92474102973938,5.575728893280029,,1.005,5.24,16.15,49.91,7.836228370666504,5.960584163665772,3.3642349243164062,5.73,3.7018964290618896,3.44,21.5,33.91,22.48,37.9,30.25,11.49818229675293,4.12,11.34,7.6169233322143555,11.025534629821776,13.34,
2005-11-11,26.65,13.27,7.35,,3.752,5.459277153015137,6.298399448394775,26.1,14.41,9.175454139709473,3.33,2.2208266258239746,7230.8876953125,0.734,8.521053314208984,7.133,19.67,20.58,2.94,6.586282253265381,7.364212989807129,42.90813446044922,12.39,1.9462770223617556,5.444391250610352,,1.022,5.2,15.21,50.16,7.63941764831543,5.784335613250732,3.3642349243164062,5.63,3.7685821056365967,3.44,21.25,33.78,22.56,37.38,30.58,11.501413345336914,4.01,11.29,7.6020827293396,11.135303497314451,13.31,
2005-11-14,26.11,13.27,7.4,,3.821,5.4199395179748535,6.061857223510742,25.78,14.13,9.076440811157228,3.26,2.189050436019897,7320.37841796875,0.729,8.224780082702637,6.903,19.29,20.33,2.89,6.557559013366699,7.23048210144043,42.364871978759766,12.41,1.9301254749298096,5.444391250610352,,1.013,5.2,15.04,49.6,7.75931453704834,5.829334735870361,3.318093061447144,5.47,3.706172227859497,3.38,21.3,33.74,22.26,36.59,30.58,11.64049243927002,4.0,11.39,7.442160606384277,11.08773708343506,13.28,
