,VIVO4,AMBV4,ARCZ6,ARCE3,BBDC4,BRAP4,BBAS3,BRTP3,BRTP4,BRKM5,CCRO3,CMIG4,CESP6,CPLE6,CSAN3,CPFE3,CYRE3,DURA4,ELET3,ELET6,EMBR3,GGBR4,GOAU4,GOLL4,PTIP4,ITSA4,ITUB4,KLBN4,LIGT3,LAME4,LREN3,NATU3,NETC4,PCAR4,PETR3,PETR4,RSID3,SBSP3,SDIA4,CSNA3,CRUZ3,SUBA3,TAMM4,VCPA4,TNLP3,TNLP4,TMAR5,TCSL4,UBBR11,USIM5,VALE3,VALE5,ALLL11
2006-10-31,25.56,15.25,11.32,36.24,4.689,7.961527347564697,7.401334762573242,25.75,12.78,7.509786128997803,3.229908943176269,2.5868539810180664,10.075,1.025,5.4746928215026855,5.569735050201416,6.968912124633789,23.82,9.682527542114258,8.043,18.811817169189453,10.156010627746582,10.943611145019531,61.55564498901367,18.59,2.366464853286743,7.122462272644043,,9.33135986328125,1.92,3.2078444957733154,9.08,22.99,51.18,10.72278118133545,8.246642112731934,292.882568359375,5.956235408782959,6.22,5.685361862182617,4.09,39.21,59.72,35.87,42.96,18.99,31.12,6.23,15.67,12.00242042541504,13.208688735961914,15.5,18.63
2006-11-03,26.75,15.15,11.29,36.09,4.696,8.28486156463623,7.495384216308594,27.14,13.19,7.876601696014404,3.3471291065216064,2.701826333999634,10.245,1.039,5.621684074401856,5.680883407592773,6.87300968170166,24.06,10.197782516479492,8.213,18.38851928710937,10.425643920898438,11.308398246765137,61.03255844116211,18.43,2.4056203365325928,7.162875175476074,,9.534215927124023,1.941,3.1850950717926025,9.04,23.37,50.72,10.813270568847656,8.460404396057129,301.7577819824219,5.967901229858398,6.3,6.001688957214356,4.25,39.33,61.0,35.23,42.92,19.33,31.62,6.27,15.73,12.439322471618652,13.757526397705078,15.68,19.08
2006-11-06,28.14,15.22,11.61,37.24,4.791,8.441248893737793,7.908625602722168,27.98,13.53,7.990612030029297,3.471410036087036,2.701826333999634,9.999,1.039,5.8046746253967285,5.808495998382568,7.096782207489014,24.78,10.305129051208496,8.375,18.904953002929688,10.833295822143556,11.565732955932615,63.95621871948242,18.79,2.6488754749298096,7.223492622375488,,9.686357498168944,1.949,3.1850950717926025,8.97,22.98,51.82,11.014607429504396,8.636665344238281,302.3124694824219,5.967901229858398,6.41,6.155579566955566,4.22,40.51,63.4,36.18,44.36,19.94,31.8,6.61,16.17,12.65200424194336,14.145379066467283,16.03,19.65
2006-11-07,27.94,15.54,11.89,37.57,4.778,8.357778549194336,7.794631481170654,27.68,13.62,7.931127071380615,3.311821460723877,2.7070517539978027,9.762,1.037,5.722177982330322,5.742630958557129,6.904977321624756,24.77,10.24071979522705,8.213,19.05733871459961,10.698481559753418,11.438477516174316,63.9842529296875,18.89,2.4129631519317627,7.223492622375488,,9.488574028015137,1.982,3.2090418338775635,9.2,23.18,53.65,10.881136894226074,8.558326721191406,293.6591491699219,5.990453720092773,6.2,6.02733850479126,4.21,41.38,64.4,36.76,44.5,20.25,32.41,6.32,16.17,12.464054107666016,13.991700172424316,15.87,19.27
2006-11-08,28.08,15.45,12.06,37.58,4.791,8.443169593811035,7.777525901794434,28.43,13.79,8.273158073425293,3.3471291065216064,2.717503786087036,9.881,1.022,5.581186294555664,5.781739234924316,6.745140075683594,24.97,10.135520935058594,8.188,18.99808120727539,10.759469032287598,11.608146667480469,61.08860397338867,19.24,2.4594593048095703,7.329570770263672,,9.66100025177002,2.027,3.232991933822632,9.4,23.13,55.32,11.184269905090332,8.744378089904785,305.0859375,5.901021480560303,6.19,6.0102386474609375,4.29,41.6,61.56,36.53,45.29,20.25,32.57,6.21,16.31,12.577816009521484,13.977057456970217,15.88,19.28
2006-11-09,27.72,15.39,11.99,36.76,4.613,8.56789779663086,7.481133937835693,27.79,13.12,8.005481719970703,3.443164110183716,2.7436327934265137,9.618,0.988,5.6246843338012695,5.794090270996094,6.71317195892334,25.06,9.81134033203125,8.035,18.888015747070312,10.528358459472656,11.4808988571167,60.247928619384766,18.31,2.366464853286743,7.142668724060059,,9.229931831359863,2.015,3.221017599105835,9.2,22.34,51.68,11.16390895843506,8.775715827941895,292.882568359375,5.877171516418457,6.06,5.814457416534424,4.21,40.11,60.55,36.71,45.34,19.8,31.77,6.03,16.09,12.152451515197754,14.39173984527588,16.19,19.68
2006-11-10,27.94,15.79,11.92,36.57,4.689,8.510332107543945,7.694876670837402,27.77,13.19,7.87164306640625,3.4106814861297607,2.701826333999634,9.424,0.968,5.519690036773682,5.866128921508789,6.553335666656494,25.9,9.639588356018066,8.001,18.710235595703125,10.464162826538086,11.47524356842041,58.94023132324219,18.19,2.3615715503692627,7.136610984802246,,9.33135986328125,2.007,3.173123359680176,9.35,22.13,52.06,11.299642562866213,8.822714805603027,281.7884826660156,5.899205207824707,6.0,5.736657619476318,4.17,40.07,59.64,36.35,45.29,19.72,31.62,6.35,15.58,12.0403413772583,14.14781379699707,16.03,19.42
2006-11-13,28.89,15.81,11.89,36.41,4.771,8.376007080078125,7.835949897766113,28.53,13.16,7.950954437255859,3.354189872741699,2.701826333999634,9.399,0.947,5.416195869445801,5.8887715339660645,6.585301399230957,25.66,9.661056518554688,8.069,18.9472770690918,10.496257781982422,11.4808988571167,58.84681701660156,18.14,2.635413885116577,7.190151691436768,,9.33135986328125,1.994,3.173123359680176,9.48,21.77,53.09,10.95578956604004,8.636665344238281,278.3493957519531,5.899205207824707,6.05,5.804198265075684,4.36,40.51,58.35,35.96,44.94,20.19,32.54,6.42,15.84,11.997474670410156,13.855097770690918,15.65,19.98
2006-11-14,28.94,16.11,12.21,36.38,4.942,8.347228050231934,7.766128063201904,29.39,13.71,8.104620933532715,3.403620719909668,2.7070517539978027,9.974,0.992,5.6246843338012695,6.030791282653809,6.329561710357666,25.99,9.890775680541992,8.205,18.964221954345703,10.624653816223145,11.537450790405272,58.70270156860352,18.04,2.439882755279541,7.405340194702148,,9.442931175231934,2.035,3.232991933822632,9.48,22.52,52.77,11.082473754882812,8.724794387817383,271.5819702148437,6.048519134521484,6.19,5.890547752380371,4.52,41.12,59.49,37.57,46.71,20.77,32.85,6.67,16.27,12.157401084899902,13.891681671142578,15.74,20.21
2006-11-16,28.33,16.34,12.32,36.47,4.948,8.457562446594238,7.823131561279297,30.19,13.66,8.12940502166748,3.4742355346679688,2.649567127227783,9.838,0.969,5.744677543640137,6.041084289550781,6.105789661407471,26.01,9.815633773803713,8.043,19.4721794128418,10.4866304397583,11.565732955932615,60.407203674316406,18.29,2.442328691482544,7.375030994415283,,9.584930419921877,2.06,3.232991933822632,9.66,22.68,53.72,10.903759002685549,8.591617584228516,261.8192138671875,5.990972995758057,6.25,5.813603401184082,4.35,41.82,58.99,37.66,47.59,20.66,32.85,6.42,16.44,12.200262069702148,13.855097770690918,15.79,19.92
