,VIVO4,AMBV4,ARCZ6,BMEF3,BOVH3,BBDC4,BRAP4,BBAS3,BRTP3,BRTP4,BRKM5,CCRO3,CMIG4,CESP6,CPLE6,CSAN3,CPFE3,CYRE3,DURA4,ELET3,ELET6,EMBR3,ENBR3,GFSA3,GGBR4,GOAU4,GOLL4,ITSA4,ITUB4,JBSS3,KLBN4,LIGT3,RENT3,LAME4,LREN3,NATU3,NETC4,BNCA3,PCAR4,PETR3,PETR4,POSI3,RDCD3,RSID3,SBSP3,SDIA4,CSNA3,CRUZ3,TAMM4,VCPA4,TNLP3,TNLP4,TMAR5,TCSL4,UBBR11,USIM3,USIM5,VALE3,VALE5,ALLL11
2007-10-31,34.34,23.11,12.9,,30.45,7.341,20.397932052612305,13.380539894104004,50.34,23.52,8.16919994354248,4.517918586730957,3.075722932815552,15.828,1.236,4.140279293060303,7.800922870635986,19.244421005249023,55.26,11.528863906860352,10.324,17.70274543762207,3.999600887298584,664.0288696289062,18.00925636291504,20.569625854492188,45.32036590576172,3.088395833969116,9.98155117034912,5.427913188934326,,16.203096389770508,3.8889122009277344,4.083,5.147640705108643,6.87,27.9,29.25,45.12,18.726415634155277,14.235095977783203,31.98504066467285,36.0,647.8917236328125,9.720572471618652,11.75,11.84008502960205,6.42,46.32,53.3,45.08,23.68,43.68,7.32,25.92,25.00507354736328,22.42211532592773,31.71060943603516,35.74,27.06
2007-11-01,33.31,23.11,12.61,,30.86,7.142,20.766359329223636,13.166791915893556,47.09,23.36,8.023950576782227,4.547575950622559,3.1049790382385254,15.515,1.212,4.061184883117676,7.945002555847168,18.151138305664062,53.85,11.163890838623049,9.967,17.677352905273438,3.9047718048095694,676.5143432617188,17.932830810546875,20.71168327331543,44.40826416015625,3.2058629989624023,9.619869232177734,5.879006862640381,,15.731456756591797,3.940108060836792,3.956,5.088970184326172,6.66,27.6,28.16,44.83,18.47304916381836,14.610774040222168,33.660762786865234,36.400001525878906,640.6805419921875,9.486599922180176,11.43,11.528887748718262,6.33,44.9,51.91,43.83,23.67,43.29,6.88,25.23,25.073814392089844,22.339675903320312,31.266664505004883,35.11,25.96
2007-11-05,32.63,22.91,12.88,,29.79,6.93,19.26578140258789,12.58967399597168,49.36,23.75,7.9538254737854,4.660559177398682,3.1049790382385254,16.446,1.212,4.000343322753906,7.821507930755615,18.5411434173584,55.5,11.57179832458496,10.256,17.838218688964844,3.9884438514709473,678.1571044921875,17.859731674194336,20.747190475463867,43.762184143066406,3.3326292037963867,9.365280151367188,5.405728340148926,,15.239532470703123,4.115354537963867,4.026,5.029097080230713,6.59,27.81,28.0,46.39,17.683547973632812,13.82895565032959,35.336483001708984,37.29999923706055,641.2352294921875,9.28878688812256,11.34,11.259581565856934,6.49,43.57,53.55,44.25,23.35,44.32,6.84,24.69,24.57543182373047,22.42211532592773,30.056781768798828,33.79,25.39
2007-11-06,34.74,22.88,12.9,,30.92,7.033,19.57280731201172,13.153968811035156,49.57,23.87,7.863668918609619,4.598418712615967,3.130052089691162,16.522,1.239,3.983611822128296,7.811213970184326,19.500164031982425,51.96,11.78648853302002,10.554,17.9906005859375,4.0567779541015625,684.3999633789062,17.909574508666992,20.732398986816406,44.94032287597656,3.051687479019165,9.41579818725586,5.43530797958374,,15.822744369506836,4.058251857757568,4.083,5.217090129852295,6.46,29.0,28.8,48.45,18.43233108520508,13.962983131408691,35.19744873046875,38.060001373291016,659.5404663085938,9.358979225158691,12.0,11.36131763458252,6.82,46.82,55.34,46.2,23.67,44.01,6.79,25.47,24.57543182373047,22.669410705566406,31.52034568786621,35.24,25.23
2007-11-07,33.61,22.55,12.88,,31.85,6.869,19.84528923034668,12.995795249938965,49.35,23.21,7.763497352600098,4.546164512634277,3.130052089691162,15.853,1.236,3.831507444381714,7.92441987991333,19.18049430847168,49.6,11.679146766662598,10.427,17.508033752441406,3.9061665534973145,709.6993408203125,17.59723663330078,20.865589141845703,43.705177307128906,3.273407220840454,9.153125762939451,5.294803619384766,,15.361247062683104,3.9775195121765137,3.907,5.124891757965088,6.3,28.0,28.55,48.12,18.44138526916504,14.265560150146484,35.709678649902344,37.650001525878906,643.5650024414062,9.231355667114258,11.81,11.287792205810549,6.83,45.99,55.39,44.39,23.2,42.24,6.49,24.88,24.57543182373047,22.339675903320312,31.01297187805176,34.55,24.4
2007-11-08,31.93,21.33,12.11,,31.85,6.616,19.941234588623047,12.333185195922852,48.01,22.48,7.447947025299072,4.361152648925781,3.2178070545196533,16.116,1.223,3.5455515384674072,7.759756565093994,18.093595504760746,47.61,11.172477722167969,9.941,17.355640411376953,3.939634323120117,751.4271240234375,17.328094482421875,20.510425567626957,41.05436325073242,2.93177342414856,8.86418342590332,5.213457584381104,,14.55489730834961,3.823932409286499,3.722,4.795603275299072,6.15,27.0,28.33,46.5,21.106239318847656,16.610994338989258,34.970603942871094,37.0,629.5865478515625,8.869758605957031,11.29,11.052684783935549,6.45,43.08,52.38,42.82,22.12,41.89,6.28,24.06,24.145782470703125,21.6307430267334,30.783679962158203,34.53,23.02
2007-11-09,32.28,21.16,11.98,,34.66,6.568,19.768529891967773,12.564026832580566,47.58,22.61,7.513059616088867,4.194504261016846,3.1183559894561768,15.904,1.256,3.569887638092041,7.555984973907471,18.502779006958008,49.75,11.12095069885254,9.933,17.355640411376953,3.925687313079834,737.9559936523438,16.982526779174805,20.38908576965332,41.79545211791992,2.924432277679444,8.953082084655762,5.161694049835205,,15.300387382507324,3.800304412841797,3.722,5.172787189483643,6.42,26.99,28.64,47.96,21.696664810180664,16.249536514282227,34.09980773925781,37.0,621.2659912109375,8.980365753173828,11.48,11.156990051269531,6.48,42.97,51.64,43.15,22.68,42.6,6.17,24.98,24.04267692565918,21.6307430267334,31.07640266418457,34.86,23.51
2007-11-12,30.47,20.77,11.61,,34.34,6.446,19.077730178833008,12.012563705444336,46.6,21.4,7.227563381195068,4.166258335113525,3.1183559894561768,15.194,1.189,3.39192533493042,7.269883155822754,17.454246520996094,46.29,11.035076141357422,10.044,17.821277618408203,3.7792601585388175,729.4132080078125,16.44756507873535,19.326562881469727,39.90472412109375,3.171111822128296,8.738911628723145,5.095139503479004,,14.55489730834961,3.741230964660645,3.603,4.970425605773926,6.04,25.75,28.07,45.87,20.135761260986328,15.502245903015137,33.14852523803711,36.25,601.2967529296875,8.827218055725098,10.9,10.558526039123535,6.11,41.91,50.99,41.25,22.21,40.97,6.07,23.86,22.925609588623047,20.52776908874512,29.412818908691406,33.13,22.55
2007-11-13,31.84,20.6,12.55,,33.54,6.705,19.38091468811035,12.183558464050291,47.44,22.25,7.4078779220581055,4.180379867553711,3.1183559894561768,16.344,1.223,3.571409225463867,7.389265060424805,18.34933853149414,45.36,11.33563995361328,10.163,17.838218688964844,3.765314340591431,729.4132080078125,17.112119674682617,19.948091506958008,42.17549133300781,3.233027935028076,9.13291835784912,5.243038177490234,,14.884535789489746,3.739262342453003,3.501,5.017123699188232,6.14,25.2,27.71,48.94,20.499975204467773,15.778414726257324,32.197242736816406,35.09000015258789,605.7343139648438,9.241989135742188,11.15,10.7893648147583,5.96,44.9,54.32,41.98,22.81,41.58,6.54,25.08,22.685009002685547,20.674503326416016,29.71040153503418,33.68,23.08
2007-11-14,33.58,21.35,12.88,,34.1,6.869,20.34036064147949,12.354552268981934,48.89,23.04,7.753478050231934,4.378100872039795,3.1183559894561768,16.344,1.256,3.696134328842163,7.6568427085876465,19.116552352905277,45.93,11.717787742614746,10.367,17.86361312866211,3.765314340591431,755.6984252929688,17.411163330078125,20.563703536987305,44.89281463623047,3.2572543621063232,9.19353485107422,5.383542537689209,,15.721319198608398,3.670344114303589,3.661,5.256604671478272,6.38,26.6,27.71,48.6,20.92752456665039,16.068803787231445,34.385196685791016,35.79999923706055,607.953125,9.082462310791016,11.39,10.94325065612793,6.35,47.59,57.33,43.69,23.56,43.68,6.79,25.08,22.685009002685547,20.77342796325684,30.930044174194336,34.71,24.1
