,VIVO4,AMBV4,ARCZ6,B3SA3,BBDC4,BRAP4,BBAS3,BRKM5,CCRO3,CMIG4,CESP6,CPLE6,CSAN3,CPFE3,CYRE3,ELET3,ELET6,EMBR3,GFSA3,GGBR4,GOAU4,GOLL4,ITSA4,ITUB4,JBSS3,LAME4,LREN3,MMXM3,NATU3,NETC4,BNCA3,OGXP3,PCAR4,PETR3,PETR4,RDCD3,RSID3,SDIA4,CSNA3,CRUZ3,TAMM4,VCPA4,TNLP4,TCSL4,USIM3,USIM5,VALE3,VALE5,ALLL11
2008-10-31,19.8,15.4,2.56,3.5366528034210205,4.743,7.522098064422607,6.314072608947754,4.917028427124023,3.127977132797241,2.758120059967041,4.839,1.061,1.6070107221603394,7.080339431762695,6.777106761932373,11.455251693725586,9.822,9.739811897277832,337.345703125,19.48512077331543,12.044038772583008,9.005677223205566,1.7802597284317017,5.884871482849121,3.0495171546936035,1.194,1.915505051612854,496.9898376464844,6.51,13.72,31.9,274.9999694824219,54.65,12.944254875183104,9.527993202209473,24.0,98.93061065673828,4.42,7.561547756195068,5.64,21.15,21.52,20.66,2.91,10.075173377990724,10.66280460357666,14.027440071105955,17.12,9.95
2008-11-03,19.61,15.87,2.75,3.616056680679321,4.955,7.648744583129883,6.121706485748291,4.964056491851807,3.015428066253662,2.924452066421509,5.016,1.139,1.614627718925476,7.080339431762695,7.544325828552246,11.34615421295166,9.473,9.419482231140137,368.1944580078125,19.48512077331543,11.896559715270996,9.600934982299805,2.0349361896514893,6.842111587524414,3.0881187915802,1.223,2.1338956356048584,514.6046752929688,6.9,14.8,34.69,265.0099792480469,55.95,12.754227638244627,9.458500862121582,23.649999618530277,96.0142822265625,4.44,7.53257417678833,5.55,22.16,21.95,21.24,2.92,9.956412315368652,10.53713607788086,14.328842163085938,17.7,9.84
2008-11-04,20.05,15.85,2.97,4.123040676116943,5.119,8.289658546447754,7.079287052154541,4.734142303466797,3.008120059967041,2.799917697906494,5.49,1.119,1.715160846710205,7.251245021820068,8.10056209564209,11.411611557006836,9.873,9.705184936523438,394.3992614746094,19.48512077331543,13.168554306030272,9.264901161193848,2.16845440864563,7.172974109649658,3.11128044128418,1.313,2.203439950942993,615.2608642578125,7.32,14.0,39.49,290.9999694824219,56.38,14.02558135986328,10.259654998779297,24.899999618530277,98.70628356933594,4.51,8.006653785705566,5.77,22.06,22.4,20.86,2.92,10.42355251312256,10.929373741149902,15.336797714233398,18.66,10.21
2008-11-05,19.7,15.75,2.85,3.640490293502808,4.73,8.289658546447754,6.861266136169434,4.431073188781738,2.9174964427948,2.799917697906494,5.431,1.028,1.6907886266708374,6.8117756843566895,7.544325828552246,10.83994197845459,9.32,9.696523666381836,340.66278076171875,19.48512077331543,11.933429718017578,8.804058074951172,1.9508670568466189,6.54408073425293,2.740705966949463,1.231,2.11071515083313,770.0197143554688,7.55,13.45,39.3,273.9999694824219,55.66,13.487177848815918,9.912214279174805,24.0,89.73297882080078,4.35,7.008456230163574,5.39,20.44,21.1,19.65,2.68,9.30320644378662,10.929373741149902,14.03238010406494,17.36,9.35
2008-11-06,18.06,16.24,2.67,3.347296953201294,4.477,7.226585388183594,6.4124016761779785,4.185483455657959,2.9014174938201904,2.714660406112671,5.82,1.06,1.696881890296936,6.749629974365234,6.201691150665283,10.726479530334473,9.558,8.700898170471191,275.64825439453125,19.48512077331543,11.767510414123535,9.264901161193848,1.8643275499343872,6.139968395233154,2.779306650161743,1.194,2.03750991821289,661.8143310546875,7.37,13.85,44.43,253.99996948242188,57.92,12.564207077026367,9.360401153564451,23.290000915527344,81.88134765625,4.41,6.481701374053955,5.64,19.58,20.55,19.05,2.7,8.681673049926758,9.3299560546875,13.58769416809082,16.68,8.9
2008-11-07,18.65,17.11,2.6,3.4572458267211914,4.47,7.138318061828613,6.540645599365234,4.049624919891357,2.908726930618286,2.783193588256836,5.735,1.082,1.8248335123062132,6.794018745422363,5.882016658782959,10.752662658691406,9.456,7.98231840133667,266.3604736328125,19.48512077331543,11.490991592407228,8.612038612365723,1.9780656099319456,6.364749431610107,2.9182724952697754,1.251,2.122915267944336,729.7572631835938,7.32,13.89,47.98,261.9999694824219,56.61,12.763275146484377,9.507551193237305,24.0,83.6760025024414,4.46,6.415857791900635,5.94,18.47,19.43,20.08,2.66,8.317462921142578,9.143355369567873,13.167706489562988,16.36,9.07
2008-11-10,18.5,16.9,2.46,3.292323589324951,4.511,7.238099575042725,6.160177230834961,3.835386514663696,2.850259304046631,2.758120059967041,5.685,1.069,1.6755566596984863,6.503258228302002,5.050862312316895,10.543194770812988,9.286,7.69661808013916,241.15077209472656,19.48512077331543,12.044038772583008,7.968775749206543,2.069551706314087,6.566812515258789,2.833349227905273,1.223,2.1448757648468018,574.9983520507812,6.87,13.31,52.43,269.9999694824219,53.99,13.251914024353027,9.789589881896973,22.75,76.04869842529297,4.4,6.255198001861572,6.21,18.62,17.9,19.84,2.68,8.4124755859375,9.227136611938477,13.785327911376951,16.99,8.8
2008-11-11,19.92,17.12,2.42,3.46946120262146,4.47,7.522098064422607,6.087505340576172,3.8667383193969727,2.9584226608276367,2.8584163188934326,6.15,1.115,1.7273465394973757,6.714114665985107,5.178731918334961,11.651626586914062,10.197,7.584067344665527,226.55567932128903,19.48512077331543,12.498760223388672,7.728752613067627,2.0472991466522217,6.503668308258057,3.1653223037719727,1.272,2.024090051651001,568.7073974609375,7.32,13.17,49.74,266.6999816894531,56.61,13.007596015930176,9.773236274719238,24.600000381469727,76.27303314208984,4.2,6.476432800292969,6.76,17.48,17.0,20.66,2.82,8.661881446838379,9.234752655029297,13.958271980285645,17.21,9.35
2008-11-12,19.24,16.73,2.18,3.176266670227051,4.108,6.869670867919922,5.638637542724609,3.6734015941619873,2.9847331047058105,2.8166301250457764,6.04,1.091,1.5963480472564695,6.547650337219238,4.68004035949707,9.897337913513184,8.937,7.125213146209717,203.33621215820312,19.48512077331543,11.749079704284668,7.6327433586120605,1.854435682296753,6.051569938659668,2.90283203125,1.182,1.9142839908599851,484.4078369140625,7.0,12.49,48.77,280.9999694824219,51.72,11.283804893493652,8.428450584411621,24.01000022888184,68.42138671875,3.77,5.794288158416748,6.47,16.14,16.4,19.21,2.7,8.040348052978516,8.377917289733887,13.049124717712402,16.06,9.06
2008-11-13,18.92,18.49,2.42,3.286214828491211,4.497,7.180533409118652,6.027658462524414,3.6629505157470703,3.1133599281311035,2.924452066421509,6.497,1.123,1.5841628313064575,6.8761420249938965,4.9613542556762695,11.018860816955566,9.822,7.064610958099365,206.65328979492188,19.48512077331543,12.28983211517334,7.728752613067627,2.069551706314087,6.607223987579346,3.126720666885376,1.223,1.8056981563568115,502.0226440429688,7.49,12.25,51.28,320.0099792480469,56.85,11.595991134643556,8.624648094177246,25.690000534057617,71.33771514892578,3.73,6.060297966003418,7.25,17.08,16.93,20.95,2.75,8.511444091796875,8.709227561950684,13.483933448791504,16.32,10.02
