,AMBV4,ARCZ6,BBDC4,BBAS3,BRTP4,CMIG4,CPLE6,CRTP5,ELET3,ELET6,ELPL4,EMBR3,EMBR4,EBTP3,EBTP4,GGBR4,ITSA4,ITUB4,PETR3,PETR4,SBSP3,CSNA3,CSTB4,CRUZ3,VCPA4,TCOC4,TNLP3,TNLP4,TMAR5,TMCP4,VIVT3,TSPP4,TCSL4,USIM5,VALE3,VALE5
2003-02-28,6.64,5.46,0.984,1.3679779767990112,12.97,2031.450439453125,0.348,25.44,3.6067941188812256,2.8,5.12,6.595143795013428,9.01,1.68,1.49,1.9800225496292116,0.4889504909515381,1.586137294769287,2.703883647918701,1.9433830976486208,1.771809458732605,1.7675917148590088,37.96,1.96,20.48,11.01,10.19,11.95,17.7,20.87,7.439043998718262,7.09,1.84,1.2480539083480835,4.228080749511719,5.33
2003-03-05,6.5,5.23,0.997,1.396478295326233,12.66,2046.6639404296875,0.361,25.96,3.6948184967041016,2.876,5.04,6.578212738037109,8.86,1.63,1.48,2.0158066749572754,0.5077565908432007,1.600179672241211,2.6015188694000244,1.8942174911499023,1.7282593250274658,1.7013332843780518,38.6,1.96,19.93,11.04,10.49,12.05,18.05,20.44,7.439043998718262,7.22,1.85,1.2529995441436768,4.228080749511719,5.35
2003-03-06,6.61,5.21,1.039,1.4534767866134644,13.35,2111.9921875,0.379,26.9,3.928830146789551,3.098,5.34,6.315760135650635,8.64,1.66,1.49,2.0038788318634038,0.5238756537437439,1.6871652603149414,2.641108274459839,1.9570401906967163,1.8189889192581177,1.699196219444275,38.6,1.96,19.89,11.95,10.82,12.43,18.78,20.87,7.471389770507812,7.65,1.95,1.2843252420425415,4.14270544052124,5.26
2003-03-07,6.53,5.23,1.025,1.4705766439437866,13.56,2210.43212890625,0.386,26.9,4.036175727844238,3.157,5.69,6.417352676391602,8.76,1.62,1.46,1.956167697906494,0.5158159136772156,1.6768604516983032,2.742906093597412,2.007570505142212,1.8778328895568848,1.677822470664978,36.83,1.99,19.65,12.26,11.08,12.75,19.13,21.2,7.600767135620117,7.87,2.02,1.2909201383590698,4.045542240142822,5.22
2003-03-10,6.52,5.13,1.004,1.4321026802062988,12.83,2138.839111328125,0.359,25.63,3.72487473487854,2.876,5.23,6.095639705657959,8.42,1.48,1.33,1.8607441186904907,0.5158159136772156,1.6811034679412842,2.663729190826416,1.966599941253662,1.7741423845291138,1.6393500566482544,36.61,2.01,19.16,11.74,10.61,12.32,18.08,20.95,7.439043998718262,7.45,1.85,1.231567144393921,4.034566879272461,5.16
2003-03-11,6.53,5.19,0.991,1.4078779220581057,12.89,2129.889892578125,0.356,25.54,3.800016164779663,2.987,4.96,6.053309440612793,8.09,1.53,1.38,1.836889624595642,0.510442852973938,1.6770623922348022,2.7824950218200684,2.048541784286499,1.7741423845291138,1.6820968389511108,36.41,2.01,19.05,11.46,10.65,12.28,18.03,20.12,7.439043998718262,7.34,1.85,1.2150799036026,4.024808883666992,5.12
2003-03-12,6.54,5.17,1.025,1.4192771911621094,13.08,2171.056396484375,0.368,25.87,3.800016164779663,3.106,4.91,5.926316261291504,8.01,1.58,1.44,1.8846007585525515,0.510442852973938,1.6770623922348022,2.872981548309326,2.1077215671539307,1.7741423845291138,1.6820968389511108,36.41,2.0,18.91,11.68,11.01,12.8,18.56,21.37,7.600767135620117,7.53,1.9,1.2332158088684082,4.001635074615479,5.12
2003-03-13,6.85,5.25,1.045,1.4577531814575195,13.7,2228.330810546875,0.376,26.71,3.84295392036438,2.987,5.03,5.951714992523193,8.22,1.63,1.47,1.8846007585525515,0.5211893320083618,1.737679958343506,2.867326498031616,2.087236166000366,1.7972140312194824,1.647900104522705,35.11,1.91,18.91,12.71,11.4,13.18,18.82,22.7,7.665452480316162,8.04,2.08,1.2678377628326416,3.943498134613037,4.99
2003-03-14,7.12,5.59,1.045,1.4534767866134644,13.92,2237.27978515625,0.386,26.85,3.873010635375977,3.064,5.12,6.095639705657959,8.51,1.56,1.42,1.872672438621521,0.529248833656311,1.7477813959121704,2.892775774002075,2.0986168384552,1.8329870700836184,1.6671361923217771,34.96,1.96,19.94,12.77,11.21,13.07,18.76,23.21,7.665452480316162,8.04,1.96,1.276081681251526,3.910974740982056,4.92
2003-03-17,7.22,5.58,1.039,1.4249770641326904,13.94,2255.177734375,0.377,27.14,3.881598711013794,3.192,5.14,6.315760135650635,8.93,1.59,1.45,1.8846007585525515,0.529248833656311,1.7477813959121704,2.872981548309326,2.0895116329193115,1.8617613315582275,1.6820968389511108,34.8,1.96,19.89,12.8,11.27,13.25,18.66,23.88,7.63311243057251,8.21,1.95,1.269486904144287,3.906909704208374,4.96
