,ACES4,AMBV4,ARCZ6,BBDC4,BBAS3,BRTP4,BRKM5,CMET4,CMIG4,CPLE6,CRTP5,ELET3,ELET6,ELPL4,EMBR3,EMBR4,EBTP3,EBTP4,GGBR4,GOAU4,ITSA4,ITUB4,PETR3,PETR4,SBSP3,SDIA4,CSNA3,CSTB4,CRUZ3,VCPA4,TCOC4,TNLP3,TNLP4,TMAR5,TMCP4,VIVT3,TSPP4,TCSL4,USIM5,VALE3,VALE5
2004-03-01,16.29,11.11,8.68,1.517,3.170575857162476,16.76,8.691850662231445,1.6,4743.033203125,0.501,50.57,7.32093620300293,6.341,14.95,14.612600326538086,22.71,5.5,3.71,4.026710510253906,3.527239799499512,0.9564093947410583,2.919703722000122,5.36195707321167,3.8785719871521,3.686711311340332,4.17,5.388267993927002,95.11,3.43,31.01,27.36,21.4,22.89,34.71,50.11,13.228570938110352,18.92,3.17,5.803369045257568,7.1104936599731445,8.67
2004-03-02,16.29,10.4,8.63,1.503,3.284572124481201,16.73,8.622314453125,1.57,4743.033203125,0.496,51.88,7.417546272277832,6.494,15.08,14.561805725097656,22.35,5.3,3.77,4.08246660232544,3.6045756340026855,0.9644691348075868,2.899497509002685,5.369875431060791,3.8703770637512207,3.640569448471069,4.08,5.38613224029541,95.11,3.4,31.17,26.68,21.6,22.7,35.37,48.94,13.260910987854004,18.77,3.25,5.933615684509277,7.033249855041504,8.59
2004-03-03,16.19,8.84,8.63,1.53,3.305947780609131,16.59,8.645491600036621,1.54,4653.54296875,0.501,52.48,8.115287780761719,6.741,15.87,14.64647102355957,22.5,5.46,3.76,4.045294284820557,3.590899705886841,0.9510363340377808,2.929807186126709,5.457534790039063,3.9149887561798096,3.606092929840088,4.08,5.557121753692627,94.64,3.49,31.05,26.77,23.07,22.85,35.43,49.35,13.099193572998049,18.37,3.25,6.068809509277344,6.882827281951904,8.45
2004-03-04,16.19,8.52,8.94,1.51,3.2574996948242188,16.21,8.639698028564453,1.5,4519.3046875,0.498,50.75,7.836190700531006,6.571,15.92,15.493085861206056,22.66,5.41,3.72,4.135120868682861,3.6545588970184326,0.9483500123023988,2.8978819847106934,5.335940361022949,3.86719012260437,3.4422614574432373,4.1,5.593454837799072,96.08,3.65,31.66,26.51,24.42,22.53,34.31,48.76,14.037158012390137,18.4,3.22,6.213891983032227,6.911287784576416,8.33
2004-03-05,16.98,8.24,8.84,1.524,3.320196390151977,16.58,8.819330215454102,1.47,4707.236328125,0.514,51.45,8.104554176330566,6.775,16.26,16.085712432861328,23.14,5.95,3.84,4.18034553527832,3.6597468852996826,0.9564093947410583,2.904552459716797,5.321804523468018,3.900423288345337,3.479072093963623,4.04,5.755895137786865,97.97,3.52,31.21,27.6,24.22,22.99,34.59,48.35,14.71638298034668,19.47,3.38,6.479329586029053,6.768993377685547,8.33
2004-03-08,16.82,8.19,8.79,1.524,3.412821054458618,16.59,8.92363166809082,1.44,4805.67626953125,0.52,52.42,8.201166152954102,6.962,16.83,15.484621047973633,21.82,5.97,3.88,4.175388813018799,3.6545588970184326,0.9510363340377808,2.8893966674804688,5.358564376831055,3.9286468029022217,3.505773067474365,4.0,5.685361862182617,97.01,3.44,30.94,27.75,24.29,23.26,35.55,48.1,14.586997985839844,19.75,3.47,6.579898834228516,6.627110481262207,8.14
2004-03-09,16.73,7.64,8.63,1.49,3.2817249298095703,16.48,8.971146583557129,1.41,4697.392578125,0.51,51.18,8.007944107055664,6.724,16.22,15.086708068847656,21.37,6.06,3.77,4.181583881378174,3.649842977523804,0.9322304129600524,2.8792943954467773,5.457534790039063,3.933199882507324,3.3836772441864014,4.08,5.952530384063721,98.44,3.35,31.06,27.23,23.83,22.72,34.59,48.17,14.399407386779783,19.18,3.39,6.578250885009766,6.504739761352539,7.95
2004-03-10,16.19,7.48,8.45,1.428,3.149199724197388,16.07,8.47165584564209,1.34,4492.45751953125,0.49,48.9,7.576416969299316,6.341,15.18,14.392483711242676,20.69,6.21,3.68,3.84705662727356,3.4659368991851807,0.8946188688278198,2.7984697818756104,5.248282432556152,3.764763832092285,3.237732172012329,4.04,5.443840980529785,93.22,3.32,29.82,26.46,22.73,21.52,32.64,47.42,13.584343910217283,18.14,3.25,6.26500129699707,6.098194122314453,7.55
2004-03-11,15.39,7.45,8.2,1.408,3.0779523849487305,15.43,8.112391471862793,1.3,4331.373046875,0.468,46.02,6.878672122955322,5.983,14.27,13.545865058898926,19.7,6.39,3.41,3.71696400642395,3.371624708175659,0.8731263279914856,2.6974432468414307,5.08992862701416,3.701031684875488,3.159186840057373,3.95,5.187358856201172,90.03,3.27,29.45,25.37,21.35,20.13,31.77,43.32,12.61403465270996,17.06,3.15,5.8379902839660645,5.996557235717773,7.38
2004-03-12,16.73,7.5,8.4,1.449,3.2774477005004883,15.87,8.345335006713867,1.41,4581.94873046875,0.497,49.87,7.619354248046875,6.366,15.8,13.977638244628906,20.63,6.65,3.64,4.00502872467041,3.5833547115325928,0.8946188688278198,2.758061170578003,5.270905017852783,3.799816131591797,3.283615827560425,3.99,5.471625328063965,94.63,3.35,29.98,26.71,22.44,21.16,32.9,46.58,13.461442947387695,18.44,3.35,6.297972679138184,6.188040733337402,7.42
