,ACES4,AMBV4,ARCZ6,BBDC4,BRAP4,BBAS3,BRTP3,BRTP4,BRKM5,CMET4,CCRO3,CMIG4,CPLE6,CRTP5,ELET3,ELET6,ELPL4,EMBR3,EMBR4,EBTP4,GGBR4,GOAU4,PTIP4,ITSA4,ITUB4,PCAR4,PRGA4,PETR3,PETR4,SBSP3,SDIA4,CSNA3,CSTB4,CRUZ3,VCPA4,TCOC4,TNLP3,TNLP4,TMAR5,TMCP4,VIVT3,TSPP4,TCSL4,UBBR11,USIM5,VALE3,VALE5
2005-02-28,39.8,11.02,8.63,2.59,4.941174030303955,4.417430877685547,22.84,13.43,15.44173812866211,2.85,1.9065927267074585,6022.75732421875,0.636,47.97,8.113140106201172,6.835,16.08,14.011504173278809,22.35,2.05,6.717781066894531,7.514781475067139,13.82,1.3620766401290894,4.546252727508545,49.23,58.82,7.182456016540527,5.063085556030273,3.6174991130828857,5.02,5.745209217071533,172.51,3.97,31.58,26.04,32.34,22.48,40.79,31.17,15.036584854125977,15.96,3.72,9.62,11.359436988830566,11.03773021697998,12.95
2005-03-01,39.21,11.56,8.82,2.686,4.830835819244385,4.3476080894470215,22.4,13.54,15.488886833190918,2.71,1.961318850517273,5982.486328125,0.636,46.41,7.995061874389648,6.63,16.26,13.571264266967772,21.9,2.01,6.488359928131104,7.300887107849121,13.73,1.3808832168579102,4.576664447784424,49.14,59.34,6.848782062530518,4.855498313903809,3.6861939430236816,4.99,5.62893533706665,174.97,3.99,31.25,26.46,31.32,22.01,39.01,30.42,14.8134126663208,16.03,3.76,9.6,11.169837951660156,10.684036254882812,12.53
2005-03-02,39.8,11.28,8.63,2.672,4.914789199829102,4.388932228088379,22.21,13.83,15.323858261108398,2.78,1.9772069454193115,5825.87646484375,0.656,47.51,7.975739002227783,6.758,16.48,14.011504173278809,22.15,2.07,6.502864837646484,7.303163051605225,14.0,1.391629695892334,4.627172946929932,48.9,61.03,7.108933925628662,4.993888854980469,3.61775803565979,5.06,5.685361862182617,180.46,3.86,31.58,26.77,32.39,22.49,40.85,31.26,15.065690994262695,16.33,3.82,9.57,11.029698371887209,10.94016170501709,12.9
2005-03-03,40.17,11.48,8.74,2.706,5.0366387367248535,4.42740535736084,22.21,13.83,15.135259628295898,2.79,2.019928455352783,5825.87646484375,0.645,48.43,7.965003490447998,6.749,16.92,14.561805725097656,22.76,2.06,6.725692272186279,7.469270706176758,13.76,1.4373011589050293,4.79882287979126,49.3,62.59,7.278596878051758,5.166874885559082,3.61775803565979,5.11,5.762306213378906,182.66,3.86,31.36,26.93,33.66,23.46,42.53,32.51,14.958956718444824,16.37,3.93,9.96,10.873075485229492,11.281657218933104,13.31
2005-03-04,41.08,11.52,8.96,2.741,5.181036949157715,4.460177898406982,21.87,13.63,15.288498878479004,2.96,2.0305209159851074,5906.41845703125,0.633,48.88,8.07020378112793,6.826,16.57,14.612600326538086,23.07,2.26,6.961706638336182,7.736641883850098,14.12,1.4883443117141724,4.9099555015563965,49.85,63.31,7.411502838134766,5.2488203048706055,3.6268310546875,5.05,5.96749210357666,183.19,3.85,31.79,27.23,34.02,23.8,42.72,34.6,14.94601345062256,16.56,3.97,10.1,10.980238914489746,11.647550582885742,13.69
2005-03-07,41.51,11.79,9.32,2.775,5.320157051086426,4.668227195739746,21.52,13.72,15.429948806762695,2.98,2.0707719326019287,5981.59130859375,0.629,49.34,7.969299793243408,6.852,16.92,14.900452613830566,23.38,2.41,7.17266321182251,7.952813625335693,14.86,1.5017775297164917,4.889747142791748,50.65,63.85,7.482195377349853,5.269303798675537,3.776663064956665,5.0,5.950392723083496,186.32,3.89,32.95,26.28,34.66,23.64,42.05,36.19,15.201534271240234,16.45,3.92,10.17,11.293490409851074,11.570713996887209,13.76
2005-03-08,41.41,11.84,9.39,2.734,5.194949150085449,4.716677188873291,21.36,13.69,15.123473167419434,2.92,2.051352024078369,5816.9267578125,0.609,49.07,7.771783828735352,6.656,16.05,15.15443515777588,23.78,2.29,7.187168121337891,8.021079063415527,15.46,1.4775991439819336,4.877624034881592,50.42,63.35,7.383224964141846,5.207847595214844,3.732855081558228,4.94,5.9033708572387695,181.1,3.85,33.06,25.89,34.54,23.42,40.48,34.52,15.104496002197266,16.01,3.93,9.81,11.112133026123049,11.367033004760742,13.47
2005-03-09,41.09,11.56,9.25,2.692,5.214616775512695,4.60267972946167,21.08,13.63,15.01738452911377,2.89,2.0548830032348637,5790.080078125,0.611,48.06,7.52274227142334,6.494,15.85,14.307825088500977,23.17,2.24,7.199036121368408,8.095030784606934,15.16,1.4641658067703247,4.7987213134765625,49.93,63.59,7.2163896560668945,5.116800785064697,3.548544883728028,4.9,5.717848777770996,182.13,3.75,32.87,25.57,34.35,23.01,39.53,32.51,15.330904960632324,15.42,3.72,9.67,10.74117946624756,11.280438423156738,13.42
2005-03-10,41.8,11.37,8.9,2.659,5.176239013671875,4.702425956726074,25.65,15.26,14.852357864379885,2.87,2.118435859680176,5530.55517578125,0.597,48.51,7.514156818389893,6.554,15.83,14.942781448364258,23.48,2.24,6.974889755249023,7.973294258117676,15.56,1.4641658067703247,4.773565769195557,48.81,63.91,7.041067600250244,4.980232238769531,3.594428062438965,4.92,5.623805999755859,181.62,3.76,32.14,24.95,35.26,23.16,38.13,33.93,14.878087997436523,15.51,3.99,9.67,10.48233413696289,11.025534629821776,13.2
2005-03-11,41.52,11.48,8.82,2.624,5.205023288726807,4.659676551818848,25.48,14.53,14.262978553771973,2.84,1.9948608875274656,5503.70751953125,0.585,46.69,7.342403888702393,6.349,15.6,14.138495445251465,22.76,2.19,6.968297004699707,7.951676368713379,14.7,1.4641658067703247,4.748306751251221,48.45,60.86,6.945488929748535,4.898291110992432,3.490996599197388,5.02,5.565670490264893,181.62,3.74,31.83,24.16,34.73,22.77,39.01,32.09,14.392940521240234,15.15,4.0,9.57,10.221842765808104,11.013339042663574,13.11
