,ACES4,ALLL11,AMBV4,ARCZ6,ARCE3,BBDC4,BRAP4,BBAS3,BRTP3,BRTP4,BRKM5,CCRO3,CMIG4,CPLE6,CYRE3,ELET3,ELET6,EMBR3,EBTP4,GGBR4,GOAU4,GOLL4,PTIP4,ITSA4,ITUB4,KLBN4,LIGT3,LAME4,NATU3,NETC4,PCAR4,PETR3,PETR4,SBSP3,SDIA4,CSNA3,CRUZ3,TAMM4,VCPA4,TNLP3,TNLP4,TMAR5,TCSL4,UBBR11,USIM5,VALE3,VALE5,VIVO4
2006-03-01,30.14,12.28,14.92,9.8,31.47,5.489,6.828413963317871,8.00409984588623,25.72,15.14,8.986119270324707,2.9446263313293457,9933.5224609375,1.004,6.294397830963135,9.918686866760254,8.52,17.778945922851562,2.73,10.582856178283691,11.277925491333008,63.67162322998047,16.62,2.5304300785064697,7.162875175476074,,9.889214515686035,1.805,6.98,18.21,75.83,11.06210994720459,8.581277847290039,4.0146331787109375,6.46,5.488725185394287,4.28,45.04,29.02,35.22,22.98,38.07,7.1,16.66,12.117830276489258,12.45251178741455,14.28,
2006-03-02,30.28,12.45,14.89,9.68,31.8,5.44,6.764132022857666,7.91290283203125,25.62,15.06,8.77017879486084,2.9234418869018555,9844.923828125,1.018,6.310380458831787,9.661056518554688,8.307,17.56729507446289,2.72,10.969138145446776,11.680188179016112,60.22792434692383,16.42,2.570807456970215,7.0608344078063965,,10.644851684570312,1.814,7.09,18.53,73.45,11.073424339294434,8.594586372375488,4.020854473114014,6.21,5.505823612213135,4.29,44.86,28.4,34.56,22.77,38.3,6.99,16.43,12.348647117614746,12.287863731384276,14.18,
2006-03-03,30.31,13.36,15.02,9.64,32.33,5.413,6.839928150177002,7.981299877166748,25.05,15.06,8.85851764678955,2.9375641345977783,9727.693359375,1.025,6.393496990203857,9.596652030944824,8.29,17.778945922851562,2.67,11.042613983154297,11.718757629394531,60.77117538452149,16.67,2.5573484897613525,7.097201347351074,,11.258490562438965,1.805,7.21,18.36,74.17,11.172961235046388,8.651631355285645,3.991044044494629,6.08,5.659713268280029,4.29,44.69,29.02,34.07,22.77,37.99,6.89,16.6,12.365135192871094,12.304935455322266,14.16,
2006-03-06,29.89,13.05,15.09,9.61,32.53,5.228,6.764132022857666,7.8373799324035645,24.66,14.76,8.833977699279785,2.845766305923462,9351.826171875,1.004,6.391899585723877,9.253145217895508,8.052,17.355640411376953,2.55,10.748703956604004,11.388136863708496,58.496864318847656,16.41,2.519660711288452,6.839582443237305,,11.157063484191896,1.797,7.21,17.89,74.02,10.858516693115234,8.413949012756348,3.9633052349090576,5.74,5.548570156097412,4.28,43.51,28.58,34.06,22.5,37.52,6.92,15.95,11.788091659545898,12.159797668457031,13.92,
2006-03-07,30.14,12.63,14.91,9.61,32.2,5.071,6.596226215362549,7.709127426147461,24.82,14.48,8.833977699279785,2.6974754333496094,8949.119140625,0.974,6.161732196807861,9.01698875427246,7.899,18.20224952697754,2.56,10.536669731140137,11.204458236694336,56.90391540527344,16.31,2.4550540447235107,6.718353271484375,,10.852778434753418,1.715,6.88,17.57,70.25,10.473944664001465,8.05267333984375,3.854949712753296,5.51,5.327140808105469,4.21,40.22,28.4,33.95,22.59,37.05,6.71,15.41,11.408894538879396,11.731706619262695,13.22,
2006-03-08,30.05,12.75,14.91,9.58,32.38,4.935,6.4283223152160645,7.823131561279297,24.39,14.28,8.833977699279785,2.7045371532440186,8967.017578125,0.972,6.249642372131348,9.00625228881836,7.771,18.24458885192871,2.53,10.454795837402344,11.15853786468506,56.81184005737305,15.93,2.4362123012542725,6.566812515258789,,10.32028102874756,1.666,6.88,17.74,73.05,10.451321601867676,8.001333236694336,3.825138568878174,5.55,5.38613224029541,4.12,39.03,28.45,33.55,22.1,37.11,6.64,15.53,11.837554931640623,11.48900032043457,13.16,
2006-03-09,29.79,12.36,14.78,9.29,32.05,4.791,6.198055744171143,7.694876670837402,23.52,14.0,8.676929473876953,2.6409833431243896,8753.130859375,0.967,6.393496990203857,8.866703987121582,7.686,18.159927368164062,2.47,10.286845207214355,10.83709716796875,54.04951095581055,15.34,2.3419930934906006,6.364749431610107,,9.534215927124023,1.613,6.66,17.26,70.3,10.202479362487791,7.776960849761963,3.894092559814453,5.58,5.233953952789307,4.11,38.12,27.35,32.01,21.24,35.42,6.64,14.8,11.352840423583984,11.145058631896973,12.73,
2006-03-10,30.1,12.3,14.89,9.39,32.7,4.887,6.235471725463867,8.006946563720703,24.05,14.02,8.735821723937988,2.680527210235596,8519.5595703125,0.947,6.551735877990723,9.31325912475586,8.052,18.41391372680664,2.47,10.261655807495115,10.85546875,50.45849609375,15.97,2.425444364547729,6.526399612426758,,10.041354179382324,1.654,6.71,17.57,71.08,10.17985725402832,7.835903644561768,3.8964264392852783,5.91,5.428878784179688,4.2,36.94,27.75,31.82,21.34,35.14,6.64,14.92,11.84415054321289,11.22433853149414,12.97,
2006-03-13,30.05,12.36,14.63,9.35,32.82,4.935,6.332377433776856,8.17937183380127,23.61,14.1,8.63766860961914,2.690413236618042,8403.2216796875,0.941,6.537350177764893,9.188740730285645,7.899,17.821277618408203,2.41,10.307836532592772,10.89220142364502,52.576263427734375,15.93,2.449671506881714,6.789072513580322,,10.639780044555664,1.732,6.72,17.1,73.71,10.313325881958008,7.9252729415893555,3.8710222244262695,5.84,5.277554512023926,4.06,37.03,26.92,31.45,21.03,34.92,6.67,14.91,11.854043006896973,11.318251609802246,13.2,
2006-03-14,30.22,12.35,14.66,9.52,32.53,5.01,6.418729305267334,8.24919605255127,24.58,13.98,8.63766860961914,2.8316421508789062,8367.4248046875,0.945,6.377513408660889,9.768403053283691,8.418,17.90594482421875,2.45,10.538771629333496,10.974858283996582,53.5891227722168,16.47,2.538506269454956,6.927478790283203,,10.396350860595703,1.797,6.77,17.42,74.16,10.654916763305664,8.275145530700684,3.903165578842163,5.84,5.381856918334961,4.15,36.19,27.3,31.25,21.18,35.34,6.81,15.17,12.366780281066896,11.41338348388672,13.38,
