,VIVO4,AMBV4,ARCZ6,B3SA3,BBDC4,BRAP4,BBAS3,BRKM5,CCRO3,CMIG4,CESP6,CPLE6,CSAN3,CPFE3,CYRE3,ELET3,ELET6,EMBR3,GFSA3,GGBR4,GOAU4,GOLL4,ITSA4,ITUB4,JBSS3,LAME4,LREN3,MMXM3,NATU3,NETC4,OGXP3,PCAR5,PETR3,PETR4,RDCD3,RSID3,SDIA4,CSNA3,CRUZ3,TAMM4,TNLP4,TCSL4,USIM3,USIM5,VALE3,VALE5,ALLL11
2009-03-02,31.05,15.24,1.58,3.556410074234009,3.882,7.997983932495117,5.600162506103516,2.623111724853516,3.1513638496398926,2.636929512023926,6.209,0.956,1.4623037576675415,6.845067977905273,4.187741279602051,11.014495849609377,9.771,5.289802074432373,198.36058044433597,11.616390228271484,9.69371509552002,8.832859992980957,1.6291742324829102,5.303959369659424,3.4741342067718506,1.116,1.6769788265228271,358.5876159667969,7.56,14.95,561.9999389648438,,13.902860641479492,10.246101379394531,24.149999618530277,69.54306030273438,2.72,7.661629676818848,6.55,14.04,23.08,3.02,9.294248580932615,9.614245414733888,14.38813018798828,16.99,7.66
2009-03-03,31.25,15.31,1.54,3.672910451889038,3.855,8.059391021728516,5.6771087646484375,2.529055595397949,3.2726831436157227,2.6160359382629395,6.345,0.939,1.447071552276611,6.665233612060547,4.5777435302734375,10.805031776428224,9.635,5.411005973815918,201.34597778320312,11.644113540649414,9.944360733032228,8.842460632324219,1.6167373657226562,5.278703689575195,3.512735605239868,1.132,1.7055068016052246,361.10400390625,7.5,14.86,555.9999389648438,,13.821290016174316,10.156001091003418,24.0,73.13236999511719,2.75,8.032991409301758,6.47,14.25,22.84,3.09,9.518451690673828,9.653488159179688,14.664827346801758,17.38,7.98
2009-03-04,30.99,15.58,1.56,3.850731134414673,4.039,8.934408187866211,5.920782089233398,2.461126804351806,3.2010607719421387,2.67036509513855,6.522,0.977,1.4775363206863403,6.873522758483887,4.5393829345703125,10.93594741821289,9.763,5.419665813446045,194.04840087890625,11.644113540649414,10.658703804016112,9.408916473388672,1.7286661863327026,5.596940517425537,3.56677770614624,1.141,1.7737268209457395,369.9114379882813,7.5,14.9,584.9999389648438,,14.732138633728027,10.79894733428955,24.76000022888184,76.04869842529297,2.75,8.767810821533203,6.62,14.19,23.32,3.02,10.39488410949707,10.438324928283691,16.15205955505371,19.03,8.07
2009-03-05,29.98,16.06,1.43,3.758753776550293,3.971,8.934408187866211,5.689938068389893,2.4297749996185303,3.1425936222076416,2.67036509513855,6.412,0.956,1.48667573928833,6.665233612060547,4.692826271057129,10.713388442993164,9.61,5.021413803100586,206.98497009277344,11.644113540649414,9.900498390197754,8.583234786987305,1.7162296772003174,5.556528568267822,3.4123713970184326,1.116,1.7365165948867798,359.8458251953125,7.28,14.52,573.9999389648438,,14.546340942382812,10.64742374420166,23.709999084472656,77.39469909667969,2.64,8.217355728149414,6.62,13.29,22.91,2.92,9.689664840698242,10.438324928283691,15.425737380981444,18.31,7.74
2009-03-06,29.62,16.34,1.37,3.771019220352173,4.039,8.251279830932617,5.801084995269775,2.3043673038482666,3.215677261352539,2.664512157440185,6.387,0.956,1.530849814414978,6.711521148681641,4.5457763671875,10.68720531463623,9.558,5.211883544921875,195.7069549560547,11.644113540649414,9.49319839477539,8.583234786987305,1.736128330230713,5.632302761077881,3.342888355255127,1.095,1.7179111242294312,348.5220031738281,7.28,14.95,565.9999389648438,,14.27897834777832,10.512283325195312,22.5,73.58103942871094,2.64,8.169947624206543,6.62,13.61,23.42,2.92,9.428536415100098,9.71723175048828,15.020578384399414,17.87,7.91
2009-03-09,29.77,16.06,1.27,3.7955455780029297,3.944,8.155335426330566,5.74978494644165,2.4193239212036133,3.220062255859375,2.701291561126709,6.522,0.963,1.456210970878601,6.595804214477539,4.5393829345703125,10.757028579711914,9.652,5.04738712310791,203.9996032714844,11.644113540649414,9.336546897888184,8.247203826904297,1.696331262588501,5.5666351318359375,3.1653223037719727,1.12,1.7303152084350586,330.9071655273437,7.16,14.88,569.9999389648438,,14.315232276916504,10.52456760406494,22.600000381469727,74.70269775390625,2.56,8.085664749145508,6.8,13.59,23.32,2.92,9.141816139221191,9.305350303649902,14.674710273742676,17.36,8.07
2009-03-10,30.58,16.67,1.28,4.102131843566895,4.169,8.769386291503906,5.997731685638428,2.4820282459259038,3.2887604236602783,2.75060510635376,6.717,0.984,1.5993947982788086,6.827237129211426,4.846270561218262,11.30251407623291,10.078,5.350403308868408,207.6483917236328,11.644113540649414,9.775174140930176,8.11279010772705,1.801608085632324,5.859615325927734,3.4972946643829346,1.202,1.85435152053833,351.03839111328125,7.51,15.25,642.9999389648438,,15.099190711975098,11.08560848236084,23.299999237060547,76.72168731689453,2.69,8.71777057647705,7.13,13.58,24.55,3.0,9.760963439941406,9.885181427001951,15.761722564697266,18.43,9.2
2009-03-11,30.58,16.77,1.28,4.1205267906188965,4.121,8.826950073242188,6.0404791831970215,2.555182933807373,3.27414345741272,2.6528162956237797,6.725,0.967,1.614627718925476,6.86195182800293,4.70561408996582,10.735207557678224,9.695,5.480267524719238,199.3557281494141,11.644113540649414,9.869168281555176,8.11279010772705,1.8142417669296265,5.872241020202637,3.5281758308410645,1.235,1.8630346059799197,391.3008728027344,7.49,15.68,624.9999389648438,,15.194355964660645,11.142938613891602,23.0,76.04869842529297,2.65,8.665096282958984,6.99,13.81,24.84,3.02,9.70279026031494,9.837194442749023,15.91983413696289,18.51,8.74
2009-03-12,30.85,16.99,1.39,4.163448810577393,4.244,8.75019359588623,6.113154411315918,2.5186054706573486,3.25952696800232,2.6494719982147217,6.658,0.954,1.6222431659698486,6.838809013366699,4.628891468048096,10.665386199951172,9.661,5.982409954071045,196.7020721435547,11.644113540649414,9.86289882659912,8.151193618774414,1.895099759101868,6.023782253265381,3.605379343032837,1.264,1.8481491804122925,376.2024536132813,7.7,16.7,609.9999389648438,,15.543288230895996,11.282175064086914,23.5,77.17035675048828,2.64,8.770445823669434,7.1,13.81,25.74,2.97,9.63630485534668,9.805204391479492,15.643139839172363,18.25,8.99
2009-03-13,31.05,17.23,1.39,4.138920307159424,4.224,8.531439781188965,6.237126350402832,2.539506435394287,3.244910955429077,2.67036509513855,6.658,0.963,1.645091891288757,6.866580963134766,4.6352858543396,10.783209800720217,9.669,5.809257507324219,192.0581817626953,11.644113540649414,9.587190628051758,8.11279010772705,1.8849917650222776,6.061671257019043,3.628539800643921,1.354,1.915128827095032,376.2024536132813,7.59,16.54,650.9999389648438,,15.588607788085938,11.343603134155272,23.899999618530277,74.92704010009766,2.79,8.517603874206543,7.14,13.96,24.87,2.93,9.549039840698242,9.797207832336426,15.228095054626465,17.92,8.98
