,VIVO4,AMBV4,B3SA3,BBDC4,BRAP4,BBAS3,BRKM5,BRFS3,CCRO3,CMIG4,CESP6,CIEL3,CPLE6,CSAN3,CPFE3,CYRE3,DXCO3,ELET3,ELET6,EMBR3,FIBR3,GFSA3,GGBR4,GOAU4,GOLL4,HYPE3,ITSA4,ITUB4,JBSS3,PRML3,LAME4,LREN3,MRFG3,MMXM3,MRVE3,NATU3,NETC4,OGXP3,PCAR5,PDGR3,PETR3,PETR4,RDCD3,RSID3,SANB11,CSNA3,CRUZ3,TAMM4,TNLP4,TCSL4,USIM3,USIM5,VALE3,VALE5,ALLL11
2010-03-01,43.64,30.61,7.321167945861816,6.848,15.33297634124756,13.467406272888184,6.651834964752197,20.067058563232425,5.908755779266357,3.134232759475708,11.488,4.4886651039123535,1.771,3.581590175628662,9.137788772583008,14.532418251037598,7.462660312652588,12.18221950531006,13.261,8.629249572753906,27.275569915771484,624.9086303710938,17.74666976928711,21.365758895874023,24.19435691833496,16.661008834838867,3.2560572624206543,10.15733528137207,7.112432479858398,46.60100936889648,2.692,5.081360816955566,16.185911178588867,1972.2012939453125,6.445123195648193,12.4,22.6,1632.0,61.06,3590.35205078125,18.1818962097168,14.780946731567385,27.290000915527344,327.2007141113281,10.110965728759766,16.66950225830078,9.58,30.86,27.32,4.94,22.150522232055664,21.15982818603516,25.835350036621094,30.96,16.45
2010-03-02,45.17,31.05,7.370634078979492,6.924,15.33297634124756,13.301307678222656,6.724989891052246,19.981555938720703,5.9025959968566895,3.1028871536254883,11.564,4.519411087036133,1.793,3.602927446365357,9.22892951965332,14.487661361694336,7.31833028793335,12.337632179260254,13.576,8.760791778564453,28.747716903686523,634.3463134765625,17.74666976928711,21.13738250732422,23.714311599731445,16.496896743774414,3.287228584289551,10.321258544921877,7.104701042175293,45.7208251953125,2.713,5.276070594787598,16.319252014160156,2000.6754150390625,6.435388565063477,12.58,23.12,1605.0,62.46,3622.40869140625,18.28898048400879,14.86135196685791,27.149999618530277,329.4888000488281,10.039592742919922,16.7249755859375,9.63,31.24,27.04,4.98,22.0998649597168,21.15982818603516,26.35236549377441,31.54,16.45
2010-03-03,45.17,31.14,7.352085113525391,6.917,15.33297634124756,13.20703411102295,6.71976375579834,20.166072845458984,5.743980407714844,3.181246280670166,11.454,4.457921981811523,1.788,3.5617775917053223,9.065839767456056,14.673076629638672,7.365025043487549,12.006757736206056,13.091,8.787100791931152,29.074857711791992,627.6051025390625,17.74666976928711,21.188135147094727,23.234262466430664,16.700082778930664,3.359621524810791,10.321258544921877,7.267050266265869,43.96044921875,2.655,5.087640762329102,16.511850357055664,1942.2286376953125,6.415916442871094,12.83,23.62,1611.0,63.6,3526.23828125,18.349515914916992,14.874043464660645,27.11000061035156,323.53973388671875,10.139513969421388,16.794315338134766,9.48,30.89,27.47,5.02,21.597496032714844,20.956371307373047,26.29660415649414,31.44,16.06
2010-03-04,44.55,30.74,7.395370483398437,6.924,15.33297634124756,13.19805908203125,6.740665912628174,20.157072067260746,5.948795318603516,3.1760199069976807,11.141,4.516337871551514,1.793,3.459664821624756,8.981894493103027,14.449301719665527,7.407475471496582,12.132088661193848,13.474,8.769562721252441,28.976716995239254,615.4710083007812,17.74666976928711,21.365758895874023,23.16705703735352,16.465633392333984,3.31067967414856,10.307368278503418,7.413938999176025,43.7159538269043,2.676,5.137888908386231,16.519258499145508,1987.1876220703125,6.3769731521606445,12.91,23.5,1579.0,61.5,3430.068359375,18.24707794189453,14.895200729370115,27.5,320.3363647460937,10.315561294555664,16.80817985534668,9.49,30.21,27.01,5.09,22.070314407348636,21.3632926940918,26.66154670715332,31.92,15.95
2010-03-05,44.42,30.19,7.444836139678955,6.944,15.33297634124756,13.37762451171875,6.71976375579834,20.157072067260746,5.998072147369385,3.2125909328460693,11.378,4.580898284912109,1.805,3.409369707107544,9.125797271728516,14.410943031311035,7.280125617980957,12.32760524749756,13.695,8.760791778564453,29.704608917236328,623.5604248046875,17.74666976928711,21.56875991821289,22.75421714782715,16.840742111206055,3.359621524810791,10.36293601989746,7.336628913879394,44.64503860473633,2.663,5.175575256347656,15.845154762268066,2098.08642578125,6.308821678161621,12.9,23.95,1671.0,60.38,3430.068359375,18.61956024169922,15.153326988220217,27.979999542236328,320.3363647460937,10.420238494873049,17.274152755737305,9.43,29.1,27.08,5.16,22.796422958374023,22.07132911682129,27.523239135742188,32.85,16.21
2010-03-08,44.44,30.1,7.2778825759887695,6.869,15.33297634124756,13.189079284667969,6.610032558441162,19.89154815673828,5.7824811935424805,3.1728837490081787,11.327,4.574750900268555,1.777,3.4261345863342285,9.01786994934082,14.040119171142578,7.173999786376953,12.332618713378906,13.636,8.760791778564453,29.06668281555176,622.212158203125,17.74666976928711,21.721006393432617,22.446985244750977,17.426847457885742,3.3538622856140137,10.35737419128418,7.475784301757812,44.25384521484375,2.659,5.30119514465332,15.71181583404541,2051.62890625,6.133577346801758,12.66,23.81,1688.0,59.48,3400.148681640625,18.610252380371094,15.10677719116211,27.420000076293945,314.158447265625,10.54870891571045,17.723478317260742,9.43,28.6,27.08,5.09,23.087709426879883,22.250377655029297,27.32048797607422,32.75,16.89
2010-03-09,44.45,29.91,7.327352046966553,6.93,15.33297634124756,13.422514915466309,6.610032558441162,20.062562942504883,5.965732574462891,3.1864724159240723,11.53,4.574750900268555,1.803,3.427658796310425,9.096232414245604,14.001757621765137,7.237675666809082,12.758745193481444,14.138,8.927416801452637,29.03396415710449,626.9310302734375,17.74666976928711,22.27926445007324,22.94623565673828,17.106447219848633,3.4402272701263428,10.485175132751465,7.429399013519287,44.987335205078125,2.663,5.294913768768311,15.37105941772461,2090.59326171875,6.279615879058838,12.57,23.9,1687.0,60.07,3483.496337890625,18.954803466796875,15.445303916931152,27.420000076293945,321.4804382324219,10.377413749694824,18.419658660888672,9.49,28.78,27.76,5.19,24.02067375183105,23.031658172607425,27.523239135742188,33.07,17.17
2010-03-10,45.29,30.0,7.413918972015381,6.958,15.33297634124756,13.557188034057615,6.71976375579834,19.981555938720703,6.12434720993042,3.1906533241271973,11.691,4.596272468566895,1.797,3.4749059677124023,8.971796989440918,14.372581481933594,7.365025043487549,12.884078025817873,14.317,9.032649993896484,29.03396415710449,640.4133911132812,17.74666976928711,22.304636001586918,23.234262466430664,17.1142635345459,3.4402272701263428,10.529633522033691,7.182010650634766,45.867523193359375,2.7,5.276070594787598,15.65996265411377,2135.55224609375,6.644708633422852,12.67,23.71,1701.0,60.6,3611.723388671875,19.229507446289062,15.65688419342041,27.989999771118164,330.1752624511719,10.539194107055664,18.73862648010254,9.75,28.87,29.01,5.23,24.04600715637207,23.19443130493164,27.168420791625977,32.63,16.89
2010-03-11,46.26,29.73,7.364449501037598,6.992,15.33297634124756,13.53923797607422,6.949678897857666,19.878047943115234,6.127427101135254,3.165578842163086,11.725,4.633162975311279,1.806,3.436803102493286,8.956867218017578,14.51962947845459,7.237675666809082,12.808879852294922,14.112,9.102807998657228,29.598285675048828,626.9310302734375,17.74666976928711,21.949382781982425,23.407079696655277,17.34870147705078,3.4344699382781982,10.557409286499023,7.058316707611084,45.67192459106445,2.733,5.288632869720459,15.778485298156738,2162.52783203125,6.664181709289551,12.71,23.62,1780.0,60.56,3590.35205078125,19.229507446289062,15.678040504455566,28.0,331.7769775390625,10.391691207885742,18.913368225097656,9.98,28.64,28.83,5.23,24.18531608581543,23.031658172607425,26.813615798950195,32.36,16.48
2010-03-12,45.58,29.71,7.284067153930664,6.917,15.33297634124756,13.422514915466309,6.897425174713135,19.801538467407227,6.198264598846436,3.165578842163086,11.564,4.580898284912109,1.793,3.481001377105713,8.922024726867676,14.462092399597168,7.173999786376953,12.603333473205566,13.831,8.918644905090332,30.42432975769043,604.6851196289062,17.74666976928711,21.75272560119629,23.09024810791016,17.075193405151367,3.362499475479126,10.387938499450684,6.780004024505615,45.23183059692383,2.786,5.11276388168335,15.334023475646973,2102.58251953125,6.52301025390625,12.57,23.24,1730.0,60.38,3547.609619140625,19.31797409057617,15.682273864746094,27.709999084472656,325.5990295410156,10.277496337890623,18.902271270751957,9.8,28.5,29.04,5.13,23.85181427001953,22.62474250793457,26.66154670715332,32.22,16.68
