,ALLL3,AMBV4,AEDU3,BRML3,BBSE3,B3SA3,BRPR3,BBDC3,BBDC4,BRAP4,BBAS3,BRKM5,BRFS3,BISA3,CCRO3,CMIG4,CESP6,CTIP3,HGTX3,CIEL3,CPLE6,CSAN3,CPFE3,CYRE3,DASA3,DXCO3,ECOR3,ELET3,ELET6,ELPL4,EMBR3,ENBR3,YDUQ3,EVEN3,FIBR3,GFSA3,GGBR4,GOAU4,GOLL4,PRIO3,HYPE3,ITSA4,ITUB4,JBSS3,KLBN4,COGN3,LIGT3,PRML3,RENT3,LAME4,LREN3,MRFG3,MMXM3,MRVE3,NATU3,OIBR4,PCAR4,PDGR3,PETR3,PETR4,QUAL3,RSID3,SBSP3,SANB11,CSNA3,CRUZ3,VIVT4,TIMS3,UGPA3,USIM5,VALE3,VALE5
2013-02-28,9.72,87.13,13.57,14.515091896057127,,3.0116302967071533,6.114553451538086,8.55064868927002,9.077,12.336066246032717,14.221062660217283,8.258606910705566,40.19017028808594,3.13,13.78989601135254,4.199642181396484,9.407,20.59,27.387,9.558229446411133,1.5,7.613927841186523,11.725224494934082,11.833144187927246,12.60537338256836,8.87814712524414,11.66169548034668,4.015544414520264,6.911,10.97,15.646257400512695,6.841236114501953,11.9899320602417,7.908792972564697,18.53679847717285,202.3225860595703,12.1477632522583,14.185847282409668,12.56999969482422,3.680000066757202,13.7465181350708,3.630919933319092,10.700263023376465,5.320631980895996,1.8498929738998413,5.452920436859131,14.781488418579102,19.559709548950195,8.024514198303223,4.798,10.357489585876465,7.368459701538086,500.9989929199219,6.854668617248535,21.47,63.63608551025391,94.71,1456.6966552734375,7.320003032684326,7.697080135345459,13.828314781188965,87.75,24.462207794189453,7.531783580780029,6.172861576080322,27.84,32.491,6.633877754211426,22.15699577331543,8.281782150268555,21.727649688720703,29.36
2013-03-01,9.84,87.73,13.38,14.843951225280762,,2.955485820770264,6.139408588409424,8.662324905395508,9.194,12.060043334960938,14.334431648254396,7.964062213897705,40.10594940185547,3.04,13.852422714233398,4.176348209381104,9.305,20.65,27.912,9.619345664978027,1.519,7.582923412322998,11.56253147125244,11.839943885803224,12.245219230651855,8.663569450378418,11.682073593139648,3.957765579223633,6.783,10.47,15.786622047424316,6.932377815246582,11.987460136413574,7.703164100646973,18.396303176879883,193.8037567138672,11.763760566711426,13.7253999710083,12.619999885559082,3.640000104904175,13.754374504089355,3.646760940551758,10.750657081604004,5.11897611618042,1.8568425178527832,5.390811920166016,14.536407470703123,19.168516159057617,8.035200119018555,4.74,10.44545078277588,7.031828880310059,472.4990539550781,6.708937644958496,21.93,62.770286560058594,95.0,1384.0887451171875,7.415987968444824,7.831465721130371,13.890804290771484,85.75,24.47240829467773,7.584157943725586,6.000022888183594,27.73,32.585,6.672224998474121,21.96263885498047,8.188821792602539,21.124101638793945,28.33
2013-03-04,9.8,87.33,13.67,14.74189281463623,,2.9599766731262207,6.114553451538086,8.74948501586914,9.296,11.592930793762209,14.460567474365234,7.986717224121094,40.52703094482422,3.12,13.82463264465332,4.169175148010254,9.322,20.62,27.65,9.59361171722412,1.518,7.620455265045166,11.585775375366213,11.907951354980469,12.01435089111328,8.679662704467773,11.716031074523926,3.8884334564208975,6.766,10.28,15.599469184875488,7.091873645782471,12.051735877990724,7.679438591003418,18.503740310668945,197.35325622558597,11.623449325561523,13.657686233520508,13.289999961853027,3.7899999618530273,13.78581428527832,3.63267993927002,10.704842567443848,5.2818522453308105,1.837384581565857,5.564506530761719,14.459821701049805,21.222286224365234,8.101465225219727,4.716,10.308012962341309,7.069231986999512,463.49908447265625,6.627978324890137,22.04,61.90449142456055,96.28,1406.7786865234375,7.188658237457275,7.646106243133545,13.909551620483398,84.75,24.10025978088379,7.552731037139893,6.049404621124268,27.89,32.726,6.595531940460205,21.85898208618164,8.32403564453125,20.486072540283203,27.34
2013-03-05,9.62,87.15,13.56,14.74189281463623,,3.000401258468628,6.11206579208374,8.70090389251709,9.31,11.461288452148438,14.384225845336914,7.907416820526123,41.28498077392578,2.96,13.734318733215332,4.179934978485107,9.238,20.62,27.503,9.537318229675291,1.502,7.830958366394043,11.533480644226074,11.642725944519045,11.358687400817873,8.658203125,11.64132022857666,3.7902112007141113,6.63,10.08,15.496529579162598,7.063391208648682,12.03937530517578,7.750617980957031,18.30539894104004,191.6740264892578,11.238958358764648,13.284893989562988,13.449999809265137,3.5999999046325684,13.597180366516112,3.6045210361480713,10.695680618286133,5.11897611618042,1.8874197006225584,5.558189392089844,14.551727294921877,19.950904846191406,8.015963554382324,4.658,10.204930305480955,6.732602119445801,448.4991149902344,6.212381362915039,21.56,60.17289733886719,97.4,1356.8607177734375,7.198761940002441,7.67390775680542,14.165748596191406,81.5,23.817325592041016,7.568445682525635,6.141998291015625,27.52,32.416,6.5648579597473145,21.89353370666504,8.14656925201416,20.376859664916992,27.18
2013-03-06,9.79,89.45,13.63,15.042401313781738,,3.146379947662353,6.139408588409424,8.734910011291504,9.296,12.004839897155762,14.53689670562744,8.032032012939453,41.03233337402344,3.0,13.64400577545166,4.346629619598389,9.322,21.19,28.428,9.5534029006958,1.547,7.811374187469482,11.911150932312012,11.737934112548828,11.201695442199709,8.690391540527344,11.478313446044922,4.009765625,6.664,10.24,15.57138729095459,7.279850959777832,11.829241752624512,7.821796417236328,18.759933471679688,196.64337158203125,11.690000534057615,13.745798110961914,13.550000190734863,3.5899999141693115,13.83297348022461,3.720628023147583,10.995951652526855,5.196535587310791,1.9318938255310056,5.5687174797058105,15.087841987609863,21.61347961425781,7.930459022521973,4.752,10.44545078277588,6.784965991973877,466.4990539550781,6.352712154388428,21.98,61.038692474365234,99.06,1420.3927001953125,8.289941787719727,8.364374160766602,14.434441566467283,86.75,24.16398429870605,7.961273193359375,6.48150634765625,28.01,33.045,6.7872633934021,21.789873123168945,8.73812484741211,21.49772834777832,28.8
2013-03-07,10.14,87.79,13.18,14.600140571594238,,3.09921669960022,6.176692008972168,8.841787338256836,9.384,12.144973754882812,14.602336883544922,8.269936561584473,41.78092575073242,3.05,13.560644149780272,4.581430912017822,9.5,21.14,28.545,9.424736976623535,1.599,7.582923412322998,12.486374855041504,11.79914093017578,11.543381690979004,8.379254341125488,11.34926700592041,4.298654079437256,6.886,11.22,15.562033653259276,7.581753253936768,11.594388008117676,7.671529769897461,18.69382095336914,199.48297119140625,11.682602882385254,13.630572319030762,14.170000076293944,3.7799999713897705,14.225953102111816,3.7491378784179688,11.066967010498049,5.436972618103027,1.9291150569915767,5.381338119506836,15.96860408782959,23.86284637451172,7.817165851593018,4.761,10.21180248260498,6.732602119445801,545.9989013671875,6.174596786499023,21.28,61.21184539794922,96.08,1429.4686279296875,8.699135780334473,8.781437873840332,14.184496879577637,85.75,24.13849449157715,7.982222557067871,6.555578708648682,27.82,33.261,6.6952314376831055,21.33636474609375,8.93249225616455,21.48623275756836,28.57
2013-03-08,10.22,87.71,13.28,14.662511825561523,,3.146379947662353,6.027556896209717,8.866081237792969,9.535,11.90292263031006,14.869514465332031,8.264270782470703,42.108436584472656,3.03,13.699584007263184,4.541997909545898,9.881,22.0,28.409,9.506762504577637,1.572,7.5731329917907715,12.149374961853027,11.75153636932373,11.45103645324707,8.556280136108398,11.573404312133787,4.217765808105469,6.92,11.01,15.852128982543944,7.188709259033203,11.601804733276367,7.798070430755615,18.429363250732425,191.6740264892578,11.7935152053833,13.772913932800291,13.399999618530272,3.839999914169312,14.194513320922852,3.8596174716949454,11.394281387329102,5.460239887237549,1.8762998580932615,5.4129180908203125,16.006898880004883,23.765047073364254,7.883432388305664,4.851,10.34924030303955,6.777486801147461,539.9989013671875,5.931717395782471,21.25,61.73133087158203,96.87,1393.1646728515625,8.436443328857422,8.512663841247559,13.872058868408203,84.5,24.12574958801269,8.317435264587402,6.567925453186035,27.9,33.449,6.7489166259765625,21.34500312805176,8.721220970153809,20.8884334564209,27.9
2013-03-11,9.91,87.53,13.32,14.458392143249512,,3.1665923595428467,5.903277397155762,8.822349548339844,9.535,11.949633598327637,14.667767524719238,8.088676452636719,40.2931022644043,3.04,13.699584007263184,4.543792247772217,10.27,22.21,28.545,9.542143821716309,1.577,7.635140419006348,12.201666831970217,11.79914093017578,11.580318450927734,8.819137573242188,11.600567817687988,4.2119879722595215,6.937,11.06,16.189006805419922,7.376686573028564,11.544943809509276,7.908792972564697,18.34672164916992,202.3225860595703,11.830485343933104,13.827136039733888,13.34000015258789,3.700000047683716,14.155216217041016,3.83467173576355,11.33252239227295,5.615361213684082,1.8971484899520876,5.242382526397705,16.04519271850586,23.86284637451172,7.926186084747314,4.81,10.266777992248535,7.039309024810791,548.9989013671875,6.099035263061523,21.34,62.94343948364258,100.03,1397.70263671875,8.683979988098145,8.77216911315918,13.49713897705078,85.0,24.087514877319336,8.097451210021973,6.475331783294678,27.8,33.74,6.7489166259765625,21.142004013061523,8.805729866027832,21.07811546325684,28.3
2013-03-12,9.96,86.62,12.93,14.5321044921875,,3.105955123901367,6.064840793609619,8.853937149047852,9.453,11.81374740600586,14.642948150634766,8.281262397766113,40.7328987121582,3.07,13.623167037963867,4.464927673339844,10.338,21.92,28.185,9.464945793151855,1.575,7.669406890869141,12.346924781799316,11.69713020324707,11.404861450195312,8.636747360229492,11.55981731414795,4.246654987335205,7.039,11.22,16.048641204833984,7.291242122650146,11.495501518249512,7.829704761505127,18.38804054260254,193.8037567138672,11.571693420410156,13.515347480773926,13.84000015258789,3.670000076293945,13.98230266571045,3.777650594711304,11.162692070007324,5.499020099639893,1.9249451160430908,5.116060733795166,16.11412239074707,25.134227752685547,7.909085273742676,4.789,10.108723640441896,7.166481018066406,565.4988403320312,6.368903160095215,21.74,62.42396926879883,99.15,1429.4686279296875,8.557685852050781,8.684122085571289,13.434651374816896,85.25,23.998300552368164,7.893182277679443,6.462986946105957,27.54,33.477,6.480493068695068,21.768280029296875,9.025452613830566,20.85969352722168,27.83
2013-03-13,9.95,85.22,12.65,14.344992637634276,,3.04307222366333,6.089697360992432,9.004533767700195,9.473,11.312662124633787,14.494264602661133,8.020706176757812,40.37731552124024,3.07,13.616219520568848,4.42728853225708,10.346,21.75,28.049,9.31697940826416,1.562,7.73957633972168,12.387598037719728,11.527113914489746,11.377156257629396,8.631382942199707,11.491898536682127,4.188876628875732,6.979,11.29,16.34809112548828,7.370992183685303,11.433696746826172,7.845523357391357,18.23928451538086,194.51364135742188,11.44599151611328,13.38656520843506,14.300000190734863,3.5799999237060547,13.7465181350708,3.7740869522094727,11.147250175476074,5.483509063720703,1.8901985883712769,5.2108025550842285,15.623956680297852,23.66724967956543,7.919773578643799,4.941,10.101850509643556,7.069231986999512,505.4989929199219,6.099035263061523,21.27,61.64474868774414,101.99,1379.5506591796875,8.53747844696045,8.688758850097656,13.165955543518066,83.75,23.656742095947266,7.903656959533691,6.265454292297363,26.99,33.196,6.365455627441406,21.768280029296875,8.974745750427246,20.0377254486084,26.8
