,Adj Close
1998-10-16,0.348
1998-10-19,0.355
1998-10-20,0.355
1998-10-21,0.348
1998-10-22,0.369
1998-10-23,0.355
1998-10-26,0.348
1998-10-27,0.348
1998-10-28,0.348
1998-10-29,0.341
1998-10-30,0.348
1998-11-03,0.382
1998-11-04,0.389
1998-11-05,0.41
1998-11-06,0.458
1998-11-09,0.485
1998-11-10,0.451
1998-11-11,0.417
1998-11-12,0.403
1998-11-13,0.41
1998-11-16,0.417
1998-11-17,0.423
1998-11-18,0.43
1998-11-19,0.41
1998-11-20,0.423
1998-11-23,0.41
1998-11-24,0.417
1998-11-25,0.451
1998-11-26,0.458
1998-11-27,0.485
1998-11-30,0.451
1998-12-01,0.444
1998-12-02,0.43
1998-12-03,0.417
1998-12-04,0.403
1998-12-07,0.41
1998-12-08,0.403
1998-12-09,0.403
1998-12-10,0.403
1998-12-11,0.376
1998-12-14,0.348
1998-12-15,0.348
1998-12-16,0.341
1998-12-17,0.348
1998-12-18,0.355
1998-12-21,0.376
1998-12-22,0.376
1998-12-23,0.355
1998-12-28,0.348
1998-12-29,0.348
1998-12-30,0.355
1999-01-04,0.362
1999-01-05,0.348
1999-01-06,0.348
1999-01-07,0.348
1999-01-08,0.348
1999-01-11,0.341
1999-01-12,0.341
1999-01-13,0.341
1999-01-14,0.3
1999-01-15,0.321
1999-01-18,0.341
1999-01-19,0.348
1999-01-20,0.348
1999-01-21,0.348
1999-01-22,0.348
1999-01-26,0.355
1999-01-27,0.348
1999-01-28,0.348
1999-01-29,0.362
1999-02-01,0.403
1999-02-02,0.423
1999-02-03,0.444
1999-02-04,0.444
1999-02-05,0.43
1999-02-08,0.451
1999-02-09,0.444
1999-02-10,0.423
1999-02-11,0.451
1999-02-12,0.451
1999-02-17,0.451
1999-02-18,0.451
1999-02-19,0.451
1999-02-22,0.451
1999-02-23,0.451
1999-02-24,0.451
1999-02-25,0.451
1999-02-26,0.451
1999-03-01,0.458
1999-03-02,0.485
1999-03-03,0.485
1999-03-04,0.485
1999-03-05,0.519
1999-03-08,0.519
1999-03-09,0.526
1999-03-10,0.526
1999-03-11,0.526
1999-03-12,0.519
1999-03-15,0.506
1999-03-16,0.533
1999-03-17,0.533
1999-03-18,0.512
1999-03-19,0.512
1999-03-22,0.499
1999-03-23,0.499
1999-03-24,0.499
1999-03-25,0.499
1999-03-26,0.485
1999-03-29,0.512
1999-03-30,0.526
1999-03-31,0.499
1999-04-06,0.512
1999-04-07,0.533
1999-04-08,0.533
1999-04-09,0.526
1999-04-12,0.533
1999-04-13,0.533
1999-04-14,0.512
1999-04-15,0.512
1999-04-16,0.499
1999-04-19,0.485
1999-04-20,0.485
1999-04-22,0.485
1999-04-23,0.485
1999-04-26,0.485
1999-04-27,0.485
1999-04-28,0.492
1999-04-29,0.499
1999-04-30,0.485
1999-05-03,0.485
1999-05-04,0.485
1999-05-05,0.485
1999-05-06,0.533
1999-05-07,0.539
1999-05-10,0.56
1999-05-11,0.58
1999-05-12,0.587
1999-05-13,0.615
1999-05-14,0.594
1999-05-17,0.58
1999-05-18,0.587
1999-05-19,0.574
1999-05-20,0.56
1999-05-21,0.533
1999-05-24,0.512
1999-05-25,0.499
1999-05-26,0.553
1999-05-27,0.512
1999-05-28,0.499
1999-05-31,0.506
1999-06-01,0.519
1999-06-02,0.512
1999-06-04,0.506
1999-06-07,0.512
1999-06-08,0.512
1999-06-09,0.512
1999-06-10,0.519
1999-06-14,0.499
1999-06-15,0.492
1999-06-16,0.519
1999-06-17,0.512
1999-06-18,0.519
1999-06-21,0.499
1999-06-22,0.533
1999-06-23,0.512
1999-06-24,0.485
1999-06-25,0.485
1999-06-28,0.485
1999-06-29,0.485
1999-06-30,0.485
1999-07-01,0.485
1999-07-02,0.506
1999-07-05,0.519
1999-07-06,0.499
1999-07-07,0.519
1999-07-08,0.499
1999-07-12,0.485
1999-07-13,0.485
1999-07-14,0.485
1999-07-15,0.485
1999-07-16,0.485
1999-07-19,0.492
1999-07-20,0.485
1999-07-21,0.485
1999-07-22,0.485
1999-07-23,0.485
1999-07-26,0.485
1999-07-27,0.485
1999-07-28,0.485
1999-07-29,0.485
1999-07-30,0.485
1999-08-02,0.485
1999-08-03,0.485
1999-08-04,0.451
1999-08-05,0.451
1999-08-06,0.423
1999-08-09,0.41
1999-08-10,0.403
1999-08-11,0.41
1999-08-12,0.41
1999-08-13,0.41
1999-08-16,0.41
1999-08-17,0.403
1999-08-18,0.382
1999-08-19,0.403
1999-08-20,0.403
1999-08-23,0.403
1999-08-24,0.43
1999-08-25,0.451
1999-08-26,0.444
1999-08-27,0.423
1999-08-30,0.41
1999-08-31,0.41
1999-09-01,0.417
1999-09-02,0.417
1999-09-03,0.417
1999-09-06,0.423
1999-09-08,0.417
1999-09-09,0.451
1999-09-10,0.485
1999-09-13,0.458
1999-09-14,0.458
1999-09-15,0.451
1999-09-16,0.444
1999-09-17,0.451
1999-09-20,0.485
1999-09-21,0.485
1999-09-22,0.485
1999-09-23,0.485
1999-09-24,0.499
1999-09-27,0.519
1999-09-28,0.519
1999-09-29,0.526
1999-09-30,0.512
1999-10-01,0.519
1999-10-04,0.533
1999-10-05,0.533
1999-10-06,0.546
1999-10-07,0.533
1999-10-08,0.553
1999-10-11,0.56
1999-10-13,0.56
1999-10-14,0.553
1999-10-15,0.546
1999-10-18,0.519
1999-10-19,0.533
1999-10-20,0.533
1999-10-21,0.533
1999-10-22,0.533
1999-10-25,0.533
1999-10-26,0.553
1999-10-27,0.553
1999-10-28,0.533
1999-10-29,0.533
1999-11-01,0.533
1999-11-03,0.553
1999-11-04,0.58
1999-11-05,0.594
1999-11-08,0.594
1999-11-09,0.587
1999-11-10,0.587
1999-11-11,0.587
1999-11-12,0.58
1999-11-16,0.594
1999-11-17,0.594
1999-11-18,0.58
1999-11-19,0.58
1999-11-22,0.58
1999-11-23,0.58
1999-11-24,0.58
1999-11-25,0.574
1999-11-26,0.574
1999-11-29,0.58
1999-11-30,0.58
1999-12-01,0.608
1999-12-02,0.615
1999-12-03,0.642
1999-12-06,0.635
1999-12-07,0.642
1999-12-08,0.635
1999-12-09,0.642
1999-12-10,0.677
1999-12-13,0.704
1999-12-14,0.765
1999-12-15,0.779
1999-12-16,0.786
1999-12-17,0.847
1999-12-20,0.854
1999-12-21,0.827
1999-12-22,0.813
1999-12-23,0.813
1999-12-27,0.813
1999-12-28,0.813
1999-12-29,0.827
1999-12-30,0.847
2000-01-03,0.827
2000-01-04,0.786
2000-01-05,0.827
2000-01-06,0.827
2000-01-07,0.827
2000-01-10,0.827
2000-01-11,0.806
2000-01-12,0.813
2000-01-13,0.882
2000-01-14,0.991
2000-01-17,0.963
2000-01-18,0.991
2000-01-19,0.929
2000-01-20,0.902
2000-01-21,0.888
2000-01-24,0.875
