,Adj Close
1998-10-05,0.285
1998-10-06,0.298
1998-10-07,0.289
1998-10-08,0.289
1998-10-09,0.292
1998-10-13,0.306
1998-10-14,0.298
1998-10-15,0.31
1998-10-16,0.309
1998-10-19,0.321
1998-10-20,0.339
1998-10-21,0.364
1998-10-22,0.394
1998-10-23,0.371
1998-10-26,0.35
1998-10-27,0.345
1998-10-28,0.345
1998-10-29,0.331
1998-10-30,0.371
1998-11-03,0.384
1998-11-04,0.398
1998-11-05,0.433
1998-11-06,0.445
1998-11-09,0.427
1998-11-10,0.417
1998-11-11,0.391
1998-11-12,0.341
1998-11-13,0.356
1998-11-16,0.38
1998-11-17,0.421
1998-11-18,0.433
1998-11-19,0.415
1998-11-20,0.421
1998-11-23,0.449
1998-11-24,0.439
1998-11-25,0.457
1998-11-26,0.461
1998-11-27,0.477
1998-11-30,0.457
1998-12-01,0.433
1998-12-02,0.422
1998-12-03,0.356
1998-12-04,0.379
1998-12-07,0.404
1998-12-08,0.4
1998-12-09,0.4
1998-12-10,0.411
1998-12-11,0.394
1998-12-14,0.35
1998-12-15,0.361
1998-12-16,0.329
1998-12-17,0.318
1998-12-18,0.326
1998-12-21,0.339
1998-12-22,0.339
1998-12-23,0.371
1998-12-28,0.35
1998-12-29,0.35
1998-12-30,0.345
1999-01-04,0.342
1999-01-05,0.345
1999-01-06,0.354
1999-01-07,0.339
1999-01-08,0.335
1999-01-11,0.31
1999-01-12,0.285
1999-01-13,0.248
1999-01-14,0.209
1999-01-15,0.292
1999-01-18,0.309
1999-01-19,0.298
1999-01-20,0.298
1999-01-21,0.277
1999-01-22,0.266
1999-01-26,0.285
1999-01-27,0.287
1999-01-28,0.306
1999-01-29,0.334
1999-02-01,0.345
1999-02-02,0.334
1999-02-03,0.326
1999-02-04,0.339
1999-02-05,0.339
1999-02-08,0.346
1999-02-09,0.353
1999-02-10,0.365
1999-02-11,0.394
1999-02-12,0.381
1999-02-17,0.394
1999-02-18,0.383
1999-02-19,0.383
1999-02-22,0.381
1999-02-23,0.383
1999-02-24,0.371
1999-02-25,0.356
1999-02-26,0.371
1999-03-01,0.387
1999-03-02,0.376
1999-03-03,0.38
1999-03-04,0.411
1999-03-05,0.426
1999-03-08,0.428
1999-03-09,0.411
1999-03-10,0.433
1999-03-11,0.418
1999-03-12,0.418
1999-03-15,0.429
1999-03-16,0.447
1999-03-17,0.465
1999-03-18,0.497
1999-03-19,0.513
1999-03-22,0.505
1999-03-23,0.499
1999-03-24,0.48
1999-03-25,0.505
1999-03-26,0.517
1999-03-29,0.51
1999-03-30,0.532
1999-03-31,0.537
1999-04-06,0.571
1999-04-07,0.597
1999-04-08,0.597
1999-04-09,0.588
1999-04-12,0.585
1999-04-13,0.549
1999-04-14,0.537
1999-04-15,0.537
1999-04-16,0.537
1999-04-19,0.541
1999-04-20,0.533
1999-04-22,0.522
1999-04-23,0.495
1999-04-26,0.488
1999-04-27,0.497
1999-04-28,0.526
1999-04-29,0.507
1999-04-30,0.53
1999-05-03,0.528
1999-05-04,0.513
1999-05-05,0.537
1999-05-06,0.552
1999-05-07,0.577
1999-05-10,0.58
1999-05-11,0.58
1999-05-12,0.568
1999-05-13,0.565
1999-05-14,0.549
1999-05-17,0.553
1999-05-18,0.557
1999-05-19,0.557
1999-05-20,0.549
1999-05-21,0.543
1999-05-24,0.516
1999-05-25,0.497
1999-05-26,0.517
1999-05-27,0.52
1999-05-28,0.52
1999-05-31,0.524
1999-06-01,0.501
1999-06-02,0.513
1999-06-04,0.516
1999-06-07,0.516
1999-06-08,0.516
1999-06-09,0.507
1999-06-10,0.52
1999-06-14,0.528
1999-06-15,0.533
1999-06-16,0.546
1999-06-17,0.54
