,Adj Close
1998-10-07,2.868
1998-10-08,2.962
1998-10-09,3.149
1998-10-13,3.149
1998-10-14,3.064
1998-10-15,3.217
1998-10-16,3.234
1998-10-19,3.387
1998-10-20,3.498
1998-10-21,3.643
1998-10-22,3.821
1998-10-23,3.626
1998-10-26,3.37
1998-10-27,3.311
1998-10-28,3.302
1998-10-29,3.081
1998-10-30,3.464
1998-11-03,3.762
1998-11-04,3.889
1998-11-05,4.085
1998-11-06,4.102
1998-11-09,4.085
1998-11-10,3.889
1998-11-11,3.643
1998-11-12,3.643
1998-11-13,3.643
1998-11-16,3.881
1998-11-17,4.162
1998-11-18,4.238
1998-11-19,3.975
1998-11-20,4.213
1998-11-23,4.102
1998-11-24,4.026
1998-11-25,4.23
1998-11-26,4.409
1998-11-27,4.519
1998-11-30,4.264
1998-12-01,4.238
1998-12-02,4.085
1998-12-03,3.549
1998-12-04,3.447
1998-12-07,3.592
1998-12-08,3.447
1998-12-09,3.362
1998-12-10,3.37
1998-12-11,3.226
1998-12-14,2.876
1998-12-15,2.876
1998-12-16,2.74
1998-12-17,2.808
1998-12-18,2.928
1998-12-21,3.149
1998-12-22,3.106
1998-12-23,3.098
1998-12-28,3.004
1998-12-29,2.86
1998-12-30,2.919
1999-01-04,2.791
1999-01-05,2.817
1999-01-06,2.962
1999-01-07,2.766
1999-01-08,2.689
1999-01-11,2.536
1999-01-12,2.315
1999-01-13,2.076
1999-01-14,1.796
1999-01-15,2.485
1999-01-18,2.689
1999-01-19,3.03
1999-01-20,3.226
1999-01-21,3.064
1999-01-22,2.876
1999-01-26,3.106
1999-01-27,2.97
1999-01-28,3.192
1999-01-29,3.302
1999-02-01,3.702
1999-02-02,3.6
1999-02-03,3.549
1999-02-04,3.549
1999-02-05,3.43
1999-02-08,3.6
1999-02-09,3.702
1999-02-10,3.855
1999-02-11,4.094
1999-02-12,3.881
1999-02-17,3.838
1999-02-18,3.745
1999-02-19,3.762
1999-02-22,3.643
1999-02-23,3.515
1999-02-24,3.498
1999-02-25,3.362
1999-02-26,3.498
1999-03-01,3.592
1999-03-02,3.6
1999-03-03,3.6
1999-03-04,3.745
1999-03-05,3.796
1999-03-08,3.889
1999-03-09,3.668
1999-03-10,3.821
1999-03-11,3.728
1999-03-12,3.6
1999-03-15,3.838
1999-03-16,4.128
1999-03-17,4.264
1999-03-18,4.409
1999-03-19,4.332
1999-03-22,4.06
1999-03-23,4.026
1999-03-24,4.051
1999-03-25,4.264
1999-03-26,4.153
1999-03-29,4.179
1999-03-30,4.409
1999-03-31,4.502
1999-04-06,4.69
1999-04-07,4.851
1999-04-08,4.579
1999-04-09,4.477
1999-04-12,4.579
1999-04-13,4.443
1999-04-14,4.434
1999-04-15,4.375
1999-04-16,4.536
1999-04-19,4.324
1999-04-20,4.213
1999-04-22,4.204
1999-04-23,4.238
1999-04-26,4.128
1999-04-27,4.094
1999-04-28,4.238
1999-04-29,4.187
1999-04-30,4.409
1999-05-03,4.375
1999-05-04,4.494
1999-05-05,4.715
1999-05-06,5.056
1999-05-07,5.132
1999-05-10,5.226
1999-05-11,5.056
1999-05-12,4.979
1999-05-13,5.056
1999-05-14,4.996
1999-05-17,4.86
1999-05-18,5.09
1999-05-19,5.183
1999-05-20,5.226
1999-05-21,5.132
1999-05-24,4.817
1999-05-25,4.409
1999-05-26,4.681
1999-05-27,4.613
1999-05-28,4.502
1999-05-31,4.579
1999-06-01,4.715
1999-06-02,4.647
1999-06-04,4.724
1999-06-07,4.562
1999-06-08,4.477
1999-06-09,4.375
1999-06-10,4.579
1999-06-14,4.562
1999-06-15,4.562
1999-06-16,4.758
1999-06-17,4.715
1999-06-18,4.851
1999-06-21,4.817
1999-06-22,4.783
1999-06-23,4.656
1999-06-24,4.468
1999-06-25,4.341
1999-06-28,4.264
1999-06-29,4.281
1999-06-30,4.341
1999-07-01,4.375
1999-07-02,4.477
1999-07-05,4.579
1999-07-06,4.375
1999-07-07,4.375
1999-07-08,4.264
1999-07-12,4.034
1999-07-13,4.026
1999-07-14,4.026
1999-07-15,3.881
1999-07-16,4.026
1999-07-19,4.238
1999-07-20,4.077
1999-07-21,4.026
1999-07-22,3.915
1999-07-23,3.813
1999-07-26,3.668
1999-07-27,3.702
1999-07-28,3.762
1999-07-29,3.702
1999-07-30,3.702
1999-08-02,3.583
1999-08-03,3.515
1999-08-04,3.464
1999-08-05,3.438
1999-08-06,3.447
1999-08-09,3.549
1999-08-10,3.464
1999-08-11,3.592
1999-08-12,3.481
1999-08-13,3.515
1999-08-16,3.515
1999-08-17,3.37
1999-08-18,3.251
1999-08-19,3.26
1999-08-20,3.404
1999-08-23,3.464
1999-08-24,3.566
1999-08-25,3.617
1999-08-26,3.515
1999-08-27,3.515
1999-08-30,3.566
1999-08-31,3.702
1999-09-01,3.847
1999-09-02,3.949
1999-09-03,4.034
1999-09-06,4.026
1999-09-08,4.136
1999-09-09,4.255
1999-09-10,4.153
1999-09-13,4.179
1999-09-14,4.179
1999-09-15,4.06
1999-09-16,3.864
1999-09-17,3.992
1999-09-20,4.162
1999-09-21,4.06
1999-09-22,4.102
1999-09-23,3.949
1999-09-24,4.136
1999-09-27,4.136
1999-09-28,4.102
1999-09-29,4.102
1999-09-30,3.966
1999-10-01,3.847
1999-10-04,3.915
1999-10-05,3.821
1999-10-06,3.975
1999-10-07,3.975
1999-10-08,4.094
1999-10-11,4.153
1999-10-13,4.136
1999-10-14,4.136
1999-10-15,4.085
1999-10-18,4.0
1999-10-19,4.051
1999-10-20,4.136
1999-10-21,4.153
1999-10-22,4.315
1999-10-25,4.366
1999-10-26,4.264
1999-10-27,4.324
