,Adj Close
1998-09-21,11.45
1998-09-22,11.64
1998-09-23,12.22
1998-09-24,12.21
1998-09-25,11.84
1998-09-28,12.02
1998-09-29,11.92
1998-09-30,11.34
1998-10-02,11.32
1998-10-05,9.37
1998-10-06,8.13
1998-10-07,8.66
1998-10-08,9.37
1998-10-09,8.95
1998-10-13,9.16
1998-10-14,9.05
1998-10-15,8.71
1998-10-16,8.47
1998-10-19,8.17
1998-10-20,8.55
1998-10-21,9.16
1998-10-22,8.95
1998-10-23,8.82
1998-10-26,8.82
1998-10-27,8.13
1998-10-28,8.13
1998-10-29,7.73
1998-10-30,8.18
1998-11-03,8.03
1998-11-04,8.75
1998-11-05,9.7
1998-11-06,10.88
1998-11-09,11.5
1998-11-10,10.99
1998-11-11,10.59
1998-11-12,10.27
1998-11-13,10.99
1998-11-16,12.06
1998-11-17,12.92
1998-11-18,13.44
1998-11-19,12.62
1998-11-20,12.32
1998-11-23,12.01
1998-11-24,12.1
1998-11-25,12.43
1998-11-26,12.63
1998-11-27,13.12
1998-11-30,12.48
1998-12-01,11.82
1998-12-02,11.55
1998-12-03,10.42
1998-12-04,10.18
1998-12-07,10.7
1998-12-08,10.7
1998-12-09,11.1
1998-12-10,11.34
1998-12-11,10.8
1998-12-14,10.08
1998-12-15,10.38
1998-12-16,10.03
1998-12-17,10.18
1998-12-18,10.49
1998-12-21,11.21
1998-12-22,11.38
1998-12-23,11.61
1998-12-28,11.41
1998-12-29,11.09
1998-12-30,11.41
1999-01-04,11.21
1999-01-05,11.3
1999-01-06,12.1
1999-01-07,11.82
1999-01-08,11.41
1999-01-11,10.59
1999-01-12,8.82
1999-01-13,7.73
1999-01-14,6.71
1999-01-15,7.54
1999-01-18,7.54
1999-01-19,7.54
1999-01-20,7.73
1999-01-21,7.23
1999-01-22,6.91
1999-01-26,7.13
1999-01-27,7.13
1999-01-28,7.09
1999-01-29,7.29
1999-02-01,7.71
1999-02-02,8.39
1999-02-03,8.95
1999-02-04,8.66
1999-02-05,8.44
1999-02-08,8.75
1999-02-09,8.55
1999-02-10,8.01
1999-02-11,7.84
1999-02-12,7.41
1999-02-17,7.54
1999-02-18,7.31
1999-02-19,7.25
1999-02-22,7.16
1999-02-23,7.09
1999-02-24,7.02
1999-02-25,6.82
1999-02-26,6.86
1999-03-01,7.31
1999-03-02,7.21
1999-03-03,7.31
1999-03-04,8.12
1999-03-05,7.85
1999-03-08,8.14
1999-03-09,8.52
1999-03-10,9.37
1999-03-11,9.01
1999-03-12,8.95
1999-03-15,9.27
1999-03-16,9.77
1999-03-17,10.03
1999-03-18,10.79
1999-03-19,10.92
1999-03-22,10.8
1999-03-23,10.83
1999-03-24,10.83
1999-03-25,11.98
1999-03-26,11.82
1999-03-29,12.63
1999-03-30,12.73
1999-03-31,12.63
1999-04-06,13.61
1999-04-07,13.7
1999-04-08,13.5
1999-04-09,12.62
1999-04-12,12.43
1999-04-13,11.74
1999-04-14,11.93
1999-04-15,11.55
1999-04-16,11.3
1999-04-19,11.16
1999-04-20,10.33
1999-04-22,10.64
1999-04-23,11.55
1999-04-26,11.48
1999-04-27,11.68
1999-04-28,12.35
1999-04-29,12.74
1999-04-30,13.05
1999-05-03,13.06
1999-05-04,12.93
1999-05-05,12.38
1999-05-06,12.35
1999-05-07,13.45
1999-05-10,12.85
1999-05-11,13.11
1999-05-12,13.61
1999-05-13,14.0
1999-05-14,14.28
1999-05-17,14.54
1999-05-18,14.45
1999-05-19,14.45
1999-05-20,15.25
1999-05-21,14.84
1999-05-24,14.15
1999-05-25,13.75
1999-05-26,14.45
1999-05-27,14.45
1999-05-28,14.45
1999-05-31,14.84
1999-06-01,14.55
1999-06-02,15.05
1999-06-04,14.84
1999-06-07,14.34
1999-06-08,14.05
1999-06-09,14.45
1999-06-10,15.53
1999-06-14,14.87
1999-06-15,14.96
1999-06-16,15.49
1999-06-17,15.51
1999-06-18,15.91
1999-06-21,15.94
1999-06-22,15.94
1999-06-23,15.54
1999-06-24,15.15
1999-06-25,14.93
1999-06-28,14.95
1999-06-29,15.36
1999-06-30,15.36
1999-07-01,15.15
1999-07-02,14.99
1999-07-05,15.06
1999-07-06,14.78
1999-07-07,14.31
1999-07-08,14.09
1999-07-12,14.06
1999-07-13,13.99
1999-07-14,13.82
1999-07-15,13.61
1999-07-16,13.76
1999-07-19,14.19
1999-07-20,14.96
1999-07-21,14.58
1999-07-22,14.57
1999-07-23,14.38
1999-07-26,14.19
1999-07-27,14.23
1999-07-28,14.78
1999-07-29,14.96
1999-07-30,14.04
1999-08-02,13.61
1999-08-03,13.7
1999-08-04,13.73
1999-08-05,13.89
1999-08-06,13.99
1999-08-09,13.91
1999-08-10,13.82
1999-08-11,14.28
1999-08-12,14.24
1999-08-13,13.82
1999-08-16,13.61
1999-08-17,13.5
1999-08-18,12.53
1999-08-19,12.5
1999-08-20,12.83
1999-08-23,12.44
1999-08-24,12.03
1999-08-25,13.04
1999-08-26,13.04
1999-08-27,12.64
1999-08-30,12.86
1999-08-31,13.04
1999-09-01,13.99
1999-09-02,15.15
1999-09-03,15.15
1999-09-06,15.12
1999-09-08,14.96
1999-09-09,15.54
1999-09-10,15.75
1999-09-13,16.34
1999-09-14,16.52
1999-09-15,16.8
1999-09-16,16.61
1999-09-17,16.92
1999-09-20,17.49
1999-09-21,17.3
1999-09-22,18.06
1999-09-23,17.58
1999-09-24,17.69
1999-09-27,17.78
1999-09-28,17.49
1999-09-29,17.78
1999-09-30,17.69
1999-10-01,17.4
1999-10-04,17.78
1999-10-05,18.3
1999-10-06,19.04
1999-10-07,19.43
1999-10-08,19.04
1999-10-11,18.46
1999-10-13,17.99
1999-10-14,17.58
1999-10-15,16.92
1999-10-18,16.73
1999-10-19,17.1
1999-10-20,17.49
1999-10-21,17.65
1999-10-22,17.52
1999-10-25,17.02
1999-10-26,16.73
1999-10-27,16.8
1999-10-28,17.49
1999-10-29,17.3
1999-11-01,17.19
1999-11-03,17.88
1999-11-04,18.38
1999-11-05,19.04
1999-11-08,18.46
1999-11-09,18.27
1999-11-10,18.85
1999-11-11,19.23
1999-11-12,19.14
1999-11-16,19.33
1999-11-17,19.42
1999-11-18,18.91
1999-11-19,18.66
1999-11-22,18.27
1999-11-23,18.5
1999-11-24,18.46
1999-11-25,19.34
1999-11-26,20.07
1999-11-29,20.03
1999-11-30,19.42
1999-12-01,19.43
