,Adj Close
1998-10-22,0.83
1998-10-23,0.79
1998-10-26,0.79
1998-10-27,0.76
1998-10-28,0.82
1998-10-29,0.8
1998-10-30,0.83
1998-11-03,0.83
1998-11-04,0.81
1998-11-05,0.84
1998-11-06,0.84
1998-11-09,0.84
1998-11-10,0.82
1998-11-11,0.81
1998-11-12,0.79
1998-11-13,0.81
1998-11-16,0.83
1998-11-17,0.84
1998-11-18,0.88
1998-11-19,0.84
1998-11-20,0.85
1998-11-23,0.84
1998-11-24,0.83
1998-11-25,0.88
1998-11-26,0.88
1998-11-27,0.88
1998-11-30,0.81
1998-12-01,0.81
1998-12-02,0.79
1998-12-03,0.73
1998-12-04,0.73
1998-12-07,0.76
1998-12-08,0.75
1998-12-09,0.73
1998-12-10,0.73
1998-12-11,0.67
1998-12-14,0.62
1998-12-15,0.7
1998-12-16,0.65
1998-12-17,0.7
1998-12-18,0.7
1998-12-21,0.73
1998-12-22,0.73
1998-12-23,0.71
1998-12-28,0.71
1998-12-29,0.71
1998-12-30,0.71
1999-01-04,0.73
1999-01-05,0.75
1999-01-06,0.79
1999-01-07,0.75
1999-01-08,0.75
1999-01-11,0.73
1999-01-12,0.71
1999-01-13,0.77
1999-01-14,0.81
1999-01-15,1.2
1999-01-18,1.07
1999-01-19,1.07
1999-01-20,1.23
1999-01-21,1.19
1999-01-22,1.2
1999-01-26,1.3
1999-01-27,1.34
1999-01-28,1.41
1999-01-29,1.41
1999-02-01,1.36
1999-02-02,1.28
1999-02-03,1.28
1999-02-04,1.31
1999-02-05,1.29
1999-02-08,1.33
1999-02-09,1.32
1999-02-10,1.36
1999-02-11,1.31
1999-02-12,1.32
1999-02-17,1.31
1999-02-18,1.28
1999-02-19,1.31
1999-02-22,1.3
1999-02-23,1.3
1999-02-24,1.29
1999-02-25,1.26
1999-02-26,1.26
1999-03-01,1.28
1999-03-02,1.28
1999-03-03,1.3
1999-03-04,1.29
1999-03-05,1.28
1999-03-08,1.28
1999-03-09,1.15
1999-03-10,1.15
1999-03-11,1.09
1999-03-12,1.2
1999-03-15,1.28
1999-03-16,1.28
1999-03-17,1.26
1999-03-18,1.29
1999-03-19,1.29
1999-03-22,1.29
1999-03-23,1.28
1999-03-24,1.2
1999-03-25,1.23
1999-03-26,1.19
1999-03-29,1.17
1999-03-30,1.2
1999-03-31,1.23
1999-04-06,1.23
1999-04-07,1.28
1999-04-08,1.28
1999-04-09,1.28
1999-04-12,1.26
1999-04-13,1.26
1999-04-14,1.29
1999-04-15,1.33
1999-04-16,1.51
1999-04-19,1.34
1999-04-20,1.39
1999-04-22,1.39
1999-04-23,1.5
1999-04-26,1.42
1999-04-27,1.36
1999-04-28,1.39
1999-04-29,1.43
1999-04-30,1.45
1999-05-03,1.5
1999-05-04,1.52
1999-05-05,1.69
1999-05-06,1.72
1999-05-07,1.74
1999-05-10,1.7
1999-05-11,1.6
1999-05-12,1.56
1999-05-13,1.61
1999-05-14,1.64
1999-05-17,1.59
1999-05-18,1.58
1999-05-19,1.57
1999-05-20,1.55
1999-05-21,1.5
1999-05-24,1.39
1999-05-25,1.36
1999-05-26,1.45
1999-05-27,1.36
1999-05-28,1.36
1999-05-31,1.39
1999-06-01,1.37
1999-06-02,1.36
1999-06-04,1.39
1999-06-07,1.39
1999-06-08,1.39
1999-06-09,1.39
1999-06-10,1.45
1999-06-14,1.43
1999-06-15,1.5
1999-06-16,1.5
1999-06-17,1.51
1999-06-18,1.52
1999-06-21,1.53
1999-06-22,1.52
1999-06-23,1.52
1999-06-24,1.5
1999-06-25,1.48
1999-06-28,1.5
1999-06-29,1.5
1999-06-30,1.5
1999-07-01,1.5
1999-07-02,1.51
1999-07-05,1.5
1999-07-06,1.5
1999-07-07,1.52
1999-07-08,1.55
1999-07-12,1.56
1999-07-13,1.59
1999-07-14,1.63
1999-07-15,1.63
1999-07-16,1.65
1999-07-19,1.7
1999-07-20,1.7
1999-07-21,1.74
1999-07-22,1.72
1999-07-23,1.63
1999-07-26,1.58
1999-07-27,1.56
1999-07-28,1.53
1999-07-29,1.5
1999-07-30,1.51
1999-08-02,1.52
1999-08-03,1.43
1999-08-04,1.39
1999-08-05,1.41
1999-08-06,1.47
1999-08-09,1.53
1999-08-10,1.52
1999-08-11,1.55
1999-08-12,1.67
1999-08-13,1.66
1999-08-16,1.67
1999-08-17,1.67
1999-08-18,1.67
1999-08-19,1.67
1999-08-20,1.7
1999-08-23,1.72
1999-08-24,1.72
1999-08-25,1.77
1999-08-26,1.81
1999-08-27,1.85
1999-08-30,1.86
1999-08-31,1.87
1999-09-01,1.93
1999-09-02,1.86
1999-09-03,1.85
1999-09-06,1.85
1999-09-08,1.86
1999-09-09,1.88
1999-09-10,1.84
1999-09-13,1.84
1999-09-14,1.85
1999-09-15,1.82
1999-09-16,1.83
1999-09-17,1.79
1999-09-20,1.82
1999-09-21,1.81
1999-09-22,1.82
1999-09-23,1.81
1999-09-24,1.82
1999-09-27,1.85
1999-09-28,1.84
1999-09-29,1.81
1999-09-30,1.81
1999-10-01,1.75
1999-10-04,1.79
1999-10-05,1.79
1999-10-06,1.82
1999-10-07,1.81
1999-10-08,1.81
1999-10-11,1.81
1999-10-13,1.72
1999-10-14,1.72
1999-10-15,1.7
1999-10-18,1.69
1999-10-19,1.67
1999-10-20,1.69
1999-10-21,1.65
1999-10-22,1.69
1999-10-25,1.63
1999-10-26,1.69
1999-10-27,1.7
1999-10-28,1.72
1999-10-29,1.7
1999-11-01,1.72
1999-11-03,1.75
1999-11-04,1.84
1999-11-05,1.86
1999-11-08,1.89
1999-11-09,1.86
1999-11-10,1.85
1999-11-11,1.79
1999-11-12,1.81
1999-11-16,1.79
1999-11-17,1.79
1999-11-18,1.91
1999-11-19,1.95
1999-11-22,1.91
1999-11-23,1.91
1999-11-24,1.86
1999-11-25,1.89
1999-11-26,1.93
1999-11-29,1.95
1999-11-30,2.04
1999-12-01,2.11
1999-12-02,2.11
1999-12-03,2.12
1999-12-06,2.06
1999-12-07,2.08
1999-12-08,2.08
1999-12-09,2.0
1999-12-10,2.07
1999-12-13,2.02
1999-12-14,1.97
1999-12-15,1.91
1999-12-16,1.93
1999-12-17,1.93
1999-12-20,2.02
1999-12-21,2.11
1999-12-22,2.08
1999-12-23,2.04
1999-12-27,2.04
1999-12-28,2.06
1999-12-29,2.07
1999-12-30,2.24
2000-01-03,2.2
2000-01-04,2.11
2000-01-05,2.07
2000-01-06,2.12
2000-01-07,2.12
2000-01-10,2.36
2000-01-11,2.29
2000-01-12,2.38
2000-01-13,2.38
2000-01-14,2.38
2000-01-17,2.34
2000-01-18,2.29
2000-01-19,2.24
2000-01-20,2.26
2000-01-21,2.34
2000-01-24,2.49
2000-01-26,2.49
2000-01-27,2.49
2000-01-28,2.42
2000-01-31,2.24
2000-02-01,2.28
2000-02-02,2.32
2000-02-03,2.43
2000-02-04,2.44
2000-02-07,2.54
2000-02-08,2.54
2000-02-09,2.48
2000-02-10,2.29
2000-02-11,2.12
2000-02-14,2.11
2000-02-15,2.29
2000-02-16,2.21
2000-02-17,2.13
2000-02-18,2.2
2000-02-21,2.2
2000-02-22,2.2
2000-02-23,2.26
2000-02-24,2.28
2000-02-25,2.24
2000-02-28,2.2
2000-02-29,2.11
2000-03-01,2.11
2000-03-02,2.08
2000-03-03,2.11
2000-03-08,2.02
2000-03-09,1.99
2000-03-10,1.99
2000-03-13,1.93
2000-03-14,1.91
2000-03-15,1.99
2000-03-16,2.02
2000-03-17,1.99
2000-03-20,1.89
2000-03-21,2.03
2000-03-22,1.99
2000-03-23,1.99
2000-03-24,2.11
2000-03-27,2.12
2000-03-28,2.08
2000-03-29,2.1
2000-03-30,2.11
2000-03-31,2.13
2000-04-03,2.16
2000-04-04,2.12
2000-04-05,2.16
2000-04-06,2.13
2000-04-07,2.16
2000-04-10,2.13
2000-04-11,2.12
2000-04-12,2.13
2000-04-13,2.12
2000-04-14,1.99
2000-04-17,1.91
2000-04-18,1.97
2000-04-19,1.85
2000-04-20,1.95
2000-04-24,1.89
2000-04-25,1.91
2000-04-26,1.91
2000-04-27,1.91
2000-04-28,2.0
2000-05-02,2.0
2000-05-03,1.97
2000-05-04,1.95
2000-05-05,1.99
2000-05-08,1.93
2000-05-09,1.93
2000-05-10,1.93
2000-05-11,1.89
2000-05-12,1.93
2000-05-15,1.97
2000-05-16,2.11
2000-05-17,2.07
2000-05-18,2.06
2000-05-19,2.07
2000-05-22,2.02
2000-05-23,1.93
2000-05-24,1.92
2000-05-25,1.91
2000-05-26,1.93
2000-05-29,1.99
2000-05-30,2.11
2000-05-31,2.07
2000-06-01,2.13
2000-06-02,2.13
2000-06-05,2.13
2000-06-06,2.12
2000-06-07,2.2
2000-06-08,2.21
2000-06-09,2.2
2000-06-12,2.12
2000-06-13,2.12
2000-06-14,2.13
2000-06-15,2.16
2000-06-16,2.2
2000-06-19,2.25
2000-06-20,2.25
2000-06-21,2.36
2000-06-23,2.38
2000-06-26,2.3
2000-06-27,2.35
2000-06-28,2.38
2000-06-29,2.26
2000-06-30,2.29
2000-07-03,2.29
2000-07-04,2.38
2000-07-05,2.3
2000-07-06,2.35
2000-07-07,2.39
2000-07-10,2.38
2000-07-11,2.29
2000-07-12,2.26
2000-07-13,2.2
2000-07-14,2.16
2000-07-17,2.24
2000-07-18,2.24
2000-07-19,2.2
2000-07-20,2.21
2000-07-21,2.24
2000-07-24,2.28
2000-07-25,2.29
2000-07-26,2.32
2000-07-27,2.29
2000-07-28,2.15
2000-07-31,2.21
2000-08-01,2.2
2000-08-02,2.2
2000-08-03,2.26
2000-08-04,2.38
2000-08-07,2.42
2000-08-08,2.4
2000-08-09,2.26
2000-08-10,2.24
2000-08-11,2.26
2000-08-14,2.32
2000-08-15,2.38
2000-08-16,2.32
2000-08-17,2.4
2000-08-18,2.35
2000-08-21,2.34
2000-08-22,2.32
2000-08-23,2.36
2000-08-24,2.36
2000-08-25,2.35
2000-08-28,2.35
2000-08-29,2.34
2000-08-30,2.3
2000-08-31,2.21
2000-09-01,2.25
2000-09-04,2.26
2000-09-05,2.32
2000-09-06,2.43
2000-09-08,2.3
2000-09-11,2.38
2000-09-12,2.32
2000-09-13,2.29
2000-09-14,2.22
2000-09-15,2.16
2000-09-18,2.11
2000-09-19,2.11
2000-09-20,2.07
2000-09-21,2.11
2000-09-22,2.11
2000-09-25,2.08
2000-09-26,2.08
2000-09-27,2.06
2000-09-28,2.11
2000-09-29,2.11
2000-10-02,2.02
2000-10-03,2.06
2000-10-04,2.11
2000-10-05,2.13
2000-10-06,2.1
2000-10-09,2.07
2000-10-10,2.08
2000-10-11,2.02
2000-10-13,2.02
2000-10-16,2.0
2000-10-17,1.96
2000-10-18,1.89
2000-10-19,1.88
2000-10-20,1.85
2000-10-23,1.81
2000-10-24,1.85
2000-10-25,1.85
2000-10-26,1.92
2000-10-27,2.08
2000-10-30,2.06
2000-10-31,1.97
2000-11-01,2.0
2000-11-03,1.97
2000-11-06,1.97
2000-11-07,1.99
2000-11-08,1.97
2000-11-09,1.93
2000-11-10,1.95
2000-11-13,1.93
2000-11-14,1.93
2000-11-16,1.93
2000-11-17,1.89
2000-11-20,1.88
2000-11-21,1.91
2000-11-22,1.87
2000-11-23,1.86
2000-11-24,1.85
2000-11-27,1.81
2000-11-28,1.76
2000-11-29,1.79
2000-11-30,1.76
2000-12-01,1.85
2000-12-04,1.86
2000-12-05,1.97
2000-12-06,1.95
2000-12-07,1.95
2000-12-08,2.02
2000-12-11,2.06
2000-12-12,2.06
2000-12-13,2.06
2000-12-14,2.0
2000-12-15,1.99
2000-12-18,2.02
2000-12-19,2.04
2000-12-20,1.99
2000-12-21,2.0
2000-12-22,2.02
2000-12-26,2.07
2000-12-27,2.12
2000-12-28,2.13
2001-01-02,2.16
2001-01-03,2.32
2001-01-04,2.32
2001-01-05,2.24
2001-01-08,2.28
2001-01-09,2.32
2001-01-10,2.29
2001-01-11,2.29
2001-01-12,2.29
2001-01-15,2.29
2001-01-16,2.29
2001-01-17,2.32
2001-01-18,2.42
2001-01-19,2.4
2001-01-22,2.4
2001-01-23,2.42
2001-01-24,2.46
2001-01-26,2.5
2001-01-29,2.54
2001-01-30,2.49
2001-01-31,2.54
2001-02-01,2.46
2001-02-02,2.48
2001-02-05,2.42
2001-02-06,2.46
2001-02-07,2.42
2001-02-08,2.48
2001-02-09,2.48
2001-02-12,2.43
2001-02-13,2.44
2001-02-14,2.43
2001-02-15,2.43
2001-02-16,2.34
2001-02-19,2.32
2001-02-20,2.35
2001-02-21,2.34
2001-02-22,2.46
2001-02-23,2.5
2001-02-28,2.54
2001-03-01,2.52
2001-03-02,2.53
2001-03-05,2.49
2001-03-06,2.46
2001-03-07,2.48
2001-03-08,2.49
2001-03-09,2.49
2001-03-12,2.34
2001-03-13,2.43
2001-03-14,2.46
2001-03-15,2.44
2001-03-16,2.43
2001-03-19,2.42
2001-03-20,2.5
2001-03-21,2.52
2001-03-22,2.46
2001-03-23,2.46
2001-03-26,2.5
2001-03-27,2.54
2001-03-28,2.54
2001-03-29,2.5
2001-03-30,2.54
2001-04-02,2.54
2001-04-03,2.49
2001-04-04,2.46
2001-04-05,2.49
2001-04-06,2.49
2001-04-09,2.5
2001-04-10,2.5
2001-04-11,2.46
2001-04-12,2.44
2001-04-16,2.46
2001-04-17,2.52
2001-04-18,2.52
2001-04-19,2.49
2001-04-20,2.48
2001-04-23,2.54
2001-04-24,2.5
2001-04-25,2.49
2001-04-26,2.5
2001-04-27,2.49
2001-04-30,2.48
2001-05-02,2.55
2001-05-03,2.54
2001-05-04,2.55
2001-05-07,2.49
2001-05-08,2.52
2001-05-09,2.66
2001-05-11,2.6
2001-05-14,2.53
2001-05-15,2.62
2001-05-16,2.6
2001-05-17,2.64
2001-05-18,2.62
2001-05-21,2.64
2001-05-22,2.69
2001-05-23,2.64
2001-05-24,2.68
2001-05-25,2.69
2001-05-28,2.68
2001-05-29,2.67
2001-05-30,2.61
2001-05-31,2.65
2001-06-01,2.65
2001-06-04,2.64
2001-06-05,2.64
2001-06-06,2.64
2001-06-07,2.68
2001-06-08,2.64
2001-06-11,2.64
2001-06-12,2.58
2001-06-13,2.62
2001-06-15,2.58
2001-06-18,2.54
2001-06-19,2.54
2001-06-20,2.53
2001-06-21,2.53
2001-06-22,2.53
2001-06-25,2.46
2001-06-26,2.43
2001-06-27,2.42
2001-06-28,2.4
2001-06-29,2.46
2001-07-02,2.5
2001-07-03,2.46
2001-07-04,2.46
2001-07-05,2.48
2001-07-06,2.5
2001-07-10,2.5
2001-07-11,2.5
2001-07-12,2.43
2001-07-13,2.46
2001-07-16,2.46
2001-07-17,2.4
2001-07-18,2.38
2001-07-19,2.43
2001-07-20,2.46
2001-07-23,2.46
2001-07-24,2.43
2001-07-25,2.46
2001-07-26,2.46
2001-07-27,2.46
2001-07-30,2.44
2001-07-31,2.46
2001-08-01,2.43
2001-08-02,2.43
2001-08-03,2.46
2001-08-06,2.44
2001-08-07,2.44
2001-08-08,2.44
2001-08-09,2.39
2001-08-10,2.46
2001-08-13,2.46
2001-08-14,2.46
2001-08-15,2.44
2001-08-16,2.43
2001-08-17,2.42
2001-08-20,2.42
2001-08-21,2.44
2001-08-22,2.43
2001-08-23,2.42
2001-08-24,2.43
2001-08-27,2.44
2001-08-28,2.46
2001-08-29,2.43
2001-08-30,2.42
2001-08-31,2.41
2001-09-03,2.32
2001-09-04,2.38
2001-09-05,2.42
2001-09-06,2.4
2001-09-10,2.42
2001-09-11,2.2
2001-09-12,2.3
2001-09-13,2.21
2001-09-14,2.22
2001-09-17,2.36
2001-09-18,2.42
2001-09-19,2.43
2001-09-20,2.46
2001-09-21,2.46
2001-09-24,2.49
2001-09-25,2.48
2001-09-26,2.46
2001-09-27,2.48
2001-09-28,2.46
2001-10-01,2.46
2001-10-02,2.46
2001-10-03,2.48
2001-10-04,2.42
2001-10-05,2.46
2001-10-08,2.47
2001-10-09,2.49
2001-10-10,2.54
2001-10-11,2.5
2001-10-15,2.54
2001-10-16,2.54
2001-10-17,2.6
2001-10-18,2.58
2001-10-19,2.55
2001-10-22,2.58
2001-10-23,2.55
2001-10-24,2.6
2001-10-25,2.55
2001-10-26,2.6
2001-10-29,2.54
2001-10-30,2.55
2001-10-31,2.61
2001-11-01,2.66
2001-11-05,2.72
2001-11-06,2.61
2001-11-07,2.54
2001-11-08,2.53
2001-11-09,2.54
2001-11-12,2.49
2001-11-13,2.49
2001-11-14,2.46
2001-11-16,2.6
2001-11-19,2.64
2001-11-20,2.54
2001-11-21,2.52
2001-11-22,2.54
2001-11-23,2.6
2001-11-26,2.6
2001-11-27,2.54
2001-11-28,2.54
2001-11-29,2.56
2001-11-30,2.69
2001-12-03,2.75
2001-12-04,2.67
2001-12-05,2.69
2001-12-06,2.69
2001-12-07,2.68
2001-12-10,2.67
2001-12-11,2.69
2001-12-12,2.66
2001-12-13,2.64
2001-12-14,2.64
2001-12-17,2.64
2001-12-18,2.69
2001-12-19,2.69
2001-12-20,2.67
2001-12-21,2.73
2001-12-26,2.69
2001-12-27,2.72
2001-12-28,2.72
2002-01-02,2.69
2002-01-03,2.72
2002-01-04,2.72
2002-01-07,2.72
2002-01-08,2.75
2002-01-09,2.75
2002-01-10,2.77
2002-01-11,2.75
2002-01-14,2.64
2002-01-15,2.58
2002-01-16,2.61
2002-01-17,2.67
2002-01-18,2.65
2002-01-21,2.6
2002-01-22,2.66
2002-01-23,2.72
2002-01-24,2.8
2002-01-28,2.87
2002-01-29,2.77
2002-01-30,2.66
2002-01-31,2.72
2002-02-01,2.8
2002-02-04,2.83
2002-02-05,2.85
2002-02-06,2.77
2002-02-07,2.8
2002-02-08,2.83
2002-02-13,2.88
2002-02-14,2.94
2002-02-15,2.92
2002-02-18,2.89
2002-02-19,2.95
2002-02-20,2.99
2002-02-21,3.04
2002-02-22,3.06
2002-02-25,3.03
2002-02-26,3.07
2002-02-27,3.03
2002-02-28,3.03
2002-03-01,3.13
2002-03-04,3.19
2002-03-05,3.25
2002-03-06,3.19
2002-03-07,3.03
2002-03-08,2.98
2002-03-11,2.95
2002-03-12,3.1
2002-03-13,3.15
2002-03-14,3.06
2002-03-15,3.04
2002-03-18,3.03
2002-03-19,2.98
2002-03-20,3.06
2002-03-21,3.11
2002-03-22,3.01
2002-03-25,3.06
2002-03-26,3.11
2002-03-27,3.11
2002-03-28,3.09
2002-04-01,3.11
2002-04-02,3.1
2002-04-03,3.01
2002-04-04,3.07
2002-04-05,3.11
2002-04-08,3.15
2002-04-09,3.16
2002-04-10,3.16
2002-04-11,3.16
2002-04-12,3.23
2002-04-15,3.25
2002-04-16,3.28
2002-04-17,3.33
2002-04-18,3.25
2002-04-19,3.21
2002-04-22,3.31
2002-04-23,3.36
2002-04-24,3.3
2002-04-25,3.23
2002-04-26,3.22
2002-04-29,3.23
2002-04-30,3.23
2002-05-02,3.23
2002-05-03,3.3
2002-05-06,3.36
2002-05-07,3.33
2002-05-08,3.39
2002-05-09,3.46
2002-05-10,3.5
2002-05-13,3.55
2002-05-14,3.55
2002-05-15,3.5
2002-05-16,3.48
2002-05-17,3.5
2002-05-20,3.5
2002-05-21,3.54
2002-05-22,3.56
2002-05-23,3.62
2002-05-24,3.6
2002-05-27,3.64
2002-05-28,3.65
2002-05-29,3.77
2002-05-31,3.78
2002-06-03,3.78
2002-06-04,3.86
2002-06-05,3.85
