,Adj Close
1998-09-29,6.28
1998-09-30,6.28
1998-10-02,6.46
1998-10-05,6.37
1998-10-06,6.64
1998-10-07,6.28
1998-10-08,6.2
1998-10-09,6.1
1998-10-13,6.54
1998-10-14,5.58
1998-10-15,5.83
1998-10-16,6.2
1998-10-19,5.83
1998-10-20,5.67
1998-10-21,5.67
1998-10-22,5.49
1998-10-23,5.39
1998-10-26,5.22
1998-10-27,4.87
1998-10-28,4.78
1998-10-29,4.87
1998-10-30,4.87
1998-11-03,5.04
1998-11-04,5.39
1998-11-05,5.75
1998-11-06,6.2
1998-11-09,6.28
1998-11-10,6.1
1998-11-11,5.67
1998-11-12,5.31
1998-11-13,5.13
1998-11-16,5.22
1998-11-17,5.13
1998-11-18,5.39
1998-11-19,5.49
1998-11-20,5.75
1998-11-23,5.75
1998-11-24,5.67
1998-11-25,5.39
1998-11-26,5.67
1998-11-27,5.58
1998-11-30,5.49
1998-12-01,5.49
1998-12-02,5.39
1998-12-03,4.95
1998-12-04,5.04
1998-12-07,5.13
1998-12-08,5.04
1998-12-09,4.87
1998-12-10,4.78
1998-12-11,4.71
1998-12-14,4.41
1998-12-15,4.41
1998-12-16,4.41
1998-12-17,4.78
1998-12-18,4.78
1998-12-21,4.78
1998-12-22,4.87
1998-12-23,5.31
1998-12-28,5.39
1998-12-29,5.39
1998-12-30,5.58
1999-01-04,5.58
1999-01-05,5.83
1999-01-06,5.75
1999-01-07,5.67
1999-01-08,5.67
1999-01-11,5.39
1999-01-12,4.95
1999-01-13,4.78
1999-01-14,4.25
1999-01-15,4.71
1999-01-18,4.71
1999-01-19,4.51
1999-01-20,4.33
1999-01-21,4.33
1999-01-22,4.51
1999-01-26,4.78
1999-01-27,4.87
1999-01-28,4.78
1999-01-29,4.95
1999-02-01,6.2
1999-02-02,6.1
1999-02-03,6.2
1999-02-04,6.37
1999-02-05,6.2
1999-02-08,5.83
1999-02-09,5.67
1999-02-10,5.67
1999-02-11,5.58
1999-02-12,5.31
1999-02-17,5.31
1999-02-18,5.39
1999-02-19,5.49
1999-02-22,5.58
1999-02-23,5.31
1999-02-24,5.22
1999-02-25,5.22
1999-02-26,5.22
1999-03-01,5.67
1999-03-02,5.49
1999-03-03,5.39
1999-03-04,5.67
1999-03-05,5.67
1999-03-08,6.64
1999-03-09,5.75
1999-03-10,6.99
1999-03-11,7.52
1999-03-12,7.08
1999-03-15,6.73
1999-03-16,7.08
1999-03-17,6.99
1999-03-18,7.08
1999-03-19,6.64
