,Adj Close
2010-12-07,11.95
2010-12-08,12.32
2010-12-09,12.14
2010-12-10,12.73
2010-12-13,12.7
2010-12-14,13.3
2010-12-15,13.06
2010-12-16,13.0
2010-12-17,13.07
2010-12-20,12.9
2010-12-21,13.07
2010-12-22,12.73
2010-12-23,12.77
2010-12-27,12.7
2010-12-28,12.9
2010-12-29,13.1
2010-12-30,13.23
2011-01-03,13.63
2011-01-04,13.67
2011-01-05,13.95
2011-01-06,13.8
2011-01-07,13.53
2011-01-10,13.33
2011-01-11,13.57
2011-01-12,13.52
2011-01-13,13.11
2011-01-14,12.65
2011-01-17,12.73
2011-01-18,12.6
2011-01-19,12.5
2011-01-20,12.57
2011-01-21,12.51
2011-01-24,12.41
2011-01-26,12.33
2011-01-27,12.21
2011-01-28,11.84
2011-01-31,11.69
2011-02-01,11.66
2011-02-02,11.32
2011-02-03,11.59
2011-02-04,11.78
2011-02-07,11.91
2011-02-08,11.88
2011-02-09,11.74
2011-02-10,11.41
2011-02-11,11.58
2011-02-14,11.54
2011-02-15,11.84
2011-02-16,12.11
2011-02-17,12.21
2011-02-18,12.69
2011-02-21,12.35
2011-02-22,12.44
2011-02-23,12.21
2011-02-24,11.74
2011-02-25,11.78
2011-02-28,12.31
2011-03-01,12.24
2011-03-02,12.62
2011-03-03,12.62
2011-03-04,12.87
2011-03-09,12.95
2011-03-10,12.73
2011-03-11,12.53
2011-03-14,12.9
2011-03-15,12.95
2011-03-16,12.77
2011-03-17,12.9
2011-03-18,13.0
2011-03-21,13.18
2011-03-22,13.37
2011-03-23,13.18
2011-03-24,13.2
2011-03-25,13.17
2011-03-28,13.23
2011-03-29,13.23
2011-03-30,13.15
2011-03-31,13.23
2011-04-01,13.23
2011-04-04,13.1
2011-04-05,12.86
2011-04-06,12.41
2011-04-07,12.39
2011-04-08,12.39
2011-04-11,12.58
2011-04-12,12.15
2011-04-13,11.72
2011-04-14,11.91
2011-04-15,11.79
2011-04-18,11.56
2011-04-19,11.74
2011-04-20,11.76
2011-04-25,11.56
2011-04-26,11.64
2011-04-27,11.61
2011-04-28,11.38
2011-04-29,11.58
2011-05-02,12.01
2011-05-03,11.91
2011-05-04,12.13
2011-05-05,12.04
2011-05-06,12.06
2011-05-09,12.18
2011-05-10,11.69
2011-05-11,11.78
2011-05-12,11.78
2011-05-13,11.48
2011-05-16,11.38
2011-05-17,11.34
2011-05-18,11.48
2011-05-19,11.38
2011-05-20,11.18
2011-05-23,11.08
2011-05-24,11.24
2011-05-25,11.04
2011-05-26,11.19
2011-05-27,11.24
2011-05-30,11.43
2011-05-31,11.18
2011-06-01,10.83
2011-06-02,11.09
2011-06-03,11.41
2011-06-06,11.33
2011-06-07,11.31
2011-06-08,11.24
2011-06-09,11.41
2011-06-10,11.34
2011-06-13,11.43
2011-06-14,11.36
2011-06-15,11.41
2011-06-16,11.24
2011-06-17,11.19
2011-06-20,11.01
2011-06-21,10.89
2011-06-22,11.02
2011-06-24,11.08
2011-06-27,10.92
2011-06-28,10.89
2011-06-29,10.82
2011-06-30,11.0
2011-07-01,11.41
2011-07-04,11.41
2011-07-05,11.49
2011-07-06,11.04
2011-07-07,11.14
2011-07-08,10.92
2011-07-11,10.72
2011-07-12,10.75
2011-07-13,10.82
2011-07-14,10.62
2011-07-15,10.42
2011-07-18,10.39
2011-07-19,10.52
2011-07-20,10.52
2011-07-21,10.59
2011-07-22,10.42
2011-07-25,10.25
2011-07-26,10.04
2011-07-27,9.92
2011-07-28,10.02
2011-07-29,9.95
2011-08-01,9.66
2011-08-02,8.95
2011-08-03,8.43
2011-08-04,7.28
2011-08-05,8.1
2011-08-08,7.74
2011-08-09,7.74
2011-08-10,7.84
2011-08-11,8.38
2011-08-12,9.17
2011-08-15,9.28
2011-08-16,8.25
2011-08-17,8.5
2011-08-18,8.12
2011-08-19,7.91
2011-08-22,7.43
2011-08-23,7.41
2011-08-24,7.24
2011-08-25,7.33
2011-08-26,7.48
2011-08-29,7.81
2011-08-30,8.1
2011-08-31,8.73
2011-09-01,9.18
2011-09-02,8.93
2011-09-05,8.7
2011-09-06,8.6
2011-09-08,8.77
2011-09-09,8.2
2011-09-12,8.01
2011-09-13,7.78
2011-09-14,8.09
2011-09-15,8.37
2011-09-16,8.21
2011-09-19,8.37
2011-09-20,7.88
2011-09-21,7.83
2011-09-22,7.34
2011-09-23,7.28
2011-09-26,7.58
2011-09-27,7.79
2011-09-28,7.53
2011-09-29,7.44
2011-09-30,8.01
2011-10-03,6.97
2011-10-04,6.78
2011-10-05,6.78
2011-10-06,6.84
2011-10-07,7.16
2011-10-10,7.51
2011-10-11,7.53
2011-10-13,7.66
2011-10-14,8.1
2011-10-17,8.11
2011-10-18,8.43
2011-10-19,8.42
2011-10-20,8.47
2011-10-21,8.1
2011-10-24,8.05
2011-10-25,8.43
2011-10-26,8.2
2011-10-27,8.35
2011-10-28,8.6
2011-10-31,8.35
2011-11-01,7.45
2011-11-03,7.28
2011-11-04,7.29
2011-11-07,7.34
2011-11-08,6.94
2011-11-09,6.68
2011-11-10,6.61
2011-11-11,6.67
2011-11-14,7.03
2011-11-16,7.03
2011-11-17,6.83
2011-11-18,6.65
2011-11-21,6.37
2011-11-22,6.18
2011-11-23,6.04
2011-11-24,6.05
2011-11-25,5.92
2011-11-28,5.56
2011-11-29,5.32
2011-11-30,5.79
2011-12-01,5.87
2011-12-02,5.97
2011-12-05,6.15
2011-12-06,6.02
2011-12-07,5.98
2011-12-08,5.86
2011-12-09,5.89
2011-12-12,6.09
2011-12-13,6.17
2011-12-14,6.43
2011-12-15,6.74
2011-12-16,7.15
2011-12-19,7.04
2011-12-20,6.74
2011-12-21,6.78
2011-12-22,6.78
2011-12-23,6.66
2011-12-26,6.68
2011-12-27,6.62
2011-12-28,6.6
2011-12-29,6.64
2012-01-02,6.76
2012-01-03,7.03
2012-01-04,7.09
2012-01-05,7.01
2012-01-06,6.84
2012-01-09,6.64
2012-01-10,6.96
2012-01-11,6.86
2012-01-12,7.01
2012-01-13,7.17
2012-01-16,7.24
2012-01-17,7.48
2012-01-18,7.58
2012-01-19,7.88
