,Adj Close
2010-02-17,8.49
2010-02-18,8.49
2010-02-19,8.4
2010-02-22,8.15
2010-02-23,7.81
2010-02-24,7.79
2010-02-25,7.8
2010-02-26,8.13
2010-03-01,8.17
2010-03-02,8.01
2010-03-03,8.08
2010-03-04,8.06
2010-03-05,7.9
2010-03-08,7.82
2010-03-09,7.85
2010-03-10,7.92
2010-03-11,7.86
2010-03-12,7.6
2010-03-15,7.51
2010-03-16,7.67
2010-03-17,7.87
2010-03-18,8.02
2010-03-19,7.69
2010-03-22,7.56
2010-03-23,7.8
2010-03-24,7.57
2010-03-25,7.48
2010-03-26,7.25
2010-03-29,7.04
2010-03-30,6.85
2010-03-31,6.73
2010-04-01,7.08
2010-04-05,7.37
2010-04-06,7.3
2010-04-07,7.24
2010-04-08,7.22
2010-04-09,7.07
2010-04-12,7.05
2010-04-13,7.2
2010-04-14,7.4
2010-04-15,7.54
2010-04-16,7.5
2010-04-19,7.38
2010-04-20,7.47
2010-04-22,7.5
2010-04-23,7.57
2010-04-26,7.58
2010-04-27,7.34
2010-04-28,7.48
2010-04-29,7.79
2010-04-30,7.93
2010-05-03,8.15
2010-05-04,7.8
2010-05-05,7.63
2010-05-06,7.22
2010-05-07,7.0
2010-05-10,7.57
2010-05-11,7.48
2010-05-12,7.65
2010-05-13,7.45
2010-05-14,7.0
2010-05-17,6.77
2010-05-18,6.37
2010-05-19,6.16
2010-05-20,6.52
2010-05-21,6.87
2010-05-24,6.7
2010-05-25,6.9
2010-05-26,7.1
2010-05-27,7.64
2010-05-28,7.58
2010-05-31,7.54
2010-06-01,7.35
2010-06-02,7.49
2010-06-04,7.25
2010-06-07,7.17
2010-06-08,7.3
2010-06-09,7.29
2010-06-10,7.77
