,Adj Close
2004-07-19,3.85
2004-08-06,3.72
2004-08-12,3.49
2004-08-17,3.72
2004-08-19,3.72
2004-08-20,3.95
2004-08-27,3.72
2004-08-30,3.95
2004-08-31,4.2
2004-09-20,3.85
2004-09-21,3.85
2004-09-24,3.72
2004-10-11,3.88
2004-10-14,4.23
2004-10-19,4.2
2004-10-26,3.95
2004-11-08,4.23
2004-11-11,3.72
2004-11-12,3.82
2004-11-17,5.04
2004-11-22,4.94
2004-11-24,4.94
2004-12-01,5.04
2004-12-10,5.61
2004-12-22,6.93
2005-01-28,6.7
2005-03-11,8.27
2005-05-10,5.77
2005-05-25,5.77
2005-06-02,5.61
2005-06-22,6.57
2005-06-23,6.47
2005-07-01,8.5
2005-07-04,7.5
2005-07-05,7.5
2005-07-06,7.5
2005-07-08,7.5
2005-07-26,7.5
2005-07-27,7.75
2005-08-01,8.05
2005-10-19,10.0
2005-10-24,10.0
2005-10-25,10.0
2005-10-27,10.0
2005-10-28,10.0
2005-10-31,10.48
2005-11-03,10.0
2005-11-04,9.69
2005-11-08,9.75
2005-11-10,9.06
2005-11-17,10.0
2005-11-21,9.23
2005-11-22,10.0
2005-12-06,8.5
2005-12-14,9.06
2005-12-23,9.52
2006-01-10,13.98
2006-01-11,12.5
2006-01-12,12.5
2006-01-13,12.5
2006-01-23,12.5
2006-01-24,13.04
2006-01-27,13.04
2006-02-06,12.21
2006-02-13,12.21
2006-02-15,13.27
2006-02-22,12.02
2006-03-02,13.04
2006-03-16,13.5
2006-03-17,13.73
2006-03-20,13.73
2006-03-23,14.77
2006-03-29,14.52
2006-04-03,16.22
2006-04-04,15.03
2006-04-05,15.27
2006-04-07,14.23
2006-04-11,13.98
2006-04-19,13.5
2006-04-27,13.04
2006-04-28,13.04
2006-05-03,15.03
2006-05-05,16.49
2006-05-08,18.04
2006-05-09,18.27
2006-05-10,20.01
2006-05-11,20.01
2006-05-12,18.52
2006-05-15,19.51
2006-05-16,20.01
2006-05-17,20.01
2006-05-22,20.01
2006-05-24,19.74
2006-05-26,16.12
2006-05-29,16.61
2006-05-30,17.05
2006-05-31,16.52
2006-06-01,15.86
2006-06-02,16.61
2006-06-08,13.91
2006-06-09,14.2
2006-06-12,14.68
2006-06-16,14.68
2006-06-19,13.14
2006-06-20,13.63
2006-06-21,14.4
2006-06-22,14.68
2006-06-23,15.39
2006-06-26,16.12
2006-06-27,14.68
2006-06-28,14.2
2006-06-29,16.12
2006-06-30,15.61
2006-07-03,16.06
2006-07-04,16.12
2006-07-05,16.03
2006-07-10,14.2
2006-07-11,14.2
2006-07-13,14.68
2006-07-18,14.84
2006-07-20,13.66
2006-07-24,14.01
2006-07-26,14.01
2006-07-27,14.8
2006-07-28,14.97
2006-08-01,14.2
2006-08-08,15.13
2006-08-10,16.12
2006-08-16,17.05
2006-08-17,17.05
2006-08-18,18.72
2006-08-21,18.55
2006-08-22,18.55
2006-08-23,19.02
2006-08-24,18.07
2006-08-28,19.02
2006-08-29,18.07
2006-08-30,18.07
2006-08-31,18.27
2006-09-01,17.18
2006-09-04,18.27
2006-09-06,19.51
2006-09-08,21.9
2006-09-11,22.92
2006-09-12,20.45
2006-09-13,19.02
2006-09-14,19.02
2006-09-15,19.64
2006-09-18,18.07
2006-09-19,18.07
2006-09-20,18.07
2006-09-21,15.86
2006-09-22,15.64
2006-09-25,15.61
2006-09-26,15.61
2006-09-27,15.61
2006-09-28,15.86
2006-09-29,16.67
2006-10-02,16.12
2006-10-03,16.12
2006-10-04,16.12
2006-10-05,16.35
2006-10-06,15.61
2006-10-09,16.06
2006-10-10,16.88
2006-10-11,16.03
2006-10-13,16.64
2006-10-16,16.64
2006-10-17,16.16
2006-10-23,16.78
2006-10-24,16.35
2006-10-25,19.17
2006-10-26,18.59
2006-10-27,18.55
2006-10-30,17.34
2006-10-31,19.02
2006-11-03,18.92
2006-11-06,21.54
2006-11-07,21.06
2006-11-08,21.63
2006-11-09,24.87
2006-11-10,26.64
2006-11-13,30.68
2006-11-14,30.04
2006-11-17,27.6
2006-11-22,24.87
2006-11-23,24.59
2006-11-24,24.59
2006-11-27,24.59
2006-12-01,26.28
2006-12-04,25.42
2006-12-05,26.34
2006-12-06,26.34
2006-12-08,27.06
2006-12-11,28.95
2006-12-13,29.3
2006-12-14,29.82
2006-12-15,29.37
2006-12-20,29.82
2006-12-21,30.04
2006-12-26,29.82
2006-12-27,30.68
2006-12-28,30.68
2007-01-02,35.04
2007-01-03,35.39
2007-01-04,34.43
2007-01-05,31.41
2007-01-08,32.02
2007-01-09,30.68
2007-01-10,31.68
2007-01-11,30.16
2007-01-12,32.85
2007-01-15,35.04
2007-01-16,34.16
2007-01-17,34.16
2007-01-18,34.52
2007-01-19,34.59
2007-01-22,33.95
2007-01-23,35.04
2007-01-24,34.02
2007-01-26,35.7
2007-01-29,33.07
2007-01-30,32.85
2007-01-31,32.85
2007-02-01,32.82
2007-02-02,31.36
2007-02-05,31.51
2007-02-06,30.84
2007-02-07,30.9
2007-02-08,32.85
2007-02-09,34.16
2007-02-12,33.75
2007-02-13,32.45
2007-02-14,32.35
2007-02-15,33.34
2007-02-22,32.21
2007-02-23,31.61
2007-02-26,31.61
2007-02-27,28.5
2007-02-28,28.95
2007-03-01,29.43
2007-03-02,27.0
2007-03-05,26.74
2007-03-06,26.11
2007-03-07,26.11
2007-03-08,27.76
2007-03-09,28.95
2007-03-12,28.5
2007-03-13,27.6
2007-03-14,26.51
2007-03-15,26.51
2007-03-16,26.28
2007-03-21,29.37
2007-03-22,29.43
2007-03-23,30.68
2007-03-26,30.68
2007-03-27,29.55
2007-03-28,28.08
2007-03-29,28.43
2007-03-30,28.5
2007-04-02,27.6
2007-04-03,28.95
2007-04-04,28.08
2007-04-05,28.53
2007-04-09,29.37
2007-04-10,28.5
2007-04-11,28.5
2007-04-12,28.5
2007-04-13,28.5
2007-04-17,28.69
2007-04-18,28.53
2007-04-19,28.5
2007-04-20,29.88
2007-04-23,30.62
2007-04-24,30.04
2007-04-26,30.32
2007-04-27,29.37
2007-04-30,30.04
2007-05-04,28.53
2007-05-07,30.26
2007-05-09,28.91
2007-05-10,28.5
2007-05-11,29.52
2007-05-14,29.82
2007-05-15,30.26
2007-05-16,30.26
2007-05-17,31.13
2007-05-23,30.68
2007-05-24,28.63
2007-05-25,30.49
2007-05-29,30.26
2007-05-30,30.04
2007-06-01,28.97
2007-06-05,30.04
2007-06-06,28.53
2007-06-08,28.08
2007-06-11,29.55
2007-06-12,26.74
2007-06-13,27.38
2007-06-14,27.46
2007-06-15,28.5
2007-06-18,29.85
2007-06-19,30.68
2007-06-20,31.13
2007-06-21,32.85
2007-06-22,34.88
2007-06-25,34.59
2007-06-26,34.84
2007-06-27,35.04
2007-06-28,37.92
2007-06-29,37.5
2007-07-02,39.24
2007-07-03,38.11
2007-07-04,38.18
2007-07-05,39.49
2007-07-10,39.49
2007-07-11,38.78
2007-07-12,38.78
2007-07-13,34.94
2007-07-17,35.93
2007-07-18,37.25
2007-07-19,38.11
2007-07-20,38.11
2007-07-25,38.11
2007-07-30,35.04
2007-07-31,35.26
2007-08-03,35.7
2007-08-06,37.25
2007-08-09,41.64
2007-08-10,41.48
2007-08-13,38.98
2007-08-14,38.75
2007-08-15,38.75
2007-08-17,33.5
2007-08-20,32.85
2007-08-22,30.68
2007-08-23,30.9
2007-08-24,31.77
2007-08-27,32.64
2007-08-31,33.2
2007-09-03,39.49
2007-09-05,35.11
2007-09-06,35.04
2007-09-10,34.71
2007-09-11,34.94
2007-09-13,35.55
2007-09-18,38.11
2007-09-19,37.22
2007-09-20,36.79
2007-09-25,36.57
2007-09-28,34.16
