,Adj Close
2000-04-05,3.57
2000-04-07,3.57
2000-04-10,3.6
2000-04-11,3.62
2000-04-14,3.53
2000-04-27,3.19
2000-05-02,3.29
2000-05-03,3.29
2000-05-04,3.29
2000-05-08,3.29
2000-05-09,3.29
2000-05-18,3.1
2000-05-31,3.26
2000-06-02,3.26
2000-06-05,3.26
2000-06-07,3.43
2000-06-08,3.46
2000-06-13,3.43
2000-06-14,3.43
2000-06-15,3.57
2000-06-19,3.45
2000-06-20,3.62
2000-06-21,3.74
2000-06-23,3.83
2000-06-26,3.83
2000-06-28,3.84
2000-06-29,3.83
2000-06-30,3.84
2000-07-03,3.84
2000-07-04,3.89
2000-07-05,3.85
2000-07-06,3.9
2000-07-07,3.96
2000-07-10,4.11
2000-07-11,4.28
2000-07-12,4.32
2000-07-13,4.37
2000-07-14,4.36
2000-07-17,4.52
2000-07-18,4.75
2000-07-19,4.75
2000-07-20,4.78
2000-07-21,4.86
2000-07-31,4.86
2000-08-02,4.86
2000-08-04,4.9
2000-08-09,4.9
2000-08-11,4.9
2000-08-14,4.95
2000-08-16,4.75
2000-08-21,4.75
2000-08-23,4.81
2000-08-24,4.9
2000-08-25,4.92
2000-08-28,4.92
2000-08-29,4.78
2000-08-30,4.92
2000-08-31,4.92
2000-09-01,4.95
2000-09-04,4.99
2000-09-06,5.31
2000-09-08,5.03
2000-09-11,5.03
2000-09-12,5.0
2000-09-14,5.14
2000-09-15,5.29
2000-09-18,5.3
2000-09-19,5.32
2000-09-20,5.17
2000-09-21,5.23
2000-09-22,5.11
2000-09-25,5.2
2000-09-26,5.38
2000-09-27,5.29
2000-09-28,5.36
2000-09-29,5.36
2000-10-02,5.37
2000-10-03,5.55
2000-10-04,5.64
2000-10-05,5.67
2000-10-06,5.55
2000-10-09,5.51
2000-10-10,5.71
2000-10-11,5.69
2000-10-13,5.69
2000-10-16,5.73
2000-10-17,5.8
2000-10-18,5.7
2000-10-19,5.73
2000-10-20,5.72
2000-10-23,5.55
2000-10-24,5.19
2000-10-25,4.95
2000-10-26,5.05
2000-10-27,5.19
2000-10-30,5.35
2000-10-31,5.64
2000-11-01,5.65
2000-11-03,5.69
2000-11-06,5.73
2000-11-07,5.79
2000-11-08,5.69
2000-11-09,5.53
2000-11-10,5.66
2000-11-13,5.42
2000-11-14,5.49
2000-11-16,5.69
2000-11-17,5.7
2000-11-20,5.75
2000-11-21,5.73
2000-11-22,5.73
2000-11-23,5.5
2000-11-24,5.61
2000-11-27,5.77
2000-11-28,5.66
2000-11-29,5.61
2000-11-30,5.49
2000-12-01,5.7
2000-12-04,5.77
2000-12-05,5.8
2000-12-06,5.73
2000-12-07,5.82
2000-12-08,5.85
2000-12-11,5.86
2000-12-12,5.85
2000-12-13,5.81
2000-12-14,5.8
