,Adj Close
2005-12-29,26.21
2006-01-02,26.55
2006-01-03,26.95
2006-01-04,27.19
2006-01-05,27.24
2006-01-06,26.91
2006-01-09,26.25
2006-01-10,25.83
2006-01-11,25.93
2006-01-12,25.78
2006-01-13,26.06
2006-01-16,25.93
2006-01-17,25.27
2006-01-18,24.7
2006-01-19,25.57
2006-01-20,24.99
2006-01-23,25.17
2006-01-24,26.02
2006-01-26,26.95
2006-01-27,30.79
2006-01-30,30.9
2006-01-31,31.11
2006-02-01,31.26
2006-02-02,30.79
2006-02-03,31.68
2006-02-06,33.22
2006-02-07,32.47
2006-02-08,31.8
2006-02-09,32.19
2006-02-10,32.28
2006-02-13,30.84
2006-02-14,30.09
2006-02-15,30.2
2006-02-16,31.19
2006-02-17,31.28
2006-02-20,31.21
2006-02-21,30.9
2006-02-22,31.47
2006-02-23,31.28
2006-02-24,30.78
2006-03-01,31.47
2006-03-02,31.8
2006-03-03,32.33
2006-03-06,32.53
2006-03-07,32.2
2006-03-08,32.38
2006-03-09,32.05
2006-03-10,32.7
2006-03-13,32.82
2006-03-14,32.53
2006-03-15,32.63
2006-03-16,32.98
2006-03-17,33.48
2006-03-20,33.29
2006-03-21,33.11
2006-03-22,32.75
2006-03-23,32.63
2006-03-24,32.53
2006-03-27,32.25
2006-03-28,31.37
2006-03-29,31.13
2006-03-30,31.47
2006-03-31,32.53
2006-04-03,33.15
2006-04-04,33.45
2006-04-05,34.5
2006-04-06,35.13
2006-04-07,35.46
2006-04-10,34.5
2006-04-11,34.26
2006-04-12,34.6
2006-04-13,33.99
2006-04-17,33.45
2006-04-18,34.06
2006-04-19,35.36
2006-04-20,35.23
2006-04-24,35.21
2006-04-25,35.59
2006-04-26,36.1
2006-04-27,36.42
2006-04-28,37.06
2006-05-02,37.43
2006-05-03,37.06
2006-05-04,36.77
2006-05-05,37.62
2006-05-08,37.72
2006-05-09,37.77
2006-05-10,37.77
2006-05-11,37.54
2006-05-12,35.61
2006-05-15,34.6
2006-05-16,35.03
2006-05-17,33.2
2006-05-19,34.75
2006-05-22,34.21
2006-05-23,33.88
2006-05-24,33.2
2006-05-25,33.88
2006-05-26,32.72
2006-05-29,32.48
2006-05-30,30.86
2006-05-31,32.53
2006-06-01,33.3
2006-06-02,32.72
2006-06-05,31.79
2006-06-06,31.9
2006-06-07,30.62
2006-06-08,31.27
2006-06-09,30.5
2006-06-12,29.07
2006-06-13,29.07
2006-06-14,29.35
2006-06-16,31.28
2006-06-19,31.28
2006-06-20,31.76
2006-06-21,33.0
2006-06-22,33.01
2006-06-23,34.3
2006-06-26,33.67
2006-06-27,32.71
2006-06-28,32.25
2006-07-05,31.76
2006-07-06,32.96
2006-07-07,33.35
2006-07-10,33.49
2006-07-11,34.5
2006-07-12,33.19
2006-07-13,32.72
2006-07-14,33.01
2006-07-17,33.49
2006-07-18,34.16
2006-07-19,34.89
2006-07-20,34.16
2006-07-21,33.2
2006-07-24,33.4
2006-07-25,33.98
2006-07-26,33.2
2006-07-27,32.72
2006-07-28,33.2
2006-07-31,33.5
2006-08-01,34.84
2006-08-02,35.99
2006-08-03,36.19
2006-08-04,36.09
2006-08-07,35.9
2006-08-08,35.76
2006-08-09,35.93
2006-08-10,36.19
2006-08-11,35.72
2006-08-14,36.57
2006-08-15,36.71
2006-08-16,37.14
2006-08-17,37.29
2006-08-18,37.34
2006-08-21,36.81
2006-08-22,36.09
2006-08-23,35.61
2006-08-24,34.65
2006-08-25,34.75
2006-08-28,34.66
2006-08-29,35.9
2006-08-30,35.81
2006-08-31,35.81
2006-09-01,36.57
2006-09-04,36.67
2006-09-05,37.1
2006-09-06,37.14
2006-09-08,37.06
2006-09-11,36.47
2006-09-12,35.46
2006-09-13,35.12
2006-09-14,34.65
2006-09-15,35.56
2006-09-18,35.03
2006-09-19,34.41
2006-09-20,33.11
2006-09-21,32.72
2006-09-22,33.3
2006-09-25,32.97
2006-09-26,35.32
2006-09-27,36.71
2006-09-28,36.96
2006-09-29,36.96
2006-10-02,36.57
2006-10-03,36.2
2006-10-04,36.69
2006-10-05,36.43
2006-10-06,36.52
2006-10-09,36.67
2006-10-10,37.06
2006-10-11,37.06
2006-10-13,37.77
2006-10-16,38.22
2006-10-17,38.49
2006-10-18,38.11
2006-10-19,38.41
2006-10-20,38.12
2006-10-23,38.11
2006-10-24,38.26
2006-10-25,35.41
2006-10-26,36.57
2006-10-27,35.89
2006-10-30,36.37
2006-10-31,36.24
2006-11-03,36.09
2006-11-06,37.24
2006-11-07,37.57
2006-11-08,37.58
2006-11-09,36.76
2006-11-10,36.57
2006-11-13,36.41
2006-11-14,36.38
2006-11-16,36.47
2006-11-17,36.19
2006-11-21,35.99
2006-11-22,36.09
2006-11-23,37.44
2006-11-24,37.68
2006-11-27,36.76
2006-11-28,37.54
2006-11-29,38.49
2006-11-30,38.49
2006-12-01,38.49
2006-12-04,39.6
2006-12-05,39.65
2006-12-06,39.65
2006-12-07,40.36
2006-12-08,41.15
2006-12-11,40.9
2006-12-12,40.8
2006-12-13,40.74
2006-12-14,40.42
2006-12-15,40.9
2006-12-18,40.31
2006-12-19,40.9
2006-12-20,40.9
2006-12-21,41.05
2006-12-22,40.64
2006-12-26,40.87
2006-12-27,41.31
2006-12-28,41.31
2007-01-02,41.52
2007-01-03,41.02
2007-01-04,39.85
2007-01-05,38.86
2007-01-08,38.54
2007-01-09,37.82
2007-01-10,38.36
2007-01-11,38.41
2007-01-12,39.64
2007-01-15,39.1
2007-01-16,41.02
2007-01-17,40.83
2007-01-18,39.64
2007-01-19,40.71
2007-01-22,41.02
2007-01-23,41.81
2007-01-24,42.31
2007-01-26,41.93
2007-01-29,41.41
2007-01-30,41.31
2007-01-31,42.2
2007-02-01,41.81
2007-02-02,40.9
2007-02-05,42.69
2007-02-06,42.59
2007-02-07,41.83
2007-02-08,41.61
2007-02-09,42.15
2007-02-12,41.66
2007-02-13,46.82
2007-02-14,48.1
2007-02-15,48.2
2007-02-16,48.1
2007-02-21,48.2
2007-02-22,48.35
2007-02-23,48.4
2007-02-26,50.07
2007-02-27,47.22
2007-02-28,47.71
2007-03-01,48.69
2007-03-02,47.46
2007-03-05,46.48
2007-03-06,46.72
2007-03-07,47.22
2007-03-08,49.09
2007-03-09,48.5
2007-03-12,47.95
2007-03-13,45.84
2007-03-14,46.72
2007-03-15,46.72
2007-03-16,45.74
2007-03-19,46.23
2007-03-20,46.72
2007-03-21,49.18
2007-03-22,46.33
2007-03-23,47.16
2007-03-26,46.97
2007-03-27,46.04
2007-03-28,45.06
2007-03-29,46.33
2007-03-30,47.41
2007-04-02,47.01
2007-04-03,47.71
2007-04-04,47.79
2007-04-05,47.71
2007-04-09,49.18
2007-04-10,49.54
2007-04-11,49.18
2007-04-12,49.68
2007-04-13,48.94
2007-04-16,49.33
2007-04-17,48.5
2007-04-18,49.04
2007-04-19,48.64
2007-04-20,49.68
2007-04-23,49.48
2007-04-24,49.4
2007-04-25,49.6
2007-04-26,49.45
2007-04-27,49.55
2007-04-30,49.94
2007-05-02,49.4
2007-05-03,49.3
2007-05-04,50.79
2007-05-07,51.41
2007-05-08,50.8
2007-05-09,51.3
2007-05-10,49.76
2007-05-11,50.7
2007-05-14,50.7
2007-05-15,51.0
2007-05-16,50.45
2007-05-17,50.73
2007-05-18,51.8
2007-05-21,51.5
2007-05-22,51.2
2007-05-23,50.92
2007-05-24,50.19
2007-05-25,50.3
2007-05-28,50.45
2007-05-29,50.0
2007-05-30,50.0
2007-05-31,50.5
2007-06-01,53.5
2007-06-04,53.89
2007-06-05,53.89
2007-06-06,53.89
2007-06-08,54.29
2007-06-11,54.0
2007-06-12,53.89
2007-06-13,53.89
2007-06-14,53.9
2007-06-15,53.89
