,Adj Close
1998-10-09,0.54
1998-10-13,0.54
1998-10-14,0.54
1998-10-16,0.88
1998-10-19,0.66
1998-10-20,0.72
1998-10-21,0.79
1998-10-22,0.76
1998-10-23,0.72
1998-10-26,0.72
1998-10-27,0.72
1998-10-29,0.7
1998-10-30,0.69
1998-11-03,0.7
1998-11-04,0.72
1998-11-05,0.78
1998-11-06,0.76
1998-11-09,0.72
1998-11-10,0.7
1998-11-11,0.66
1998-11-12,0.69
1998-11-13,0.69
1998-11-17,0.72
1998-11-18,0.76
1998-11-19,0.7
1998-11-20,0.76
1998-11-23,0.78
1998-11-24,0.79
1998-11-25,0.92
1998-11-26,0.92
1998-11-27,0.76
1998-11-30,0.86
1998-12-01,0.82
1998-12-02,0.79
1998-12-03,0.76
1998-12-04,0.76
1998-12-07,0.78
1998-12-11,0.72
1998-12-14,0.72
1998-12-15,0.66
1998-12-16,0.62
1998-12-21,0.64
1998-12-28,0.62
1998-12-29,0.58
1999-01-04,0.64
1999-01-05,0.66
1999-01-06,0.72
1999-01-07,0.76
1999-01-11,0.72
1999-01-12,0.72
1999-01-13,0.79
1999-01-14,0.88
1999-01-15,1.22
1999-01-18,1.17
1999-01-19,1.17
1999-01-20,1.22
1999-01-21,1.34
1999-01-22,1.34
1999-01-26,1.48
1999-01-27,1.6
1999-01-28,1.9
1999-01-29,1.95
1999-02-01,1.78
1999-02-02,1.62
1999-02-03,1.54
1999-02-04,1.42
1999-02-05,1.46
1999-02-08,1.56
1999-02-09,1.54
1999-02-10,1.52
1999-02-11,1.48
1999-02-12,1.48
1999-02-17,1.48
1999-02-18,1.43
1999-02-19,1.52
1999-02-22,1.6
1999-02-23,1.62
1999-02-24,1.75
1999-02-25,1.66
1999-02-26,1.75
1999-03-01,1.75
1999-03-02,1.8
1999-03-03,1.86
1999-03-04,1.8
1999-03-05,1.66
1999-03-08,1.72
1999-03-09,1.62
1999-03-10,1.64
1999-03-11,1.66
1999-03-12,1.64
1999-03-15,1.66
1999-03-16,1.66
1999-03-17,1.66
1999-03-18,1.66
1999-03-19,1.75
1999-03-22,1.8
1999-03-23,1.78
1999-03-24,1.75
1999-03-25,1.75
1999-03-26,1.7
1999-03-29,1.66
1999-03-30,1.72
1999-03-31,1.66
1999-04-06,1.75
1999-04-07,1.91
1999-04-08,1.93
1999-04-09,1.95
1999-04-12,2.05
1999-04-13,2.13
1999-04-14,2.17
1999-04-15,2.35
1999-04-16,2.56
1999-04-19,2.67
1999-04-20,2.54
1999-04-22,2.56
1999-04-23,2.49
1999-04-26,2.52
1999-04-27,2.52
1999-04-28,2.52
1999-04-29,2.42
1999-04-30,2.05
1999-05-03,2.35
1999-05-04,2.36
1999-05-05,2.39
1999-05-06,2.42
1999-05-07,2.42
1999-05-10,2.56
1999-05-11,2.46
1999-05-12,2.42
1999-05-13,2.44
1999-05-14,2.44
1999-05-17,2.42
1999-05-18,2.39
1999-05-19,2.39
1999-05-20,2.38
1999-05-21,2.42
1999-05-24,2.42
1999-05-25,2.38
1999-05-26,2.29
1999-05-27,2.29
1999-05-28,2.29
1999-05-31,2.32
1999-06-01,2.42
1999-06-02,2.44
