,Adj Close
2006-10-30,14.23
2006-10-31,14.35
2006-11-03,14.2
2006-11-06,14.2
2006-11-07,15.09
2006-11-08,14.96
2006-11-09,15.22
2006-11-10,14.66
2006-11-13,14.91
2006-11-14,14.91
2006-11-16,14.7
2006-11-17,15.06
2006-11-21,15.28
2006-11-22,15.44
2006-11-23,15.44
2006-11-24,15.44
2006-11-27,14.73
2006-11-28,14.91
2006-11-29,14.77
2006-11-30,14.8
2006-12-01,14.67
2006-12-04,14.67
2006-12-05,14.91
2006-12-06,14.8
2006-12-07,14.66
2006-12-08,14.51
2006-12-11,14.03
2006-12-12,13.63
2006-12-13,13.56
2006-12-14,13.58
2006-12-15,13.42
2006-12-18,13.92
2006-12-19,14.06
2006-12-20,13.92
2006-12-21,13.73
2006-12-22,13.63
2006-12-26,13.73
2006-12-27,14.13
2006-12-28,14.1
2007-01-02,14.66
2007-01-03,14.2
2007-01-04,14.35
2007-01-05,14.2
2007-01-08,14.2
2007-01-09,13.73
2007-01-10,13.49
2007-01-11,14.13
2007-01-12,13.77
2007-01-15,13.65
2007-01-16,13.08
2007-01-17,13.58
2007-01-19,13.72
2007-01-22,13.27
2007-01-23,13.09
2007-01-24,12.61
2007-01-26,12.54
2007-01-29,12.94
2007-01-30,12.97
2007-01-31,12.94
2007-02-01,12.82
2007-02-02,12.98
2007-02-05,13.09
2007-02-06,13.13
2007-02-07,13.04
2007-02-08,13.01
2007-02-09,12.97
2007-02-12,12.57
2007-02-13,12.54
2007-02-14,12.54
2007-02-15,11.99
2007-02-16,12.36
2007-02-21,12.47
2007-02-22,12.32
2007-02-23,12.22
2007-02-26,11.99
2007-02-27,11.92
2007-02-28,12.16
2007-03-01,11.85
2007-03-02,11.77
2007-03-05,11.37
2007-03-06,11.77
2007-03-07,11.77
2007-03-08,10.96
2007-03-09,11.21
2007-03-12,11.52
2007-03-13,11.37
2007-03-14,10.82
2007-03-15,10.1
2007-03-16,10.58
2007-03-19,11.12
2007-03-20,11.17
2007-03-21,11.34
2007-03-22,11.21
2007-03-23,11.31
2007-03-26,10.96
2007-03-27,10.56
2007-03-28,10.19
2007-03-29,9.71
2007-03-30,10.12
2007-04-02,10.2
2007-04-03,10.32
2007-04-04,10.32
2007-04-05,10.37
2007-04-09,10.25
2007-04-10,10.86
2007-04-11,10.89
2007-04-12,10.82
2007-04-13,10.96
2007-04-16,10.66
2007-04-17,10.44
2007-04-18,10.58
2007-04-19,10.39
2007-04-20,10.92
2007-04-23,11.43
2007-04-24,11.92
2007-04-25,12.16
2007-04-26,12.06
2007-04-27,12.16
2007-04-30,12.09
2007-05-02,12.16
2007-05-03,12.28
2007-05-04,12.63
2007-05-07,12.41
2007-05-08,12.41
2007-05-09,12.42
2007-05-10,12.32
2007-05-11,12.54
2007-05-14,12.54
2007-05-15,12.94
2007-05-16,12.94
2007-05-17,12.94
2007-05-18,13.09
2007-05-21,13.33
2007-05-22,13.58
2007-05-23,13.04
2007-05-24,12.94
2007-05-25,12.94
2007-05-28,12.97
2007-05-29,13.02
2007-05-30,13.09
2007-05-31,12.94
2007-06-01,12.54
2007-06-04,12.42
2007-06-05,12.36
2007-06-06,12.06
2007-06-08,11.6
2007-06-11,11.21
2007-06-12,11.09
2007-06-13,11.26
2007-06-14,11.01
2007-06-15,10.99
2007-06-18,11.26
2007-06-19,11.26
2007-06-20,11.31
2007-06-21,11.52
2007-06-22,11.57
2007-06-25,11.54
2007-06-26,11.57
2007-06-27,11.89
2007-06-28,12.06
2007-06-29,11.95
2007-07-02,12.06
2007-07-03,12.15
2007-07-04,12.0
2007-07-05,11.77
2007-07-06,11.98
2007-07-10,12.22
2007-07-11,12.34
2007-07-12,12.16
2007-07-13,12.15
2007-07-16,11.92
2007-07-17,11.83
2007-07-18,11.6
2007-07-19,11.77
2007-07-20,11.99
2007-07-23,12.14
2007-07-24,11.95
2007-07-25,11.6
2007-07-26,11.21
2007-07-27,11.17
2007-07-30,10.99
2007-07-31,11.17
2007-08-01,10.66
2007-08-02,10.39
2007-08-03,10.29
2007-08-06,10.51
2007-08-07,10.39
2007-08-08,10.42
2007-08-09,10.1
2007-08-10,9.4
2007-08-13,9.45
2007-08-14,9.23
2007-08-15,9.23
2007-08-16,8.77
2007-08-17,8.71
2007-08-20,8.62
2007-08-21,8.66
2007-08-22,8.87
2007-08-23,8.71
2007-08-24,8.62
2007-08-27,8.67
2007-08-28,8.65
2007-08-29,8.62
2007-08-30,8.46
2007-08-31,8.52
2007-09-03,9.06
2007-09-04,9.4
2007-09-05,9.13
2007-09-06,9.1
2007-09-10,8.63
2007-09-11,8.44
2007-09-12,8.52
2007-09-13,8.81
2007-09-14,8.9
2007-09-17,9.1
2007-09-18,9.32
2007-09-19,9.99
2007-09-20,10.7
2007-09-21,10.96
2007-09-24,10.73
2007-09-25,10.7
2007-09-26,10.76
2007-09-27,10.66
2007-09-28,10.82
2007-10-01,11.05
2007-10-02,10.42
2007-10-03,10.16
2007-10-04,10.58
2007-10-05,10.51
2007-10-08,10.82
2007-10-09,11.01
2007-10-10,11.31
2007-10-11,10.99
2007-10-15,11.21
2007-10-16,11.21
2007-10-17,10.96
2007-10-18,10.92
2007-10-19,10.39
2007-10-22,10.03
2007-10-23,10.25
2007-10-24,10.23
2007-10-25,10.08
2007-10-26,10.42
2007-10-29,10.16
