,Adj Close
2007-12-03,23.5
2007-12-04,23.1
2007-12-05,23.59
2007-12-06,23.25
2007-12-07,23.45
2007-12-10,23.3
2007-12-11,23.48
2007-12-12,23.75
2007-12-13,24.39
2007-12-14,23.7
2007-12-17,22.8
2007-12-18,23.6
2007-12-19,23.2
2007-12-20,23.5
2007-12-21,24.2
2007-12-26,24.37
2007-12-27,24.4
2007-12-28,25.0
2008-01-02,24.57
2008-01-03,24.5
2008-01-04,22.75
2008-01-07,21.25
2008-01-08,20.9
2008-01-09,20.45
2008-01-10,18.81
2008-01-11,17.6
2008-01-14,17.2
2008-01-15,16.7
2008-01-16,15.19
2008-01-17,15.41
2008-01-18,16.69
2008-01-21,15.3
2008-01-22,15.4
2008-01-23,13.8
2008-01-24,16.3
2008-01-28,17.1
2008-01-29,17.35
2008-01-30,16.9
2008-01-31,15.9
2008-02-01,16.19
2008-02-06,15.9
2008-02-07,15.89
2008-02-08,16.31
2008-02-11,16.89
2008-02-12,17.39
2008-02-13,16.71
2008-02-14,16.3
2008-02-15,16.2
2008-02-18,16.09
2008-02-19,15.77
2008-02-20,18.2
2008-02-21,18.3
2008-02-22,18.0
2008-02-25,18.0
2008-02-26,17.85
2008-02-27,18.0
2008-02-28,18.43
2008-02-29,18.03
2008-03-03,18.7
2008-03-04,17.9
2008-03-05,18.25
2008-03-06,17.9
2008-03-07,17.55
2008-03-10,17.19
2008-03-11,17.85
2008-03-12,17.35
2008-03-13,16.51
2008-03-14,15.9
2008-03-17,15.15
2008-03-18,15.65
2008-03-19,15.0
2008-03-20,14.7
2008-03-24,15.75
2008-03-25,16.8
2008-03-26,16.52
2008-03-27,16.47
2008-03-28,16.51
2008-03-31,16.0
2008-04-01,15.91
2008-04-02,15.87
2008-04-03,16.5
2008-04-04,17.0
2008-04-07,16.5
2008-04-08,16.04
2008-04-09,15.8
2008-04-10,15.0
2008-04-11,14.75
2008-04-14,14.35
2008-04-15,13.45
2008-04-16,14.1
2008-04-17,13.31
2008-04-18,13.0
2008-04-22,13.3
2008-04-23,12.92
2008-04-24,13.05
2008-04-25,13.69
2008-04-28,14.49
2008-04-29,14.03
2008-04-30,16.6
2008-05-02,18.3
2008-05-05,17.49
2008-05-06,16.92
2008-05-07,17.25
2008-05-08,17.7
2008-05-09,17.88
2008-05-12,18.95
2008-05-13,18.93
2008-05-14,18.35
2008-05-15,17.98
2008-05-16,18.6
2008-05-19,18.58
2008-05-20,18.41
2008-05-21,18.26
2008-05-23,18.1
2008-05-26,18.0
2008-05-27,18.47
2008-05-28,18.69
2008-05-29,18.35
2008-05-30,18.45
2008-06-02,18.11
2008-06-03,17.21
2008-06-04,16.55
2008-06-05,16.92
2008-06-06,15.9
2008-06-09,16.05
2008-06-10,15.65
2008-06-11,15.0
2008-06-12,15.15
2008-06-13,16.01
2008-06-16,16.45
2008-06-17,16.9
2008-06-18,16.35
2008-06-19,15.64
2008-06-20,15.35
2008-06-23,14.9
2008-06-24,15.35
2008-06-25,15.55
2008-06-26,14.85
2008-06-27,14.0
2008-06-30,13.75
2008-07-01,13.1
2008-07-02,12.6
2008-07-03,12.73
2008-07-04,12.85
2008-07-07,13.48
2008-07-08,13.97
2008-07-10,12.8
2008-07-11,12.75
2008-07-14,12.3
2008-07-15,12.45
2008-07-16,12.59
2008-07-17,12.43
2008-07-18,12.07
2008-07-21,11.96
2008-07-22,12.1
2008-07-23,12.8
2008-07-24,12.8
2008-07-25,12.8
2008-07-28,12.94
2008-07-29,13.17
2008-07-30,13.76
2008-07-31,13.8
2008-08-01,13.1
2008-08-04,11.91
2008-08-05,11.95
2008-08-06,12.08
2008-08-07,11.85
2008-08-08,11.75
2008-08-11,11.37
2008-08-12,10.6
2008-08-13,10.4
2008-08-14,10.47
2008-08-15,10.05
2008-08-18,9.91
