,Adj Close
2005-11-16,32.13
2005-11-17,31.5
2005-11-18,30.67
2005-11-21,31.01
2005-11-22,31.26
2005-11-23,32.19
2005-11-24,32.37
2005-11-25,31.75
2005-11-28,31.45
2005-11-29,30.45
2005-11-30,30.72
2005-12-01,31.75
2005-12-02,31.93
2005-12-05,31.65
2005-12-06,32.27
2005-12-07,31.84
2005-12-08,32.34
2005-12-09,32.34
2005-12-12,32.8
2005-12-13,32.85
2005-12-14,33.05
2005-12-15,33.14
2005-12-16,33.06
2005-12-19,33.05
2005-12-20,32.04
2005-12-21,31.64
2005-12-22,31.75
2005-12-23,32.32
2005-12-26,32.48
2005-12-27,32.33
2005-12-28,32.33
2005-12-29,31.52
2006-01-02,32.29
2006-01-03,32.89
2006-01-04,33.97
2006-01-05,34.78
2006-01-06,34.55
2006-01-09,34.32
2006-01-10,35.7
2006-01-11,37.91
2006-01-12,40.73
2006-01-13,41.4
2006-01-17,40.56
2006-01-18,40.16
2006-01-19,42.41
2006-01-20,43.15
2006-01-23,42.68
2006-01-24,43.33
2006-01-26,44.49
2006-01-27,47.0
2006-01-30,49.87
2006-01-31,48.84
2006-02-01,48.3
2006-02-02,45.17
2006-02-03,42.94
2006-02-06,40.39
2006-02-07,40.77
2006-02-08,42.48
2006-02-09,42.48
2006-02-10,43.32
2006-02-13,42.68
2006-02-14,42.51
2006-02-15,42.39
2006-02-16,42.77
2006-02-17,41.71
2006-02-20,41.97
2006-02-21,41.7
2006-02-22,40.89
2006-02-23,42.06
2006-02-24,44.69
2006-03-01,47.95
2006-03-02,49.74
2006-03-03,49.12
2006-03-06,46.05
2006-03-07,44.62
2006-03-08,45.37
2006-03-09,43.8
2006-03-10,44.72
2006-03-13,44.67
2006-03-14,45.17
2006-03-15,45.27
2006-03-16,46.11
2006-03-17,45.27
2006-03-20,46.15
2006-03-21,44.62
2006-03-22,46.11
2006-03-23,44.73
2006-03-24,45.25
2006-03-27,44.72
2006-03-28,42.41
2006-03-29,43.93
2006-03-30,44.13
2006-03-31,44.8
2006-04-03,46.71
2006-04-04,47.79
2006-04-05,47.32
2006-04-06,46.77
2006-04-07,45.44
2006-04-10,44.88
2006-04-11,43.48
2006-04-12,43.67
2006-04-13,43.58
2006-04-17,44.89
2006-04-18,43.93
2006-04-19,45.06
2006-04-20,46.2
2006-04-24,45.09
2006-04-25,45.64
2006-04-26,45.15
2006-04-27,43.71
2006-04-28,44.03
2006-05-02,46.11
2006-05-03,45.81
2006-05-04,45.81
2006-05-05,46.77
2006-05-08,46.37
2006-05-09,47.69
2006-05-10,47.02
2006-05-11,46.77
2006-05-12,48.62
2006-05-15,47.59
2006-05-16,46.84
2006-05-17,46.3
2006-05-19,47.79
2006-05-22,45.07
2006-05-23,45.81
2006-05-24,43.29
2006-05-25,42.48
2006-05-26,43.03
2006-05-29,42.17
2006-05-30,40.48
2006-05-31,39.83
2006-06-01,41.4
2006-06-02,41.27
2006-06-05,41.52
2006-06-06,41.14
2006-06-07,40.22
2006-06-08,39.28
2006-06-09,40.94
2006-06-12,40.22
2006-06-13,38.4
2006-06-14,36.74
2006-06-16,38.35
2006-06-19,38.8
2006-06-20,39.34
2006-06-21,38.91
2006-06-22,39.81
2006-06-23,40.4
2006-06-26,39.08
2006-06-27,38.37
2006-06-28,39.08
2006-06-29,41.75
2006-06-30,43.03
2006-07-03,44.88
2006-07-04,44.17
2006-07-05,42.86
2006-07-06,42.52
2006-07-07,42.81
2006-07-10,42.59
2006-07-11,43.34
2006-07-12,43.64
2006-07-13,43.82
2006-07-14,44.3
2006-07-17,44.02
2006-07-18,44.1
2006-07-19,44.32
2006-07-20,43.44
2006-07-21,43.82
2006-07-24,44.79
2006-07-25,45.12
2006-07-26,44.07
2006-07-27,43.82
2006-07-28,43.91
2006-07-31,42.93
2006-08-01,42.95
2006-08-02,42.87
2006-08-03,43.17
2006-08-04,44.79
2006-08-07,44.85
2006-08-08,45.54
2006-08-09,45.74
2006-08-10,47.67
2006-08-11,45.93
2006-08-14,44.79
2006-08-15,43.42
2006-08-16,42.62
2006-08-17,42.11
2006-08-18,42.44
2006-08-21,42.63
2006-08-22,41.82
2006-08-23,40.22
2006-08-24,40.41
2006-08-25,40.97
2006-08-28,40.03
2006-08-29,39.99
2006-08-30,40.0
2006-08-31,40.98
2006-09-01,42.55
2006-09-04,42.41
2006-09-05,42.46
2006-09-06,42.68
2006-09-08,42.68
2006-09-11,42.12
2006-09-12,42.13
2006-09-13,43.25
2006-09-14,42.87
2006-09-15,44.21
2006-09-18,43.0
2006-09-19,42.15
2006-09-20,40.55
2006-09-21,39.36
2006-09-22,40.69
2006-09-25,40.31
2006-09-26,39.93
2006-09-27,40.48
2006-09-28,41.46
2006-09-29,41.3
2006-10-02,41.07
2006-10-03,42.93
2006-10-04,46.51
2006-10-05,46.74
2006-10-06,46.69
2006-10-09,48.06
2006-10-10,46.13
2006-10-11,45.74
2006-10-13,46.22
2006-10-16,46.22
2006-10-17,46.6
2006-10-18,48.89
2006-10-19,47.93
2006-10-20,47.16
2006-10-23,48.12
2006-10-24,48.26
2006-10-25,48.12
2006-10-26,48.12
2006-10-27,47.65
2006-10-30,48.63
2006-10-31,47.88
2006-11-03,48.25
2006-11-06,49.54
2006-11-07,49.2
2006-11-08,48.91
2006-11-09,49.17
2006-11-10,48.71
2006-11-13,48.25
2006-11-14,49.15
2006-11-16,49.14
2006-11-17,48.25
2006-11-21,48.01
2006-11-22,47.83
2006-11-23,49.17
2006-11-24,48.45
2006-11-27,47.49
2006-11-28,47.02
2006-11-29,47.49
2006-11-30,46.63
2006-12-01,46.39
2006-12-04,47.13
2006-12-05,47.49
2006-12-06,47.3
2006-12-07,46.62
2006-12-08,47.56
2006-12-11,47.5
2006-12-12,46.39
2006-12-13,46.62
2006-12-14,46.21
2006-12-15,46.32
2006-12-18,46.21
2006-12-19,45.36
2006-12-20,45.18
2006-12-21,45.46
2006-12-22,45.27
2006-12-26,45.88
2006-12-27,46.16
2006-12-28,45.23
2007-01-02,46.92
2007-01-03,47.0
2007-01-04,46.84
2007-01-05,44.9
2007-01-08,45.18
2007-01-09,43.82
2007-01-10,44.75
2007-01-11,44.76
2007-01-12,45.05
2007-01-15,45.23
2007-01-16,44.96
2007-01-17,45.24
2007-01-19,46.18
2007-01-22,46.43
2007-01-23,46.62
2007-01-24,46.63
2007-01-26,45.82
2007-01-29,45.32
2007-01-30,45.24
2007-01-31,45.0
2007-02-01,45.02
2007-02-02,45.41
2007-02-05,44.78
2007-02-06,44.07
2007-02-07,44.1
2007-02-08,44.1
2007-02-09,43.83
2007-02-12,43.83
2007-02-13,43.57
2007-02-14,44.17
2007-02-15,42.84
2007-02-16,42.91
2007-02-21,42.15
2007-02-22,42.58
2007-02-23,41.89
2007-02-26,41.03
2007-02-27,37.91
2007-02-28,37.25
2007-03-01,36.93
2007-03-02,36.38
2007-03-05,35.82
2007-03-06,37.5
2007-03-07,36.84
2007-03-08,37.02
2007-03-09,37.04
2007-03-12,36.84
2007-03-13,36.91
2007-03-14,37.32
2007-03-15,36.38
2007-03-16,35.13
2007-03-19,34.8
2007-03-20,34.43
2007-03-21,34.98
2007-03-22,35.26
2007-03-23,35.44
2007-03-26,34.05
2007-03-27,33.25
2007-03-28,30.31
2007-03-29,28.84
2007-03-30,27.35
2007-04-02,27.25
2007-04-03,28.69
2007-04-04,29.4
2007-04-05,30.22
2007-04-09,29.57
2007-04-10,30.22
2007-04-11,29.61
2007-04-12,30.04
2007-04-13,29.38
2007-04-16,29.2
2007-04-17,29.24
2007-04-18,30.31
2007-04-19,31.25
2007-04-20,31.05
2007-04-23,30.65
2007-04-24,30.74
2007-04-25,30.84
2007-04-26,30.3
2007-04-27,30.04
2007-04-30,29.38
2007-05-02,29.19
2007-05-03,29.2
2007-05-04,29.16
2007-05-07,28.72
2007-05-08,28.84
2007-05-09,29.52
2007-05-10,28.84
2007-05-11,29.09
2007-05-14,28.92
2007-05-15,28.97
2007-05-16,29.05
2007-05-17,28.64
2007-05-18,28.69
2007-05-21,28.92
2007-05-22,30.74
2007-05-23,31.04
2007-05-24,30.31
2007-05-25,30.62
2007-05-28,32.04
2007-05-29,33.86
2007-05-30,34.06
2007-05-31,32.69
2007-06-01,33.75
2007-06-04,34.05
2007-06-05,33.73
2007-06-06,32.65
2007-06-08,32.14
2007-06-11,31.02
2007-06-12,30.29
2007-06-13,30.18
2007-06-14,30.18
2007-06-15,30.96
2007-06-18,31.12
2007-06-19,31.14
2007-06-20,30.78
2007-06-21,30.77
2007-06-22,30.55
2007-06-25,30.39
2007-06-26,29.38
2007-06-27,28.78
2007-06-28,28.59
2007-06-29,28.64
2007-07-02,29.01
2007-07-03,29.17
2007-07-04,29.23
2007-07-05,29.03
2007-07-06,28.8
2007-07-10,28.92
2007-07-11,29.39
2007-07-12,29.98
2007-07-13,29.88
2007-07-16,29.31
2007-07-17,29.61
2007-07-18,30.25
2007-07-19,30.96
2007-07-20,31.11
2007-07-23,31.36
2007-07-24,30.86
2007-07-25,30.65
2007-07-26,30.53
2007-07-27,30.11
2007-07-30,30.45
2007-07-31,30.35
2007-08-01,29.59
2007-08-02,29.88
2007-08-03,29.03
2007-08-06,29.23
2007-08-07,29.72
2007-08-08,31.06
2007-08-09,30.84
2007-08-10,30.19
2007-08-13,30.17
2007-08-14,28.72
2007-08-15,27.4
2007-08-16,26.33
2007-08-17,27.39
2007-08-20,28.16
2007-08-21,28.84
2007-08-22,29.81
2007-08-23,28.82
2007-08-24,29.12
2007-08-27,28.89
2007-08-28,28.2
2007-08-29,28.36
2007-08-30,28.64
2007-08-31,28.64
2007-09-03,28.64
2007-09-04,28.65
2007-09-05,28.16
2007-09-06,28.18
2007-09-10,27.59
2007-09-11,26.44
2007-09-12,25.89
2007-09-13,26.15
2007-09-14,26.62
2007-09-17,26.71
2007-09-18,27.4
2007-09-19,27.77
2007-09-20,27.68
2007-09-21,28.16
2007-09-24,27.96
2007-09-25,28.75
2007-09-26,29.89
2007-09-27,31.42
2007-09-28,30.65
2007-10-01,30.01
2007-10-02,30.06
2007-10-03,30.21
2007-10-04,29.9
2007-10-05,30.84
2007-10-08,29.82
2007-10-09,29.82
2007-10-10,28.84
2007-10-11,28.26
2007-10-15,28.16
2007-10-16,27.02
2007-10-17,28.11
2007-10-18,29.04
2007-10-19,28.16
2007-10-22,28.61
2007-10-23,28.64
2007-10-24,28.02
2007-10-25,27.82
2007-10-26,28.97
2007-10-29,28.74
2007-10-30,28.92
2007-10-31,29.25
2007-11-01,28.16
2007-11-05,28.0
2007-11-06,28.8
2007-11-07,28.55
2007-11-08,28.33
2007-11-09,28.64
2007-11-12,28.07
2007-11-13,27.71
2007-11-14,27.71
2007-11-16,27.68
2007-11-19,26.72
2007-11-21,25.23
2007-11-22,25.11
2007-11-23,24.53
2007-11-26,23.96
2007-11-27,24.59
2007-11-28,25.11
2007-11-29,26.07
2007-11-30,26.24
2007-12-03,26.05
2007-12-04,27.01
2007-12-05,27.12
2007-12-06,26.3
2007-12-07,25.62
2007-12-10,25.63
2007-12-11,25.95
2007-12-12,26.4
2007-12-13,25.95
2007-12-14,26.0
2007-12-17,25.11
2007-12-18,25.66
2007-12-19,25.4
2007-12-20,24.45
2007-12-21,24.49
2007-12-26,24.04
2007-12-27,23.63
2007-12-28,22.52
2008-01-02,22.42
2008-01-03,23.11
2008-01-04,22.9
2008-01-07,23.25
2008-01-08,23.75
2008-01-09,25.08
2008-01-10,25.76
2008-01-11,24.65
2008-01-14,24.64
2008-01-15,24.52
2008-01-16,24.82
2008-01-17,23.86
2008-01-18,23.71
2008-01-21,21.67
2008-01-22,22.72
2008-01-23,21.17
2008-01-24,22.34
2008-01-28,22.56
2008-01-29,23.23
2008-01-30,23.1
2008-01-31,22.07
2008-02-01,22.9
2008-02-06,22.08
2008-02-07,21.98
2008-02-08,21.75
2008-02-11,22.81
2008-02-12,23.11
2008-02-13,24.14
2008-02-14,23.36
2008-02-15,23.62
2008-02-18,23.58
2008-02-19,22.47
2008-02-20,22.56
2008-02-21,22.76
2008-02-22,22.99
2008-02-25,22.74
2008-02-26,23.56
2008-02-27,24.11
2008-02-28,24.04
2008-02-29,23.39
2008-03-03,24.68
2008-03-04,24.23
2008-03-05,24.45
2008-03-06,23.23
2008-03-07,23.43
2008-03-10,22.91
2008-03-11,24.26
2008-03-12,23.82
2008-03-13,22.9
2008-03-14,22.47
2008-03-17,21.77
2008-03-18,22.15
2008-03-19,20.67
2008-03-20,20.99
2008-03-24,21.01
2008-03-25,21.18
2008-03-26,20.91
2008-03-27,20.34
2008-03-28,20.27
2008-03-31,20.3
2008-04-01,20.81
2008-04-02,21.58
2008-04-03,22.55
2008-04-04,23.3
2008-04-07,23.67
2008-04-08,24.03
2008-04-09,23.66
2008-04-10,23.01
2008-04-11,22.21
2008-04-14,21.97
2008-04-15,21.76
2008-04-16,21.97
2008-04-17,22.44
2008-04-18,22.72
2008-04-22,23.53
2008-04-23,22.96
2008-04-24,23.34
2008-04-25,24.34
2008-04-28,23.39
2008-04-29,22.27
2008-04-30,24.24
2008-05-02,24.63
2008-05-05,23.97
2008-05-06,23.76
2008-05-07,22.72
2008-05-08,22.95
2008-05-09,22.9
2008-05-12,23.23
2008-05-13,23.43
2008-05-14,23.47
2008-05-15,24.35
2008-05-16,25.44
2008-05-19,25.63
2008-05-20,26.16
2008-05-21,26.33
2008-05-23,34.64
2008-05-26,35.6
2008-05-27,35.88
2008-05-28,36.86
2008-05-29,38.95
2008-05-30,38.07
2008-06-02,38.4
2008-06-03,37.55
2008-06-04,38.18
2008-06-05,39.18
2008-06-06,38.85
2008-06-09,40.32
2008-06-10,42.68
2008-06-11,41.69
2008-06-12,41.79
2008-06-13,42.37
2008-06-16,42.57
2008-06-17,42.85
2008-06-18,41.32
2008-06-19,41.99
2008-06-20,41.77
2008-06-23,41.36
2008-06-24,41.29
2008-06-25,41.79
2008-06-26,40.38
2008-06-27,41.01
2008-06-30,40.13
2008-07-01,39.01
2008-07-02,38.07
2008-07-03,36.44
2008-07-04,36.35
2008-07-07,35.37
2008-07-08,36.83
2008-07-10,39.27
2008-07-11,40.12
2008-07-14,41.17
2008-07-15,42.94
2008-07-16,42.35
2008-07-17,41.19
2008-07-18,40.44
2008-07-21,41.68
2008-07-22,40.51
2008-07-23,41.3
2008-07-24,40.72
2008-07-25,40.56
2008-07-28,39.75
2008-07-29,40.32
2008-07-30,40.23
2008-07-31,40.27
2008-08-01,39.45
2008-08-04,38.79
2008-08-05,40.02
2008-08-06,41.0
2008-08-07,39.75
2008-08-08,39.75
2008-08-11,37.82
2008-08-12,39.08
2008-08-13,38.67
2008-08-14,39.66
2008-08-15,38.69
2008-08-18,38.78
2008-08-19,39.17
2008-08-20,39.65
2008-08-21,38.93
2008-08-22,38.48
2008-08-25,37.33
2008-08-26,36.25
2008-08-27,36.68
2008-08-28,37.52
2008-08-29,37.94
2008-09-01,36.64
2008-09-02,36.18
2008-09-03,36.35
2008-09-04,34.79
2008-09-05,36.17
2008-09-08,34.42
2008-09-09,34.13
2008-09-10,33.8
2008-09-11,34.7
2008-09-12,36.84
2008-09-15,36.43
2008-09-16,36.07
2008-09-17,33.91
2008-09-18,36.34
2008-09-19,37.48
2008-09-22,36.16
2008-09-23,37.62
2008-09-24,39.01
2008-09-25,40.72
2008-09-26,40.88
2008-09-29,37.91
2008-09-30,39.38
2008-10-01,39.48
2008-10-02,37.03
2008-10-03,36.73
2008-10-06,31.5
2008-10-07,27.15
2008-10-08,23.8
2008-10-09,22.71
2008-10-10,22.03
2008-10-13,26.47
2008-10-14,29.02
2008-10-15,26.56
2008-10-16,28.64
2008-10-17,27.49
2008-10-20,29.72
2008-10-21,29.9
2008-10-22,28.64
2008-10-23,28.34
2008-10-24,26.56
2008-10-27,26.65
2008-10-28,31.5
2008-10-29,33.37
2008-10-30,34.12
2008-10-31,31.9
2008-11-03,34.69
2008-11-04,39.49
2008-11-05,39.3
2008-11-06,44.43
2008-11-07,47.98
2008-11-10,52.43
2008-11-11,49.74
2008-11-12,48.77
2008-11-13,51.28
2008-11-14,51.84
2008-11-17,52.09
2008-11-18,50.84
2008-11-19,50.66
2008-11-21,62.2
2008-11-24,62.76
2008-11-25,62.98
2008-11-26,62.79
2008-11-27,62.3
2008-11-28,62.69
2008-12-01,62.6
2008-12-02,63.05
2008-12-03,62.6
2008-12-04,62.87
2008-12-05,63.54
2008-12-08,62.98
2008-12-09,63.6
2008-12-10,63.71
2008-12-11,63.79
2008-12-12,63.59
2008-12-15,63.24
2008-12-16,63.68
2008-12-17,62.71
2008-12-18,65.17
2008-12-19,67.14
2008-12-22,67.15
2008-12-23,67.14
2008-12-26,67.15
2008-12-29,67.11
2008-12-30,67.34
2009-01-02,67.69
2009-01-05,67.74
2009-01-06,68.03
2009-01-07,67.74
2009-01-08,67.76
2009-01-09,67.74
2009-01-12,67.98
2009-01-13,68.43
2009-01-14,68.33
2009-01-15,68.39
2009-01-16,68.47
2009-01-19,68.17
2009-01-20,68.22
2009-01-21,68.36
2009-01-22,67.43
2009-01-23,67.58
2009-01-26,67.95
2009-01-27,67.74
2009-01-28,68.01
2009-01-29,67.95
2009-01-30,68.06
2009-02-02,68.06
2009-02-03,67.98
2009-02-04,68.06
2009-02-05,68.05
2009-02-06,68.05
2009-02-09,68.02
2009-02-10,67.99
2009-02-11,67.98
2009-02-12,68.03
2009-02-13,67.95
2009-02-16,68.04
2009-02-17,67.95
2009-02-18,67.95
2009-02-19,68.06
2009-02-20,67.95
2009-02-25,68.05
2009-02-26,68.72
2009-02-27,69.02
2009-03-02,68.72
2009-03-03,68.84
2009-03-04,68.86
2009-03-05,68.83
2009-03-06,68.9
2009-03-09,68.93
2009-03-10,68.97
2009-03-11,69.0
2009-03-12,69.21
2009-03-13,69.21
2009-03-16,69.13
2009-03-17,69.22
2009-03-18,69.39
2009-03-19,69.29
2009-03-20,69.29
2009-03-23,69.47
2009-03-24,69.43
2009-03-25,69.81
2009-03-26,69.62
2009-03-27,69.55
2009-03-30,69.62
2009-03-31,69.95
2009-04-01,70.24
2009-04-02,69.99
2009-04-03,70.4
2009-04-06,70.35
2009-04-07,70.35
2009-04-08,70.1
2009-04-09,70.23
2009-04-13,70.04
2009-04-14,70.56
2009-04-15,70.49
2009-04-16,70.51
2009-04-17,70.4
2009-04-20,70.6
2009-04-22,70.3
2009-04-23,70.59
2009-04-24,70.49
2009-04-27,70.49
2009-04-28,70.68
2009-04-29,70.98
2009-04-30,70.81
2009-05-04,71.66
2009-05-05,71.83
2009-05-06,71.74
2009-05-07,71.53
2009-05-08,71.59
2009-05-11,71.44
2009-05-12,71.46
2009-05-13,70.61
2009-05-14,71.12
2009-05-15,71.0
2009-05-18,71.08
2009-05-19,70.98
2009-05-20,70.95
2009-05-21,71.16
2009-05-22,71.59
2009-05-25,71.72
2009-05-26,71.99
2009-05-27,72.08
2009-05-28,72.26
2009-05-29,72.13
2009-06-01,72.02
2009-06-02,71.89
2009-06-03,71.77
2009-06-04,72.37
2009-06-05,71.92
2009-06-08,72.14
2009-06-09,72.05
2009-06-10,72.08
2009-06-12,72.26
2009-06-15,71.83
2009-06-16,71.83
2009-06-17,72.12
2009-06-18,72.25
2009-06-19,72.35
2009-06-22,72.12
2009-06-23,72.23
2009-06-24,72.14
2009-06-25,72.45
2009-06-26,72.32
2009-06-29,72.32
2009-06-30,72.4
2009-07-01,72.37
2009-07-02,72.45
2009-07-03,72.39
2009-07-06,72.49
2009-07-07,72.39
2009-07-08,72.32
2009-07-10,72.4
2009-07-13,72.49
2009-07-14,72.61
2009-07-15,72.91
2009-07-16,73.02
2009-07-17,73.27
2009-07-20,73.31
2009-07-21,73.37
2009-07-22,73.27
2009-07-23,73.33
2009-07-24,73.4
2009-07-27,73.49
2009-07-28,73.73
2009-07-29,73.73
2009-07-30,73.78
2009-07-31,73.77
2009-08-03,73.96
2009-08-04,73.98
2009-08-05,73.99
2009-08-06,73.98
2009-08-07,74.01
2009-08-10,74.09
2009-08-11,74.04
2009-08-12,74.16
2009-08-13,74.1
2009-08-14,74.2
2009-08-17,74.21
2009-08-18,74.25
2009-08-19,74.2
2009-08-20,74.25
