,Adj Close
2007-10-30,29.18
2007-10-31,30.45
2007-11-01,30.86
2007-11-05,29.79
2007-11-06,30.92
2007-11-07,31.85
2007-11-08,31.85
2007-11-09,34.66
2007-11-12,34.34
2007-11-13,33.54
2007-11-14,34.1
2007-11-16,33.03
2007-11-19,31.29
2007-11-21,29.97
2007-11-22,30.4
2007-11-23,29.89
2007-11-26,29.51
2007-11-27,28.11
2007-11-28,30.26
2007-11-29,32.4
2007-11-30,31.76
2007-12-03,30.45
2007-12-04,30.54
2007-12-05,32.32
2007-12-06,32.98
2007-12-07,33.26
2007-12-10,33.59
2007-12-11,33.35
2007-12-12,33.63
2007-12-13,33.68
2007-12-14,33.31
2007-12-17,31.39
2007-12-18,30.92
2007-12-19,31.15
2007-12-20,30.92
2007-12-21,32.14
2007-12-26,32.04
2007-12-27,31.62
2007-12-28,32.14
2008-01-02,31.25
2008-01-03,30.92
2008-01-04,28.39
2008-01-07,26.92
2008-01-08,28.06
2008-01-09,27.54
2008-01-10,26.23
2008-01-11,26.65
2008-01-14,25.3
2008-01-15,22.96
2008-01-16,23.43
2008-01-17,24.26
2008-01-18,23.33
2008-01-21,21.88
2008-01-22,22.11
2008-01-23,20.42
2008-01-24,23.09
2008-01-28,23.98
2008-01-29,24.36
2008-01-30,24.73
2008-01-31,24.08
2008-02-01,25.53
2008-02-06,24.03
2008-02-07,23.05
2008-02-08,22.04
2008-02-11,23.3
2008-02-12,23.89
2008-02-13,24.12
2008-02-14,23.8
2008-02-15,23.04
2008-02-18,23.23
2008-02-19,22.53
2008-02-20,24.83
2008-02-21,23.99
2008-02-22,23.66
2008-02-25,23.98
2008-02-26,24.17
2008-02-27,25.2
2008-02-28,25.96
2008-02-29,24.83
2008-03-03,26.05
2008-03-04,24.87
2008-03-05,25.86
2008-03-06,24.85
2008-03-07,24.23
2008-03-10,24.21
2008-03-11,25.62
2008-03-12,25.47
2008-03-13,24.64
2008-03-14,23.85
2008-03-17,22.12
2008-03-18,23.33
2008-03-19,22.2
2008-03-20,21.55
2008-03-24,22.39
2008-03-25,23.28
2008-03-26,24.59
2008-03-27,23.89
2008-03-28,23.89
2008-03-31,22.16
2008-04-01,22.42
2008-04-02,22.53
2008-04-03,24.17
2008-04-04,24.82
2008-04-07,23.94
2008-04-08,23.13
2008-04-09,22.39
2008-04-10,21.31
2008-04-11,21.36
2008-04-14,20.29
2008-04-15,19.53
2008-04-16,20.54
2008-04-17,19.31
2008-04-18,19.53
2008-04-22,19.91
2008-04-23,19.21
2008-04-24,18.78
2008-04-25,19.79
2008-04-28,20.61
2008-04-29,19.89
2008-04-30,23.33
2008-05-02,26.47
2008-05-05,25.3
2008-05-06,24.37
2008-05-07,24.87
2008-05-08,25.53
2008-05-09,26.0
2008-05-12,27.24
2008-05-13,27.31
2008-05-14,26.45
2008-05-15,25.94
2008-05-16,26.94
2008-05-19,26.8
2008-05-20,26.6
2008-05-21,26.4
2008-05-23,26.12
2008-05-26,26.05
2008-05-27,26.85
2008-05-28,27.2
2008-05-29,27.15
2008-05-30,26.8
2008-06-02,26.5
2008-06-03,25.2
2008-06-04,24.0
2008-06-05,24.47
2008-06-06,23.0
2008-06-09,23.34
2008-06-10,22.7
2008-06-11,21.75
2008-06-12,21.76
2008-06-13,23.1
2008-06-16,23.6
2008-06-17,24.24
2008-06-18,23.24
2008-06-19,22.25
2008-06-20,22.0
2008-06-23,21.4
2008-06-24,21.9
2008-06-25,22.29
2008-06-26,21.21
2008-06-27,20.09
2008-06-30,19.9
2008-07-01,18.85
2008-07-02,18.14
2008-07-03,18.1
2008-07-04,18.3
2008-07-07,19.06
2008-07-08,20.0
2008-07-10,18.85
2008-07-11,18.3
2008-07-14,17.6
2008-07-15,17.9
2008-07-16,17.95
2008-07-17,17.8
2008-07-18,17.37
2008-07-21,17.0
2008-07-22,17.34
2008-07-23,18.39
2008-07-24,18.3
2008-07-25,18.4
2008-07-28,18.5
2008-07-29,18.74
2008-07-30,19.49
2008-07-31,19.79
2008-08-01,18.7
2008-08-04,16.92
2008-08-05,17.2
2008-08-06,17.35
2008-08-07,17.04
2008-08-08,16.9
2008-08-11,16.3
2008-08-12,15.25
2008-08-13,14.8
2008-08-14,14.94
2008-08-15,14.41
2008-08-18,14.25
