,Adj Close
2002-06-28,12.38
2002-07-01,11.84
2002-07-02,11.34
2002-07-03,11.53
2002-07-04,11.34
2002-07-05,11.38
2002-07-08,11.84
2002-07-10,11.82
2002-07-11,12.0
2002-07-12,12.09
2002-07-15,11.12
2002-07-16,10.98
2002-07-17,11.34
2002-07-18,11.53
2002-07-19,11.32
2002-07-22,10.53
2002-07-23,10.74
2002-07-24,10.79
2002-07-25,10.49
2002-07-26,10.31
2002-07-29,10.34
2002-07-30,9.94
2002-07-31,10.49
2002-08-01,10.17
2002-08-02,9.91
2002-08-05,9.07
2002-08-06,9.76
2002-08-07,9.55
2002-08-08,10.71
2002-08-09,10.27
2002-08-12,10.49
2002-08-13,10.34
2002-08-14,10.43
2002-08-15,10.47
2002-08-16,10.89
2002-08-19,10.64
2002-08-20,10.38
2002-08-21,10.98
2002-08-22,11.57
2002-08-23,11.25
2002-08-26,12.38
2002-08-27,12.38
2002-08-28,11.88
2002-08-30,11.29
2002-09-02,11.32
2002-09-03,10.91
2002-09-04,10.94
2002-09-05,10.66
2002-09-06,10.79
2002-09-09,11.2
2002-09-10,11.21
2002-09-11,11.57
2002-09-12,11.49
2002-09-13,11.56
2002-09-16,11.42
2002-09-17,11.25
2002-09-18,11.05
2002-09-19,10.87
2002-09-20,11.0
2002-09-23,10.93
2002-09-24,10.91
2002-09-25,10.99
2002-09-26,11.16
2002-09-27,10.57
2002-09-30,10.56
2002-10-01,11.28
2002-10-02,10.66
2002-10-03,11.17
2002-10-04,11.07
2002-10-07,10.61
2002-10-08,10.71
2002-10-09,10.49
2002-10-10,10.94
2002-10-11,10.94
2002-10-14,10.49
2002-10-15,10.76
2002-10-16,10.68
2002-10-17,11.07
2002-10-18,10.84
2002-10-21,11.12
2002-10-22,10.83
2002-10-23,11.34
2002-10-24,11.88
2002-10-25,11.9
2002-10-28,11.73
2002-10-29,11.79
2002-10-30,12.38
2002-10-31,12.77
2002-11-01,12.52
2002-11-04,11.99
2002-11-05,12.0
2002-11-06,11.65
2002-11-07,11.6
2002-11-08,11.25
2002-11-11,11.02
2002-11-12,10.83
2002-11-13,11.12
2002-11-14,10.75
2002-11-18,10.84
2002-11-19,10.91
2002-11-20,11.09
2002-11-21,11.29
2002-11-22,11.34
2002-11-25,11.34
2002-11-26,11.11
2002-11-27,11.07
2002-11-28,11.07
2002-11-29,12.0
2002-12-02,11.73
2002-12-03,11.73
2002-12-04,11.58
2002-12-05,11.73
2002-12-06,11.49
2002-12-09,11.17
2002-12-10,11.27
2002-12-11,11.57
2002-12-12,11.25
2002-12-13,11.25
2002-12-16,11.65
2002-12-17,11.41
2002-12-18,12.04
2002-12-19,12.05
2002-12-20,12.04
2002-12-23,11.73
2002-12-26,11.38
2002-12-27,11.34
2002-12-30,11.38
2003-01-02,11.62
2003-01-03,11.38
2003-01-06,12.09
2003-01-07,12.31
2003-01-08,12.07
2003-01-09,11.9
2003-01-10,12.22
2003-01-13,12.06
2003-01-14,12.21
2003-01-15,12.33
2003-01-16,12.22
2003-01-17,11.69
2003-01-20,11.72
2003-01-21,11.27
2003-01-22,10.75
2003-01-23,10.88
2003-01-24,10.61
2003-01-27,10.57
2003-01-28,10.71
2003-01-29,10.91
2003-01-30,10.6
2003-01-31,11.0
2003-02-03,10.75
2003-02-04,10.63
2003-02-05,10.75
2003-02-06,10.49
2003-02-07,10.66
2003-02-10,11.02
2003-02-11,11.07
2003-02-12,10.49
2003-02-13,10.57
2003-02-14,10.34
2003-02-17,10.83
2003-02-18,11.38
2003-02-19,11.28
2003-02-20,11.34
2003-02-21,11.74
2003-02-24,11.74
2003-02-25,11.74
2003-02-26,11.18
2003-02-27,11.6
2003-02-28,11.69
2003-03-05,11.78
2003-03-06,12.15
2003-03-07,12.3
2003-03-10,11.34
2003-03-11,11.21
2003-03-12,11.25
2003-03-13,11.94
2003-03-14,11.93
2003-03-17,11.86
2003-03-18,12.01
2003-03-19,12.13
2003-03-20,12.09
2003-03-21,12.18
2003-03-24,12.09
2003-03-25,12.21
2003-03-26,12.16
2003-03-27,12.33
2003-03-28,12.4
2003-03-31,12.33
2003-04-01,12.6
2003-04-02,12.85
2003-04-03,12.85
2003-04-04,12.77
2003-04-07,12.77
2003-04-08,12.38
2003-04-09,12.64
2003-04-10,12.72
2003-04-11,13.08
2003-04-14,12.85
2003-04-15,13.21
2003-04-16,13.09
2003-04-17,13.21
2003-04-22,13.33
2003-04-23,13.21
2003-04-24,12.62
2003-04-25,12.84
2003-04-28,13.38
2003-04-29,13.88
2003-04-30,13.38
2003-05-02,13.71
2003-05-05,13.67
2003-05-06,13.54
2003-05-07,13.79
2003-05-08,13.51
2003-05-09,13.97
2003-05-12,14.3
2003-05-13,14.16
2003-05-14,14.01
2003-05-15,14.11
2003-05-16,14.17
2003-05-19,13.67
2003-05-20,13.66
2003-05-21,13.63
2003-05-22,13.54
2003-05-23,13.54
2003-05-26,13.38
2003-05-27,13.88
2003-05-28,14.05
2003-05-29,14.11
2003-05-30,14.16
2003-06-02,14.31
2003-06-03,14.31
2003-06-04,14.74
2003-06-05,14.66
2003-06-06,14.82
2003-06-09,14.7
2003-06-10,14.57
2003-06-11,14.3
2003-06-12,14.56
2003-06-13,14.46
2003-06-16,14.68
2003-06-17,14.41
2003-06-18,14.38
2003-06-20,13.84
2003-06-23,13.91
2003-06-24,14.04
2003-06-25,13.54
2003-06-26,14.01
2003-06-27,13.66
2003-06-30,13.63
2003-07-01,13.91
2003-07-02,13.96
2003-07-03,13.54
2003-07-04,13.69
2003-07-07,13.71
2003-07-08,13.97
2003-07-10,13.55
2003-07-11,13.48
2003-07-14,13.88
2003-07-15,13.6
2003-07-16,13.54
2003-07-17,13.72
2003-07-18,13.97
2003-07-21,13.83
2003-07-22,13.8
2003-07-23,13.73
