,Adj Close
2006-08-01,8.578
2006-08-02,8.485
2006-08-03,8.612
2006-08-04,8.773
2006-08-07,8.739
2006-08-08,8.933
2006-08-09,9.17
2006-08-10,9.348
2006-08-11,9.212
2006-08-14,9.255
2006-08-15,9.449
2006-08-16,9.5
2006-08-17,9.449
2006-08-18,9.399
2006-08-21,9.077
2006-08-22,9.111
2006-08-23,9.069
2006-08-24,9.17
2006-08-25,9.28
2006-08-28,9.322
2006-08-29,9.305
2006-08-30,9.28
2006-08-31,9.246
2006-09-01,9.382
2006-09-04,9.305
2006-09-05,9.17
2006-09-06,9.162
2006-09-08,9.28
2006-09-11,9.035
2006-09-12,9.085
2006-09-13,8.992
2006-09-14,9.001
2006-09-15,8.865
2006-09-18,8.933
2006-09-19,8.865
2006-09-20,8.688
2006-09-21,8.536
2006-09-22,8.612
2006-09-25,8.764
2006-09-26,8.823
2006-09-27,8.899
2006-09-28,9.009
2006-09-29,9.449
2006-10-02,9.864
2006-10-03,9.568
2006-10-04,9.712
2006-10-05,10.067
2006-10-06,10.27
2006-10-09,10.6
2006-10-10,10.245
2006-10-11,9.923
2006-10-13,10.033
2006-10-16,9.999
2006-10-17,9.805
2006-10-18,9.822
2006-10-19,10.033
2006-10-20,9.923
2006-10-23,10.033
2006-10-24,9.881
2006-10-25,9.618
2006-10-26,9.712
2006-10-27,9.745
2006-10-30,9.771
2006-10-31,10.075
2006-11-03,10.245
2006-11-06,9.999
2006-11-07,9.762
2006-11-08,9.881
2006-11-09,9.618
2006-11-10,9.424
2006-11-13,9.399
2006-11-14,9.974
2006-11-16,9.838
2006-11-17,9.805
2006-11-21,10.135
2006-11-22,10.422
2006-11-23,10.566
2006-11-24,10.515
2006-11-27,10.168
2006-11-28,10.473
2006-11-29,10.752
2006-11-30,10.6
2006-12-01,10.363
2006-12-04,10.727
2006-12-05,10.989
2006-12-06,10.896
2006-12-07,11.04
2006-12-08,10.989
2006-12-11,11.099
2006-12-12,11.167
2006-12-13,11.302
2006-12-14,11.488
2006-12-15,11.454
2006-12-18,11.488
2006-12-19,11.327
2006-12-20,11.505
2006-12-21,11.454
2006-12-22,11.514
2006-12-26,11.53
2006-12-27,11.835
2006-12-28,12.055
2007-01-02,12.114
2007-01-03,12.038
2007-01-04,11.97
2007-01-05,11.725
2007-01-08,11.522
2007-01-09,11.421
2007-01-10,11.302
2007-01-11,11.514
2007-01-12,11.243
2007-01-15,11.302
2007-01-16,11.209
2007-01-17,11.167
2007-01-19,11.48
2007-01-22,11.674
2007-01-23,11.852
2007-01-24,11.996
2007-01-26,11.877
2007-01-29,11.564
2007-01-30,11.657
2007-01-31,11.903
2007-02-01,11.818
2007-02-02,11.674
2007-02-05,11.522
2007-02-06,11.31
2007-02-07,11.209
2007-02-08,11.37
2007-02-09,11.107
2007-02-12,10.955
2007-02-13,11.209
2007-02-14,11.725
2007-02-15,12.427
2007-02-16,12.402
2007-02-21,12.478
2007-02-22,12.436
2007-02-23,12.292
2007-02-26,12.478
2007-02-27,11.674
2007-02-28,12.089
2007-03-01,12.055
2007-03-02,11.674
2007-03-05,11.099
2007-03-06,12.055
2007-03-07,12.444
2007-03-08,12.926
2007-03-09,12.977
2007-03-12,12.977
2007-03-13,12.732
2007-03-14,13.07
2007-03-15,13.07
2007-03-16,13.239
2007-03-19,13.095
2007-03-20,12.766
2007-03-21,13.095
2007-03-22,13.028
2007-03-23,13.079
2007-03-26,13.146
2007-03-27,13.256
2007-03-28,13.764
2007-03-29,13.848
2007-03-30,13.493
2007-04-02,13.493
2007-04-03,13.705
2007-04-04,13.392
2007-04-05,13.468
2007-04-09,13.451
2007-04-10,13.341
2007-04-11,13.307
2007-04-12,13.341
2007-04-13,13.493
2007-04-16,13.637
2007-04-17,13.451
2007-04-18,13.341
2007-04-19,14.238
2007-04-20,14.407
2007-04-23,14.407
2007-04-24,14.331
2007-04-25,14.432
2007-04-26,14.652
2007-04-27,14.661
2007-04-30,14.762
2007-05-02,14.999
2007-05-03,15.236
2007-05-04,15.304
2007-05-07,15.304
2007-05-08,15.295
2007-05-09,15.617
2007-05-10,15.092
2007-05-11,14.948
2007-05-14,15.041
2007-05-15,14.898
2007-05-16,15.236
2007-05-17,14.898
2007-05-18,14.855
2007-05-21,15.067
2007-05-22,15.642
2007-05-23,15.744
2007-05-24,15.65
2007-05-25,16.344
2007-05-28,16.75
2007-05-29,16.293
2007-05-30,16.564
2007-05-31,16.589
2007-06-01,16.589
2007-06-04,17.283
2007-06-05,17.021
2007-06-06,17.021
2007-06-08,17.706
2007-06-11,17.639
2007-06-12,16.877
2007-06-13,16.742
2007-06-14,16.987
2007-06-15,17.605
2007-06-18,17.089
2007-06-19,16.936
2007-06-20,17.114
2007-06-21,17.309
2007-06-22,17.342
2007-06-25,17.309
2007-06-26,16.97
2007-06-27,16.632
2007-06-28,16.809
2007-06-29,16.996
2007-07-02,17.199
2007-07-03,17.342
2007-07-04,17.215
2007-07-05,17.342
2007-07-06,17.452
2007-07-10,17.41
2007-07-11,17.478
2007-07-12,17.706
2007-07-13,17.342
2007-07-16,17.097
2007-07-17,17.021
2007-07-18,17.283
2007-07-19,17.309
2007-07-20,17.292
2007-07-23,17.004
2007-07-24,16.344
2007-07-25,16.412
2007-07-26,15.904
2007-07-27,15.769
2007-07-30,16.539
2007-07-31,16.471
2007-08-01,16.158
2007-08-02,16.251
2007-08-03,15.295
2007-08-06,15.194
2007-08-07,15.735
2007-08-08,16.09
2007-08-09,15.354
2007-08-10,14.813
2007-08-13,15.041
2007-08-14,14.246
2007-08-15,12.96
2007-08-16,12.791
2007-08-17,13.493
2007-08-20,14.288
2007-08-21,14.458
2007-08-22,14.813
2007-08-23,14.754
2007-08-24,15.659
2007-08-27,16.31
2007-08-28,15.295
2007-08-29,16.014
2007-08-30,15.735
2007-08-31,16.166
2007-09-03,16.505
2007-09-04,16.632
2007-09-05,16.056
2007-09-06,15.836
2007-09-10,15.007
2007-09-11,15.439
2007-09-12,15.084
2007-09-13,14.957
2007-09-14,15.041
2007-09-17,14.813
2007-09-18,15.617
2007-09-19,16.141
2007-09-20,15.904
2007-09-21,16.344
2007-09-24,16.116
2007-09-25,16.056
2007-09-26,16.344
2007-09-27,16.589
2007-09-28,16.412
2007-10-01,17.114
2007-10-02,17.063
2007-10-03,17.063
2007-10-04,17.063
2007-10-05,17.545
2007-10-08,17.842
2007-10-09,17.241
2007-10-10,16.894
2007-10-11,16.412
2007-10-15,15.904
2007-10-16,15.583
2007-10-17,15.98
2007-10-18,16.471
2007-10-19,15.904
2007-10-22,16.234
2007-10-23,16.632
2007-10-24,16.116
2007-10-25,15.659
2007-10-26,15.904
2007-10-29,16.116
2007-10-30,15.93
2007-10-31,15.828
2007-11-01,15.515
2007-11-05,16.446
2007-11-06,16.522
2007-11-07,15.853
2007-11-08,16.116
2007-11-09,15.904
2007-11-12,15.194
2007-11-13,16.344
2007-11-14,16.344
2007-11-16,16.412
2007-11-19,15.507
2007-11-21,15.236
2007-11-22,15.278
2007-11-23,15.769
2007-11-26,14.813
2007-11-27,14.881
2007-11-28,14.864
2007-11-29,14.644
2007-11-30,15.304
2007-12-03,15.659
2007-12-04,16.073
2007-12-05,16.691
2007-12-06,16.539
2007-12-07,16.166
2007-12-10,15.904
2007-12-11,15.836
2007-12-12,16.2
2007-12-13,16.293
2007-12-14,16.505
2007-12-17,16.166
2007-12-18,16.116
2007-12-19,15.769
2007-12-20,16.412
2007-12-21,17.816
2007-12-26,20.523
