,Adj Close
1999-09-24,18.33
1999-09-27,18.48
1999-09-28,18.0
1999-09-29,17.6
1999-09-30,16.88
1999-10-01,16.04
1999-10-04,16.24
1999-10-05,16.08
1999-10-06,16.08
1999-10-07,16.35
1999-10-08,15.83
1999-10-11,15.67
1999-10-13,15.43
1999-10-14,15.63
1999-10-15,15.27
1999-10-18,14.64
1999-10-19,14.78
1999-10-20,14.82
1999-10-21,14.78
1999-10-22,14.64
1999-10-25,14.56
1999-10-26,14.19
1999-10-27,15.03
1999-10-28,15.19
1999-10-29,15.91
1999-11-01,16.72
1999-11-03,16.88
1999-11-04,16.08
1999-11-05,16.0
1999-11-08,16.8
1999-11-09,17.12
1999-11-10,17.69
1999-11-11,17.67
1999-11-12,17.6
1999-11-16,17.19
1999-11-17,16.71
1999-11-18,16.88
1999-11-19,16.48
1999-11-22,16.32
1999-11-23,16.15
1999-11-24,15.91
1999-11-25,15.91
1999-11-26,16.24
1999-11-29,16.24
1999-11-30,16.08
1999-12-01,15.91
1999-12-02,16.24
1999-12-03,16.8
1999-12-06,17.51
1999-12-07,18.09
1999-12-08,18.89
1999-12-09,20.42
1999-12-10,23.13
1999-12-13,22.66
1999-12-14,22.91
1999-12-15,22.74
1999-12-16,23.71
1999-12-17,24.44
1999-12-20,25.4
1999-12-21,25.8
1999-12-22,26.76
1999-12-23,27.32
1999-12-27,26.85
1999-12-28,25.72
1999-12-29,25.32
1999-12-30,25.32
2000-01-03,24.71
2000-01-04,23.31
2000-01-05,22.74
2000-01-06,23.31
2000-01-07,24.11
2000-01-10,26.76
2000-01-11,26.53
2000-01-12,25.72
2000-01-13,30.57
2000-01-14,33.99
2000-01-17,37.77
2000-01-18,34.96
2000-01-19,33.34
2000-01-20,34.92
2000-01-21,35.36
2000-01-24,34.24
2000-01-26,33.34
2000-01-27,32.93
2000-01-28,33.34
2000-01-31,31.75
2000-02-01,31.75
2000-02-02,33.34
2000-02-03,34.56
2000-02-04,36.16
2000-02-07,37.69
2000-02-08,40.1
2000-02-09,43.48
2000-02-10,45.41
2000-02-11,46.21
2000-02-14,45.81
2000-02-15,44.6
2000-02-16,44.45
2000-02-17,48.06
2000-02-18,46.78
2000-02-21,45.25
2000-02-22,44.2
2000-02-23,44.2
2000-02-24,46.21
2000-02-25,45.97
2000-02-28,44.2
2000-02-29,47.41
2000-03-01,48.71
2000-03-02,52.24
2000-03-03,57.07
2000-03-08,57.47
2000-03-09,61.89
2000-03-10,63.49
2000-03-13,60.29
2000-03-14,61.25
2000-03-15,61.08
2000-03-16,57.86
2000-03-17,51.84
2000-03-20,51.44
