,Adj Close
1998-10-02,5.03
1998-10-05,5.24
1998-10-06,5.09
1998-10-07,5.03
1998-10-08,5.03
1998-10-09,5.02
1998-10-13,5.18
1998-10-14,5.09
1998-10-15,5.03
1998-10-16,5.11
1998-10-19,5.09
1998-10-20,5.24
1998-10-21,5.24
1998-10-22,5.13
1998-10-23,4.98
1998-10-26,4.66
1998-10-27,4.09
1998-10-28,4.18
1998-10-29,4.21
1998-10-30,4.29
1998-11-03,4.66
1998-11-04,4.9
1998-11-05,4.95
1998-11-06,4.85
1998-11-09,4.85
1998-11-10,4.9
1998-11-11,4.77
1998-11-12,4.66
1998-11-13,4.66
1998-11-16,4.95
1998-11-17,4.91
1998-11-18,5.03
1998-11-19,4.82
1998-11-20,4.9
1998-11-23,4.85
1998-11-24,4.72
1998-11-25,4.66
1998-11-26,4.77
1998-11-27,4.66
1998-11-30,4.49
1998-12-01,4.36
1998-12-02,4.26
1998-12-03,4.07
1998-12-04,4.18
1998-12-07,4.06
1998-12-08,3.91
1998-12-09,3.91
1998-12-10,3.7
1998-12-11,3.57
1998-12-14,3.53
1998-12-15,3.4
1998-12-16,3.56
1998-12-17,3.5
1998-12-18,3.42
1998-12-21,3.42
1998-12-22,3.36
1998-12-23,3.39
1998-12-28,3.5
1998-12-29,3.5
1998-12-30,3.53
1999-01-04,3.6
1999-01-05,3.77
1999-01-06,3.73
1999-01-07,3.54
1999-01-08,3.6
1999-01-11,3.47
1999-01-12,3.24
1999-01-13,3.68
1999-01-14,3.5
1999-01-15,4.26
1999-01-18,4.19
1999-01-19,4.21
1999-01-20,4.21
1999-01-21,4.21
1999-01-22,4.36
1999-01-26,4.61
1999-01-27,4.67
1999-01-28,4.99
1999-01-29,5.52
1999-02-01,5.52
1999-02-02,4.95
1999-02-03,4.8
1999-02-04,4.66
1999-02-05,4.49
1999-02-08,4.41
1999-02-09,4.44
1999-02-10,4.29
1999-02-11,4.57
1999-02-12,4.66
1999-02-17,4.61
1999-02-18,4.49
1999-02-19,4.49
1999-02-22,4.41
1999-02-23,4.43
1999-02-24,4.61
1999-02-25,4.89
1999-02-26,4.9
1999-03-01,4.8
1999-03-02,4.8
1999-03-03,4.9
1999-03-04,5.06
1999-03-05,4.83
1999-03-08,4.99
1999-03-09,4.85
1999-03-10,4.85
1999-03-11,4.9
1999-03-12,4.98
1999-03-15,5.2
1999-03-16,5.27
1999-03-17,5.45
1999-03-18,5.32
1999-03-19,5.29
1999-03-22,5.03
1999-03-23,4.9
1999-03-24,4.99
1999-03-25,4.91
1999-03-26,5.03
1999-03-29,5.18
1999-03-30,5.86
1999-03-31,6.83
1999-04-06,7.33
1999-04-07,8.07
1999-04-08,8.46
1999-04-09,8.46
1999-04-12,8.54
1999-04-13,8.41
1999-04-14,9.16
1999-04-15,9.16
1999-04-16,10.1
1999-04-19,10.1
1999-04-20,9.41
1999-04-22,9.75
1999-04-23,10.22
1999-04-26,10.55
1999-04-27,10.28
1999-04-28,10.24
1999-04-29,9.98
1999-04-30,9.27
1999-05-03,9.54
1999-05-04,9.54
1999-05-05,9.88
1999-05-06,10.52
1999-05-07,11.23
1999-05-10,11.55
1999-05-11,11.3
1999-05-12,10.95
1999-05-13,11.02
1999-05-14,11.17
1999-05-17,10.99
1999-05-18,11.71
1999-05-19,11.43
1999-05-20,11.23
1999-05-21,10.77
1999-05-24,10.08
1999-05-25,9.27
1999-05-26,9.95
1999-05-27,10.1
1999-05-28,10.69
1999-05-31,10.89
1999-06-01,10.84
1999-06-02,10.62
1999-06-04,10.5
1999-06-07,10.77
1999-06-08,10.57
1999-06-09,10.55
1999-06-10,10.79
1999-06-14,10.77
1999-06-15,10.76
1999-06-16,11.33
1999-06-17,12.1
1999-06-18,12.77
1999-06-21,12.98
1999-06-22,12.77
1999-06-23,12.46
1999-06-24,12.46
1999-06-25,12.3
1999-06-28,12.4
1999-06-29,12.77
1999-06-30,12.88
1999-07-01,13.06
1999-07-02,12.92
1999-07-05,12.65
1999-07-06,12.83
1999-07-07,12.92
1999-07-08,12.57
1999-07-12,11.46
1999-07-13,11.46
1999-07-14,11.76
1999-07-15,12.22
1999-07-16,12.22
1999-07-19,12.1
1999-07-20,12.1
1999-07-21,11.76
1999-07-22,11.43
1999-07-23,10.77
1999-07-26,10.42
1999-07-27,10.28
1999-07-28,9.41
1999-07-29,9.41
1999-07-30,9.69
1999-08-02,9.51
1999-08-03,9.24
1999-08-04,9.41
1999-08-05,9.41
1999-08-06,8.74
1999-08-09,8.46
1999-08-10,8.35
1999-08-11,8.83
1999-08-12,8.94
1999-08-13,8.88
1999-08-16,9.09
1999-08-17,8.74
1999-08-18,8.82
1999-08-19,8.82
1999-08-20,9.0
1999-08-23,9.41
1999-08-24,10.42
1999-08-25,10.42
1999-08-26,10.22
1999-08-27,10.99
1999-08-30,10.75
1999-08-31,11.43
1999-09-01,11.71
1999-09-02,11.48
1999-09-03,11.72
1999-09-06,11.63
1999-09-08,11.43
1999-09-09,11.71
1999-09-10,12.1
1999-09-13,12.32
1999-09-14,12.51
1999-09-15,12.46
1999-09-16,11.78
1999-09-17,12.3
1999-09-20,12.1
1999-09-21,11.78
1999-09-22,11.78
1999-09-23,11.43
1999-09-24,11.09
1999-09-27,10.95
1999-09-28,11.02
1999-09-29,10.89
1999-09-30,10.84
1999-10-01,10.55
1999-10-04,10.55
1999-10-05,10.42
1999-10-06,10.77
1999-10-07,10.77
1999-10-08,10.69
1999-10-11,10.65
1999-10-13,10.4
1999-10-14,10.95
1999-10-15,10.79
1999-10-18,10.77
1999-10-19,10.53
1999-10-20,10.69
1999-10-21,10.9
1999-10-22,12.1
1999-10-25,11.71
1999-10-26,11.55
1999-10-27,11.42
1999-10-28,10.84
1999-10-29,11.17
1999-11-01,11.71
1999-11-03,12.22
1999-11-04,12.57
1999-11-05,12.83
1999-11-08,12.69
1999-11-09,12.51
1999-11-10,12.77
1999-11-11,12.92
1999-11-12,13.52
1999-11-16,14.93
1999-11-17,14.99
1999-11-18,15.91
1999-11-19,15.68
1999-11-22,16.68
1999-11-23,17.13
1999-11-24,17.27
1999-11-25,17.52
1999-11-26,18.42
1999-11-29,18.2
1999-11-30,18.35
1999-12-01,17.96
1999-12-02,17.64
1999-12-03,17.55
1999-12-06,16.82
1999-12-07,16.95
1999-12-08,16.91
1999-12-09,17.36
1999-12-10,17.24
1999-12-13,17.46
1999-12-14,17.25
1999-12-15,16.14
1999-12-16,17.09
1999-12-17,18.5
1999-12-20,18.8
1999-12-21,18.09
1999-12-22,17.83
1999-12-23,18.25
1999-12-27,18.15
1999-12-28,18.28
1999-12-29,17.83
1999-12-30,19.85
2000-01-03,19.5
2000-01-04,18.15
2000-01-05,17.83
2000-01-06,17.36
2000-01-07,17.86
2000-01-10,18.83
2000-01-11,18.64
2000-01-12,17.83
2000-01-13,17.24
2000-01-14,17.96
2000-01-17,18.42
2000-01-18,18.42
2000-01-19,18.24
2000-01-20,17.77
2000-01-21,17.5
2000-01-24,17.69
2000-01-26,17.62
2000-01-27,17.83
2000-01-28,18.24
2000-01-31,18.68
2000-02-01,18.68
2000-02-02,19.24
2000-02-03,19.29
2000-02-04,20.2
2000-02-07,19.85
2000-02-08,20.8
2000-02-09,21.19
2000-02-10,20.53
2000-02-11,19.5
2000-02-14,18.97
2000-02-15,18.4
2000-02-16,18.59
2000-02-17,19.68
2000-02-18,19.5
2000-02-21,20.63
2000-02-22,19.85
2000-02-23,19.61
2000-02-24,19.17
2000-02-25,19.1
2000-02-28,18.35
2000-02-29,18.42
2000-03-01,18.83
2000-03-02,19.17
2000-03-03,19.76
2000-03-08,20.1
2000-03-09,19.5
2000-03-10,19.5
2000-03-13,18.78
2000-03-14,18.15
2000-03-15,17.85
2000-03-16,18.5
2000-03-17,18.42
2000-03-20,16.9
2000-03-21,17.83
2000-03-22,18.09
2000-03-23,17.5
2000-03-24,18.09
2000-03-27,18.48
2000-03-28,17.51
2000-03-29,17.55
2000-03-30,17.36
2000-03-31,18.36
2000-04-03,17.24
2000-04-04,17.0
2000-04-05,17.51
2000-04-06,18.15
2000-04-07,18.5
2000-04-10,18.15
2000-04-11,18.03
2000-04-12,18.24
2000-04-13,17.62
2000-04-14,16.14
2000-04-17,16.14
2000-04-18,16.21
2000-04-19,15.79
2000-04-20,16.21
2000-04-24,16.21
2000-04-25,16.62
2000-04-26,17.5
2000-04-27,17.83
2000-04-28,16.95
2000-05-02,17.13
2000-05-03,17.5
2000-05-04,17.13
2000-05-05,18.15
2000-05-08,18.68
2000-05-09,17.58
2000-05-10,16.89
2000-05-11,17.13
2000-05-12,16.89
2000-05-15,16.97
2000-05-16,17.91
2000-05-17,17.45
2000-05-18,17.72
2000-05-19,17.01
2000-05-22,15.86
2000-05-23,14.75
2000-05-24,15.59
2000-05-25,15.45
2000-05-26,15.45
2000-05-29,15.63
2000-05-30,16.52
2000-05-31,16.57
2000-06-01,16.79
2000-06-02,17.28
2000-06-05,16.79
2000-06-06,16.46
2000-06-07,16.66
2000-06-08,16.52
2000-06-09,16.53
2000-06-12,16.13
2000-06-13,15.88
2000-06-14,15.45
2000-06-15,15.18
2000-06-16,14.49
2000-06-19,15.24
2000-06-20,15.28
2000-06-21,16.0
2000-06-23,15.67
2000-06-26,15.47
2000-06-27,15.69
2000-06-28,15.24
2000-06-29,15.18
2000-06-30,15.57
2000-07-03,16.24
2000-07-04,16.79
2000-07-05,17.08
2000-07-06,17.42
2000-07-07,16.82
2000-07-10,16.73
2000-07-11,15.88
2000-07-12,15.96
2000-07-13,15.21
2000-07-14,15.8
2000-07-17,16.52
2000-07-18,16.29
2000-07-19,16.15
2000-07-20,16.42
2000-07-21,16.61
2000-07-24,16.85
2000-07-25,16.85
2000-07-26,16.98
2000-07-27,16.79
2000-07-28,16.29
2000-07-31,16.46
2000-08-01,16.25
2000-08-02,16.15
2000-08-03,16.12
2000-08-04,16.29
2000-08-07,16.79
2000-08-08,17.01
2000-08-09,16.73
2000-08-10,17.0
2000-08-11,17.36
2000-08-14,18.07
2000-08-15,18.3
2000-08-16,18.28
2000-08-17,18.88
2000-08-18,18.54
2000-08-21,18.07
2000-08-22,18.28
2000-08-23,17.92
2000-08-24,17.65
2000-08-25,17.92
2000-08-28,17.64
2000-08-29,17.27
2000-08-30,17.5
2000-08-31,17.7
2000-09-01,18.18
2000-09-04,18.57
2000-09-05,18.74
2000-09-06,18.46
2000-09-08,18.94
2000-09-11,18.66
2000-09-12,18.15
2000-09-13,18.48
2000-09-14,18.14
2000-09-15,18.03
2000-09-18,17.35
2000-09-19,17.75
2000-09-20,17.51
2000-09-21,17.83
2000-09-22,18.23
2000-09-25,18.14
2000-09-26,18.07
2000-09-27,17.35
2000-09-28,17.35
2000-09-29,17.5
2000-10-02,17.21
2000-10-03,17.25
2000-10-04,17.06
2000-10-05,17.63
2000-10-06,17.26
2000-10-09,17.25
2000-10-10,16.86
2000-10-11,16.76
2000-10-13,16.04
2000-10-16,16.15
2000-10-17,15.69
2000-10-18,14.73
2000-10-19,15.43
2000-10-20,15.3
2000-10-23,15.3
2000-10-24,15.3
2000-10-25,15.68
2000-10-26,16.14
2000-10-27,16.55
2000-10-30,16.4
2000-10-31,16.3
2000-11-01,16.33
2000-11-03,16.04
2000-11-06,16.25
2000-11-07,16.19
2000-11-08,16.03
2000-11-09,15.59
2000-11-10,15.61
2000-11-13,15.61
2000-11-14,15.82
2000-11-16,16.2
2000-11-17,15.31
2000-11-20,15.61
2000-11-21,15.99
2000-11-22,15.91
2000-11-23,15.54
2000-11-24,15.18
2000-11-27,15.18
2000-11-28,14.8
2000-11-29,14.59
2000-11-30,14.14
2000-12-01,14.2
2000-12-04,14.06
2000-12-05,14.45
2000-12-06,14.35
2000-12-07,14.58
2000-12-08,15.24
2000-12-11,15.53
2000-12-12,15.33
2000-12-13,16.09
2000-12-14,16.13
2000-12-15,15.28
2000-12-18,15.73
2000-12-19,15.99
2000-12-20,15.47
2000-12-21,15.18
2000-12-22,15.7
2000-12-26,15.67
2000-12-27,16.12
2000-12-28,15.54
2001-01-02,15.33
2001-01-03,16.5
2001-01-04,17.01
2001-01-05,16.73
2001-01-08,16.86
2001-01-09,17.01
2001-01-10,16.95
2001-01-11,16.57
2001-01-12,16.73
2001-01-15,16.86
2001-01-16,16.8
2001-01-17,17.31
2001-01-18,17.55
