,Adj Close
2009-10-29,10.54
2009-10-30,9.99
2009-11-03,9.75
2009-11-04,10.0
2009-11-05,9.95
2009-11-06,9.53
2009-11-09,9.69
2009-11-10,9.63
2009-11-11,9.93
2009-11-12,9.95
2009-11-13,10.15
2009-11-16,10.17
2009-11-17,10.52
2009-11-18,10.44
2009-11-19,10.23
2009-11-23,10.46
2009-11-24,10.61
2009-11-25,10.97
2009-11-26,10.76
2009-11-27,11.0
2009-11-30,10.66
2009-12-01,10.72
2009-12-02,11.28
2009-12-03,11.07
2009-12-04,10.95
2009-12-07,10.65
2009-12-08,10.3
2009-12-09,10.46
2009-12-10,10.66
2009-12-11,10.87
2009-12-14,10.97
2009-12-15,10.87
2009-12-16,10.87
2009-12-17,10.86
2009-12-18,11.0
2009-12-21,10.97
2009-12-22,10.97
2009-12-23,11.07
2009-12-28,11.28
2009-12-29,11.86
2009-12-30,12.06
2010-01-04,11.89
2010-01-05,11.94
2010-01-06,12.36
2010-01-07,12.44
2010-01-08,12.59
2010-01-11,13.35
2010-01-12,13.44
2010-01-13,13.44
2010-01-14,13.84
2010-01-15,13.96
2010-01-18,14.24
2010-01-19,14.46
2010-01-20,14.02
2010-01-21,13.54
2010-01-22,13.54
2010-01-26,13.32
2010-01-27,12.87
2010-01-28,12.67
2010-01-29,12.28
2010-02-01,12.78
2010-02-02,12.94
2010-02-03,12.68
2010-02-04,11.86
2010-02-05,11.86
2010-02-08,12.02
2010-02-09,12.68
2010-02-10,12.68
2010-02-11,12.63
2010-02-12,12.73
2010-02-17,13.1
2010-02-18,13.2
2010-02-19,12.89
2010-02-22,12.87
2010-02-23,12.87
2010-02-24,12.87
2010-02-25,12.6
2010-02-26,12.24
2010-03-01,12.02
2010-03-02,12.03
2010-03-03,11.81
2010-03-04,11.56
2010-03-05,11.53
2010-03-08,11.15
2010-03-09,11.21
2010-03-10,11.25
2010-03-11,11.42
2010-03-12,11.77
2010-03-15,11.64
2010-03-16,12.06
2010-03-17,12.02
2010-03-18,12.51
2010-03-19,12.87
2010-03-22,12.94
2010-03-23,13.1
2010-03-24,12.87
2010-03-25,12.87
2010-03-26,12.49
2010-03-29,12.31
2010-03-30,12.33
2010-03-31,12.03
2010-04-01,12.17
2010-04-05,12.15
2010-04-06,12.24
2010-04-07,12.09
2010-04-08,11.9
2010-04-09,11.53
2010-04-12,11.51
2010-04-13,11.67
2010-04-14,11.64
2010-04-15,11.21
2010-04-16,10.95
2010-04-19,10.66
2010-04-20,10.62
2010-04-22,10.97
2010-04-23,10.71
2010-04-26,10.3
2010-04-27,10.71
2010-04-28,10.8
2010-04-29,11.07
2010-04-30,11.17
2010-05-03,11.28
2010-05-04,11.07
2010-05-05,11.21
2010-05-06,11.24
2010-05-07,11.28
2010-05-10,11.61
2010-05-11,11.45
2010-05-12,12.18
2010-05-13,12.48
2010-05-14,11.99
2010-05-17,11.96
2010-05-18,11.8
2010-05-19,11.5
2010-05-20,11.45
2010-05-21,12.15
2010-05-24,12.23
2010-05-25,12.11
2010-05-26,12.63
2010-05-27,12.92
2010-05-28,12.89
2010-05-31,12.89
2010-06-01,12.8
2010-06-02,12.87
2010-06-04,12.8
2010-06-07,12.8
2010-06-08,12.8
2010-06-09,12.87
2010-06-10,12.73
2010-06-11,12.73
2010-06-14,12.75
2010-06-15,12.58
2010-06-16,12.73
2010-06-17,12.8
2010-06-18,12.73
2010-06-21,12.73
2010-06-22,12.89
2010-06-23,12.68
2010-06-24,12.63
2010-06-25,12.59
2010-06-28,12.8
2010-06-29,12.59
2010-06-30,12.23
2010-07-01,12.11
