,Adj Close
1998-10-13,1.89
1998-10-14,1.91
1998-10-15,1.93
1998-10-16,1.91
1998-10-19,1.95
1998-10-20,1.97
1998-10-21,1.97
1998-10-22,1.94
1998-10-23,1.89
1998-10-26,1.85
1998-10-27,1.72
1998-10-28,1.59
1998-10-29,1.55
1998-10-30,1.55
1998-11-03,1.68
1998-11-04,1.93
1998-11-05,2.09
1998-11-06,2.27
1998-11-09,2.15
1998-11-10,2.24
1998-11-11,2.41
1998-11-12,2.24
1998-11-13,2.32
1998-11-16,2.27
1998-11-17,2.32
1998-11-18,2.29
1998-11-19,2.29
1998-11-20,2.29
1998-11-23,2.56
1998-11-24,2.73
1998-11-25,2.66
1998-11-26,2.6
1998-11-27,2.56
1998-11-30,2.56
1998-12-01,2.56
1998-12-02,2.56
1998-12-03,2.32
1998-12-04,2.32
1998-12-07,2.41
1998-12-08,2.32
1998-12-09,2.32
1998-12-10,2.32
1998-12-11,2.41
1998-12-14,2.23
1998-12-15,2.23
1998-12-16,2.32
1998-12-17,2.23
1998-12-18,2.23
1998-12-21,2.23
1998-12-22,2.41
1998-12-23,2.41
1998-12-28,2.56
1998-12-29,2.66
1998-12-30,2.66
1999-01-04,2.41
1999-01-05,2.47
1999-01-06,2.52
1999-01-07,2.32
1999-01-08,2.41
1999-01-11,2.23
1999-01-12,1.98
1999-01-13,1.93
1999-01-14,1.85
1999-01-15,2.01
1999-01-18,1.99
1999-01-19,2.01
1999-01-20,2.01
1999-01-21,1.93
1999-01-22,1.93
1999-01-26,1.93
1999-01-27,2.01
1999-01-28,2.32
1999-01-29,2.47
1999-02-01,2.6
1999-02-02,2.66
1999-02-03,2.56
1999-02-04,2.66
1999-02-05,2.6
1999-02-08,2.66
1999-02-09,2.66
1999-02-10,2.66
1999-02-11,2.66
1999-02-12,2.66
1999-02-17,2.68
1999-02-18,2.66
1999-02-19,2.6
1999-02-22,2.66
1999-02-23,2.6
1999-02-24,2.6
1999-02-25,2.56
1999-02-26,2.6
1999-03-01,2.6
1999-03-02,2.59
1999-03-03,2.59
1999-03-04,2.6
1999-03-05,2.62
1999-03-08,2.63
1999-03-09,2.64
1999-03-10,2.66
1999-03-11,2.68
1999-03-12,2.68
1999-03-15,2.73
1999-03-16,2.8
1999-03-17,2.77
1999-03-18,2.8
1999-03-19,2.8
1999-03-22,2.77
1999-03-23,2.8
1999-03-24,2.77
1999-03-25,2.89
1999-03-26,2.89
1999-03-29,2.89
1999-03-30,2.9
1999-03-31,2.9
1999-04-06,3.01
1999-04-07,2.96
1999-04-08,2.97
1999-04-09,2.95
1999-04-12,2.96
1999-04-13,2.95
1999-04-14,3.05
1999-04-15,3.03
1999-04-16,3.03
1999-04-19,3.03
1999-04-20,3.03
1999-04-22,2.98
1999-04-23,2.99
1999-04-26,3.02
1999-04-27,3.02
1999-04-28,3.1
1999-04-29,3.09
1999-04-30,3.16
1999-05-03,3.16
1999-05-04,3.15
1999-05-05,3.2
1999-05-06,3.28
1999-05-07,3.35
1999-05-10,3.45
1999-05-11,3.45
1999-05-12,3.41
1999-05-13,3.44
1999-05-14,3.52
1999-05-17,3.76
1999-05-18,3.84
1999-05-19,3.79
1999-05-20,3.76
1999-05-21,3.75
1999-05-24,3.76
1999-05-25,3.69
1999-05-26,3.76
1999-05-27,3.72
1999-05-28,3.76
1999-05-31,3.76
1999-06-01,3.74
1999-06-02,3.76
1999-06-04,3.79
1999-06-07,3.84
1999-06-08,3.84
1999-06-09,3.85
1999-06-10,3.92
1999-06-14,3.85
1999-06-15,3.92
1999-06-16,3.92
1999-06-17,3.92
1999-06-18,3.88
1999-06-21,3.88
1999-06-22,3.86
1999-06-23,3.88
1999-06-24,3.79
1999-06-25,3.76
1999-06-28,3.68
1999-06-29,3.68
1999-06-30,3.76
1999-07-01,3.76
1999-07-02,3.78
1999-07-05,3.76
1999-07-06,3.76
1999-07-07,3.76
1999-07-08,3.79
1999-07-12,3.79
1999-07-13,3.79
1999-07-14,3.79
1999-07-15,3.68
1999-07-16,3.68
1999-07-19,3.64
1999-07-20,3.56
1999-07-21,3.56
1999-07-22,3.56
1999-07-23,3.6
1999-07-26,3.56
1999-07-27,3.6
1999-07-28,3.6
1999-07-29,3.6
1999-07-30,3.68
1999-08-02,3.68
1999-08-03,3.6
1999-08-04,3.52
1999-08-05,3.52
1999-08-06,3.56
1999-08-09,3.59
1999-08-10,3.52
1999-08-11,3.5
1999-08-12,3.32
1999-08-13,3.33
1999-08-16,3.33
1999-08-17,3.33
1999-08-18,3.33
1999-08-19,3.32
1999-08-20,3.32
1999-08-23,3.32
1999-08-24,3.23
1999-08-25,3.18
1999-08-26,3.16
1999-08-27,3.23
1999-08-30,3.21
1999-08-31,3.15
1999-09-01,3.2
1999-09-02,3.18
1999-09-03,3.17
1999-09-06,3.27
1999-09-08,3.33
1999-09-09,3.38
1999-09-10,3.38
1999-09-13,3.46
1999-09-14,3.51
1999-09-15,3.38
1999-09-16,3.51
1999-09-17,3.46
1999-09-20,3.51
1999-09-21,3.51
1999-09-22,3.55
1999-09-23,3.6
1999-09-24,3.6
1999-09-27,3.75
1999-09-28,3.77
1999-09-29,3.83
1999-09-30,3.75
1999-10-01,3.68
1999-10-04,3.65
1999-10-05,3.63
1999-10-06,3.68
1999-10-07,3.75
1999-10-08,3.87
1999-10-11,3.87
1999-10-13,3.87
1999-10-14,3.87
1999-10-15,3.92
1999-10-18,3.93
1999-10-19,3.99
1999-10-20,4.08
1999-10-21,4.24
1999-10-22,4.37
1999-10-25,4.37
1999-10-26,4.41
1999-10-27,4.41
1999-10-28,4.37
1999-10-29,4.33
1999-11-01,4.33
1999-11-03,4.41
1999-11-04,4.57
1999-11-05,4.64
1999-11-08,4.72
1999-11-09,4.86
1999-11-10,4.64
1999-11-11,4.64
1999-11-12,4.6
1999-11-16,4.57
1999-11-17,4.56
1999-11-18,4.54
1999-11-19,4.6
1999-11-22,4.64
1999-11-23,4.64
1999-11-24,4.59
1999-11-25,4.56
1999-11-26,4.52
1999-11-29,4.67
1999-11-30,4.89
1999-12-01,4.86
1999-12-02,4.89
1999-12-03,4.89
1999-12-06,4.8
1999-12-07,4.64
1999-12-08,4.6
1999-12-09,4.6
1999-12-10,4.57
1999-12-13,4.57
1999-12-14,4.41
1999-12-15,4.25
1999-12-16,4.24
1999-12-17,4.41
1999-12-20,4.47
1999-12-21,4.64
1999-12-22,4.44
1999-12-23,4.44
1999-12-27,4.44
1999-12-28,4.47
1999-12-29,4.64
1999-12-30,4.6
2000-01-03,4.64
2000-01-04,4.64
2000-01-05,4.64
2000-01-06,4.69
2000-01-07,4.94
2000-01-10,5.45
2000-01-11,5.87
2000-01-12,5.84
2000-01-13,5.79
2000-01-14,5.83
2000-01-17,6.1
2000-01-18,6.28
2000-01-19,6.1
2000-01-20,5.84
2000-01-21,5.87
2000-01-24,5.95
2000-01-26,5.78
2000-01-27,5.64
2000-01-28,5.64
2000-01-31,5.64
2000-02-01,5.87
2000-02-02,5.59
2000-02-03,5.67
2000-02-04,5.67
2000-02-07,5.7
2000-02-08,5.59
2000-02-09,5.66
2000-02-10,5.64
2000-02-11,5.64
2000-02-14,5.54
2000-02-15,5.34
2000-02-16,5.33
2000-02-17,5.28
2000-02-18,5.22
2000-02-21,5.22
2000-02-22,5.13
2000-02-23,5.13
2000-02-24,5.07
2000-02-25,4.98
2000-02-28,4.98
2000-02-29,4.84
2000-03-01,4.65
2000-03-02,4.63
2000-03-03,4.56
2000-03-08,4.56
2000-03-09,4.47
2000-03-10,4.36
2000-03-13,4.17
2000-03-14,4.17
2000-03-15,4.17
2000-03-16,4.22
2000-03-17,4.29
2000-03-20,4.22
2000-03-21,4.4
2000-03-22,4.51
2000-03-23,4.59
2000-03-24,4.73
2000-03-27,4.78
2000-03-28,4.78
2000-03-29,4.73
2000-03-30,4.47
2000-03-31,4.68
2000-04-03,4.63
2000-04-04,4.31
2000-04-05,4.47
2000-04-06,4.36
2000-04-07,4.22
2000-04-10,4.22
2000-04-11,4.22
2000-04-12,3.97
2000-04-13,4.14
2000-04-14,3.77
2000-04-17,3.89
2000-04-18,3.89
2000-04-19,3.89
2000-04-20,3.75
2000-04-24,3.77
2000-04-25,3.89
2000-04-26,3.89
2000-04-27,3.89
2000-04-28,4.14
2000-05-02,4.11
2000-05-03,3.97
2000-05-04,4.04
2000-05-05,4.06
2000-05-08,4.01
2000-05-09,4.11
2000-05-10,4.06
2000-05-11,4.06
2000-05-12,3.97
2000-05-15,4.05
2000-05-16,4.17
2000-05-17,4.14
2000-05-18,3.93
2000-05-19,3.89
2000-05-22,3.81
2000-05-23,3.69
2000-05-24,3.85
2000-05-25,3.74
2000-05-26,3.74
2000-05-29,3.57
2000-05-30,3.85
2000-05-31,3.78
2000-06-01,3.9
2000-06-02,4.09
2000-06-05,4.22
2000-06-06,4.21
2000-06-07,4.17
2000-06-08,4.14
2000-06-09,4.14
