,Adj Close
1998-10-19,3.53
1998-10-20,3.56
1998-10-21,3.62
1998-10-22,4.09
1998-10-23,3.88
1998-10-26,3.71
1998-10-27,3.56
1998-10-28,3.62
1998-10-29,3.41
1998-10-30,4.01
1998-11-03,4.11
1998-11-04,4.13
1998-11-05,4.42
1998-11-06,4.8
1998-11-09,4.92
1998-11-10,5.02
1998-11-11,4.37
1998-11-12,4.45
1998-11-13,4.37
1998-11-16,4.77
1998-11-17,5.02
1998-11-18,5.42
1998-11-19,5.46
1998-11-20,5.56
1998-11-23,5.59
1998-11-24,5.67
1998-11-25,6.32
1998-11-26,6.32
1998-11-27,6.32
1998-11-30,5.67
1998-12-01,5.46
1998-12-02,5.11
1998-12-03,4.37
1998-12-04,4.46
1998-12-07,4.77
1998-12-08,4.59
1998-12-09,4.58
1998-12-10,4.67
1998-12-11,4.83
1998-12-14,4.37
1998-12-15,4.56
1998-12-16,4.58
1998-12-17,4.8
1998-12-18,5.02
1998-12-21,5.85
1998-12-22,5.02
1998-12-23,5.2
1998-12-28,4.92
1998-12-29,4.62
1998-12-30,4.58
1999-01-04,4.67
1999-01-05,4.8
1999-01-06,4.79
1999-01-07,4.58
1999-01-08,4.18
1999-01-11,3.96
1999-01-12,3.56
1999-01-13,3.56
1999-01-14,2.92
1999-01-15,5.24
1999-01-18,5.46
1999-01-19,5.14
1999-01-20,5.37
1999-01-21,4.92
1999-01-22,4.83
1999-01-26,5.25
1999-01-27,5.25
1999-01-28,5.62
1999-01-29,5.67
1999-02-01,6.15
1999-02-02,5.5
1999-02-03,5.67
1999-02-04,5.59
1999-02-05,5.54
1999-02-08,5.98
1999-02-09,5.79
1999-02-10,5.9
1999-02-11,5.91
1999-02-12,6.21
1999-02-17,6.08
1999-02-18,5.95
1999-02-19,6.37
1999-02-22,6.4
1999-02-23,6.28
1999-02-24,6.1
1999-02-25,6.03
1999-02-26,6.02
1999-03-01,5.87
1999-03-02,5.79
1999-03-03,5.67
1999-03-04,6.03
1999-03-05,6.03
1999-03-08,6.39
1999-03-09,6.24
1999-03-10,6.25
1999-03-11,6.1
1999-03-12,6.1
1999-03-15,6.3
1999-03-16,6.76
1999-03-17,6.85
1999-03-18,7.01
1999-03-19,6.58
1999-03-22,6.44
1999-03-23,6.28
1999-03-24,6.15
1999-03-25,6.41
1999-03-26,6.61
1999-03-29,6.45
1999-03-30,6.39
1999-03-31,6.32
1999-04-06,6.41
1999-04-07,6.63
1999-04-08,6.9
1999-04-09,6.76
1999-04-12,6.67
1999-04-13,6.65
1999-04-14,6.72
1999-04-15,6.49
1999-04-16,6.54
1999-04-19,6.32
1999-04-20,6.04
1999-04-22,6.28
1999-04-23,6.34
1999-04-26,6.28
1999-04-27,6.41
1999-04-28,6.5
1999-04-29,6.32
1999-04-30,6.37
1999-05-03,6.32
1999-05-04,6.15
1999-05-05,6.27
1999-05-06,6.32
1999-05-07,6.45
1999-05-10,6.61
1999-05-11,6.55
1999-05-12,6.55
1999-05-13,6.9
1999-05-14,7.21
1999-05-17,6.97
1999-05-18,6.9
1999-05-19,6.67
1999-05-20,6.51
1999-05-21,6.18
1999-05-24,5.77
1999-05-25,5.6
1999-05-26,5.92
1999-05-27,5.67
1999-05-28,5.71
1999-05-31,5.67
1999-06-01,5.63
1999-06-02,5.54
1999-06-04,5.67
1999-06-07,5.62
1999-06-08,5.3
1999-06-09,5.18
1999-06-10,5.1
1999-06-14,5.21
1999-06-15,5.2
1999-06-16,5.4
1999-06-17,5.46
1999-06-18,5.79
1999-06-21,5.79
1999-06-22,5.79
1999-06-23,5.73
1999-06-24,5.5
1999-06-25,5.37
1999-06-28,5.3
1999-06-29,5.56
1999-06-30,5.75
1999-07-01,5.7
1999-07-02,5.63
1999-07-05,5.7
1999-07-06,5.59
1999-07-07,5.6
1999-07-08,5.42
1999-07-12,5.21
1999-07-13,5.25
1999-07-14,5.33
1999-07-15,5.25
1999-07-16,5.11
1999-07-19,5.08
1999-07-20,5.08
1999-07-21,5.02
1999-07-22,4.82
1999-07-23,4.88
1999-07-26,4.5
1999-07-27,4.8
1999-07-28,4.84
1999-07-29,4.8
1999-07-30,4.71
1999-08-02,4.4
1999-08-03,4.42
1999-08-04,4.18
1999-08-05,4.23
1999-08-06,4.23
1999-08-09,4.14
1999-08-10,4.01
1999-08-11,4.08
1999-08-12,3.93
1999-08-13,3.96
1999-08-16,3.96
1999-08-17,3.79
1999-08-18,3.84
1999-08-19,4.01
1999-08-20,4.34
1999-08-23,4.39
1999-08-24,4.6
1999-08-25,4.79
1999-08-26,4.59
1999-08-27,4.59
1999-08-30,4.5
1999-08-31,4.57
1999-09-01,4.62
1999-09-02,4.8
1999-09-03,4.84
1999-09-06,4.8
1999-09-08,4.55
1999-09-09,4.84
1999-09-10,5.02
1999-09-13,5.01
1999-09-14,5.71
1999-09-15,5.83
1999-09-16,6.04
1999-09-17,6.25
1999-09-20,6.21
1999-09-21,5.98
1999-09-22,6.04
1999-09-23,5.79
1999-09-24,5.73
1999-09-27,5.67
1999-09-28,5.6
1999-09-29,5.67
1999-09-30,5.63
1999-10-01,5.46
1999-10-04,5.46
1999-10-05,5.48
1999-10-06,5.98
1999-10-07,6.15
1999-10-08,6.12
1999-10-11,6.1
1999-10-13,5.98
1999-10-14,5.94
1999-10-15,5.78
1999-10-18,5.79
1999-10-19,5.85
1999-10-20,5.92
1999-10-21,6.03
1999-10-22,6.04
1999-10-25,6.01
1999-10-26,6.1
1999-10-27,6.28
1999-10-28,6.41
1999-10-29,6.55
1999-11-01,6.72
1999-11-03,7.11
1999-11-04,7.63
1999-11-05,7.85
1999-11-08,7.91
1999-11-09,7.69
1999-11-10,7.59
1999-11-11,7.41
1999-11-12,7.64
1999-11-16,7.58
1999-11-17,7.51
1999-11-18,7.73
1999-11-19,8.64
1999-11-22,8.87
1999-11-23,8.99
1999-11-24,8.5
1999-11-25,8.53
1999-11-26,9.07
1999-11-29,9.39
1999-11-30,9.59
1999-12-01,9.65
1999-12-02,9.73
1999-12-03,9.65
1999-12-06,9.16
1999-12-07,8.94
1999-12-08,9.07
1999-12-09,9.51
1999-12-10,9.82
1999-12-13,9.82
1999-12-14,9.34
1999-12-15,9.39
1999-12-16,9.73
1999-12-17,10.31
1999-12-20,10.29
1999-12-21,10.34
1999-12-22,11.43
1999-12-23,11.6
1999-12-27,11.33
1999-12-28,12.22
1999-12-29,13.26
1999-12-30,13.18
2000-01-03,13.33
2000-01-04,12.18
2000-01-05,12.43
2000-01-06,12.52
2000-01-07,12.28
2000-01-10,13.28
2000-01-11,12.93
2000-01-12,12.79
2000-01-13,13.51
2000-01-14,13.76
2000-01-17,14.21
2000-01-18,13.33
2000-01-19,13.07
2000-01-20,12.73
2000-01-21,12.39
2000-01-24,12.85
2000-01-26,12.31
2000-01-27,12.22
2000-01-28,11.94
2000-01-31,11.82
2000-02-01,11.54
2000-02-02,11.92
2000-02-03,12.75
2000-02-04,12.93
2000-02-07,12.94
2000-02-08,13.59
2000-02-09,13.58
2000-02-10,13.82
2000-02-11,13.41
2000-02-14,13.15
2000-02-15,12.85
2000-02-16,12.68
2000-02-17,12.85
2000-02-18,12.18
2000-02-21,12.23
2000-02-22,11.92
2000-02-23,12.14
2000-02-24,11.94
2000-02-25,11.99
2000-02-28,11.77
2000-02-29,11.52
2000-03-01,11.57
2000-03-02,11.52
2000-03-03,11.77
2000-03-08,12.82
2000-03-09,13.33
2000-03-10,13.8
2000-03-13,12.85
2000-03-14,12.85
2000-03-15,13.33
2000-03-16,13.07
2000-03-17,13.01
2000-03-20,13.06
2000-03-21,13.82
2000-03-22,14.38
2000-03-23,14.91
2000-03-24,15.06
2000-03-27,14.48
2000-03-28,13.82
2000-03-29,13.51
2000-03-30,12.97
2000-03-31,13.59
2000-04-03,12.85
2000-04-04,13.47
2000-04-05,12.79
2000-04-06,13.51
2000-04-07,15.27
2000-04-10,14.62
2000-04-11,14.83
2000-04-12,14.38
2000-04-13,13.16
2000-04-14,11.94
2000-04-17,12.14
2000-04-18,12.75
2000-04-19,11.94
2000-04-20,12.97
2000-04-24,12.85
2000-04-25,13.39
2000-04-26,13.95
2000-04-27,14.61
2000-04-28,15.06
2000-05-02,14.21
2000-05-03,13.21
2000-05-04,12.93
2000-05-05,13.51
2000-05-08,13.2
2000-05-09,12.52
2000-05-10,12.09
2000-05-11,11.92
2000-05-12,11.75
2000-05-15,12.04
2000-05-16,12.27
2000-05-17,12.22
2000-05-18,11.75
2000-05-19,11.52
2000-05-22,10.9
2000-05-23,10.86
2000-05-24,11.75
2000-05-25,12.19
2000-05-26,12.58
2000-05-29,12.79
2000-05-30,13.28
2000-05-31,13.24
2000-06-01,13.72
2000-06-02,14.38
2000-06-05,14.43
2000-06-06,14.15
2000-06-07,14.67
2000-06-08,14.43
2000-06-09,15.27
2000-06-12,14.95
2000-06-13,15.59
2000-06-14,15.59
2000-06-15,15.72
2000-06-16,15.51
2000-06-19,15.36
2000-06-20,15.15
2000-06-21,16.37
2000-06-23,15.15
2000-06-26,15.74
2000-06-27,15.59
2000-06-28,14.96
2000-06-29,14.48
2000-06-30,14.89
2000-07-03,15.74
2000-07-04,15.76
2000-07-05,15.11
2000-07-06,15.31
2000-07-07,15.51
2000-07-10,15.06
2000-07-11,14.43
2000-07-12,14.89
2000-07-13,14.34
2000-07-14,15.24
2000-07-17,15.63
2000-07-18,15.37
2000-07-19,15.0
2000-07-20,14.83
2000-07-21,14.76
2000-07-24,14.3
2000-07-25,14.15
2000-07-26,13.99
2000-07-27,13.68
2000-07-28,13.51
2000-07-31,13.28
2000-08-01,13.18
2000-08-02,13.38
2000-08-03,13.82
2000-08-04,14.09
2000-08-07,14.61
2000-08-08,14.67
2000-08-09,14.17
2000-08-10,14.34
2000-08-11,14.55
2000-08-14,15.34
2000-08-15,15.31
2000-08-16,14.81
2000-08-17,15.06
2000-08-18,15.0
2000-08-21,14.79
2000-08-22,14.81
2000-08-23,15.27
2000-08-24,15.27
2000-08-25,15.44
2000-08-28,15.22
2000-08-29,14.89
2000-08-30,14.38
2000-08-31,15.27
2000-09-01,15.06
2000-09-04,15.06
2000-09-05,14.55
2000-09-06,14.19
2000-09-08,14.22
2000-09-11,14.09
2000-09-12,13.51
2000-09-13,13.51
2000-09-14,13.14
2000-09-15,12.89
2000-09-18,12.39
2000-09-19,12.22
2000-09-20,12.18
2000-09-21,12.35
2000-09-22,12.48
2000-09-25,12.58
2000-09-26,12.75
2000-09-27,12.14
2000-09-28,12.27
2000-09-29,11.99
2000-10-02,11.68
2000-10-03,11.65
2000-10-04,12.04
2000-10-05,12.31
2000-10-06,11.82
2000-10-09,11.41
2000-10-10,11.39
2000-10-11,11.08
2000-10-13,10.64
2000-10-16,10.67
2000-10-17,9.95
2000-10-18,9.36
2000-10-19,9.83
2000-10-20,9.16
2000-10-23,9.07
2000-10-24,9.26
2000-10-25,9.91
2000-10-26,10.24
2000-10-27,10.85
2000-10-30,10.64
