,Adj Close
2006-09-19,11.17
2006-09-20,10.88
2006-09-21,10.58
2006-09-22,10.59
2006-09-25,10.45
2006-09-26,10.69
2006-09-27,10.7
2006-09-28,10.77
2006-09-29,10.67
2006-10-02,10.97
2006-10-03,10.94
2006-10-04,11.14
2006-10-05,11.22
2006-10-06,11.04
2006-10-09,11.43
2006-10-10,11.19
2006-10-11,11.07
2006-10-13,11.06
2006-10-16,11.25
2006-10-17,11.06
2006-10-18,10.99
2006-10-19,11.13
2006-10-20,11.13
2006-10-23,11.43
2006-10-24,11.37
2006-10-25,11.25
2006-10-26,11.33
2006-10-27,11.25
2006-10-30,11.33
2006-10-31,11.43
2006-11-03,11.92
2006-11-06,11.68
2006-11-07,11.55
2006-11-08,11.49
2006-11-09,11.44
2006-11-10,11.63
2006-11-13,11.39
2006-11-14,11.55
2006-11-16,11.49
2006-11-17,11.55
2006-11-21,11.63
2006-11-22,11.76
2006-11-23,11.88
2006-11-24,11.8
2006-11-27,11.49
2006-11-28,11.89
2006-11-29,12.02
2006-11-30,11.92
2006-12-01,11.74
2006-12-04,11.98
2006-12-05,12.16
2006-12-06,12.16
2006-12-07,12.51
2006-12-08,12.9
2006-12-11,13.45
2006-12-12,13.29
2006-12-13,13.41
2006-12-14,13.52
2006-12-15,13.42
2006-12-18,13.52
2006-12-19,13.05
2006-12-20,12.73
2006-12-21,12.77
2006-12-22,12.78
2006-12-26,12.73
2006-12-27,13.41
2006-12-28,13.41
2007-01-02,13.52
2007-01-03,13.41
2007-01-04,13.32
2007-01-05,12.84
2007-01-08,12.9
2007-01-09,12.76
2007-01-10,12.76
2007-01-11,13.16
2007-01-12,13.27
2007-01-15,13.16
2007-01-16,13.03
2007-01-17,12.96
2007-01-19,13.1
2007-01-22,13.25
2007-01-23,13.09
2007-01-24,13.05
2007-01-26,12.86
2007-01-29,12.68
2007-01-30,13.1
2007-01-31,13.09
2007-02-01,13.06
2007-02-02,12.98
2007-02-05,13.07
2007-02-06,13.25
2007-02-07,13.35
2007-02-08,13.18
2007-02-09,13.07
2007-02-12,13.3
2007-02-13,13.25
2007-02-14,13.48
2007-02-15,13.48
2007-02-16,13.52
2007-02-21,13.6
2007-02-22,13.54
2007-02-23,13.52
2007-02-26,13.48
2007-02-27,12.92
2007-02-28,13.12
2007-03-01,12.56
2007-03-02,12.54
2007-03-05,12.39
2007-03-06,13.03
2007-03-07,12.55
2007-03-08,12.67
2007-03-09,12.68
2007-03-12,12.53
2007-03-13,11.96
2007-03-14,11.92
2007-03-15,12.05
2007-03-16,12.29
2007-03-19,12.29
2007-03-20,12.33
2007-03-21,12.68
2007-03-22,12.29
2007-03-23,12.35
2007-03-26,12.2
2007-03-27,12.16
2007-03-28,12.05
2007-03-29,12.11
2007-03-30,12.05
2007-04-02,12.41
2007-04-03,12.55
2007-04-04,12.56
2007-04-05,12.86
2007-04-09,13.06
2007-04-10,12.94
2007-04-11,12.86
2007-04-12,12.68
2007-04-13,12.89
2007-04-16,13.0
2007-04-17,13.25
2007-04-18,13.25
2007-04-19,13.28
2007-04-20,13.55
2007-04-23,13.81
2007-04-24,13.69
2007-04-25,13.74
2007-04-26,13.47
2007-04-27,13.59
2007-04-30,13.56
2007-05-02,13.45
2007-05-03,13.73
2007-05-04,13.8
2007-05-07,13.82
2007-05-08,13.81
2007-05-09,13.97
2007-05-10,14.11
2007-05-11,14.52
2007-05-14,14.23
2007-05-15,14.23
2007-05-16,14.77
2007-05-17,15.11
2007-05-18,15.3
2007-05-21,15.46
2007-05-22,15.41
2007-05-23,15.19
2007-05-24,15.01
2007-05-25,15.41
2007-05-28,15.85
2007-05-29,16.11
2007-05-30,16.44
2007-05-31,16.7
2007-06-01,16.67
2007-06-04,16.56
2007-06-05,16.06
2007-06-06,15.67
2007-06-08,16.24
2007-06-11,16.49
2007-06-12,16.41
2007-06-13,16.3
2007-06-14,16.44
2007-06-15,16.44
2007-06-18,16.56
2007-06-19,16.18
2007-06-20,16.09
2007-06-21,16.54
2007-06-22,16.61
2007-06-25,16.18
2007-06-26,16.16
2007-06-27,16.29
2007-06-28,16.63
2007-06-29,16.43
2007-07-02,16.83
2007-07-03,16.12
2007-07-04,16.18
2007-07-05,15.95
2007-07-06,15.92
2007-07-10,15.71
2007-07-11,15.52
2007-07-12,16.02
2007-07-13,15.92
2007-07-16,15.81
2007-07-17,16.22
2007-07-18,16.3
2007-07-19,16.81
2007-07-20,16.81
2007-07-23,16.45
2007-07-24,16.44
2007-07-25,16.7
2007-07-26,16.17
2007-07-27,15.66
2007-07-30,16.09
2007-07-31,15.92
2007-08-01,15.82
2007-08-02,15.62
2007-08-03,15.15
2007-08-06,15.76
2007-08-07,16.17
2007-08-08,16.54
2007-08-09,15.95
2007-08-10,15.8
2007-08-13,15.99
2007-08-14,15.99
2007-08-15,15.78
2007-08-16,14.91
2007-08-17,15.41
2007-08-20,15.65
2007-08-21,15.87
2007-08-22,16.18
2007-08-23,16.23
2007-08-24,16.62
2007-08-27,16.12
2007-08-28,15.74
2007-08-29,15.95
2007-08-30,15.35
2007-08-31,15.8
2007-09-03,15.8
2007-09-04,16.11
2007-09-05,15.95
2007-09-06,15.86
2007-09-10,15.33
2007-09-11,15.71
2007-09-12,15.37
2007-09-13,15.74
2007-09-14,15.8
2007-09-17,15.9
2007-09-18,16.19
2007-09-19,16.2
2007-09-20,15.96
2007-09-21,16.13
2007-09-24,16.28
2007-09-25,16.32
2007-09-26,16.79
2007-09-27,17.01
2007-09-28,17.45
2007-10-01,17.82
2007-10-02,17.81
2007-10-03,17.84
2007-10-04,18.15
2007-10-05,17.72
2007-10-08,17.71
2007-10-09,17.57
2007-10-10,17.28
2007-10-11,17.13
2007-10-15,17.92
2007-10-16,17.56
2007-10-17,17.99
2007-10-18,18.22
2007-10-19,18.09
2007-10-22,17.99
2007-10-23,18.36
2007-10-24,18.68
2007-10-25,18.74
2007-10-26,18.72
2007-10-29,18.87
2007-10-30,19.07
2007-10-31,19.07
2007-11-01,18.61
2007-11-05,18.78
2007-11-06,18.99
2007-11-07,19.22
2007-11-08,18.74
2007-11-09,18.28
2007-11-12,18.43
2007-11-13,19.86
2007-11-14,20.74
2007-11-16,20.42
2007-11-19,19.45
2007-11-21,18.46
2007-11-22,19.29
2007-11-23,19.17
2007-11-26,18.57
2007-11-27,18.57
2007-11-28,19.32
2007-11-29,19.5
2007-11-30,20.03
2007-12-03,19.85
2007-12-04,19.63
2007-12-05,19.57
2007-12-06,20.11
2007-12-07,19.65
2007-12-10,20.11
2007-12-11,19.72
2007-12-12,19.74
2007-12-13,19.25
2007-12-14,18.86
2007-12-17,18.43
2007-12-18,19.57
2007-12-19,19.88
2007-12-20,19.6
2007-12-21,20.26
2007-12-26,21.04
2007-12-27,20.97
2007-12-28,21.04
2008-01-02,20.2
2008-01-03,20.77
2008-01-04,20.03
2008-01-07,20.69
2008-01-08,20.51
2008-01-09,20.47
2008-01-10,20.75
2008-01-11,20.47
2008-01-14,21.09
2008-01-15,19.97
2008-01-16,19.34
2008-01-17,18.82
2008-01-18,18.82
2008-01-21,17.77
2008-01-22,19.47
2008-01-23,18.41
2008-01-24,18.66
2008-01-28,19.06
2008-01-29,20.09
2008-01-30,20.19
2008-01-31,19.89
2008-02-01,20.56
2008-02-06,19.97
2008-02-07,20.39
2008-02-08,19.97
2008-02-11,20.03
2008-02-12,20.75
2008-02-13,20.41
2008-02-14,20.03
2008-02-15,19.61
2008-02-18,19.47
2008-02-19,19.03
2008-02-20,19.97
2008-02-21,19.67
2008-02-22,19.88
2008-02-25,20.3
2008-02-26,20.39
2008-02-27,20.26
2008-02-28,20.26
2008-02-29,19.97
2008-03-03,20.85
2008-03-04,20.64
2008-03-05,20.39
2008-03-06,19.82
2008-03-07,19.66
2008-03-10,19.47
2008-03-11,19.51
2008-03-12,19.02
2008-03-13,18.47
2008-03-14,18.37
2008-03-17,18.09
2008-03-18,18.5
2008-03-19,17.63
2008-03-20,18.87
2008-03-24,19.38
2008-03-25,19.47
2008-03-26,19.7
2008-03-27,19.82
2008-03-28,19.52
2008-03-31,19.97
2008-04-01,20.95
2008-04-02,21.09
2008-04-03,21.6
2008-04-04,21.12
2008-04-07,20.26
2008-04-08,20.42
2008-04-09,20.1
2008-04-10,20.49
2008-04-11,20.48
2008-04-14,20.19
2008-04-15,19.91
2008-04-16,20.78
2008-04-17,20.93
2008-04-18,21.23
2008-04-22,20.95
2008-04-23,21.01
2008-04-24,22.01
2008-04-25,21.53
2008-04-28,21.69
2008-04-29,20.93
2008-04-30,21.88
2008-05-02,22.39
2008-05-05,23.35
2008-05-06,23.49
2008-05-07,22.89
2008-05-08,24.06
2008-05-09,23.7
2008-05-12,23.2
2008-05-13,23.17
2008-05-14,22.13
2008-05-15,22.86
2008-05-16,23.06
2008-05-19,22.36
2008-05-20,22.0
2008-05-21,22.17
2008-05-23,21.71
2008-05-26,21.66
2008-05-27,22.01
2008-05-28,23.17
2008-05-29,23.14
2008-05-30,23.65
2008-06-02,23.17
2008-06-03,22.57
2008-06-04,22.93
2008-06-05,23.78
2008-06-06,22.93
2008-06-09,23.73
2008-06-10,23.41
2008-06-11,24.1
2008-06-12,23.49
2008-06-13,22.78
2008-06-16,22.51
2008-06-17,23.03
2008-06-18,22.13
2008-06-19,22.65
2008-06-20,22.45
2008-06-23,22.59
2008-06-24,22.01
2008-06-25,22.54
2008-06-26,22.22
2008-06-27,22.32
2008-06-30,22.26
2008-07-01,21.71
2008-07-02,21.31
2008-07-03,21.11
2008-07-04,21.02
2008-07-07,20.99
2008-07-08,21.5
2008-07-10,21.78
2008-07-11,21.69
2008-07-14,22.04
2008-07-15,22.22
2008-07-16,22.29
2008-07-17,21.74
2008-07-18,22.03
2008-07-21,22.76
2008-07-22,22.9
2008-07-23,22.98
2008-07-24,22.13
2008-07-25,21.75
2008-07-28,21.97
2008-07-29,22.49
2008-07-30,22.3
2008-07-31,22.26
2008-08-01,22.17
2008-08-04,21.87
2008-08-05,21.69
2008-08-06,21.87
2008-08-07,21.31
2008-08-08,20.69
2008-08-11,19.62
2008-08-12,20.24
2008-08-13,20.45
2008-08-14,20.19
2008-08-15,19.82
2008-08-18,19.72
2008-08-19,20.27
2008-08-20,19.89
2008-08-21,19.74
2008-08-22,19.67
2008-08-25,18.71
2008-08-26,19.41
2008-08-27,18.97
2008-08-28,19.41
2008-08-29,19.22
2008-09-01,19.02
2008-09-02,18.71
2008-09-03,18.44
2008-09-04,17.34
2008-09-05,17.71
2008-09-08,17.12
2008-09-09,16.37
2008-09-10,16.16
2008-09-11,16.54
2008-09-12,16.63
2008-09-15,15.96
2008-09-16,15.81
2008-09-17,14.68
2008-09-18,15.39
2008-09-19,17.7
2008-09-22,16.86
2008-09-23,16.6
2008-09-24,16.41
2008-09-25,16.99
2008-09-26,17.17
2008-09-29,14.88
2008-09-30,16.86
2008-10-01,18.14
2008-10-02,17.89
2008-10-03,17.66
2008-10-06,15.9
2008-10-07,14.52
2008-10-08,13.74
2008-10-09,13.12
2008-10-10,12.96
2008-10-13,15.2
2008-10-14,16.21
2008-10-15,15.57
2008-10-16,15.27
2008-10-17,15.53
2008-10-20,16.54
2008-10-21,17.1
2008-10-22,15.9
2008-10-23,15.9
2008-10-24,15.45
2008-10-27,14.52
2008-10-28,17.48
2008-10-29,16.54
2008-10-30,16.54
2008-10-31,17.34
2008-11-03,16.73
2008-11-04,17.12
2008-11-05,17.02
2008-11-06,17.12
2008-11-07,17.49
2008-11-10,17.77
2008-11-11,17.94
2008-11-12,17.8
2008-11-13,18.76
2008-11-14,17.03
2008-11-17,16.83
2008-11-18,17.14
2008-11-19,17.45
2008-11-21,17.43
2008-11-24,16.99
2008-11-25,16.54
2008-11-26,16.43
2008-11-27,16.54
2008-11-28,16.77
2008-12-01,16.54
2008-12-02,16.44
2008-12-03,16.0
2008-12-04,16.76
2008-12-05,16.37
2008-12-08,17.04
2008-12-09,17.04
2008-12-10,16.71
2008-12-11,16.32
2008-12-12,16.71
2008-12-15,15.9
2008-12-16,16.59
2008-12-17,16.0
2008-12-18,16.07
2008-12-19,16.37
2008-12-22,16.18
2008-12-23,15.73
2008-12-26,16.37
2008-12-29,16.94
2008-12-30,16.49
2009-01-02,16.76
2009-01-05,17.13
2009-01-06,16.86
2009-01-07,16.34
2009-01-08,16.53
2009-01-09,16.81
2009-01-12,16.86
2009-01-13,16.72
2009-01-14,16.53
2009-01-15,17.08
2009-01-16,17.17
2009-01-19,16.95
2009-01-20,16.43
2009-01-21,16.83
2009-01-22,16.56
2009-01-23,17.06
2009-01-26,16.76
2009-01-27,16.59
2009-01-28,16.6
2009-01-29,16.63
2009-01-30,16.83
2009-02-02,16.66
2009-02-03,17.07
2009-02-04,16.5
2009-02-05,17.13
2009-02-06,17.13
2009-02-09,16.87
2009-02-10,16.83
2009-02-11,17.09
2009-02-12,17.38
2009-02-13,17.42
2009-02-16,17.79
2009-02-17,17.66
2009-02-18,17.95
2009-02-19,18.69
2009-02-20,18.12
2009-02-25,18.06
2009-02-26,18.9
2009-02-27,18.95
2009-03-02,18.76
2009-03-03,18.92
2009-03-04,19.22
2009-03-05,19.28
2009-03-06,20.07
2009-03-09,19.51
2009-03-10,19.92
2009-03-11,19.28
2009-03-12,19.29
2009-03-13,19.8
2009-03-16,19.49
2009-03-17,19.49
2009-03-18,20.21
2009-03-19,19.66
2009-03-20,19.73
2009-03-23,19.72
2009-03-24,19.73
2009-03-25,19.82
2009-03-26,20.38
2009-03-27,20.96
2009-03-30,20.57
2009-03-31,21.12
2009-04-01,21.69
2009-04-02,21.78
2009-04-03,22.13
2009-04-06,22.17
2009-04-07,22.18
2009-04-08,22.31
2009-04-09,22.12
2009-04-13,22.51
2009-04-14,21.8
2009-04-15,21.7
2009-04-16,21.92
2009-04-17,21.02
2009-04-20,20.17
2009-04-22,20.74
2009-04-23,21.12
2009-04-24,20.96
2009-04-27,21.37
2009-04-28,21.79
2009-04-29,21.6
2009-04-30,20.56
2009-05-04,20.3
2009-05-05,20.52
2009-05-06,22.09
2009-05-07,21.85
2009-05-08,23.49
2009-05-11,23.11
2009-05-12,23.33
2009-05-13,22.75
2009-05-14,23.05
2009-05-15,22.38
2009-05-18,22.31
2009-05-19,22.25
2009-05-20,21.82
2009-05-21,22.09
2009-05-22,21.8
2009-05-25,22.13
2009-05-26,22.41
2009-05-27,22.08
2009-05-28,22.07
2009-05-29,22.41
2009-06-01,22.44
2009-06-02,22.17
2009-06-03,22.01
2009-06-04,21.87
2009-06-05,22.09
2009-06-08,22.14
2009-06-09,22.08
2009-06-10,22.2
2009-06-12,23.05
2009-06-15,23.05
2009-06-16,23.84
2009-06-17,24.27
2009-06-18,24.49
2009-06-19,25.23
2009-06-22,25.22
2009-06-23,25.0
2009-06-24,24.64
2009-06-25,25.03
2009-06-26,25.03
2009-06-29,24.88
2009-06-30,25.4
2009-07-01,25.68
2009-07-02,25.52
2009-07-03,25.39
2009-07-06,24.85
2009-07-07,24.64
2009-07-08,25.23
2009-07-10,25.01
2009-07-13,24.89
2009-07-14,24.07
2009-07-15,24.71
2009-07-16,25.63
2009-07-17,25.47
2009-07-20,25.76
2009-07-21,25.43
2009-07-22,25.2
2009-07-23,25.23
2009-07-24,25.45
2009-07-27,25.1
2009-07-28,25.15
2009-07-29,25.14
2009-07-30,25.68
2009-07-31,25.47
2009-08-03,25.89
2009-08-04,25.82
2009-08-05,26.44
2009-08-06,26.26
2009-08-07,26.39
2009-08-10,26.39
2009-08-11,26.56
2009-08-12,26.48
2009-08-13,26.37
2009-08-14,26.4
2009-08-17,25.97
2009-08-18,26.1
2009-08-19,26.15
2009-08-20,26.18
2009-08-21,26.35
2009-08-24,26.68
2009-08-25,26.57
2009-08-26,27.43
2009-08-27,28.03
2009-08-28,27.77
2009-08-31,27.11
2009-09-01,27.47
2009-09-02,27.64
2009-09-03,27.12
2009-09-04,27.12
2009-09-08,27.81
2009-09-09,27.54
2009-09-10,28.22
2009-09-11,27.57
2009-09-14,28.04
2009-09-15,28.04
2009-09-16,28.11
2009-09-17,28.91
2009-09-18,29.04
2009-09-21,29.42
2009-09-22,29.91
2009-09-23,29.16
2009-09-24,29.26
2009-09-25,28.57
2009-09-28,28.74
2009-09-29,28.19
2009-09-30,28.08
2009-10-01,28.3
2009-10-02,28.35
2009-10-05,28.61
2009-10-06,28.66
2009-10-07,29.14
2009-10-08,29.19
2009-10-09,29.5
2009-10-13,29.9
2009-10-14,29.57
2009-10-15,29.14
2009-10-16,29.61
2009-10-19,29.59
2009-10-20,28.69
2009-10-21,28.52
2009-10-22,28.66
2009-10-23,28.0
2009-10-26,28.01
2009-10-27,27.03
2009-10-28,26.74
2009-10-29,27.15
2009-10-30,25.53
2009-11-03,25.96
2009-11-04,25.79
2009-11-05,26.76
2009-11-06,26.53
2009-11-09,28.04
2009-11-10,27.6
2009-11-11,27.87
2009-11-12,27.15
2009-11-13,28.19
2009-11-16,28.57
2009-11-17,28.52
2009-11-18,28.28
2009-11-19,28.3
2009-11-23,27.82
2009-11-24,27.38
2009-11-25,26.91
2009-11-26,26.84
2009-11-27,26.46
2009-11-30,26.35
2009-12-01,27.2
2009-12-02,28.04
2009-12-03,28.32
2009-12-04,27.67
2009-12-07,27.43
2009-12-08,26.71
2009-12-09,27.12
2009-12-10,27.58
2009-12-11,27.44
2009-12-14,27.66
2009-12-15,27.2
2009-12-16,27.05
2009-12-17,27.07
2009-12-18,26.74
2009-12-21,26.91
2009-12-22,26.91
2009-12-23,26.58
2009-12-28,26.68
2009-12-29,26.68
2009-12-30,27.07
2010-01-04,27.81
2010-01-05,27.4
2010-01-06,27.42
2010-01-07,27.46
2010-01-08,27.38
2010-01-11,28.0
2010-01-12,28.24
2010-01-13,28.37
2010-01-14,27.92
2010-01-15,27.76
2010-01-18,27.54
2010-01-19,27.88
2010-01-20,27.0
2010-01-21,26.74
2010-01-22,27.15
2010-01-26,28.44
2010-01-27,28.24
2010-01-28,28.04
2010-01-29,28.17
2010-02-01,28.72
2010-02-02,28.85
2010-02-03,29.2
2010-02-04,28.61
2010-02-05,28.35
2010-02-08,28.8
2010-02-09,29.66
2010-02-10,30.0
2010-02-11,29.89
2010-02-12,29.96
2010-02-17,30.61
2010-02-18,30.61
2010-02-19,30.48
2010-02-22,29.69
2010-02-23,29.42
2010-02-24,29.04
2010-02-25,29.52
2010-02-26,29.42
2010-03-01,29.65
2010-03-02,30.22
2010-03-03,30.35
2010-03-04,30.22
2010-03-05,30.41
2010-03-08,30.22
2010-03-09,30.52
2010-03-10,30.61
2010-03-11,30.86
2010-03-12,30.27
2010-03-15,30.73
2010-03-16,31.02
2010-03-17,31.08
2010-03-18,31.14
2010-03-19,31.36
2010-03-22,31.01
2010-03-23,31.1
2010-03-24,29.9
2010-03-25,30.76
2010-03-26,31.02
2010-03-29,31.12
2010-03-30,30.69
2010-03-31,30.6
2010-04-01,30.94
2010-04-05,30.63
2010-04-06,30.94
2010-04-07,30.69
2010-04-08,30.76
2010-04-09,30.23
2010-04-12,30.35
2010-04-13,30.06
2010-04-14,30.33
2010-04-15,30.07
2010-04-16,30.27
2010-04-19,30.27
2010-04-20,30.17
2010-04-22,29.84
2010-04-23,30.05
2010-04-26,30.35
2010-04-27,29.66
2010-04-28,30.1
2010-04-29,30.1
2010-04-30,30.13
2010-05-03,29.12
2010-05-04,29.11
2010-05-05,28.65
2010-05-06,28.41
2010-05-07,28.25
2010-05-10,28.83
2010-05-11,28.1
2010-05-12,28.55
2010-05-13,28.84
2010-05-14,27.71
2010-05-17,27.57
2010-05-18,27.66
2010-05-19,26.7
2010-05-20,26.72
2010-05-21,27.25
2010-05-24,27.07
2010-05-25,26.82
2010-05-26,26.3
2010-05-27,27.16
2010-05-28,26.87
2010-05-31,27.19
2010-06-01,26.53
2010-06-02,27.23
2010-06-04,28.76
2010-06-07,29.69
2010-06-08,29.75
2010-06-09,29.0
2010-06-10,28.69
2010-06-11,28.94
2010-06-14,29.12
2010-06-15,29.52
2010-06-16,30.18
2010-06-17,29.92
2010-06-18,30.44
2010-06-21,30.88
2010-06-22,31.46
2010-06-23,31.32
2010-06-24,32.04
2010-06-25,32.56
2010-06-28,32.65
2010-06-29,32.47
2010-06-30,31.74
2010-07-01,31.86
2010-07-02,31.77
2010-07-05,32.27
2010-07-06,32.28
2010-07-07,32.38
2010-07-08,31.84
2010-07-12,31.71
2010-07-13,32.41
2010-07-14,31.95
2010-07-15,31.95
2010-07-16,31.15
2010-07-19,31.51
2010-07-20,32.03
2010-07-21,32.21
2010-07-22,33.18
2010-07-23,33.18
2010-07-26,32.38
2010-07-27,32.3
2010-07-28,32.21
2010-07-29,32.74
2010-07-30,32.65
2010-08-02,33.39
2010-08-03,33.22
2010-08-04,33.01
2010-08-05,32.65
2010-08-06,32.89
2010-08-09,31.98
2010-08-10,32.28
2010-08-11,31.95
2010-08-12,31.95
2010-08-13,32.45
2010-08-16,32.33
2010-08-17,32.43
2010-08-18,33.6
2010-08-19,34.01
2010-08-20,33.66
2010-08-23,33.44
2010-08-24,33.27
2010-08-25,33.27
2010-08-26,32.82
2010-08-27,33.18
2010-08-30,32.7
2010-08-31,32.53
2010-09-01,33.17
2010-09-02,32.54
2010-09-03,32.14
2010-09-06,32.26
2010-09-08,30.52
2010-09-09,29.97
2010-09-10,30.65
