,Adj Close
1999-06-29,2.25
1999-06-30,2.28
1999-07-01,2.38
1999-07-02,2.38
1999-07-05,2.57
1999-07-06,2.76
1999-07-07,2.94
1999-07-08,2.95
1999-07-12,2.79
1999-07-13,2.92
1999-07-14,2.84
1999-07-15,2.75
1999-07-16,2.84
1999-07-19,2.91
1999-07-20,2.83
1999-07-21,3.23
1999-07-22,3.84
1999-07-23,3.55
1999-07-26,3.73
1999-07-27,3.81
1999-07-28,3.65
1999-07-29,3.88
1999-07-30,3.87
1999-08-02,3.67
1999-08-03,3.51
1999-08-04,3.45
1999-08-05,3.44
1999-08-06,3.31
1999-08-09,3.49
1999-08-10,3.67
1999-08-11,3.8
1999-08-12,4.14
1999-08-13,4.12
1999-08-16,4.24
1999-08-17,3.98
1999-08-18,3.84
1999-08-19,3.86
1999-08-20,3.98
1999-08-23,3.95
1999-08-24,4.01
1999-08-25,4.12
1999-08-26,4.03
1999-08-27,4.06
1999-08-30,4.01
1999-08-31,4.06
1999-09-01,4.24
1999-09-02,4.49
1999-09-03,4.41
1999-09-06,4.49
1999-09-08,4.5
1999-09-09,4.52
1999-09-10,4.57
1999-09-13,4.5
1999-09-14,4.5
1999-09-15,4.37
1999-09-16,4.16
1999-09-17,4.46
1999-09-20,4.48
1999-09-21,4.32
1999-09-22,4.41
1999-09-23,4.17
1999-09-24,4.38
1999-09-27,4.17
1999-09-28,4.27
1999-09-29,4.17
1999-09-30,4.2
1999-10-01,4.29
1999-10-04,4.26
1999-10-05,4.17
1999-10-06,4.31
1999-10-07,4.23
1999-10-08,4.33
1999-10-11,4.44
1999-10-13,4.36
1999-10-14,4.42
1999-10-15,4.27
1999-10-18,4.12
1999-10-19,4.17
1999-10-20,4.2
1999-10-21,4.44
1999-10-22,4.58
1999-10-26,5.2
1999-10-27,5.03
1999-10-28,5.03
1999-10-29,5.03
1999-11-01,5.0
1999-11-03,5.33
1999-11-04,5.2
1999-11-05,5.03
1999-11-08,4.83
1999-11-09,4.76
1999-11-10,4.8
1999-11-11,4.81
1999-11-12,4.81
1999-11-16,5.13
1999-11-17,5.03
1999-11-18,5.03
1999-11-19,5.02
1999-11-22,4.96
1999-11-23,4.76
1999-11-24,4.68
1999-11-25,4.78
1999-11-26,4.78
1999-11-29,4.78
1999-11-30,4.72
1999-12-01,4.73
1999-12-02,4.75
1999-12-03,4.75
1999-12-06,4.66
1999-12-07,4.57
1999-12-08,4.72
1999-12-09,4.75
1999-12-10,4.55
1999-12-13,4.57
1999-12-14,4.57
1999-12-15,4.49
1999-12-16,4.7
1999-12-17,4.97
1999-12-20,4.89
1999-12-21,5.03
1999-12-22,5.25
1999-12-23,5.15
1999-12-27,5.33
1999-12-28,5.76
1999-12-29,6.01
1999-12-30,6.32
2000-01-03,6.1
2000-01-04,5.76
2000-01-05,5.71
2000-01-06,5.6
2000-01-07,5.75
2000-01-10,5.82
2000-01-11,5.68
2000-01-12,5.68
2000-01-13,5.63
2000-01-14,5.6
2000-01-17,5.6
2000-01-18,5.71
2000-01-19,5.6
2000-01-20,5.71
2000-01-21,5.71
2000-01-24,5.71
2000-01-26,5.67
2000-01-27,5.89
2000-01-28,6.04
2000-01-31,6.29
2000-02-01,6.28
2000-02-02,6.32
2000-02-03,6.21
2000-02-04,6.04
2000-02-07,6.16
2000-02-08,6.28
2000-02-09,6.59
2000-02-10,6.9
2000-02-11,6.41
2000-02-14,6.43
2000-02-15,6.45
2000-02-16,6.52
2000-02-17,6.5
2000-02-18,6.46
2000-02-21,6.6
2000-02-22,6.36
2000-02-23,6.36
2000-02-24,6.28
2000-02-25,6.28
2000-02-28,6.32
2000-02-29,6.36
2000-03-01,6.48
2000-03-02,6.36
2000-03-03,6.28
2000-03-08,6.36
2000-03-09,6.45
2000-03-10,6.6
2000-03-13,6.32
2000-03-14,6.32
2000-03-15,6.41
2000-03-16,6.42
2000-03-17,6.52
2000-03-20,6.69
2000-03-21,6.74
2000-03-22,6.59
2000-03-23,6.49
2000-03-24,6.67
2000-03-27,6.65
2000-03-28,6.45
2000-03-29,6.6
2000-03-30,6.45
2000-03-31,6.41
2000-04-03,6.43
2000-04-04,6.28
2000-04-05,6.23
2000-04-06,6.32
2000-04-07,6.36
2000-04-10,6.25
2000-04-11,6.36
2000-04-12,6.36
2000-04-13,6.36
2000-04-14,5.95
2000-04-17,5.95
2000-04-18,6.36
2000-04-19,6.32
2000-04-20,6.36
2000-04-24,6.41
2000-04-25,6.45
2000-04-26,6.79
2000-04-27,7.16
2000-04-28,7.51
2000-05-02,6.95
2000-05-03,6.6
2000-05-04,6.36
2000-05-05,6.65
2000-05-08,6.82
2000-05-09,6.82
2000-05-10,6.45
2000-05-11,6.45
2000-05-12,6.45
2000-05-15,6.65
2000-05-16,6.75
2000-05-17,6.67
2000-05-18,6.52
2000-05-19,6.41
2000-05-22,6.17
2000-05-23,6.03
2000-05-24,6.36
2000-05-25,6.32
2000-05-26,6.51
2000-05-29,6.52
2000-05-30,6.54
2000-05-31,6.6
2000-06-01,6.65
2000-06-02,6.79
2000-06-05,6.56
2000-06-06,6.65
2000-06-07,7.02
2000-06-08,6.91
2000-06-09,6.99
2000-06-12,7.16
2000-06-13,7.3
2000-06-14,6.89
2000-06-15,7.16
2000-06-16,7.11
2000-06-19,7.21
2000-06-20,7.16
2000-06-21,7.39
2000-06-23,7.75
2000-06-26,7.46
2000-06-27,7.74
2000-06-28,8.05
2000-06-29,8.3
2000-06-30,8.2
2000-07-03,8.74
2000-07-04,8.57
2000-07-05,8.43
2000-07-06,8.34
2000-07-07,8.5
2000-07-10,8.58
2000-07-11,8.54
2000-07-12,8.54
