,Adj Close
2018-04-24,20.413
2018-04-25,19.796
2018-04-26,19.995
2018-04-27,20.423
2018-04-30,20.194
2018-05-02,20.443
2018-05-03,20.194
2018-05-04,20.194
2018-05-07,20.194
2018-05-08,20.293
2018-05-09,20.293
2018-05-10,20.293
2018-05-11,20.443
2018-05-14,20.542
2018-05-15,19.945
2018-05-16,19.995
2018-05-17,20.512
2018-05-18,20.542
2018-05-21,20.781
2018-05-22,21.258
2018-05-23,21.825
2018-05-24,21.775
2018-05-25,21.526
2018-05-28,21.079
2018-05-29,21.288
2018-05-30,21.278
2018-06-01,21.765
2018-06-04,21.974
2018-06-05,21.675
2018-06-06,21.576
2018-06-07,20.691
2018-06-08,21.029
2018-06-11,21.477
2018-06-12,21.487
2018-06-13,21.964
2018-06-14,22.769
2018-06-15,22.958
2018-06-18,23.157
2018-06-19,23.356
2018-06-20,24.002
2018-06-21,23.704
2018-06-22,22.809
2018-06-25,22.839
2018-06-26,22.163
2018-06-27,21.934
2018-06-28,21.477
2018-06-29,21.377
2018-07-02,21.278
2018-07-03,21.278
2018-07-04,22.252
2018-07-05,21.844
2018-07-06,21.606
2018-07-10,21.775
2018-07-11,22.153
2018-07-12,22.819
2018-07-13,23.604
2018-07-16,23.753
2018-07-17,23.853
2018-07-18,24.062
2018-07-19,24.4
2018-07-20,25.016
2018-07-23,24.519
2018-07-24,24.251
2018-07-25,24.251
2018-07-26,24.251
2018-07-27,24.449
2018-07-30,24.151
2018-07-31,24.251
2018-08-01,24.251
2018-08-02,24.251
2018-08-03,24.569
2018-08-06,24.251
2018-08-07,23.753
2018-08-08,23.753
2018-08-09,23.753
2018-08-10,23.753
2018-08-13,24.002
2018-08-14,24.002
2018-08-15,24.35
2018-08-16,25.335
2018-08-17,25.364
2018-08-20,25.484
2018-08-21,24.768
2018-08-22,24.648
2018-08-23,23.803
2018-08-24,24.211
2018-08-27,24.549
2018-08-28,25.335
2018-08-29,25.076
2018-08-30,24.798
2018-08-31,25.235
2018-09-03,24.887
2018-09-04,24.251
2018-09-05,24.271
2018-09-06,24.937
2018-09-10,24.957
2018-09-11,25.155
2018-09-12,24.996
2018-09-13,24.44
2018-09-14,25.026
2018-09-17,25.335
2018-09-18,25.136
2018-09-19,24.987
2018-09-20,25.235
2018-09-21,25.335
2018-09-24,25.533
2018-09-25,26.229
2018-09-26,27.214
2018-09-27,26.657
2018-09-28,26.1
2018-10-01,26.219
2018-10-02,25.384
2018-10-03,24.937
2018-10-04,24.241
2018-10-05,23.276
2018-10-08,24.211
2018-10-09,24.38
2018-10-10,24.022
2018-10-11,23.773
2018-10-15,24.022
2018-10-16,24.022
2018-10-17,24.012
2018-10-18,24.201
2018-10-19,24.201
2018-10-22,24.221
2018-10-23,23.753
2018-10-24,23.356
2018-10-25,23.495
2018-10-26,23.753
2018-10-29,23.744
2018-10-30,23.555
2018-10-31,23.883
2018-11-01,24.271
2018-11-05,24.877
2018-11-06,24.151
2018-11-07,25.066
2018-11-08,25.494
2018-11-09,26.279
2018-11-12,26.13
2018-11-13,27.651
2018-11-14,27.075
2018-11-16,27.313
2018-11-19,27.045
2018-11-21,25.732
2018-11-22,26.379
2018-11-23,25.931
2018-11-26,24.967
