,Adj Close
2007-02-21,23.0
2007-02-22,22.5
2007-02-23,21.86
2007-02-26,22.5
2007-02-27,21.2
2007-02-28,21.8
2007-03-01,21.5
2007-03-02,21.91
2007-03-05,20.81
2007-03-06,21.5
2007-03-07,21.1
2007-03-08,21.2
2007-03-09,21.5
2007-03-12,21.69
2007-03-13,21.53
2007-03-14,22.3
2007-03-15,22.5
2007-03-16,22.26
2007-03-19,22.01
2007-03-20,22.01
2007-03-21,23.4
2007-03-22,23.19
2007-03-23,22.9
2007-03-26,22.01
2007-03-27,22.29
2007-03-28,23.0
2007-03-29,24.34
2007-03-30,23.81
2007-04-02,23.98
2007-04-03,24.9
2007-04-04,25.0
2007-04-05,25.81
2007-04-09,26.0
2007-04-10,25.2
2007-04-11,25.5
2007-04-12,25.6
2007-04-13,25.6
2007-04-16,25.95
2007-04-17,25.81
2007-04-18,26.01
2007-04-19,26.25
2007-04-20,26.35
2007-04-23,25.88
2007-04-24,25.3
2007-04-25,26.01
2007-04-26,26.01
2007-04-27,26.3
2007-04-30,25.71
2007-05-02,26.5
2007-05-03,26.61
2007-05-04,26.8
2007-05-07,26.9
2007-05-08,27.3
2007-05-09,27.28
2007-05-10,27.4
2007-05-11,28.4
2007-05-14,28.5
2007-05-15,28.7
2007-05-16,29.26
2007-05-17,29.1
2007-05-18,28.86
2007-05-21,29.2
2007-05-22,29.3
2007-05-23,29.85
2007-05-24,29.4
2007-05-25,29.1
2007-05-28,29.0
2007-05-29,29.2
2007-05-30,29.1
2007-05-31,28.79
2007-06-01,28.7
2007-06-04,28.6
2007-06-05,28.25
2007-06-06,28.7
2007-06-08,28.9
2007-06-11,29.0
2007-06-12,28.7
2007-06-13,28.8
2007-06-14,28.61
2007-06-15,28.9
2007-06-18,30.25
2007-06-19,31.0
2007-06-20,32.5
2007-06-21,33.01
2007-06-22,32.9
2007-06-25,32.41
2007-06-26,31.0
2007-06-27,31.7
2007-06-28,32.5
2007-06-29,33.94
2007-07-02,35.31
2007-07-03,37.0
2007-07-04,37.75
2007-07-05,37.5
2007-07-06,37.0
2007-07-10,37.0
2007-07-11,36.9
2007-07-12,37.0
2007-07-13,38.21
2007-07-16,37.42
2007-07-17,39.99
2007-07-18,40.51
2007-07-19,40.74
2007-07-20,40.0
2007-07-23,39.02
2007-07-24,37.16
2007-07-25,37.7
2007-07-26,36.02
2007-07-27,35.8
2007-07-30,35.5
2007-07-31,36.02
2007-08-01,36.02
2007-08-02,36.9
2007-08-03,36.51
2007-08-06,35.5
2007-08-07,36.61
2007-08-08,38.0
2007-08-09,36.51
2007-08-10,35.5
2007-08-13,34.65
2007-08-14,35.26
2007-08-15,32.85
2007-08-16,29.3
2007-08-17,33.01
2007-08-20,32.61
2007-08-21,33.01
2007-08-22,34.01
2007-08-23,33.3
2007-08-24,34.41
2007-08-27,35.36
2007-08-28,34.6
2007-08-29,35.2
2007-08-30,36.02
2007-08-31,37.92
2007-09-03,37.75
2007-09-04,38.75
2007-09-05,37.56
2007-09-06,36.4
2007-09-10,34.25
2007-09-11,35.0
2007-09-12,34.96
2007-09-13,37.0
2007-09-14,40.0
2007-09-17,38.9
2007-09-18,39.5
2007-09-19,38.0
2007-09-20,38.99
2007-09-21,38.47
2007-09-24,38.3
2007-09-25,38.3
2007-09-26,38.21
2007-09-27,39.0
2007-09-28,39.0
2007-10-01,39.79
2007-10-02,40.0
2007-10-03,40.11
2007-10-04,40.41
2007-10-05,40.85
2007-10-08,40.74
2007-10-09,39.79
2007-10-10,37.66
2007-10-11,37.4
2007-10-15,37.5
2007-10-16,36.21
2007-10-17,36.72
2007-10-18,38.0
2007-10-19,37.16
2007-10-22,37.7
2007-10-23,39.26
2007-10-24,37.63
2007-10-25,37.7
2007-10-26,38.0
2007-10-29,38.3
2007-10-30,38.0
2007-10-31,37.6
2007-11-01,38.3
2007-11-05,38.84
2007-11-06,38.3
2007-11-07,38.0
2007-11-08,36.99
2007-11-09,35.6
2007-11-12,34.01
2007-11-13,34.75
2007-11-14,35.5
2007-11-16,33.7
2007-11-19,32.5
2007-11-21,31.91
2007-11-22,33.6
2007-11-23,34.11
2007-11-26,32.11
2007-11-27,32.41
2007-11-28,33.5
2007-11-29,35.0
2007-11-30,37.7
2007-12-03,36.7
2007-12-04,34.89
2007-12-05,34.88
2007-12-06,34.7
2007-12-07,36.02
2007-12-10,37.0
2007-12-11,36.15
2007-12-12,36.26
2007-12-13,36.51
2007-12-14,37.0
2007-12-17,36.25
2007-12-18,36.02
2007-12-19,34.85
2007-12-20,33.91
2007-12-21,34.01
2007-12-26,33.78
2007-12-27,35.99
2007-12-28,35.75
2008-01-02,36.02
2008-01-03,35.0
2008-01-04,34.21
2008-01-07,34.01
2008-01-08,35.0
2008-01-09,36.02
2008-01-10,37.92
2008-01-11,36.51
2008-01-14,38.15
2008-01-15,38.9
2008-01-16,37.7
2008-01-17,36.02
2008-01-18,34.89
2008-01-21,32.01
2008-01-22,33.2
2008-01-23,32.01
2008-01-24,34.51
2008-01-28,35.0
2008-01-29,36.05
2008-01-30,35.0
2008-01-31,36.8
2008-02-01,37.0
2008-02-06,37.0
2008-02-07,36.02
2008-02-08,36.02
2008-02-11,37.5
2008-02-12,37.1
2008-02-13,37.0
2008-02-14,37.0
2008-02-15,36.89
2008-02-18,37.56
2008-02-19,38.9
2008-02-20,39.9
2008-02-21,39.26
2008-02-22,38.0
2008-02-25,38.21
2008-02-26,39.2
2008-02-27,39.0
2008-02-28,38.0
2008-02-29,36.99
2008-03-03,36.51
2008-03-04,34.25
2008-03-05,35.2
2008-03-06,35.95
2008-03-07,35.5
2008-03-10,34.51
2008-03-11,34.01
2008-03-12,33.46
2008-03-13,32.01
2008-03-14,33.49
2008-03-17,33.5
2008-03-18,35.97
2008-03-19,34.6
2008-03-20,34.51
2008-03-24,35.03
2008-03-25,33.5
2008-03-26,33.48
2008-03-27,33.5
2008-03-28,33.01
2008-03-31,33.1
2008-04-01,33.5
2008-04-02,33.75
2008-04-03,35.0
2008-04-04,36.02
2008-04-07,36.51
2008-04-08,36.9
2008-04-09,37.0
2008-04-10,37.75
2008-04-11,37.5
2008-04-14,37.55
2008-04-15,35.75
2008-04-16,36.21
2008-04-17,35.94
2008-04-18,36.4
2008-04-22,35.98
2008-04-23,35.5
2008-04-24,35.9
2008-04-25,37.5
2008-04-28,38.71
2008-04-29,38.0
2008-04-30,40.51
2008-05-02,40.74
2008-05-05,39.79
2008-05-06,37.92
2008-05-07,36.15
2008-05-08,36.4
2008-05-09,36.99
2008-05-12,36.9
2008-05-13,37.0
2008-05-14,37.68
2008-05-15,39.0
2008-05-16,39.0
2008-05-19,38.71
2008-05-20,38.62
2008-05-21,38.61
2008-05-23,37.5
2008-05-26,37.85
2008-05-27,37.6
2008-05-28,37.48
2008-05-29,37.2
2008-05-30,38.83
2008-06-02,37.5
2008-06-03,38.21
2008-06-04,38.41
2008-06-05,39.5
2008-06-06,37.74
2008-06-09,37.02
2008-06-10,36.8
2008-06-11,35.49
2008-06-12,35.5
2008-06-13,35.46
2008-06-16,35.36
2008-06-17,35.9
2008-06-18,36.31
2008-06-19,36.02
2008-06-20,35.3
2008-06-23,35.7
2008-06-24,35.0
2008-06-25,36.31
2008-06-26,36.25
2008-06-27,38.0
2008-06-30,39.0
2008-07-01,38.5
2008-07-02,39.28
2008-07-03,38.02
2008-07-04,37.7
2008-07-07,36.9
2008-07-08,38.04
2008-07-10,37.7
2008-07-11,37.31
2008-07-14,38.51
2008-07-15,38.71
2008-07-16,40.11
2008-07-17,39.13
2008-07-18,38.8
2008-07-21,37.92
2008-07-22,38.05
2008-07-23,37.7
2008-07-24,38.5
2008-07-25,38.51
2008-07-28,37.7
2008-07-29,39.0
2008-07-30,39.5
2008-07-31,38.95
2008-08-01,38.04
2008-08-04,36.02
2008-08-05,36.33
2008-08-06,37.5
2008-08-07,36.51
2008-08-08,36.28
2008-08-11,36.02
2008-08-12,35.6
2008-08-13,35.41
2008-08-14,35.7
2008-08-15,35.65
2008-08-18,35.0
2008-08-19,34.75
2008-08-20,35.9
2008-08-21,35.36
2008-08-22,35.9
2008-08-25,35.6
2008-08-26,35.83
2008-08-27,36.25
2008-08-28,38.02
2008-08-29,37.3
2008-09-01,37.0
2008-09-02,36.5
2008-09-03,34.85
2008-09-04,33.84
2008-09-05,33.55
2008-09-08,32.96
2008-09-09,31.69
2008-09-10,32.31
2008-09-11,33.01
2008-09-12,33.1
2008-09-15,30.0
2008-09-16,29.2
2008-09-17,27.58
2008-09-18,26.57
2008-09-19,30.0
2008-09-22,28.99
2008-09-23,28.01
2008-09-24,26.81
2008-09-25,27.81
2008-09-26,27.75
2008-09-29,25.38
2008-09-30,28.79
2008-10-01,29.81
2008-10-02,28.5
2008-10-03,26.55
2008-10-06,25.36
2008-10-07,23.79
2008-10-08,23.0
2008-10-09,23.0
2008-10-10,21.52
2008-10-13,24.86
2008-10-14,25.81
2008-10-15,24.35
2008-10-16,24.01
2008-10-17,25.01
2008-10-20,26.25
2008-10-21,26.21
2008-10-22,22.24
2008-10-23,20.5
2008-10-24,18.0
2008-10-27,15.51
2008-10-28,17.51
2008-10-29,19.49
2008-10-30,23.0
2008-10-31,23.53
2008-11-03,23.62
2008-11-04,24.8
2008-11-05,23.0
2008-11-06,22.29
2008-11-07,23.1
2008-11-10,23.23
2008-11-11,23.0
2008-11-12,22.01
2008-11-13,22.01
2008-11-14,22.73
2008-11-17,23.21
2008-11-18,22.98
2008-11-19,24.45
2008-11-21,23.5
2008-11-24,26.01
2008-11-25,25.73
2008-11-26,27.0
2008-11-27,26.69
2008-11-28,27.0
2008-12-01,22.3
2008-12-02,23.0
2008-12-03,22.5
2008-12-04,22.64
2008-12-05,24.71
2008-12-08,26.15
2008-12-09,26.21
2008-12-10,24.71
2008-12-11,25.2
2008-12-12,24.11
2008-12-15,22.26
2008-12-16,23.4
