,Adj Close
2000-01-18,1.391
2000-01-31,1.42
2000-02-28,1.304
2000-03-02,1.498
2000-03-09,1.498
2000-03-21,1.304
2000-09-11,1.382
2000-11-09,1.304
2000-12-04,0.428
2000-12-07,0.506
2001-01-05,0.642
2001-02-12,0.973
2001-03-02,0.875
2001-03-08,0.642
2001-03-19,0.661
2001-03-22,1.304
2001-07-18,0.661
2001-07-19,0.749
2001-07-20,0.7
2001-07-23,0.681
2001-07-24,0.71
2001-07-25,0.7
2001-07-26,0.642
2001-08-07,0.661
2001-08-09,0.681
2001-08-22,0.642
2001-08-24,0.681
2001-08-28,0.661
2001-08-30,0.613
2001-08-31,0.642
2001-09-03,0.36
2001-09-04,0.642
2001-09-05,0.613
2001-09-12,0.535
2001-09-13,0.584
2001-10-02,0.467
2001-10-15,0.564
2001-11-09,0.661
2001-11-27,0.642
2001-12-03,0.642
2001-12-10,0.7
2001-12-21,0.71
2001-12-28,0.71
2002-01-07,0.71
2002-01-17,0.749
2002-01-29,0.749
2002-02-15,0.749
2002-02-18,0.749
2002-02-21,0.749
2002-02-22,0.749
2002-02-26,0.749
2002-02-27,0.749
2002-03-18,0.749
2002-04-01,0.642
2002-04-02,0.642
2002-04-03,0.642
2002-04-11,0.642
2002-09-04,0.476
2002-09-06,0.476
2002-09-09,0.476
2002-09-13,0.476
2002-09-19,0.613
2002-11-01,0.71
2002-11-12,0.642
2002-11-13,0.613
2002-11-29,0.476
2002-12-02,0.535
2002-12-18,0.535
2002-12-20,0.642
2003-01-02,0.642
2003-06-20,0.34
2003-07-07,0.34
2003-07-10,0.34
2003-07-17,0.321
2003-07-21,0.34
2003-07-24,0.34
2003-07-25,0.34
2003-08-14,0.34
2003-08-15,0.428
2003-08-18,0.34
2003-08-19,0.34
2003-08-20,0.476
2003-08-21,0.476
2003-08-22,0.476
2003-08-26,0.496
2003-08-27,0.496
2003-08-28,0.642
2003-08-29,0.661
2003-09-02,0.642
2003-09-04,0.642
2003-09-08,0.661
2003-09-09,0.749
2003-09-15,0.535
2003-09-16,0.71
2003-09-19,0.788
2003-09-30,0.798
2003-10-01,0.749
2003-10-02,0.749
2003-10-08,0.749
2003-10-10,0.749
2003-10-17,0.749
2003-10-20,0.749
2003-10-21,0.749
2003-10-22,0.788
2003-10-24,0.817
2003-10-31,0.817
2003-11-04,0.535
2003-11-13,0.817
2003-11-14,0.817
2003-11-17,0.798
2003-11-19,0.749
2003-11-25,0.749
2003-11-26,0.749
2003-11-28,0.71
2003-12-02,0.71
2003-12-05,0.798
2003-12-08,0.817
2003-12-10,0.817
2003-12-16,0.817
2004-01-06,0.817
2004-01-07,0.467
2004-01-13,0.593
2004-01-22,0.564
2004-01-26,0.564
2004-01-27,0.564
2004-01-28,0.642
2004-02-09,0.642
2004-02-10,0.642
2004-02-13,0.642
2004-02-16,0.642
2004-02-17,0.642
2004-02-18,0.642
2004-03-22,0.535
2004-03-25,0.613
2004-04-14,0.535
2004-04-15,0.535
2004-04-16,0.535
2004-07-15,0.476
2004-07-16,0.476
2004-07-29,0.408
2004-08-06,0.408
2004-08-09,0.408
2004-08-10,0.408
2004-08-12,0.379
2004-08-16,0.379
2004-08-17,0.379
2004-08-19,0.369
2004-09-09,0.476
2004-09-10,0.428
2004-09-13,0.428
2004-09-16,0.467
2004-09-20,0.476
2004-09-23,0.428
2004-10-05,0.476
2004-10-07,0.476
2004-10-14,0.408
2004-11-16,0.389
2004-12-01,0.389
2004-12-17,0.35
2004-12-21,0.36
2005-01-07,0.36
2005-01-10,0.36
2005-01-20,0.34
2005-02-21,0.369
2005-02-23,0.369
2005-02-28,0.369
2005-03-10,0.379
2005-03-14,0.34
2005-03-21,0.379
2005-03-31,0.35
2005-04-08,0.36
2005-04-14,0.36
2005-04-20,0.379
2005-05-24,0.369
2005-06-08,0.369
2005-06-21,0.369
2005-06-22,0.35
2005-06-24,0.35
2005-06-28,0.34
2005-07-04,0.34
2005-07-27,0.34
2005-07-28,0.34
2005-08-02,0.36
2005-08-05,0.36
2005-08-08,0.35
2005-08-12,0.321
2005-08-16,0.36
2005-08-17,0.36
2005-09-19,0.36
2005-10-13,0.35
2005-11-01,0.36
2005-11-17,0.379
2005-11-18,0.379
2005-11-21,0.467
2005-11-22,0.476
2005-11-23,0.467
2005-11-24,0.476
2005-11-25,0.535
2005-11-28,0.574
2005-11-29,0.584
2005-11-30,0.584
2005-12-01,0.603
2005-12-02,0.642
2005-12-05,0.642
2005-12-06,0.642
2005-12-07,0.642
2005-12-08,0.593
2005-12-09,0.584
2005-12-12,0.584
2005-12-14,0.584
2005-12-15,0.584
2005-12-20,0.584
2005-12-23,0.564
2005-12-27,0.564
2005-12-28,0.535
2006-01-04,0.496
2006-01-11,0.506
2006-01-12,0.506
2006-01-16,0.506
2006-01-17,0.506
2006-01-19,0.506
2006-02-01,0.545
2006-02-02,0.564
2006-02-03,0.584
2006-02-06,0.603
2006-02-07,0.603
2006-02-08,0.632
2006-02-09,0.642
2006-02-10,0.613
2006-02-13,0.661
2006-02-14,0.642
2006-02-15,0.681
2006-02-16,0.681
2006-02-17,0.681
2006-02-21,0.642
2006-02-22,0.642
2006-02-23,0.642
2006-02-24,0.642
2006-03-01,0.691
2006-03-03,0.7
2006-03-06,0.7
2006-03-07,0.681
2006-03-08,0.661
2006-03-09,0.661
2006-03-10,0.661
2006-03-15,0.71
