,Adj Close
2007-02-13,12.478
2007-02-14,12.645
2007-02-15,12.478
2007-02-16,12.636
2007-02-21,12.478
2007-02-22,12.842
2007-02-23,13.019
2007-02-26,13.215
2007-02-27,12.459
2007-02-28,12.075
2007-03-01,11.712
2007-03-02,11.329
2007-03-05,10.946
2007-03-06,11.447
2007-03-07,11.633
2007-03-08,11.712
2007-03-09,11.741
2007-03-12,11.741
2007-03-13,11.781
2007-03-14,11.673
2007-03-15,11.476
2007-03-16,11.24
2007-03-19,11.417
2007-03-20,11.329
2007-03-21,11.437
2007-03-22,11.358
2007-03-23,11.329
2007-03-26,11.329
2007-03-27,10.906
2007-03-28,11.132
2007-03-29,11.073
2007-03-30,11.515
2007-04-02,11.82
2007-04-03,12.036
2007-04-04,11.781
2007-04-05,11.624
2007-04-09,11.633
2007-04-10,11.515
2007-04-11,11.555
2007-04-12,11.673
2007-04-13,11.673
2007-04-16,11.633
2007-04-17,11.633
2007-04-18,11.555
2007-04-19,11.781
2007-04-20,12.007
2007-04-23,12.075
2007-04-24,12.066
2007-04-25,12.174
2007-04-26,12.085
2007-04-27,12.085
2007-04-30,12.105
2007-05-02,12.174
2007-05-03,12.272
2007-05-04,12.518
2007-05-07,12.478
2007-05-08,12.577
2007-05-09,12.577
2007-05-10,12.459
2007-05-11,12.459
2007-05-14,12.478
2007-05-15,12.439
2007-05-16,12.508
2007-05-17,12.459
2007-05-18,12.518
2007-05-21,12.753
2007-05-22,12.871
2007-05-23,13.019
2007-05-24,12.94
2007-05-25,13.569
2007-05-28,13.903
2007-05-29,13.913
2007-05-30,13.805
2007-05-31,13.923
2007-06-01,14.159
2007-06-04,14.168
2007-06-05,14.237
2007-06-06,14.237
2007-06-08,13.991
2007-06-11,13.972
2007-06-12,13.569
2007-06-13,13.215
2007-06-14,13.255
2007-06-15,13.186
2007-06-18,13.186
2007-06-19,12.979
2007-06-20,12.842
2007-06-21,12.979
2007-06-22,13.019
2007-06-25,12.842
2007-06-26,12.812
2007-06-27,13.392
2007-06-28,13.323
2007-06-29,13.323
2007-07-02,13.333
2007-07-03,13.412
2007-07-04,13.019
2007-07-05,13.127
2007-07-06,12.724
2007-07-10,12.351
2007-07-11,11.849
2007-07-12,11.849
2007-07-13,12.075
2007-07-16,12.075
2007-07-17,11.81
2007-07-18,11.653
2007-07-19,12.115
2007-07-20,12.075
2007-07-23,12.075
2007-07-24,11.604
2007-07-25,11.81
2007-07-26,11.781
2007-07-27,11.515
2007-07-30,11.515
2007-07-31,12.075
2007-08-01,11.712
2007-08-02,11.201
2007-08-03,11.24
2007-08-06,11.034
2007-08-07,11.23
2007-08-08,11.761
2007-08-09,11.633
2007-08-10,11.712
2007-08-13,11.741
2007-08-14,11.604
2007-08-15,10.965
2007-08-16,10.13
2007-08-17,10.258
2007-08-20,10.159
2007-08-21,9.924
2007-08-22,10.012
2007-08-23,10.179
2007-08-24,10.228
2007-08-27,10.444
2007-08-28,10.415
2007-08-29,10.464
2007-08-30,10.562
2007-08-31,11.014
2007-09-03,11.604
2007-09-04,11.329
2007-09-05,10.906
2007-09-06,10.877
2007-09-10,10.415
2007-09-11,10.494
2007-09-12,10.523
2007-09-13,10.523
2007-09-14,10.68
2007-09-17,10.562
2007-09-18,11.132
2007-09-19,10.837
2007-09-20,10.7
2007-09-21,10.464
2007-09-24,10.494
2007-09-25,10.346
2007-09-26,10.346
2007-09-27,10.326
2007-09-28,10.356
2007-10-01,10.523
2007-10-02,10.916
2007-10-03,10.995
2007-10-04,11.132
2007-10-05,11.407
2007-10-08,11.132
2007-10-09,11.27
2007-10-10,11.132
2007-10-11,10.896
2007-10-15,10.346
2007-10-16,10.946
2007-10-17,10.562
2007-10-18,10.562
2007-10-19,10.562
2007-10-22,10.523
2007-10-23,10.592
2007-10-24,10.444
2007-10-25,10.562
2007-10-26,10.896
2007-10-29,10.759
2007-10-30,10.759
2007-10-31,11.132
2007-11-01,10.995
2007-11-05,10.798
2007-11-06,11.28
2007-11-07,11.221
2007-11-08,11.329
2007-11-09,10.995
2007-11-12,10.651
2007-11-13,10.906
2007-11-14,10.7
2007-11-16,10.71
2007-11-19,10.444
2007-11-21,9.619
2007-11-22,9.924
2007-11-23,10.012
2007-11-26,9.815
2007-11-27,9.619
2007-11-28,9.344
2007-11-29,9.196
2007-11-30,10.051
2007-12-03,10.189
2007-12-04,10.395
2007-12-05,11.172
2007-12-06,11.162
2007-12-07,11.181
2007-12-10,10.995
2007-12-11,11.329
2007-12-12,10.916
2007-12-13,10.523
2007-12-14,10.778
2007-12-17,10.405
2007-12-18,10.395
2007-12-19,9.865
2007-12-20,9.924
2007-12-21,10.012
2007-12-26,10.189
2007-12-27,10.297
2007-12-28,10.946
2008-01-02,10.494
2008-01-03,10.356
2008-01-04,10.297
2008-01-07,10.444
2008-01-08,10.444
2008-01-09,10.503
2008-01-10,10.69
