,Adj Close
2005-05-12,11.09
2005-05-13,10.61
2005-05-16,10.13
2005-05-17,9.97
2005-05-18,10.3
2005-05-19,10.61
2005-05-20,10.45
2005-05-23,10.92
2005-05-24,10.92
2005-05-25,11.09
2005-05-27,11.87
2005-05-30,11.56
2005-05-31,11.71
2005-06-01,11.87
2005-06-02,11.71
2005-06-03,11.25
2005-06-06,10.61
2005-06-07,10.3
2005-06-08,10.13
2005-06-09,9.97
2005-06-10,10.45
2005-06-13,10.3
2005-06-14,11.09
2005-06-15,10.45
2005-06-16,10.61
2005-06-17,10.92
2005-06-20,11.09
2005-06-21,11.25
2005-06-22,10.92
2005-06-23,10.3
2005-06-24,10.61
2005-06-27,10.61
2005-06-28,10.61
2005-06-29,10.92
2005-06-30,11.25
2005-07-01,11.56
2005-07-04,11.71
2005-07-05,11.25
2005-07-06,11.09
2005-07-07,11.71
2005-07-08,11.09
2005-07-11,11.71
2005-07-12,11.56
2005-07-13,11.87
2005-07-14,11.71
2005-07-15,11.25
2005-07-18,11.09
2005-07-19,10.92
2005-07-20,10.92
2005-07-21,10.61
2005-07-22,10.45
2005-07-25,9.66
2005-07-26,9.82
2005-07-27,10.3
2005-07-28,11.25
2005-07-29,11.25
2005-08-01,11.09
2005-08-02,11.25
2005-08-03,11.87
2005-08-04,12.51
2005-08-05,13.62
2005-08-08,13.62
2005-08-09,13.93
2005-08-10,13.62
2005-08-11,12.99
2005-08-12,12.99
2005-08-15,12.99
2005-08-16,13.3
2005-08-17,13.93
2005-08-18,13.62
2005-08-19,13.45
2005-08-22,13.62
2005-08-23,12.99
2005-08-29,13.3
2005-09-05,14.41
2005-09-09,14.88
2005-09-12,14.09
2005-09-19,14.41
2005-09-20,13.62
2005-09-21,13.62
2005-09-22,13.45
2005-09-23,13.62
2005-09-26,14.25
2005-09-27,14.73
2005-09-28,14.88
2005-09-29,15.36
2005-09-30,15.36
2005-10-03,14.73
2005-10-04,13.93
2005-10-05,14.25
2005-10-06,14.41
2005-10-07,15.04
2005-10-10,14.73
2005-10-11,14.57
2005-10-13,14.73
2005-10-14,14.57
2005-10-17,14.25
2005-10-18,13.78
2005-10-19,14.73
2005-10-20,13.78
2005-10-21,14.09
2005-10-24,14.09
2005-10-25,14.41
2005-10-26,14.57
2005-10-27,13.93
2005-10-28,14.25
2005-10-31,14.25
2005-11-01,14.41
2005-11-03,14.73
2005-11-04,14.88
2005-11-07,15.04
2005-11-08,15.52
2005-11-10,16.15
2005-11-11,15.21
2005-11-14,15.04
2005-11-16,15.67
2005-11-17,15.83
2005-11-18,15.52
2005-11-21,15.52
2005-11-22,15.67
2005-11-23,15.67
2005-11-24,15.52
2005-11-25,15.67
2005-11-28,15.36
2005-11-29,15.36
2005-11-30,15.52
2005-12-01,16.31
2005-12-02,16.47
2005-12-05,16.15
2005-12-06,17.26
2005-12-07,17.89
2005-12-08,17.57
2005-12-09,18.21
2005-12-12,17.89
2005-12-13,18.21
2005-12-14,17.74
2005-12-15,17.57
2005-12-16,17.26
2005-12-19,16.62
2005-12-20,16.95
2005-12-21,17.42
2005-12-22,17.1
2005-12-23,17.1
2005-12-26,16.95
2005-12-27,16.78
2005-12-28,16.47
2005-12-29,16.95
2006-01-02,16.95
2006-01-03,17.42
2006-01-04,17.42
2006-01-05,17.57
2006-01-06,17.26
2006-01-09,16.62
2006-01-10,16.62
2006-01-11,17.1
2006-01-12,17.1
2006-01-13,17.57
2006-01-17,17.26
2006-01-18,17.26
2006-01-19,17.57
2006-01-20,17.57
2006-01-23,18.21
2006-01-24,19.16
2006-01-26,19.95
2006-01-27,19.16
2006-01-30,18.69
2006-01-31,18.36
2006-02-01,18.21
2006-02-02,18.36
2006-02-03,18.21
2006-02-06,18.21
2006-02-07,17.57
2006-02-08,17.57
2006-02-09,18.53
2006-02-10,18.53
2006-02-13,17.57
2006-02-14,17.89
2006-02-15,17.89
2006-02-16,18.21
2006-02-17,18.53
2006-02-20,17.89
2006-02-21,17.57
2006-02-22,17.89
2006-02-23,18.05
2006-02-24,17.89
2006-03-01,18.21
2006-03-02,18.53
2006-03-03,18.36
2006-03-06,17.89
2006-03-07,17.57
2006-03-08,17.74
2006-03-09,17.26
2006-03-10,17.57
2006-03-13,17.1
2006-03-14,17.42
2006-03-15,17.74
2006-03-16,17.74
2006-03-17,17.74
2006-03-20,17.57
2006-03-21,16.95
2006-03-22,17.89
2006-03-23,17.57
2006-03-24,17.42
2006-03-27,16.95
2006-03-28,15.67
2006-03-29,16.62
2006-03-30,17.1
2006-03-31,17.42
2006-04-03,17.57
2006-04-04,17.74
2006-04-05,17.74
2006-04-06,17.89
2006-04-07,17.74
2006-04-10,18.21
2006-04-11,18.05
2006-04-12,18.21
2006-04-13,18.05
2006-04-17,17.74
2006-04-18,18.21
2006-04-19,18.36
2006-04-20,18.69
2006-04-24,19.79
2006-04-25,19.32
2006-04-26,19.48
2006-04-27,19.48
2006-04-28,19.95
2006-05-02,20.11
2006-05-03,20.11
2006-05-04,19.95
2006-05-05,19.95
2006-05-08,19.79
2006-05-09,19.79
2006-05-10,20.43
2006-05-11,20.27
2006-05-12,19.79
2006-05-15,19.63
2006-05-16,19.48
2006-05-17,18.36
2006-05-19,19.0
2006-05-22,18.21
2006-05-23,17.42
2006-05-24,17.1
2006-05-25,19.0
2006-05-26,19.63
2006-05-29,19.0
2006-05-30,17.42
2006-05-31,18.05
2006-06-01,18.84
2006-06-02,19.16
2006-06-05,18.36
2006-06-06,18.69
2006-06-07,17.89
2006-06-08,17.89
2006-06-09,17.42
2006-06-12,16.62
2006-06-13,16.78
2006-06-14,16.62
2006-06-16,17.1
2006-06-19,17.26
2006-06-20,17.42
2006-06-21,17.89
2006-06-22,18.05
2006-06-23,18.21
2006-06-26,17.89
2006-06-27,17.74
2006-06-28,17.89
2006-06-29,18.69
2006-06-30,18.53
2006-07-03,18.69
2006-07-04,18.53
2006-07-05,17.89
2006-07-06,18.05
2006-07-07,17.89
2006-07-10,17.89
2006-07-11,18.05
2006-07-12,18.21
2006-07-13,17.74
2006-07-14,17.74
2006-07-17,18.21
2006-07-18,18.05
2006-07-19,18.69
2006-07-20,18.21
2006-07-21,18.36
2006-07-24,18.84
2006-07-25,19.16
2006-07-26,19.32
2006-07-27,19.32
2006-07-28,19.48
2006-07-31,19.32
2006-08-01,19.48
2006-08-02,19.68
2006-08-03,19.1
2006-08-04,19.45
2006-08-07,19.02
2006-08-08,19.0
2006-08-09,19.53
2006-08-10,19.85
2006-08-11,20.05
2006-08-14,19.43
2006-08-15,20.43
2006-08-16,20.47
2006-08-17,20.12
2006-08-18,20.32
2006-08-21,20.02
2006-08-22,20.05
2006-08-23,19.65
2006-08-24,20.27
2006-08-25,20.19
2006-08-28,20.05
2006-08-29,20.48
2006-08-30,20.27
2006-08-31,20.32
2006-09-01,20.67
2006-09-04,20.58
2006-09-05,20.58
2006-09-06,20.76
2006-09-08,21.14
2006-09-11,20.48
2006-09-12,21.2
2006-09-13,21.29
2006-09-14,21.11
2006-09-15,21.67
2006-09-18,21.43
2006-09-19,21.11
2006-09-20,20.43
2006-09-21,19.95
2006-09-22,20.48
2006-09-25,20.95
2006-09-26,21.53
2006-09-27,21.16
2006-09-28,21.31
2006-09-29,20.63
2006-10-02,21.06
2006-10-03,21.27
2006-10-04,22.7
2006-10-05,22.27
2006-10-06,22.16
2006-10-09,22.96
2006-10-10,22.62
2006-10-11,22.37
2006-10-13,22.65
2006-10-16,22.39
2006-10-17,22.22
2006-10-18,22.17
2006-10-19,22.37
2006-10-20,21.9
2006-10-23,22.91
2006-10-24,22.86
2006-10-25,23.46
2006-10-26,23.91
2006-10-27,23.49
2006-10-30,22.31
2006-10-31,22.99
2006-11-03,23.37
2006-11-06,22.98
2006-11-07,23.18
2006-11-08,23.13
2006-11-09,22.34
2006-11-10,22.13
2006-11-13,21.77
2006-11-14,22.52
2006-11-16,22.68
2006-11-17,22.28
2006-11-21,22.17
2006-11-22,21.87
2006-11-23,22.06
2006-11-24,22.22
2006-11-27,22.06
2006-11-28,22.19
2006-11-29,22.3
2006-11-30,22.3
2006-12-01,22.17
2006-12-04,23.14
2006-12-05,24.24
2006-12-06,24.62
2006-12-07,24.3
2006-12-08,23.99
2006-12-11,24.09
2006-12-12,24.3
2006-12-13,24.04
2006-12-14,23.94
2006-12-15,24.38
2006-12-18,24.38
2006-12-19,24.46
2006-12-20,24.19
2006-12-21,24.12
2006-12-22,23.69
2006-12-26,23.89
2006-12-27,24.5
2006-12-28,24.57
2007-01-02,25.76
2007-01-03,25.3
2007-01-04,25.41
2007-01-05,24.37
2007-01-08,24.6
2007-01-09,23.99
2007-01-10,23.78
2007-01-11,24.5
2007-01-12,24.7
2007-01-15,24.7
2007-01-16,24.5
2007-01-17,24.7
2007-01-19,25.0
2007-01-22,24.45
2007-01-23,24.2
2007-01-24,25.15
2007-01-26,25.0
2007-01-29,25.0
2007-01-30,25.49
2007-01-31,25.67
2007-02-01,26.2
2007-02-02,26.5
2007-02-05,27.09
2007-02-06,27.15
2007-02-07,27.8
2007-02-08,27.3
2007-02-09,26.56
2007-02-12,26.89
2007-02-13,27.0
2007-02-14,27.0
2007-02-15,27.21
2007-02-16,26.8
2007-02-21,27.0
2007-02-22,27.8
2007-02-23,27.8
2007-02-26,27.99
2007-02-27,26.27
2007-02-28,27.0
2007-03-01,26.15
2007-03-02,25.5
2007-03-05,23.75
2007-03-06,25.0
2007-03-07,24.8
2007-03-08,26.0
2007-03-09,26.3
2007-03-12,26.76
2007-03-13,24.95
2007-03-14,25.29
2007-03-15,25.05
2007-03-16,24.49
2007-03-19,25.39
2007-03-20,26.0
2007-03-21,26.68
2007-03-22,26.85
2007-03-23,26.95
2007-03-26,27.1
2007-03-27,27.09
2007-03-28,26.75
