,Adj Close
1998-09-23,11.61
1998-09-24,11.61
1998-09-25,11.69
1998-09-28,11.25
1998-09-29,11.61
1998-09-30,11.48
1998-10-02,11.9
1998-10-05,11.48
1998-10-06,12.14
1998-10-07,12.42
1998-10-08,11.92
1998-10-09,13.04
1998-10-13,14.0
1998-10-14,13.39
1998-10-15,14.0
1998-10-16,14.14
1998-10-19,14.88
1998-10-20,15.25
1998-10-21,16.38
1998-10-22,16.75
1998-10-23,16.52
1998-10-26,16.37
1998-10-27,16.38
1998-10-28,15.94
1998-10-30,14.88
1998-11-03,14.88
1998-11-04,14.88
1998-11-05,14.88
1998-11-06,15.33
1998-11-09,14.88
1998-11-10,14.88
1998-11-11,14.81
1998-11-12,14.51
1998-11-13,14.51
1998-11-16,14.51
1998-11-17,14.42
1998-11-18,15.25
1998-11-19,16.52
1998-11-20,17.1
1998-11-23,17.1
1998-11-24,16.97
1998-11-25,17.1
1998-11-26,17.1
1998-11-27,17.5
1998-11-30,17.5
1998-12-01,17.5
1998-12-02,17.59
1998-12-03,16.01
1998-12-07,14.88
1998-12-08,14.0
1998-12-09,14.14
1998-12-10,14.14
1998-12-11,13.85
1998-12-14,13.04
1998-12-15,13.24
1998-12-17,13.04
1998-12-21,14.14
1998-12-22,14.88
1998-12-23,14.88
1998-12-29,13.76
1998-12-30,14.51
1999-01-04,14.51
1999-01-05,14.51
1999-01-06,15.87
1999-01-07,15.66
1999-01-08,15.66
1999-01-12,13.47
1999-01-13,13.3
1999-01-14,10.44
1999-01-15,13.76
1999-01-18,14.88
1999-01-19,12.72
1999-01-20,14.21
1999-01-21,14.21
1999-01-22,14.18
1999-01-26,14.65
1999-01-27,14.14
1999-01-28,14.14
1999-01-29,15.33
1999-02-01,15.48
1999-02-02,14.51
1999-02-03,14.88
1999-02-04,15.03
1999-02-05,14.88
1999-02-08,15.18
1999-02-09,14.74
1999-02-10,14.47
1999-02-11,14.59
1999-02-12,15.11
1999-02-17,15.66
1999-02-18,16.15
1999-02-19,16.75
1999-02-22,17.1
1999-02-23,17.1
1999-02-24,16.75
1999-02-25,17.1
1999-02-26,17.87
1999-03-02,17.5
1999-03-03,17.72
1999-03-04,18.25
1999-03-05,18.61
1999-03-08,19.65
1999-03-09,19.73
1999-03-10,19.34
1999-03-11,19.34
1999-03-12,19.56
1999-03-15,19.34
1999-03-16,20.63
1999-03-17,20.09
1999-03-18,20.3
1999-03-19,20.83
1999-03-23,20.09
1999-03-24,19.34
1999-03-25,19.34
1999-03-26,19.23
1999-03-29,19.23
1999-03-30,19.01
1999-03-31,18.85
1999-04-06,19.18
1999-04-07,20.44
1999-04-08,20.95
1999-04-09,20.68
1999-04-12,20.28
1999-04-13,20.58
1999-04-14,20.6
1999-04-15,21.44
1999-04-16,20.6
1999-04-19,20.34
1999-04-20,21.41
1999-04-22,22.2
1999-04-23,24.12
1999-04-26,24.19
1999-04-27,23.86
1999-04-28,22.2
1999-04-29,22.58
1999-04-30,22.2
1999-05-03,23.3
1999-05-04,23.06
1999-05-05,22.59
1999-05-06,22.97
1999-05-07,23.6
1999-05-10,23.59
1999-05-11,24.14
1999-05-12,24.17
1999-05-13,25.69
1999-05-14,26.49
1999-05-17,26.46
1999-05-18,26.46
1999-05-19,27.25
1999-05-20,27.25
1999-05-21,27.25
1999-05-24,25.69
1999-05-25,24.14
1999-05-26,25.33
1999-05-27,24.92
1999-05-28,24.83
1999-05-31,24.94
1999-06-01,24.78
1999-06-02,24.92
1999-06-04,24.07
1999-06-07,23.37
1999-06-08,23.52
1999-06-09,23.21
1999-06-10,23.13
1999-06-14,23.55
1999-06-15,23.86
1999-06-16,23.52
1999-06-17,24.67
1999-06-18,23.86
1999-06-21,23.13
1999-06-22,24.19
1999-06-23,24.67
1999-06-24,23.14
1999-06-25,23.13
1999-06-28,23.13
1999-06-29,23.13
1999-06-30,25.42
1999-07-01,25.83
1999-07-02,25.34
1999-07-05,25.06
1999-07-06,24.67
1999-07-07,24.61
1999-07-08,25.06
