,Adj Close
1998-10-02,4.55
1998-10-05,4.45
1998-10-06,4.69
1998-10-07,4.64
1998-10-08,4.64
1998-10-13,4.83
1998-10-14,5.08
1998-10-15,5.3
1998-10-16,5.3
1998-10-19,5.37
1998-10-20,5.48
1998-10-21,5.62
1998-10-22,5.62
1998-10-23,5.48
1998-10-27,5.48
1998-10-28,5.62
1998-10-29,5.55
1998-10-30,6.13
1998-11-03,6.32
1998-11-04,6.54
1998-11-05,6.77
1998-11-06,6.96
1998-11-09,6.96
1998-11-10,6.54
1998-11-11,6.32
1998-11-12,6.32
1998-11-13,6.13
1998-11-16,6.1
1998-11-17,5.51
1998-11-18,5.77
1998-11-19,5.55
1998-11-20,5.62
1998-11-23,5.62
1998-11-24,5.3
1998-11-25,5.3
1998-11-26,5.08
1998-11-27,5.42
1998-11-30,5.3
1998-12-01,5.23
1998-12-02,5.14
1998-12-03,5.08
1998-12-04,5.62
1998-12-07,5.81
1998-12-08,5.81
1998-12-11,5.62
1998-12-14,5.3
1998-12-15,5.3
1998-12-16,4.83
1998-12-17,4.55
1998-12-18,5.23
1998-12-21,4.98
1998-12-22,5.23
1998-12-23,5.62
1998-12-28,5.86
1998-12-29,5.9
1998-12-30,6.47
1999-01-04,6.47
1999-01-05,6.13
1999-01-06,6.13
1999-01-07,5.62
1999-01-08,5.62
1999-01-11,5.9
1999-01-14,5.23
1999-01-15,6.54
1999-01-18,6.61
1999-01-19,6.61
1999-01-20,6.54
1999-01-21,6.22
1999-01-26,6.47
1999-01-27,6.47
1999-01-28,6.17
1999-01-29,6.64
1999-02-01,7.66
1999-02-02,7.3
1999-02-03,7.3
1999-02-04,7.19
1999-02-05,7.19
1999-02-08,7.24
1999-02-09,7.45
1999-02-10,7.14
1999-02-11,7.27
1999-02-12,7.45
1999-02-17,7.71
1999-02-18,7.45
1999-02-19,7.45
1999-02-22,7.45
1999-02-23,7.45
1999-02-24,7.45
1999-02-25,7.05
1999-02-26,7.45
1999-03-01,7.36
1999-03-03,7.51
1999-03-04,7.55
1999-03-05,7.9
1999-03-08,7.81
1999-03-09,7.71
1999-03-10,8.01
1999-03-11,7.81
1999-03-12,7.66
1999-03-15,7.81
1999-03-16,7.81
1999-03-17,8.01
1999-03-18,8.04
1999-03-19,8.13
1999-03-22,7.95
1999-03-23,7.95
1999-03-24,8.13
1999-03-25,8.04
1999-03-26,8.09
1999-03-29,8.49
1999-03-30,8.28
1999-03-31,8.17
1999-04-06,8.01
1999-04-07,8.09
1999-04-08,8.04
1999-04-09,8.04
1999-04-12,8.36
1999-04-13,8.36
1999-04-14,8.64
1999-04-15,8.73
1999-04-16,8.61
1999-04-19,8.46
1999-04-20,8.28
1999-04-22,8.36
1999-04-23,8.41
1999-04-26,8.46
1999-04-27,8.49
1999-04-28,8.69
1999-04-29,8.64
1999-04-30,8.73
1999-05-03,8.76
1999-05-04,8.76
1999-05-05,8.76
1999-05-06,9.13
1999-05-07,9.46
1999-05-10,10.21
1999-05-11,10.77
1999-05-12,10.95
1999-05-13,11.23
1999-05-14,11.68
1999-05-17,11.61
1999-05-18,11.85
1999-05-19,11.79
1999-05-20,11.41
1999-05-21,11.1
1999-05-24,10.6
1999-05-25,10.03
1999-05-26,10.81
1999-05-27,10.41
1999-05-28,10.41
1999-05-31,10.99
1999-06-01,10.9
1999-06-02,10.6
1999-06-04,10.81
1999-06-07,10.95
1999-06-08,10.03
1999-06-09,10.47
1999-06-10,10.6
1999-06-14,10.51
1999-06-15,10.41
1999-06-16,11.45
1999-06-17,10.99
1999-06-18,10.74
1999-06-21,10.74
1999-06-22,10.74
1999-06-23,10.32
1999-06-24,10.09
1999-06-25,10.41
1999-06-28,10.32
1999-06-29,10.47
1999-06-30,11.35
1999-07-01,11.35
1999-07-02,10.9
1999-07-05,11.65
1999-07-06,10.9
1999-07-07,10.9
1999-07-08,10.9
1999-07-12,10.69
1999-07-13,10.47
1999-07-14,10.26
1999-07-15,10.38
1999-07-16,10.32
1999-07-19,10.51
1999-07-20,10.9
1999-07-21,11.45
1999-07-22,11.65
1999-07-26,11.16
1999-07-27,10.9
1999-07-28,10.9
1999-07-29,10.56
1999-07-30,10.47
1999-08-02,10.47
1999-08-03,10.38
1999-08-04,10.21
1999-08-05,10.21
1999-08-06,10.09
1999-08-09,10.03
1999-08-10,10.16
1999-08-11,10.32
1999-08-12,10.47
1999-08-13,10.47
1999-08-16,10.47
1999-08-17,10.47
1999-08-18,10.51
1999-08-19,10.9
1999-08-20,11.32
1999-08-23,11.1
1999-08-24,10.69
1999-08-25,11.16
1999-08-26,11.16
1999-08-27,10.9
1999-08-30,10.74
1999-08-31,10.69
1999-09-01,10.9
1999-09-02,11.74
1999-09-03,10.9
1999-09-08,10.69
1999-09-09,11.16
1999-09-10,11.51
1999-09-13,11.61
1999-09-14,12.04
1999-09-15,11.81
1999-09-16,12.28
1999-09-17,12.04
1999-09-20,12.13
1999-09-21,12.04
1999-09-22,12.28
1999-09-23,12.35
1999-09-24,12.24
1999-09-27,12.28
1999-09-28,12.44
1999-09-29,12.13
1999-09-30,12.08
1999-10-01,11.81
1999-10-04,11.81
1999-10-05,11.91
1999-10-06,12.04
1999-10-07,12.13
1999-10-08,12.28
1999-10-11,12.24
1999-10-13,12.5
1999-10-14,12.44
1999-10-18,12.28
1999-10-19,12.5
1999-10-20,12.83
1999-10-21,13.15
1999-10-22,12.74
1999-10-25,12.5
1999-10-26,12.74
1999-10-27,12.74
1999-10-28,12.5
1999-10-29,12.28
1999-11-01,12.28
1999-11-03,12.95
1999-11-04,13.15
1999-11-05,13.54
1999-11-08,13.42
1999-11-09,13.42
1999-11-10,13.58
1999-11-11,13.42
1999-11-12,12.74
1999-11-16,12.74
1999-11-17,12.83
1999-11-18,12.98
1999-11-19,13.58
1999-11-22,13.87
1999-11-23,13.87
1999-11-24,13.83
1999-11-25,13.63
1999-11-26,14.57
1999-11-29,14.5
1999-11-30,15.47
1999-12-01,15.47
1999-12-02,15.47
1999-12-03,15.47
1999-12-06,15.47
1999-12-07,15.47
1999-12-08,15.05
1999-12-09,15.0
1999-12-10,14.77
1999-12-13,13.63
1999-12-14,13.63
1999-12-15,13.68
1999-12-16,13.63
1999-12-17,13.53
1999-12-20,14.35
1999-12-21,15.24
1999-12-22,14.77
1999-12-23,14.61
1999-12-27,14.57
1999-12-28,14.77
1999-12-29,14.5
1999-12-30,14.95
2000-01-03,14.57
2000-01-04,13.54
2000-01-05,12.87
2000-01-06,13.18
2000-01-07,14.57
2000-01-10,15.0
2000-01-11,14.01
2000-01-12,13.87
2000-01-13,13.63
2000-01-14,14.35
2000-01-17,14.61
2000-01-18,14.45
2000-01-19,13.63
2000-01-20,13.68
2000-01-21,13.79
2000-01-24,13.18
2000-01-26,12.95
2000-01-27,13.31
2000-01-28,13.18
2000-01-31,13.18
2000-02-01,12.74
2000-02-02,12.74
2000-02-03,13.03
2000-02-04,12.92
2000-02-07,13.15
2000-02-08,13.18
2000-02-09,12.83
2000-02-10,12.74
2000-02-11,12.24
2000-02-14,12.04
2000-02-15,11.97
2000-02-16,12.69
2000-02-17,12.38
2000-02-18,12.0
2000-02-21,12.5
2000-02-22,12.5
2000-02-23,12.04
2000-02-24,11.61
2000-02-25,11.81
2000-02-28,11.35
2000-02-29,11.61
2000-03-01,11.51
2000-03-02,11.16
2000-03-03,10.99
2000-03-08,11.23
2000-03-09,10.9
2000-03-10,10.9
2000-03-13,10.69
2000-03-14,10.47
2000-03-15,10.47
2000-03-16,11.32
2000-03-17,10.74
2000-03-20,10.32
2000-03-21,10.32
2000-03-22,10.41
2000-03-23,10.95
2000-03-24,10.81
2000-03-27,11.1
2000-03-28,10.99
2000-03-29,10.9
2000-03-30,11.26
2000-03-31,11.35
2000-04-03,11.81
2000-04-04,11.81
2000-04-05,11.16
2000-04-06,10.65
2000-04-07,10.32
2000-04-10,10.03
2000-04-11,10.03
2000-04-12,9.92
2000-04-13,9.32
2000-04-14,8.93
2000-04-17,9.08
2000-04-18,9.13
2000-04-19,8.69
2000-04-20,9.24
2000-04-24,9.49
2000-04-25,9.49
2000-04-26,9.32
2000-04-27,9.08
2000-04-28,9.08
2000-05-02,9.08
2000-05-03,8.64
2000-05-04,8.73
2000-05-05,9.32
2000-05-08,8.64
2000-05-09,8.28
2000-05-10,8.17
2000-05-11,8.17
2000-05-12,7.95
2000-05-15,8.04
2000-05-16,7.95
2000-05-17,8.41
2000-05-18,8.17
2000-05-19,8.55
2000-05-22,8.09
2000-05-23,8.04
2000-05-24,8.13
2000-05-25,8.17
2000-05-26,8.09
2000-05-29,8.04
2000-05-30,8.17
2000-05-31,8.55
2000-06-01,8.87
2000-06-02,9.08
2000-06-05,9.08
2000-06-06,8.55
2000-06-07,8.55
2000-06-08,8.93
2000-06-09,9.08
2000-06-12,8.49
2000-06-13,8.76
2000-06-14,8.64
2000-06-15,9.08
2000-06-16,9.98
2000-06-19,10.21
2000-06-20,10.26
2000-06-21,10.74
2000-06-23,10.47
2000-06-26,10.03
2000-06-27,10.16
2000-06-28,10.13
2000-06-29,9.92
2000-06-30,10.15
2000-07-03,10.55
2000-07-04,10.9
2000-07-05,10.9
2000-07-06,11.2
2000-07-07,11.61
2000-07-10,11.91
2000-07-11,11.81
2000-07-12,11.81
2000-07-13,11.65
2000-07-14,11.81
2000-07-17,11.91
2000-07-18,11.81
2000-07-19,11.57
2000-07-20,11.57
2000-07-21,11.35
2000-07-24,11.65
2000-07-25,11.26
2000-07-26,11.26
2000-07-27,11.36
2000-07-28,11.37
2000-07-31,11.45
2000-08-01,11.8
2000-08-02,11.98
2000-08-03,11.81
2000-08-04,11.81
2000-08-07,12.28
2000-08-08,12.23
2000-08-09,11.91
2000-08-10,11.81
2000-08-11,11.81
2000-08-14,11.98
2000-08-15,12.0
2000-08-16,11.26
2000-08-17,12.08
2000-08-18,11.82
2000-08-21,11.81
2000-08-22,11.81
2000-08-23,11.81
2000-08-24,11.81
2000-08-25,11.74
2000-08-28,11.74
2000-08-29,11.81
2000-08-30,11.91
2000-08-31,11.35
2000-09-01,11.82
2000-09-04,12.07
2000-09-05,12.08
2000-09-06,12.28
2000-09-08,11.81
2000-09-11,12.55
2000-09-12,12.56
2000-09-13,12.83
2000-09-14,12.74
2000-09-15,12.83
2000-09-18,12.28
2000-09-19,12.28
2000-09-20,12.44
2000-09-21,12.45
2000-09-22,12.71
2000-09-25,12.87
2000-09-26,13.15
2000-09-27,12.83
2000-09-28,12.92
2000-09-29,13.62
