,Adj Close
1998-10-13,2.21
1998-10-14,2.21
1998-10-15,2.21
1998-10-16,2.21
1998-10-19,2.19
1998-10-20,2.14
1998-10-21,2.19
1998-10-22,2.33
1998-10-23,2.3
1998-10-26,2.21
1998-10-27,2.12
1998-10-28,2.07
1998-10-29,1.97
1998-10-30,2.01
1998-11-03,2.05
1998-11-04,2.24
1998-11-05,2.29
1998-11-06,2.3
1998-11-09,2.37
1998-11-10,2.29
1998-11-11,2.27
1998-11-12,2.23
1998-11-13,2.38
1998-11-16,2.44
1998-11-17,2.6
1998-11-18,2.65
1998-11-19,2.54
1998-11-20,2.6
1998-11-23,2.62
1998-11-24,2.61
1998-11-25,2.69
1998-11-26,2.73
1998-11-27,2.77
1998-11-30,2.73
1998-12-01,2.68
1998-12-02,2.67
1998-12-03,2.6
1998-12-04,2.44
1998-12-07,2.32
1998-12-08,2.28
1998-12-09,2.31
1998-12-10,2.27
1998-12-11,2.14
1998-12-14,2.11
1998-12-15,2.13
1998-12-16,2.13
1998-12-17,2.17
1998-12-18,2.27
1998-12-21,2.37
1998-12-22,2.32
1998-12-23,2.32
1998-12-28,2.27
1998-12-29,2.29
1998-12-30,2.29
1999-01-04,2.39
1999-01-05,2.44
1999-01-06,2.48
1999-01-07,2.32
1999-01-08,2.32
1999-01-11,2.37
1999-01-12,2.25
1999-01-13,2.27
1999-01-14,2.07
1999-01-15,2.27
1999-01-18,2.37
1999-01-19,2.48
1999-01-20,2.48
1999-01-21,2.44
1999-01-22,2.39
1999-01-26,2.44
1999-01-27,2.53
1999-01-28,2.58
1999-01-29,2.83
1999-02-01,2.89
1999-02-02,2.89
1999-02-03,2.84
1999-02-04,2.84
1999-02-05,2.89
1999-02-08,2.86
1999-02-09,2.8
1999-02-10,2.77
1999-02-11,2.83
1999-02-12,2.8
1999-02-17,2.8
1999-02-18,2.83
1999-02-19,2.75
1999-02-22,2.72
1999-02-23,2.68
1999-02-24,2.61
1999-02-25,2.61
1999-02-26,2.72
1999-03-01,2.69
1999-03-02,2.75
1999-03-03,2.91
1999-03-04,3.06
1999-03-05,3.12
1999-03-08,3.14
1999-03-09,3.04
1999-03-10,3.1
1999-03-11,3.14
1999-03-12,3.1
1999-03-15,3.19
1999-03-16,3.35
1999-03-17,3.31
1999-03-18,3.4
1999-03-19,3.53
1999-03-22,3.53
1999-03-23,3.42
1999-03-24,3.38
1999-03-25,3.47
1999-03-26,3.63
1999-03-29,3.7
1999-03-30,3.78
1999-03-31,3.82
1999-04-06,4.06
1999-04-07,4.06
1999-04-08,4.11
1999-04-09,4.02
1999-04-12,4.02
1999-04-13,3.94
1999-04-14,4.02
1999-04-15,4.02
1999-04-16,3.96
1999-04-19,3.95
1999-04-20,3.8
1999-04-22,3.67
1999-04-23,3.72
1999-04-26,3.71
1999-04-27,3.63
1999-04-28,3.76
1999-04-29,3.8
1999-04-30,3.79
1999-05-03,3.83
1999-05-04,3.87
1999-05-05,3.79
1999-05-06,4.11
1999-05-07,4.1
1999-05-10,4.12
1999-05-11,4.1
1999-05-12,4.06
1999-05-13,4.06
1999-05-14,4.09
1999-05-17,4.02
1999-05-18,4.0
1999-05-19,4.03
1999-05-20,4.07
1999-05-21,4.02
1999-05-24,3.85
1999-05-25,3.66
1999-05-26,3.8
1999-05-27,3.76
1999-05-28,4.02
1999-05-31,4.03
1999-06-01,4.1
1999-06-02,4.02
1999-06-04,4.11
1999-06-07,4.11
1999-06-08,4.11
1999-06-09,4.02
1999-06-10,3.94
1999-06-14,3.8
1999-06-15,3.82
1999-06-16,4.0
1999-06-17,3.96
1999-06-18,4.06
1999-06-21,4.06
1999-06-22,4.02
1999-06-23,4.0
1999-06-24,3.9
1999-06-25,3.87
1999-06-28,3.96
1999-06-29,4.02
1999-06-30,4.45
1999-07-01,4.45
1999-07-02,4.6
1999-07-05,4.76
1999-07-06,4.94
1999-07-07,5.31
1999-07-08,5.25
1999-07-12,4.81
1999-07-13,4.94
1999-07-14,4.83
1999-07-15,4.77
1999-07-16,4.62
1999-07-19,4.98
1999-07-20,4.74
1999-07-21,4.72
1999-07-22,4.62
1999-07-23,4.59
1999-07-26,4.56
1999-07-27,4.43
1999-07-28,4.56
1999-07-29,4.42
1999-07-30,4.38
1999-08-02,4.31
1999-08-03,4.27
1999-08-04,4.25
1999-08-05,4.15
1999-08-06,4.07
1999-08-09,3.91
1999-08-10,3.83
1999-08-11,3.79
1999-08-12,3.82
1999-08-13,3.8
1999-08-16,3.83
1999-08-17,3.68
1999-08-18,3.44
1999-08-19,3.75
1999-08-20,3.67
1999-08-23,3.71
1999-08-24,3.71
1999-08-25,3.91
1999-08-26,3.79
1999-08-27,3.76
1999-08-30,3.67
1999-08-31,3.91
1999-09-01,3.91
1999-09-02,3.91
1999-09-03,3.97
1999-09-06,4.06
1999-09-08,3.94
1999-09-09,4.02
1999-09-10,4.34
1999-09-13,4.34
1999-09-14,4.35
1999-09-15,4.27
1999-09-16,4.22
1999-09-17,4.31
1999-09-20,4.39
1999-09-21,4.32
1999-09-22,4.35
1999-09-23,4.55
1999-09-24,4.74
1999-09-27,4.78
1999-09-28,4.72
1999-09-29,4.67
1999-09-30,4.68
1999-10-01,4.63
1999-10-04,4.72
1999-10-05,4.83
1999-10-06,5.08
1999-10-07,5.07
1999-10-08,5.06
1999-10-11,5.13
1999-10-13,5.06
1999-10-14,5.09
1999-10-15,5.06
1999-10-18,5.23
1999-10-19,5.44
