,Adj Close
2001-01-30,1.04
2001-01-31,1.03
2001-02-01,1.02
2001-02-02,1.0
2001-02-05,1.02
2001-02-06,1.06
2001-02-07,1.01
2001-02-08,1.05
2001-02-09,1.02
2001-02-12,1.01
2001-02-13,1.02
2001-02-14,1.06
2001-02-15,1.07
2001-02-16,1.03
2001-02-19,0.99
2001-02-20,0.96
2001-02-21,0.99
2001-02-22,1.01
2001-02-23,1.05
2001-02-28,1.03
2001-03-01,1.06
2001-03-02,1.06
2001-03-05,1.04
2001-03-06,1.02
2001-03-07,1.05
2001-03-08,1.04
2001-03-09,1.03
2001-03-12,0.98
2001-03-13,0.98
2001-03-14,0.96
2001-03-15,0.96
2001-03-16,0.98
2001-03-19,0.96
2001-03-20,0.96
2001-03-21,0.97
2001-03-22,0.89
2001-03-23,0.96
2001-03-26,0.96
2001-03-27,0.96
2001-03-28,0.96
2001-03-29,0.96
2001-03-30,0.96
2001-04-02,0.95
2001-04-03,0.95
2001-04-04,0.96
2001-04-05,0.96
2001-04-06,0.96
2001-04-09,0.96
2001-04-10,0.97
2001-04-11,0.96
2001-04-12,0.97
2001-04-16,0.96
2001-04-17,0.96
2001-04-18,0.96
2001-04-19,0.96
2001-04-20,0.95
2001-04-23,0.94
2001-04-24,0.93
2001-04-25,0.96
2001-04-26,0.97
2001-04-27,0.97
2001-04-30,0.96
2001-05-02,0.96
2001-05-03,0.97
2001-05-04,0.96
2001-05-07,0.96
2001-05-08,0.97
2001-05-09,0.99
2001-05-11,0.96
2001-05-14,0.96
2001-05-15,0.97
2001-05-16,0.97
2001-05-17,0.96
2001-05-18,0.96
2001-05-21,0.96
2001-05-22,0.95
2001-05-23,0.93
2001-05-24,0.96
2001-05-25,0.95
2001-05-28,0.94
2001-05-29,0.93
2001-05-30,0.91
2001-05-31,0.91
2001-06-01,0.91
2001-06-04,0.95
2001-06-05,0.96
2001-06-06,0.94
2001-06-07,0.93
2001-06-08,0.91
2001-06-11,0.91
2001-06-12,0.89
2001-06-13,0.9
2001-06-15,0.89
2001-06-18,0.84
2001-06-19,0.82
2001-06-20,0.81
2001-06-21,0.82
2001-06-22,0.85
2001-06-25,0.87
2001-06-26,0.89
2001-06-27,0.81
2001-06-28,0.81
2001-06-29,0.86
2001-07-02,0.82
2001-07-03,0.82
2001-07-04,0.82
2001-07-05,0.81
2001-07-06,0.81
2001-07-10,0.82
2001-07-11,0.81
2001-07-12,0.8
2001-07-13,0.77
2001-07-16,0.8
2001-07-17,0.8
2001-07-18,0.79
2001-07-19,0.8
2001-07-20,0.8
2001-07-23,0.79
2001-07-24,0.8
2001-07-25,0.79
2001-07-26,0.79
2001-07-27,0.81
2001-07-30,0.82
2001-07-31,0.82
2001-08-01,0.84
2001-08-02,0.89
2001-08-03,0.91
2001-08-06,0.91
2001-08-07,0.91
2001-08-08,0.96
2001-08-09,0.96
2001-08-10,0.96
2001-08-13,0.93
2001-08-14,0.95
2001-08-15,0.95
2001-08-16,0.96
2001-08-17,0.91
2001-08-20,0.9
2001-08-21,0.87
2001-08-22,0.87
2001-08-23,0.87
2001-08-24,0.9
2001-08-27,0.91
2001-08-28,0.9
2001-08-29,0.91
2001-08-30,0.9
2001-08-31,0.91
2001-09-03,0.9
2001-09-04,0.91
2001-09-05,0.91
2001-09-06,0.89
2001-09-10,0.89
2001-09-11,0.8
2001-09-12,0.82
2001-09-13,0.81
2001-09-14,0.8
2001-09-17,0.8
2001-09-18,0.75
2001-09-19,0.79
2001-09-20,0.79
2001-09-21,0.79
2001-09-24,0.8
2001-09-25,0.81
2001-09-26,0.81
2001-09-27,0.81
2001-09-28,0.8
2001-10-01,0.8
2001-10-02,0.81
2001-10-03,0.82
2001-10-04,0.82
2001-10-05,0.84
2001-10-08,0.82
2001-10-09,0.89
2001-10-10,0.93
2001-10-11,0.9
2001-10-15,0.94
2001-10-16,0.94
2001-10-17,0.96
2001-10-18,0.96
2001-10-19,0.96
2001-10-22,0.99
2001-10-23,1.01
2001-10-24,1.0
2001-10-25,1.0
2001-10-26,1.01
2001-10-29,0.97
2001-10-30,1.01
2001-10-31,0.99
2001-11-01,1.02
2001-11-05,1.03
2001-11-06,1.03
2001-11-07,1.06
2001-11-08,1.06
2001-11-09,1.06
2001-11-12,1.04
2001-11-13,1.04
2001-11-14,1.02
2001-11-16,1.04
2001-11-19,1.05
2001-11-20,1.05
2001-11-21,1.06
2001-11-22,1.06
2001-11-23,1.08
2001-11-26,1.09
2001-11-27,1.06
2001-11-28,1.03
2001-11-29,1.05
2001-11-30,1.06
2001-12-03,1.05
2001-12-04,1.03
2001-12-05,1.02
2001-12-06,1.01
2001-12-07,1.02
2001-12-10,1.04
2001-12-11,1.01
2001-12-12,1.05
2001-12-13,1.01
2001-12-14,1.01
2001-12-17,1.01
2001-12-18,1.01
2001-12-19,1.02
2001-12-20,0.99
2001-12-21,1.01
2001-12-26,1.01
2001-12-27,1.02
2001-12-28,1.0
2002-01-02,1.04
2002-01-03,1.06
2002-01-04,1.06
2002-01-07,1.08
2002-01-08,1.06
2002-01-09,1.06
2002-01-10,1.06
2002-01-11,1.06
2002-01-14,1.06
2002-01-15,1.06
2002-01-16,1.07
2002-01-17,1.08
2002-01-18,1.09
2002-01-21,1.08
2002-01-22,1.08
2002-01-23,1.08
2002-01-24,1.08
2002-01-28,1.09
2002-01-29,1.07
2002-01-30,1.09
2002-01-31,1.07
2002-02-01,1.07
2002-02-04,1.06
2002-02-05,1.04
2002-02-06,1.05
2002-02-07,1.06
2002-02-08,1.08
2002-02-13,1.09
2002-02-14,1.11
2002-02-15,1.09
2002-02-18,1.09
2002-02-19,1.09
2002-02-20,1.09
2002-02-21,1.11
2002-02-22,1.09
2002-02-25,1.1
2002-02-26,1.1
2002-02-27,1.11
2002-02-28,1.09
2002-03-01,1.12
2002-03-04,1.11
2002-03-05,1.09
2002-03-06,1.08
2002-03-07,1.08
2002-03-08,1.1
2002-03-11,1.09
2002-03-12,1.09
2002-03-13,1.09
2002-03-14,1.09
2002-03-15,1.09
2002-03-18,1.1
2002-03-19,1.09
2002-03-20,1.09
2002-03-21,1.09
2002-03-22,1.08
2002-03-25,1.09
2002-03-26,1.09
2002-03-27,1.09
2002-03-28,1.1
2002-04-01,1.1
2002-04-02,1.09
2002-04-03,1.09
2002-04-04,1.1
2002-04-05,1.09
2002-04-08,1.09
2002-04-09,1.09
2002-04-10,1.09
2002-04-11,1.09
2002-04-12,1.09
2002-04-15,1.1
2002-04-16,1.12
2002-04-17,1.13
2002-04-18,1.13
2002-04-19,1.14
2002-04-22,1.15
2002-04-23,1.17
2002-04-24,1.18
2002-04-25,1.14
2002-04-26,1.11
2002-04-29,1.11
2002-04-30,1.1
2002-05-02,1.09
2002-05-03,1.11
2002-05-06,1.1
2002-05-07,1.08
2002-05-08,1.09
2002-05-09,1.09
2002-05-10,1.07
2002-05-13,1.07
2002-05-14,1.07
2002-05-15,1.04
2002-05-16,1.02
2002-05-17,1.02
2002-05-20,1.01
2002-05-21,1.02
2002-05-22,1.02
2002-05-23,0.99
2002-05-24,0.98
2002-05-27,0.99
2002-05-28,1.01
2002-05-29,1.02
2002-05-31,1.0
2002-06-03,1.01
2002-06-04,1.02
2002-06-05,1.03
2002-06-06,1.0
2002-06-07,0.98
2002-06-10,0.99
2002-06-11,1.0
2002-06-12,1.01
2002-06-13,1.01
2002-06-14,1.0
2002-06-17,1.01
2002-06-18,1.0
2002-06-19,0.96
2002-06-20,0.91
2002-06-21,0.93
2002-06-24,0.95
2002-06-25,0.94
2002-06-26,0.95
2002-06-27,0.95
2002-06-28,0.96
2002-07-01,0.96
2002-07-02,0.96
2002-07-03,0.96
2002-07-04,0.96
2002-07-05,0.96
2002-07-08,0.91
2002-07-10,0.91
2002-07-11,0.91
2002-07-12,0.94
2002-07-15,0.93
2002-07-16,0.95
2002-07-17,0.97
2002-07-18,0.97
2002-07-19,0.99
2002-07-22,0.96
2002-07-23,0.95
2002-07-24,0.96
2002-07-25,0.95
2002-07-26,0.96
2002-07-29,0.96
2002-07-30,0.91
2002-07-31,0.96
2002-08-01,0.95
2002-08-02,0.94
2002-08-05,0.91
2002-08-06,0.95
2002-08-07,0.96
2002-08-08,0.96
2002-08-09,0.96
2002-08-12,0.96
2002-08-13,0.96
2002-08-14,0.96
2002-08-15,0.94
2002-08-16,0.96
2002-08-19,0.95
2002-08-20,0.91
2002-08-21,0.87
2002-08-22,0.89
2002-08-23,0.9
2002-08-26,0.93
2002-08-27,0.96
2002-08-28,0.9
2002-08-30,0.93
2002-09-02,0.94
2002-09-03,0.93
2002-09-04,0.91
2002-09-05,0.87
2002-09-06,0.91
2002-09-09,0.93
2002-09-10,0.93
2002-09-11,0.95
2002-09-12,0.93
2002-09-13,0.93
2002-09-16,0.93
2002-09-17,0.91
2002-09-18,0.93
2002-09-19,0.9
2002-09-20,0.9
2002-09-23,0.89
2002-09-24,0.91
2002-09-25,0.93
2002-09-26,0.94
2002-09-27,0.95
2002-09-30,0.96
2002-10-01,0.96
2002-10-02,0.95
2002-10-03,0.96
2002-10-04,0.96
2002-10-07,0.96
2002-10-08,0.93
2002-10-09,0.9
2002-10-10,0.91
2002-10-11,0.91
2002-10-14,0.9
2002-10-15,0.91
2002-10-16,0.9
2002-10-17,0.91
2002-10-18,0.91
2002-10-21,0.91
2002-10-22,0.93
2002-10-23,0.96
2002-10-24,0.96
2002-10-25,0.97
2002-10-28,0.96
2002-10-29,0.96
2002-10-30,0.98
2002-10-31,0.99
2002-11-01,1.01
2002-11-04,1.01
2002-11-05,1.02
2002-11-06,1.01
2002-11-07,0.99
2002-11-08,0.97
2002-11-11,0.98
2002-11-12,0.98
2002-11-13,0.98
2002-11-14,0.99
2002-11-18,0.99
2002-11-19,0.99
2002-11-20,1.0
2002-11-21,0.97
2002-11-22,0.97
2002-11-25,0.97
2002-11-26,0.98
2002-11-27,0.98
2002-11-28,0.98
2002-11-29,0.99
2002-12-02,1.01
2002-12-03,0.97
2002-12-04,1.01
2002-12-05,0.99
2002-12-06,1.01
2002-12-09,1.01
2002-12-10,1.06
2002-12-11,1.08
2002-12-12,1.06
2002-12-13,1.06
2002-12-16,1.08
2002-12-17,1.09
2002-12-18,1.08
2002-12-19,1.12
2002-12-20,1.17
2002-12-23,1.15
2002-12-26,1.11
2002-12-27,1.09
2002-12-30,1.18
2003-01-02,1.25
2003-01-03,1.25
2003-01-06,1.23
2003-01-07,1.21
2003-01-08,1.2
2003-01-09,1.2
2003-01-10,1.19
2003-01-13,1.19
2003-01-14,1.18
2003-01-15,1.17
2003-01-16,1.14
2003-01-17,1.15
2003-01-20,1.13
2003-01-21,1.09
2003-01-22,1.09
2003-01-23,1.1
2003-01-24,1.08
2003-01-27,1.06
2003-01-28,1.05
2003-01-29,1.06
2003-01-30,1.06
2003-01-31,1.09
2003-02-03,1.09
2003-02-04,1.07
2003-02-05,1.08
2003-02-06,1.06
2003-02-07,1.08
2003-02-10,1.1
2003-02-11,1.1
2003-02-12,1.11
2003-02-13,1.12
2003-02-14,1.13
2003-02-17,1.09
2003-02-18,1.09
2003-02-19,1.09
2003-02-20,1.09
2003-02-21,1.09
2003-02-24,1.09
2003-02-25,1.09
2003-02-26,1.1
2003-02-27,1.1
2003-02-28,1.15
2003-03-05,1.15
2003-03-06,1.17
2003-03-07,1.15
2003-03-10,1.13
2003-03-11,1.11
2003-03-12,1.11
2003-03-13,1.12
2003-03-14,1.12
2003-03-17,1.12
2003-03-18,1.12
2003-03-19,1.11
2003-03-20,1.09
2003-03-21,1.09
2003-03-24,1.08
2003-03-25,1.08
2003-03-26,1.06
2003-03-27,1.07
2003-03-28,1.09
2003-03-31,1.08
2003-04-01,1.09
2003-04-02,1.09
2003-04-03,1.13
2003-04-04,1.12
2003-04-07,1.11
2003-04-08,1.1
2003-04-09,1.1
2003-04-10,1.09
2003-04-11,1.09
2003-04-14,1.11
2003-04-15,1.1
2003-04-16,1.09
2003-04-17,1.11
2003-04-22,1.1
2003-04-23,1.13
2003-04-24,1.18
2003-04-25,1.18
2003-04-28,1.19
2003-04-29,1.18
2003-04-30,1.19
2003-05-02,1.21
2003-05-05,1.2
2003-05-06,1.2
2003-05-07,1.21
2003-05-08,1.21
2003-05-09,1.24
2003-05-12,1.24
2003-05-13,1.24
2003-05-14,1.25
2003-05-15,1.24
2003-05-16,1.24
2003-05-19,1.23
2003-05-20,1.27
2003-05-21,1.25
2003-05-22,1.25
2003-05-23,1.25
2003-05-26,1.25
2003-05-27,1.25
2003-05-28,1.26
2003-05-29,1.27
2003-05-30,1.28
2003-06-02,1.27
2003-06-03,1.29
2003-06-04,1.3
2003-06-05,1.3
2003-06-06,1.31
2003-06-09,1.3
2003-06-10,1.3
2003-06-11,1.31
2003-06-12,1.31
2003-06-13,1.31
2003-06-16,1.33
2003-06-17,1.38
2003-06-18,1.39
2003-06-20,1.4
2003-06-23,1.4
2003-06-24,1.39
2003-06-25,1.36
2003-06-26,1.35
2003-06-27,1.37
2003-06-30,1.39
2003-07-01,1.43
2003-07-02,1.41
2003-07-03,1.38
2003-07-04,1.38
2003-07-07,1.44
2003-07-08,1.44
2003-07-10,1.48
2003-07-11,1.45
2003-07-14,1.49
2003-07-15,1.41
2003-07-16,1.42
2003-07-17,1.44
2003-07-18,1.43
2003-07-21,1.45
2003-07-22,1.53
2003-07-23,1.55
2003-07-24,1.59
2003-07-25,1.64
2003-07-28,1.63
2003-07-29,1.6
2003-07-30,1.67
2003-07-31,1.7
2003-08-01,1.69
2003-08-04,1.63
2003-08-05,1.67
2003-08-06,1.62
2003-08-07,1.71
2003-08-08,1.79
2003-08-11,1.83
2003-08-12,1.82
2003-08-13,1.88
2003-08-14,1.91
2003-08-15,1.96
2003-08-18,1.95
2003-08-19,1.93
2003-08-20,1.96
2003-08-21,1.96
2003-08-22,1.97
2003-08-25,2.04
2003-08-26,2.18
2003-08-27,2.2
2003-08-28,2.15
2003-08-29,2.18
2003-09-01,2.26
2003-09-02,2.32
2003-09-03,2.34
2003-09-04,2.44
2003-09-05,2.47
2003-09-08,2.43
2003-09-09,2.36
2003-09-10,2.46
2003-09-11,2.49
2003-09-12,2.52
2003-09-15,2.42
2003-09-16,2.37
2003-09-17,2.4
2003-09-18,2.45
2003-09-19,2.42
2003-09-22,2.39
2003-09-23,2.38
2003-09-24,2.39
2003-09-25,2.34
2003-09-26,2.34
2003-09-29,2.38
2003-09-30,2.39
2003-10-01,2.45
2003-10-02,2.38
2003-10-03,2.38
2003-10-06,2.54
2003-10-07,2.74
2003-10-08,2.79
2003-10-09,2.71
2003-10-10,2.62
2003-10-13,2.74
2003-10-14,2.72
2003-10-15,2.69
2003-10-16,2.66
2003-10-17,2.68
2003-10-20,2.76
2003-10-21,2.74
2003-10-22,2.72
2003-10-23,2.65
2003-10-24,2.7
2003-10-27,2.76
2003-10-28,2.74
2003-10-29,2.74
2003-10-30,2.86
2003-10-31,2.85
2003-11-03,2.81
2003-11-04,2.86
2003-11-05,2.88
2003-11-06,2.83
2003-11-07,2.86
2003-11-10,2.79
2003-11-11,2.82
2003-11-12,2.8
2003-11-13,2.79
2003-11-14,2.82
2003-11-17,2.89
2003-11-18,2.98
2003-11-19,2.93
2003-11-20,2.98
2003-11-21,3.05
2003-11-24,3.17
2003-11-25,3.27
2003-11-26,3.19
2003-11-27,3.26
2003-11-28,3.37
2003-12-01,3.37
2003-12-02,3.29
2003-12-03,3.25
2003-12-04,3.25
2003-12-05,3.29
2003-12-08,3.35
2003-12-09,3.37
2003-12-10,3.25
2003-12-11,3.29
2003-12-12,3.28
2003-12-15,3.28
2003-12-16,3.31
2003-12-17,3.35
2003-12-18,3.55
2003-12-19,3.59
2003-12-22,3.57
2003-12-23,3.54
2003-12-26,3.7
2003-12-29,3.73
2003-12-30,3.73
2004-01-02,3.75
2004-01-05,3.86
2004-01-06,4.02
2004-01-07,4.07
2004-01-08,4.04
2004-01-09,4.17
2004-01-12,4.3
2004-01-13,4.22
2004-01-14,4.17
2004-01-15,4.14
2004-01-16,4.11
2004-01-19,4.15
2004-01-20,4.21
2004-01-21,4.17
2004-01-22,4.13
2004-01-23,4.31
2004-01-26,4.63
2004-01-27,4.61
2004-01-28,4.53
2004-01-29,4.26
2004-01-30,4.23
2004-02-02,4.43
2004-02-03,4.57
2004-02-04,4.58
2004-02-05,4.29
2004-02-06,4.37
2004-02-09,4.19
2004-02-10,4.21
2004-02-11,4.23
2004-02-12,4.08
2004-02-13,4.05
2004-02-16,4.02
2004-02-17,4.11
2004-02-18,4.26
2004-02-19,4.02
2004-02-20,4.09
2004-02-25,4.2
2004-02-26,4.19
2004-02-27,4.18
2004-03-01,4.17
2004-03-02,4.08
2004-03-03,4.08
2004-03-04,4.1
2004-03-05,4.04
2004-03-08,4.0
2004-03-09,4.08
2004-03-10,4.04
2004-03-11,3.95
2004-03-12,3.99
2004-03-15,3.95
2004-03-16,4.03
2004-03-17,4.04
2004-03-18,4.0
2004-03-19,3.97
2004-03-22,3.93
2004-03-23,4.0
2004-03-24,3.9
2004-03-25,3.88
2004-03-26,4.02
2004-03-29,4.05
2004-03-30,4.02
2004-03-31,4.05
2004-04-01,4.07
2004-04-02,4.01
2004-04-05,4.03
2004-04-06,4.04
2004-04-07,4.0
2004-04-08,4.02
2004-04-12,4.02
2004-04-13,3.97
2004-04-14,3.95
2004-04-15,3.9
2004-04-16,4.0
2004-04-19,4.0
2004-04-20,3.96
2004-04-22,3.86
2004-04-23,3.9
2004-04-26,3.92
2004-04-27,4.02
2004-04-28,3.91
2004-04-29,3.87
2004-04-30,3.93
2004-05-03,3.99
2004-05-04,3.9
2004-05-05,3.97
2004-05-06,3.77
2004-05-07,3.74
2004-05-10,3.47
2004-05-11,3.78
2004-05-12,3.74
2004-05-13,3.81
2004-05-14,3.77
2004-05-17,3.84
2004-05-18,3.96
2004-05-19,4.01
2004-05-20,3.9
2004-05-21,3.74
2004-05-24,3.81
2004-05-25,3.76
2004-05-26,3.79
2004-05-27,3.82
2004-05-28,3.78
2004-05-31,3.81
2004-06-01,3.81
2004-06-02,3.97
2004-06-03,3.96
2004-06-04,4.07
2004-06-07,4.09
2004-06-08,4.08
2004-06-09,4.08
2004-06-11,4.09
2004-06-14,4.09
2004-06-15,4.21
2004-06-16,4.21
2004-06-17,4.12
2004-06-18,4.06
2004-06-21,3.98
2004-06-22,4.02
2004-06-23,4.05
2004-06-24,3.99
2004-06-25,4.0
2004-06-28,3.89
2004-06-29,3.9
2004-06-30,3.96
2004-07-01,3.99
2004-07-02,3.96
2004-07-05,4.01
2004-07-06,4.04
2004-07-07,4.02
2004-07-08,4.03
2004-07-12,4.08
2004-07-13,4.1
2004-07-14,4.04
2004-07-15,4.12
2004-07-16,4.09
2004-07-19,4.07
2004-07-20,4.06
2004-07-21,4.14
2004-07-22,4.19
2004-07-23,4.43
2004-07-26,4.46
2004-07-27,4.48
2004-07-28,4.54
2004-07-29,4.47
2004-07-30,4.34
2004-08-02,4.32
2004-08-03,4.32
2004-08-04,4.29
2004-08-05,4.21
2004-08-06,4.25
2004-08-09,4.22
2004-08-10,4.23
2004-08-11,4.3
2004-08-12,4.35
2004-08-13,4.31
2004-08-16,4.32
2004-08-17,4.38
2004-08-18,4.41
2004-08-19,4.45
2004-08-20,4.59
2004-08-23,4.75
2004-08-24,4.94
2004-08-25,4.94
2004-08-26,5.04
2004-08-27,5.16
2004-08-30,5.11
2004-08-31,4.95
2004-09-01,4.95
2004-09-02,5.21
2004-09-03,5.44
2004-09-06,5.37
2004-09-08,5.56
2004-09-09,5.47
2004-09-10,5.39
2004-09-13,5.36
2004-09-14,5.46
2004-09-15,5.47
2004-09-16,5.65
2004-09-17,5.62
2004-09-20,5.57
2004-09-21,5.42
2004-09-22,5.2
2004-09-23,5.05
2004-09-24,5.08
2004-09-27,5.18
2004-09-28,5.38
2004-09-29,5.27
2004-09-30,5.31
2004-10-01,5.14
2004-10-04,5.05
2004-10-05,5.01
2004-10-06,4.96
2004-10-07,4.94
2004-10-08,4.96
2004-10-11,5.04
2004-10-13,4.87
2004-10-14,4.87
2004-10-15,5.0
2004-10-18,4.92
2004-10-19,4.85
2004-10-20,5.03
2004-10-21,5.01
2004-10-22,4.96
2004-10-25,5.0
2004-10-26,4.96
2004-10-27,5.01
2004-10-28,5.11
2004-10-29,5.18
2004-11-01,5.11
2004-11-03,5.22
2004-11-04,5.16
2004-11-05,5.08
2004-11-08,5.09
2004-11-09,4.98
2004-11-10,5.04
2004-11-11,5.0
