,Adj Close
2013-04-30,15.01
2013-05-02,15.26
2013-05-03,15.57
2013-05-06,15.65
2013-05-07,15.72
2013-05-08,15.75
2013-05-09,15.72
2013-05-10,15.6
2013-05-13,15.2
2013-05-14,15.0
2013-05-15,15.36
2013-05-16,15.65
2013-05-17,15.52
2013-05-20,15.26
2013-05-21,15.62
2013-05-22,16.3
2013-05-23,16.64
2013-05-24,16.77
2013-05-27,16.72
2013-05-28,16.55
2013-05-29,16.32
2013-05-31,16.24
2013-06-03,16.6
2013-06-04,16.32
2013-06-05,16.61
2013-06-06,16.72
2013-06-07,16.61
2013-06-10,16.24
2013-06-11,16.18
2013-06-12,15.98
2013-06-13,16.22
2013-06-14,16.42
2013-06-17,17.16
2013-06-18,17.29
2013-06-19,17.29
2013-06-20,17.32
2013-06-21,16.98
2013-06-24,16.19
2013-06-25,16.13
2013-06-26,15.89
2013-06-27,16.32
2013-06-28,15.98
2013-07-01,15.95
2013-07-02,15.53
2013-07-03,15.23
2013-07-04,15.34
2013-07-05,15.65
2013-07-08,15.74
2013-07-10,15.65
2013-07-11,15.65
2013-07-12,15.25
2013-07-15,15.79
2013-07-16,15.79
2013-07-17,15.98
2013-07-18,16.09
2013-07-19,16.63
2013-07-22,18.13
2013-07-23,18.47
2013-07-24,18.14
2013-07-25,18.12
2013-07-26,18.02
2013-07-29,17.75
2013-07-30,18.3
2013-07-31,18.27
2013-08-01,18.46
2013-08-02,17.37
2013-08-05,16.62
2013-08-06,16.58
2013-08-07,15.98
2013-08-08,15.92
2013-08-09,17.12
2013-08-12,17.85
2013-08-13,17.88
2013-08-14,18.26
2013-08-15,17.9
2013-08-16,17.99
2013-08-19,17.85
2013-08-20,18.18
2013-08-21,18.12
2013-08-22,18.18
2013-08-23,18.81
2013-08-26,18.77
2013-08-27,18.39
2013-08-28,18.13
2013-08-29,17.83
2013-08-30,18.18
2013-09-02,17.96
2013-09-03,17.84
2013-09-04,17.39
2013-09-05,17.89
2013-09-06,18.74
2013-09-09,18.91
2013-09-10,18.65
2013-09-11,18.45
2013-09-12,18.18
2013-09-13,18.07
2013-09-16,18.04
2013-09-17,18.17
2013-09-18,18.51
2013-09-19,18.41
2013-09-20,18.51
2013-09-23,18.12
2013-09-24,18.5
2013-09-25,18.32
2013-09-26,18.6
2013-09-27,18.31
2013-09-30,19.09
2013-10-01,18.18
2013-10-02,17.88
2013-10-03,17.88
2013-10-04,17.65
2013-10-07,17.65
2013-10-08,17.65
2013-10-09,18.12
2013-10-10,18.35
2013-10-11,18.75
2013-10-14,19.11
2013-10-15,18.94
2013-10-16,19.04
2013-10-17,19.0
2013-10-18,19.08
2013-10-21,19.12
2013-10-22,19.08
2013-10-23,19.17
2013-10-24,19.17
2013-10-25,19.17
2013-10-28,19.14
2013-10-29,19.17
2013-10-30,19.46
2013-10-31,19.41
2013-11-01,19.92
2013-11-04,19.73
2013-11-05,20.32
2013-11-06,20.54
2013-11-07,21.08
2013-11-08,21.36
2013-11-11,21.48
2013-11-12,21.43
2013-11-13,21.62
2013-11-14,22.51
2013-11-18,22.29
2013-11-19,21.62
2013-11-21,22.06
2013-11-22,21.74
2013-11-25,21.62
2013-11-26,21.9
2013-11-27,21.97
2013-11-28,21.62
2013-11-29,21.66
2013-12-02,21.23
2013-12-03,21.02
2013-12-04,21.36
2013-12-05,21.62
2013-12-06,21.16
2013-12-09,20.96
2013-12-10,21.5
2013-12-11,21.82
2013-12-12,21.5
2013-12-13,21.21
2013-12-16,21.02
2013-12-17,20.67
2013-12-18,21.24
2013-12-19,20.88
2013-12-20,20.61
2013-12-23,21.36
2013-12-26,20.93
2013-12-27,21.13
2013-12-30,21.47
2014-01-02,21.82
2014-01-03,22.93
2014-01-06,22.4
2014-01-07,22.4
2014-01-08,22.6
2014-01-09,23.09
2014-01-10,23.78
2014-01-13,23.78
2014-01-14,23.78
2014-01-15,24.04
2014-01-16,23.58
2014-01-17,23.13
2014-01-20,23.2
2014-01-21,23.59
2014-01-22,23.78
2014-01-23,23.33
2014-01-24,22.54
2014-01-27,22.46
2014-01-28,22.58
2014-01-29,21.82
2014-01-30,22.08
2014-01-31,22.22
2014-02-03,22.12
2014-02-04,23.11
2014-02-05,23.63
2014-02-06,23.89
2014-02-07,23.97
2014-02-10,24.65
2014-02-11,24.57
2014-02-12,24.68
2014-02-13,25.1
2014-02-14,25.83
2014-02-17,26.32
2014-02-18,26.82
2014-02-19,26.3
2014-02-20,25.44
2014-02-21,24.67
2014-02-24,24.59
2014-02-25,24.31
2014-02-26,24.28
2014-02-27,24.28
2014-02-28,24.12
2014-03-05,24.01
2014-03-06,24.12
2014-03-07,24.39
2014-03-10,24.19
2014-03-11,24.5
2014-03-12,25.24
2014-03-13,25.05
2014-03-14,24.92
2014-03-17,24.74
2014-03-18,25.15
2014-03-19,25.12
2014-03-20,24.89
2014-03-21,25.04
2014-03-24,24.48
2014-03-25,24.66
2014-03-26,24.48
2014-03-27,24.12
2014-03-28,23.86
2014-03-31,23.95
2014-04-01,24.62
2014-04-02,25.84
2014-04-03,25.43
2014-04-04,25.12
2014-04-07,24.62
2014-04-08,24.62
2014-04-09,24.69
2014-04-10,24.21
2014-04-11,25.43
2014-04-14,25.16
2014-04-15,25.16
2014-04-16,26.0
2014-04-17,26.47
2014-04-22,26.96
2014-04-23,27.25
2014-04-24,28.36
2014-04-25,28.29
2014-04-28,28.12
2014-04-29,28.29
2014-04-30,27.92
2014-05-02,28.72
2014-05-05,28.48
2014-05-06,28.99
2014-05-07,29.52
2014-05-08,28.4
2014-05-09,27.67
2014-05-12,28.48
2014-05-13,29.16
2014-05-14,28.07
2014-05-15,27.07
2014-05-16,26.59
2014-05-19,26.91
2014-05-20,27.14
2014-05-21,27.21
2014-05-22,27.39
2014-05-23,27.55
2014-05-26,27.35
2014-05-27,27.35
2014-05-28,27.48
2014-05-29,28.05
2014-05-30,27.95
2014-06-02,28.07
2014-06-03,28.16
2014-06-04,28.29
2014-06-05,28.65
2014-06-06,29.48
2014-06-09,29.82
2014-06-10,30.78
2014-06-11,30.68
2014-06-13,31.08
2014-06-16,31.13
2014-06-17,30.75
2014-06-18,30.81
2014-06-20,31.21
2014-06-23,31.86
2014-06-24,31.92
2014-06-25,32.07
2014-06-26,32.03
2014-06-27,31.88
2014-06-30,32.04
2014-07-01,31.89
2014-07-02,31.25
2014-07-03,31.55
2014-07-04,31.5
2014-07-07,30.77
2014-07-08,30.88
2014-07-10,31.07
2014-07-11,31.35
2014-07-14,30.94
2014-07-15,30.59
2014-07-16,29.75
2014-07-17,30.18
2014-07-18,30.5
2014-07-21,31.49
2014-07-22,31.57
2014-07-23,32.07
2014-07-24,32.5
2014-07-25,32.65
2014-07-28,32.99
2014-07-29,33.0
2014-07-30,33.15
2014-07-31,32.74
2014-08-01,31.8
2014-08-04,31.63
2014-08-05,31.4
2014-08-06,31.08
2014-08-07,31.37
2014-08-08,31.3
2014-08-11,31.29
2014-08-12,31.84
2014-08-13,31.63
2014-08-14,31.12
2014-08-15,31.66
2014-08-18,31.49
2014-08-19,31.75
2014-08-20,31.81
2014-08-21,32.21
2014-08-22,31.99
2014-08-25,32.24
2014-08-26,31.99
2014-08-27,32.15
2014-08-28,32.83
2014-08-29,32.83
2014-09-01,33.15
2014-09-02,34.74
2014-09-03,35.15
2014-09-04,35.54
2014-09-05,36.18
2014-09-08,35.46
2014-09-09,34.84
2014-09-10,34.55
2014-09-11,34.3
2014-09-12,34.67
2014-09-15,33.76
2014-09-16,33.45
2014-09-17,33.77
2014-09-18,34.23
2014-09-19,33.15
2014-09-22,32.49
2014-09-23,32.19
2014-09-24,32.18
2014-09-25,32.32
2014-09-26,32.04
2014-09-29,31.79
2014-09-30,32.15
2014-10-01,32.32
2014-10-02,31.83
2014-10-03,33.56
2014-10-06,35.06
2014-10-07,35.64
2014-10-08,36.05
2014-10-09,36.38
2014-10-10,36.13
2014-10-13,35.64
2014-10-14,35.02
2014-10-15,33.94
2014-10-16,33.06
2014-10-17,32.59
2014-10-20,31.49
2014-10-21,31.7
2014-10-22,31.91
2014-10-23,32.02
2014-10-24,31.91
2014-10-27,32.32
2014-10-28,33.49
2014-10-29,33.91
2014-10-30,35.64
2014-10-31,35.47
2014-11-03,37.8
2014-11-04,38.04
2014-11-05,37.5
2014-11-06,37.42
2014-11-07,37.2
2014-11-10,36.8
2014-11-11,38.12
2014-11-12,38.79
2014-11-13,37.78
2014-11-14,37.29
2014-11-17,36.88
2014-11-18,38.02
2014-11-19,38.86
2014-11-21,38.95
2014-11-24,38.95
2014-11-25,39.08
2014-11-26,39.21
2014-11-27,38.95
2014-11-28,38.95
2014-12-01,38.86
2014-12-02,38.95
2014-12-03,38.99
2014-12-04,39.21
2014-12-05,39.28
2014-12-08,39.22
2014-12-09,38.95
2014-12-10,38.43
2014-12-11,39.17
2014-12-12,38.54
2014-12-15,38.62
2014-12-16,38.11
2014-12-17,38.15
2014-12-18,38.12
2014-12-19,38.12
2014-12-22,37.7
2014-12-23,38.11
2014-12-26,37.91
2014-12-29,37.97
2014-12-30,38.36
2015-01-02,40.22
2015-01-05,39.98
2015-01-06,39.81
2015-01-07,39.49
2015-01-08,39.81
2015-01-09,39.15
2015-01-12,40.02
2015-01-13,39.62
2015-01-14,39.98
2015-01-15,40.12
2015-01-16,39.69
2015-01-19,40.14
2015-01-20,39.98
2015-01-21,40.1
2015-01-22,39.98
2015-01-23,39.81
2015-01-26,39.15
2015-01-27,39.08
2015-01-28,38.32
2015-01-29,37.19
2015-01-30,35.19
2015-02-02,36.44
2015-02-03,36.57
2015-02-04,36.65
2015-02-05,36.96
2015-02-06,35.82
2015-02-09,36.4
2015-02-10,36.35
2015-02-11,35.19
2015-02-12,36.03
2015-02-13,36.24
2015-02-18,36.77
2015-02-19,36.81
2015-02-20,37.57
2015-02-23,38.3
2015-02-24,39.03
2015-02-25,39.45
2015-02-26,38.98
2015-02-27,39.59
2015-03-02,39.15
2015-03-03,39.27
2015-03-04,39.35
2015-03-05,39.8
2015-03-06,39.85
2015-03-09,38.85
2015-03-10,40.39
2015-03-11,40.88
2015-03-12,40.43
2015-03-13,40.3
2015-03-16,40.82
2015-03-17,40.82
2015-03-18,39.94
2015-03-19,39.98
2015-03-20,40.65
2015-03-23,39.38
2015-03-24,39.18
2015-03-25,39.2
2015-03-26,39.76
2015-03-27,40.72
2015-03-30,41.36
2015-03-31,42.06
2015-04-01,42.8
2015-04-02,44.05
2015-04-06,44.66
2015-04-07,44.57
2015-04-08,45.36
2015-04-09,45.74
2015-04-10,44.82
2015-04-13,45.98
2015-04-14,46.65
2015-04-15,44.99
2015-04-16,45.83
2015-04-17,44.9
2015-04-20,45.71
2015-04-22,45.8
2015-04-23,46.45
2015-04-24,46.66
2015-04-27,46.86
2015-04-28,46.66
2015-04-29,46.26
2015-04-30,43.98
2015-05-04,45.37
2015-05-05,45.34
2015-05-06,45.8
2015-05-07,44.14
2015-05-08,44.93
2015-05-11,44.72
2015-05-12,44.9
2015-05-13,44.8
2015-05-14,44.68
2015-05-15,44.8
2015-05-18,44.8
2015-05-19,44.85
2015-05-20,44.28
