,Adj Close
2017-10-24,64.256
2017-10-25,64.357
2017-10-26,60.271
2017-10-27,60.988
2017-10-30,59.413
2017-10-31,59.062
2017-11-01,57.705
2017-11-03,55.678
2017-11-06,56.98
2017-11-07,53.931
2017-11-08,56.091
2017-11-09,53.292
2017-11-10,52.138
2017-11-13,51.124
2017-11-14,49.775
2017-11-16,52.847
2017-11-17,52.878
2017-11-21,56.037
2017-11-22,55.468
2017-11-23,56.817
2017-11-24,57.495
2017-11-27,57.339
2017-11-28,56.809
2017-11-29,54.376
2017-11-30,51.81
2017-12-01,50.882
2017-12-04,51.498
2017-12-05,52.496
2017-12-06,52.847
2017-12-07,53.268
2017-12-08,53.3
2017-12-11,53.261
2017-12-12,53.892
2017-12-13,53.198
2017-12-14,52.216
2017-12-15,51.982
2017-12-18,52.52
2017-12-19,50.492
2017-12-20,49.946
2017-12-21,50.095
2017-12-22,50.492
2017-12-26,51.639
2017-12-27,51.334
2017-12-28,52.442
2018-01-02,54.228
2018-01-03,53.549
2018-01-04,53.448
2018-01-05,53.198
2018-01-08,52.442
2018-01-09,52.169
2018-01-10,52.847
2018-01-11,54.204
2018-01-12,54.368
2018-01-15,55.717
2018-01-16,55.272
2018-01-17,56.637
2018-01-18,56.021
2018-01-19,54.579
2018-01-22,54.103
2018-01-23,54.274
2018-01-24,55.959
2018-01-26,56.793
2018-01-29,56.653
2018-01-30,56.162
2018-01-31,56.754
2018-02-01,57.339
2018-02-02,55.951
2018-02-05,54.189
2018-02-06,56.076
2018-02-07,54.774
2018-02-08,53.557
2018-02-09,54.142
2018-02-14,55.117
2018-02-15,55.857
2018-02-16,54.649
2018-02-19,55.553
2018-02-20,56.723
2018-02-21,57.526
2018-02-22,57.284
2018-02-23,56.918
2018-02-26,57.409
2018-02-27,56.988
2018-02-28,58.236
2018-03-01,58.595
2018-03-02,57.69
2018-03-05,55.623
2018-03-06,55.272
2018-03-07,49.814
2018-03-08,48.371
2018-03-09,47.576
2018-03-12,49.128
2018-03-13,49.658
2018-03-14,50.071
2018-03-15,50.43
2018-03-16,50.968
2018-03-19,49.284
2018-03-20,48.714
2018-03-21,47.248
2018-03-22,47.147
2018-03-23,47.818
2018-03-26,48.012
2018-03-27,46.983
2018-03-28,46.804
2018-03-29,48.02
2018-04-02,46.819
2018-04-03,46.429
2018-04-04,45.93
2018-04-05,47.701
2018-04-06,48.987
2018-04-09,48.114
2018-04-10,48.239
2018-04-11,48.02
2018-04-12,48.153
2018-04-13,47.669
2018-04-16,46.983
2018-04-17,46.32
2018-04-18,46.008
2018-04-19,46.874
2018-04-20,46.71
2018-04-23,47.935
2018-04-24,47.248
2018-04-25,47.849
2018-04-26,48.02
2018-04-27,49.128
2018-04-30,49.822
2018-05-02,50.508
2018-05-03,50.235
2018-05-04,52.442
2018-05-07,51.444
2018-05-08,50.048
2018-05-09,47.755
2018-05-10,47.693
2018-05-11,47.825
2018-05-14,45.556
2018-05-15,43.599
2018-05-16,44.23
2018-05-17,42.156
2018-05-18,41.657
2018-05-21,42.733
2018-05-22,44.308
2018-05-23,43.006
2018-05-24,42.679
2018-05-25,42.741
2018-05-28,40.347
2018-05-29,40.69
2018-05-30,42.289
2018-06-01,42.094
2018-06-04,43.848
2018-06-05,41.813
2018-06-06,37.922
2018-06-07,33.352
2018-06-08,35.411
2018-06-11,36.534
2018-06-12,36.479
2018-06-13,36.565
2018-06-14,35.114
2018-06-15,33.968
2018-06-18,32.557
2018-06-19,34.327
2018-06-20,33.602
2018-06-21,34.046
2018-06-22,35.239
2018-06-25,36.035
2018-06-26,36.019
2018-06-27,35.777
2018-06-28,36.292
2018-06-29,37.742
2018-07-02,38.156
2018-07-03,38.343
2018-07-04,38.156
2018-07-05,37.165
2018-07-06,38.772
2018-07-10,38.062
2018-07-11,37.134
2018-07-12,36.588
2018-07-13,37.758
2018-07-16,39.248
2018-07-17,40.846
2018-07-18,38.85
2018-07-19,38.156
2018-07-20,39.887
2018-07-23,38.514
2018-07-24,38.881
2018-07-25,39.637
2018-07-26,38.522
2018-07-27,38.015
2018-07-30,38.015
2018-07-31,37.212
2018-08-01,38.514
2018-08-02,38.858
2018-08-03,39.606
2018-08-06,40.323
2018-08-07,40.308
2018-08-08,40.121
2018-08-09,40.066
2018-08-10,39.318
2018-08-13,40.526
2018-08-14,41.813
2018-08-15,41.571
2018-08-16,41.423
2018-08-17,40.706
2018-08-20,40.784
2018-08-21,39.973
2018-08-22,40.253
2018-08-23,38.483
2018-08-24,38.881
2018-08-27,39.333
2018-08-28,38.241
2018-08-29,38.522
2018-08-30,38.07
2018-08-31,37.727
2018-09-03,38.663
2018-09-04,37.43
2018-09-05,34.592
2018-09-06,35.536
2018-09-10,34.015
2018-09-11,31.886
2018-09-12,30.35
2018-09-13,29.507
2018-09-14,29.547
2018-09-17,31.184
2018-09-18,31.839
2018-09-19,30.888
2018-09-20,31.917
2018-09-21,33.18
2018-09-24,33.064
2018-09-25,33.282
2018-09-26,33.726
2018-09-27,33.797
2018-09-28,33.43
2018-10-01,33.095
2018-10-02,34.522
2018-10-03,36.058
2018-10-04,35.699
2018-10-05,36.713
2018-10-08,40.121
2018-10-09,39.98
2018-10-10,38.047
2018-10-11,37.672
2018-10-15,23.043
2018-10-16,24.922
2018-10-17,25.047
2018-10-18,26.349
2018-10-19,27.613
2018-10-22,27.176
2018-10-23,26.887
2018-10-24,25.569
2018-10-25,25.437
2018-10-26,26.817
2018-10-29,26.17
2018-10-30,27.472
2018-10-31,27.075
2018-11-01,27.394
2018-11-05,26.887
2018-11-06,26.926
2018-11-07,26.763
2018-11-08,26.7
2018-11-09,27.012
2018-11-12,26.887
2018-11-13,26.669
2018-11-14,26.747
2018-11-16,27.613
2018-11-19,28.525
2018-11-21,28.275
2018-11-22,28.611
2018-11-23,29.328
2018-11-26,28.821
2018-11-27,30.709
2018-11-28,30.896
2018-11-29,31.551
2018-11-30,32.12
2018-12-03,31.543
2018-12-04,30.631
2018-12-05,31.831
2018-12-06,32.05
2018-12-07,31.184
2018-12-10,30.669
2018-12-11,31.761
2018-12-12,31.863
2018-12-13,31.652
2018-12-14,31.902
2018-12-17,32.705
2018-12-18,33.04
2018-12-19,32.993
2018-12-20,33.196
2018-12-21,32.705
2018-12-26,31.613
2018-12-27,31.254
2018-12-28,31.808
2019-01-02,31.707
2019-01-03,32.073
2019-01-04,32.042
2019-01-07,30.802
2019-01-08,30.514
2019-01-09,30.319
2019-01-10,31.27
2019-01-11,31.34
2019-01-14,32.003
2019-01-15,31.886
2019-01-16,31.402
2019-01-17,31.59
2019-01-18,30.755
2019-01-21,30.459
2019-01-22,29.89
2019-01-23,30.28
2019-01-24,30.537
2019-01-28,30.241
2019-01-29,30.467
2019-01-30,31.636
2019-01-31,32.58
2019-02-01,32.44
2019-02-04,32.962
2019-02-05,34.186
2019-02-06,33.633
2019-02-07,33.064
2019-02-08,33.711
2019-02-11,34.514
2019-02-12,34.467
2019-02-13,34.896
2019-02-14,35.434
2019-02-15,35.715
2019-02-18,36.058
2019-02-19,35.855
2019-02-20,34.483
2019-02-21,36.425
2019-02-22,36.44
2019-02-25,35.356
2019-02-26,35.762
2019-02-27,36.206
2019-02-28,34.99
2019-03-01,34.553
2019-03-06,33.75
2019-03-07,33.921
2019-03-08,34.475
2019-03-11,34.264
2019-03-12,34.093
2019-03-13,34.701
2019-03-14,37.095
2019-03-15,36.113
2019-03-18,35.949
2019-03-19,36.159
2019-03-20,36.183
2019-03-21,35.715
2019-03-22,34.927
2019-03-25,34.553
2019-03-26,35.645
2019-03-27,33.407
2019-03-28,34.506
2019-03-29,34.771
2019-04-01,34.311
2019-04-02,34.951
2019-04-03,34.639
2019-04-04,35.473
2019-04-05,35.707
2019-04-08,35.224
2019-04-09,34.709
2019-04-10,34.857
2019-04-11,34.342
2019-04-12,35.075
2019-04-15,35.879
2019-04-16,36.51
2019-04-17,35.933
2019-04-18,37.43
2019-04-22,38.218
2019-04-23,38.21
2019-04-24,38.148
2019-04-25,38.203
2019-04-26,38.974
2019-04-29,38.444
2019-04-30,38.21
2019-05-02,38.234
2019-05-03,37.54
2019-05-06,36.853
2019-05-07,34.662
2019-05-08,34.584
2019-05-09,34.584
2019-05-10,34.623
2019-05-13,33.453
2019-05-14,32.401
2019-05-15,32.026
2019-05-16,31.052
2019-05-17,30.662
2019-05-20,31.675
2019-05-21,32.167
2019-05-22,32.432
2019-05-23,34.288
2019-05-24,35.091
2019-05-27,35.637
2019-05-28,36.51
2019-05-29,36.495
2019-05-30,37.352
2019-05-31,37.158
2019-06-03,37.664
2019-06-04,38.093
2019-06-05,37.976
2019-06-06,37.485
2019-06-07,37.251
2019-06-10,36.97
2019-06-11,37.22
2019-06-12,36.495
2019-06-13,36.3
2019-06-14,35.941
2019-06-17,36.167
2019-06-18,35.949
2019-06-19,34.459
2019-06-21,33.375
2019-06-24,33.212
2019-06-25,32.206
2019-06-26,31.972
2019-06-27,32.635
2019-06-28,32.752
2019-07-01,31.66
2019-07-02,31.176
2019-07-03,31.66
2019-07-04,32.089
2019-07-05,32.479
2019-07-08,31.948
2019-07-10,31.863
2019-07-11,31.691
2019-07-12,31.496
2019-07-15,30.046
2019-07-16,29.913
2019-07-17,29.344
2019-07-18,28.868
2019-07-19,28.502
2019-07-22,28.275
2019-07-23,27.496
