,Adj Close
2005-04-12,18.56
2005-04-13,18.74
2005-04-14,19.08
2005-04-15,18.99
2005-04-18,18.74
2005-04-19,19.5
2005-04-20,19.08
2005-04-22,19.4
2005-04-25,19.12
2005-04-26,19.12
2005-04-27,18.32
2005-04-28,17.36
2005-04-29,16.99
2005-05-02,16.58
2005-05-03,16.58
2005-05-04,16.4
2005-05-05,16.49
2005-05-06,16.49
2005-05-09,16.44
2005-05-10,15.99
2005-05-11,15.8
2005-05-12,15.36
2005-05-13,14.72
2005-05-16,14.53
2005-05-17,14.53
2005-05-18,14.72
2005-05-19,14.62
2005-05-20,16.19
2005-05-23,16.78
2005-05-24,16.83
2005-05-25,16.69
2005-05-27,16.79
2005-05-30,17.38
2005-05-31,17.56
2005-06-01,17.26
2005-06-02,18.4
2005-06-03,17.76
2005-06-06,16.69
2005-06-07,16.69
2005-06-08,17.47
2005-06-09,17.03
2005-06-10,18.06
2005-06-13,17.86
2005-06-14,18.23
2005-06-15,17.55
2005-06-16,17.97
2005-06-17,18.35
2005-06-20,17.7
2005-06-21,17.66
2005-06-22,17.61
2005-06-23,17.52
2005-06-24,17.66
2005-06-27,17.66
2005-06-28,17.66
2005-06-29,17.29
2005-06-30,17.26
2005-07-01,17.66
2005-07-04,17.66
2005-07-05,17.72
2005-07-06,18.15
2005-07-07,18.06
2005-07-08,18.63
2005-07-11,19.12
2005-07-12,19.38
2005-07-13,19.5
2005-07-14,19.42
2005-07-15,20.6
2005-07-18,21.1
2005-07-19,21.55
2005-07-20,21.71
2005-07-21,21.58
2005-07-22,20.71
2005-07-25,20.42
2005-07-26,20.85
2005-07-27,21.35
2005-07-28,21.69
2005-07-29,21.58
2005-08-01,21.58
2005-08-02,22.12
2005-08-03,22.52
2005-08-04,23.44
2005-08-05,22.95
2005-08-08,23.01
2005-08-09,22.85
2005-08-10,22.78
2005-08-11,22.57
2005-08-12,22.57
2005-08-15,23.07
2005-08-16,23.08
2005-08-17,23.56
2005-08-18,24.04
2005-08-22,25.54
2005-08-23,25.25
2005-08-29,25.9
2005-09-05,25.35
2005-09-09,25.82
2005-09-12,25.26
2005-09-19,24.5
2005-09-20,24.7
2005-09-21,25.96
2005-09-22,25.59
2005-09-23,25.6
2005-09-26,26.52
2005-09-27,26.3
2005-09-28,25.65
2005-09-29,25.6
2005-09-30,26.52
2005-10-03,27.44
2005-10-04,29.0
2005-10-05,27.8
2005-10-06,27.8
2005-10-07,29.72
2005-10-10,28.36
2005-10-11,28.07
2005-10-13,27.71
2005-10-14,27.44
2005-10-17,27.79
2005-10-18,27.26
2005-10-19,27.26
2005-10-20,27.99
2005-10-21,28.36
2005-10-24,28.12
2005-10-25,28.09
2005-10-26,27.44
2005-10-27,27.44
2005-10-28,28.11
2005-10-31,28.18
2005-11-01,30.09
2005-11-03,30.56
2005-11-04,30.91
2005-11-07,31.1
2005-11-08,30.63
2005-11-09,30.91
2005-11-10,30.41
2005-11-11,29.31
2005-11-14,29.82
2005-11-16,30.18
2005-11-17,30.37
2005-11-18,30.37
2005-11-21,30.18
2005-11-22,30.18
2005-11-23,30.27
2005-11-24,31.46
2005-11-25,33.07
2005-11-28,32.9
2005-11-29,32.74
2005-11-30,33.82
2005-12-01,34.76
2005-12-02,35.93
2005-12-05,37.24
2005-12-06,39.13
2005-12-07,38.88
2005-12-08,39.05
2005-12-09,40.25
2005-12-12,41.11
2005-12-13,42.35
2005-12-14,41.94
2005-12-15,40.25
2005-12-16,39.33
2005-12-19,38.74
2005-12-20,39.15
2005-12-21,39.51
2005-12-22,38.41
2005-12-23,37.05
2005-12-26,38.5
2005-12-27,37.59
2005-12-28,37.41
2005-12-29,37.95
2006-01-02,38.41
2006-01-03,37.5
2006-01-04,38.76
2006-01-05,38.41
2006-01-06,38.32
2006-01-09,38.32
2006-01-10,39.32
2006-01-11,40.98
