,Adj Close
2005-06-08,20.96
2005-06-09,20.26
2005-06-10,20.26
2005-06-13,18.39
2005-06-14,16.96
2005-06-15,16.96
2005-06-16,17.05
2005-06-17,17.15
2005-06-20,17.05
2005-06-21,16.96
2005-06-22,16.91
2005-06-23,16.77
2005-06-24,16.58
2005-06-27,16.54
2005-06-28,16.02
2005-06-29,16.2
2005-06-30,15.83
2005-07-01,15.83
2005-07-04,15.82
2005-07-05,15.52
2005-07-06,15.44
2005-07-07,15.26
2005-07-08,15.29
2005-07-11,15.86
2005-07-12,16.48
2005-07-13,16.84
2005-07-14,17.14
2005-07-15,17.34
2005-07-18,17.4
2005-07-19,17.52
2005-07-20,18.0
2005-07-21,18.81
2005-07-22,18.46
2005-07-25,18.05
2005-07-26,17.6
2005-07-27,18.0
2005-07-28,18.16
2005-07-29,17.9
2005-08-01,18.28
2005-08-02,19.5
2005-08-03,20.92
2005-08-04,21.19
2005-08-05,22.4
2005-08-08,23.05
2005-08-09,23.56
2005-08-10,23.57
2005-08-11,23.57
2005-08-12,23.31
2005-08-15,23.42
2005-08-16,23.35
2005-08-17,23.57
2005-08-18,23.57
2005-08-22,23.38
2005-08-23,23.2
2005-08-29,23.42
2005-09-05,23.23
2005-09-09,23.57
2005-09-12,23.38
2005-09-19,23.2
2005-09-20,23.88
2005-09-21,23.42
2005-09-22,22.63
2005-09-23,22.97
2005-09-26,23.05
2005-09-27,22.97
2005-09-28,22.93
2005-09-29,22.37
2005-09-30,23.2
2005-10-03,23.62
2005-10-04,22.97
2005-10-05,22.7
2005-10-06,22.4
2005-10-07,23.12
2005-10-10,23.79
2005-10-11,24.06
2005-10-13,23.42
2005-10-14,24.28
2005-10-17,24.55
2005-10-18,24.31
2005-10-19,24.33
2005-10-20,24.06
2005-10-21,24.67
2005-10-24,24.75
2005-10-25,24.33
2005-10-26,24.33
2005-10-27,24.33
2005-10-28,24.86
2005-10-31,25.66
2005-11-01,26.52
2005-11-03,27.49
2005-11-04,27.34
2005-11-07,26.8
2005-11-08,27.01
2005-11-09,27.57
2005-11-10,29.13
2005-11-11,31.45
2005-11-14,30.87
2005-11-16,32.0
2005-11-17,32.46
2005-11-18,31.55
2005-11-21,30.9
2005-11-22,30.64
2005-11-23,31.55
2005-11-24,31.81
2005-11-25,32.82
2005-11-28,32.9
2005-11-29,33.7
2005-11-30,34.69
2005-12-01,35.37
2005-12-02,35.41
2005-12-05,34.23
2005-12-06,34.76
2005-12-07,34.68
2005-12-08,34.59
2005-12-09,35.6
2005-12-12,36.49
2005-12-13,36.42
2005-12-14,37.4
2005-12-15,37.56
2005-12-16,37.9
2005-12-19,39.03
2005-12-20,40.55
2005-12-21,40.82
2005-12-22,41.08
2005-12-23,41.18
2005-12-26,42.6
2005-12-27,42.36
2005-12-28,40.55
2005-12-29,40.01
2006-01-02,40.09
2006-01-03,40.55
2006-01-04,40.74
2006-01-05,40.09
2006-01-06,40.7
2006-01-09,40.38
2006-01-10,40.82
2006-01-11,43.08
2006-01-12,43.72
2006-01-13,45.04
2006-01-17,45.5
2006-01-18,45.01
2006-01-19,44.86
2006-01-20,43.68
2006-01-23,42.17
2006-01-24,42.13
2006-01-26,44.86
2006-01-27,48.41
2006-01-30,48.21
2006-01-31,47.77
2006-02-01,45.96
2006-02-02,45.94
2006-02-03,45.23
2006-02-06,45.6
2006-02-07,44.17
2006-02-08,43.79
2006-02-09,42.79
2006-02-10,44.97
2006-02-13,43.72
2006-02-14,43.25
2006-02-15,43.53
2006-02-16,45.04
2006-02-17,45.03
2006-02-20,44.78
2006-02-21,43.51
2006-02-22,43.25
2006-02-23,42.34
2006-02-24,43.2
2006-03-01,45.04
2006-03-02,44.86
2006-03-03,44.69
2006-03-06,43.51
2006-03-07,40.22
2006-03-08,39.03
2006-03-09,38.12
2006-03-10,36.94
2006-03-13,37.03
2006-03-14,36.19
2006-03-15,38.18
2006-03-16,38.44
2006-03-17,37.75
2006-03-20,38.64
2006-03-21,38.73
2006-03-22,39.45
2006-03-23,39.19
2006-03-24,39.11
2006-03-27,38.73
2006-03-28,37.56
2006-03-29,37.75
2006-03-30,36.49
2006-03-31,37.14
2006-04-03,37.35
2006-04-04,37.82
2006-04-05,38.57
2006-04-06,38.57
2006-04-07,38.73
2006-04-10,40.9
2006-04-11,40.45
2006-04-12,40.09
2006-04-13,44.86
2006-04-17,44.74
2006-04-18,47.32
2006-04-19,49.74
2006-04-20,52.43
2006-04-24,50.91
2006-04-25,50.26
2006-04-26,51.36
2006-04-27,48.65
2006-04-28,48.58
2006-05-02,48.67
2006-05-03,48.38
2006-05-04,51.55
2006-05-05,52.08
2006-05-08,52.88
2006-05-09,51.91
2006-05-10,50.68
2006-05-11,48.75
2006-05-12,48.47
2006-05-15,47.58
2006-05-16,46.84
2006-05-17,45.78
2006-05-19,43.76
2006-05-22,43.12
2006-05-23,44.97
2006-05-24,44.03
2006-05-25,46.32
2006-05-26,48.16
2006-05-29,48.07
2006-05-30,46.79
2006-05-31,48.61
2006-06-01,50.42
2006-06-02,51.82
2006-06-05,49.53
2006-06-06,47.69
2006-06-07,45.84
2006-06-08,49.09
2006-06-09,48.61
2006-06-12,46.59
2006-06-13,46.51
2006-06-14,45.55
2006-06-16,47.41
2006-06-19,48.97
2006-06-20,50.11
2006-06-21,52.28
2006-06-22,51.39
2006-06-23,52.11
2006-06-26,51.39
2006-06-27,51.39
2006-06-28,51.39
2006-06-29,54.58
2006-06-30,54.26
2006-07-03,54.66
2006-07-04,55.95
2006-07-05,55.51
2006-07-06,55.95
2006-07-07,54.58
2006-07-10,55.06
2006-07-11,54.42
2006-07-12,53.65
2006-07-13,50.1
2006-07-14,49.92
2006-07-17,48.53
2006-07-18,48.63
2006-07-19,52.04
2006-07-20,51.19
2006-07-21,50.18
2006-07-24,51.39
2006-07-25,53.65
2006-07-26,53.55
2006-07-27,54.11
2006-07-28,53.78
2006-07-31,54.06
2006-08-01,53.78
2006-08-02,53.21
2006-08-03,56.2
2006-08-04,55.67
2006-08-07,55.4
2006-08-08,54.58
2006-08-09,55.87
2006-08-10,56.86
2006-08-11,55.95
2006-08-14,56.32
2006-08-15,57.81
2006-08-16,59.52
2006-08-17,59.18
2006-08-18,58.25
2006-08-21,56.87
