,Adj Close
1998-10-29,2.02
1998-10-30,1.97
1998-11-03,1.86
1998-11-04,1.9
1998-11-05,2.02
1998-11-06,2.17
1998-11-09,2.17
1998-11-10,2.2
1998-11-11,2.25
1998-11-12,2.23
1998-11-13,2.25
1998-11-16,2.28
1998-11-17,2.17
1998-11-18,2.23
1998-11-19,2.17
1998-11-20,2.17
1998-11-23,2.47
1998-11-24,2.95
1998-11-25,4.82
1998-11-26,4.54
1998-11-27,5.02
1998-11-30,4.11
1998-12-01,4.35
1998-12-02,3.98
1998-12-03,3.37
1998-12-04,3.29
1998-12-07,3.45
1998-12-08,3.17
1998-12-09,3.29
1998-12-10,3.14
1998-12-11,2.86
1998-12-14,2.76
1998-12-15,3.08
1998-12-16,2.71
1998-12-17,2.65
1998-12-18,2.76
1998-12-21,3.06
1998-12-22,3.08
1998-12-23,3.06
1998-12-28,2.86
1998-12-29,2.76
1998-12-30,2.79
1999-01-04,2.76
1999-01-05,2.89
1999-01-06,2.94
1999-01-07,3.04
1999-01-08,2.95
1999-01-11,2.83
1999-01-12,2.76
1999-01-13,2.89
1999-01-14,2.86
1999-01-15,2.98
1999-01-18,3.17
1999-01-19,3.37
1999-01-20,3.29
1999-01-21,3.06
1999-01-22,3.08
1999-01-26,3.35
1999-01-27,3.37
1999-01-28,3.42
1999-01-29,3.45
1999-02-01,3.79
1999-02-02,4.02
1999-02-03,3.94
1999-02-04,3.74
1999-02-05,3.64
1999-02-08,3.91
1999-02-09,3.94
1999-02-10,4.08
1999-02-11,4.07
1999-02-12,4.11
1999-02-17,4.11
1999-02-18,4.11
1999-02-19,4.04
1999-02-22,4.11
1999-02-23,4.07
1999-02-24,4.2
1999-02-25,4.08
1999-02-26,4.25
1999-03-01,4.29
1999-03-02,4.4
1999-03-03,4.69
1999-03-04,4.67
1999-03-05,4.61
1999-03-08,4.78
1999-03-09,4.67
1999-03-10,4.53
1999-03-11,4.25
1999-03-12,4.45
1999-03-15,4.61
1999-03-16,4.8
1999-03-17,5.13
1999-03-18,5.29
1999-03-19,5.24
1999-03-22,5.04
1999-03-23,4.88
1999-03-24,5.1
1999-03-25,5.29
1999-03-26,5.29
1999-03-29,5.4
1999-03-30,5.32
1999-03-31,5.32
1999-04-06,5.32
1999-04-07,5.48
1999-04-08,5.61
