,Adj Close
1998-10-27,1.07
1998-10-28,0.91
1998-10-29,0.89
1998-10-30,0.95
1998-11-03,1.07
1998-11-04,1.09
1998-11-05,1.13
1998-11-06,1.2
1998-11-09,1.27
1998-11-10,1.27
1998-11-11,1.27
1998-11-12,1.13
1998-11-13,1.15
1998-11-16,1.2
1998-11-17,1.18
1998-11-18,1.27
1998-11-19,1.33
1998-11-20,1.54
1998-11-23,1.84
1998-11-24,2.2
1998-11-25,2.46
1998-11-26,2.28
1998-11-27,2.39
1998-11-30,2.09
1998-12-01,2.1
1998-12-02,2.08
1998-12-03,1.9
1998-12-04,1.85
1998-12-07,2.1
1998-12-08,1.96
1998-12-09,1.9
1998-12-10,1.96
1998-12-11,1.78
1998-12-14,1.63
1998-12-15,1.77
1998-12-16,1.59
1998-12-17,1.63
1998-12-18,1.63
1998-12-21,1.84
1998-12-22,1.9
1998-12-23,1.96
1998-12-28,1.74
1998-12-29,1.54
1998-12-30,1.59
1999-01-04,1.7
1999-01-05,1.85
1999-01-06,2.09
1999-01-07,2.02
1999-01-08,1.88
1999-01-11,1.9
1999-01-12,1.84
1999-01-13,1.92
1999-01-14,1.77
1999-01-15,2.21
1999-01-18,2.35
1999-01-19,2.34
1999-01-20,2.24
1999-01-21,2.27
1999-01-22,2.16
1999-01-26,2.46
1999-01-27,2.5
1999-01-28,2.34
1999-01-29,2.57
1999-02-01,2.77
1999-02-02,2.75
1999-02-03,2.75
1999-02-04,2.64
1999-02-05,2.34
1999-02-08,2.53
1999-02-09,2.42
1999-02-10,2.62
1999-02-11,2.62
1999-02-12,2.53
1999-02-17,2.57
1999-02-18,2.71
1999-02-19,2.78
1999-02-22,2.8
1999-02-23,2.82
1999-02-24,2.71
1999-02-25,2.53
1999-02-26,2.67
1999-03-01,2.75
1999-03-02,2.8
1999-03-03,2.81
1999-03-04,2.82
1999-03-05,2.75
1999-03-08,2.75
1999-03-09,2.52
1999-03-10,2.53
1999-03-11,2.42
1999-03-12,2.41
1999-03-15,2.52
1999-03-16,2.81
1999-03-17,2.62
1999-03-18,2.78
1999-03-19,2.67
1999-03-22,2.62
1999-03-23,2.53
1999-03-24,2.53
1999-03-25,2.67
1999-03-26,2.78
1999-03-29,2.78
1999-03-30,2.78
1999-03-31,2.78
1999-04-06,2.78
1999-04-07,2.81
1999-04-08,2.97
1999-04-09,3.0
1999-04-12,2.91
1999-04-13,2.81
1999-04-14,2.91
1999-04-15,2.85
1999-04-16,2.96
1999-04-19,2.99
1999-04-20,3.09
1999-04-22,2.86
1999-04-23,2.75
1999-04-26,2.78
1999-04-27,2.78
1999-04-28,2.77
1999-04-29,2.78
1999-04-30,2.68
1999-05-03,2.7
1999-05-04,2.66
1999-05-05,2.78
1999-05-06,2.93
1999-05-07,2.97
1999-05-10,3.0
1999-05-11,2.97
1999-05-12,2.97
1999-05-13,3.18
1999-05-14,3.25
1999-05-17,3.15
1999-05-18,3.29
1999-05-19,3.07
1999-05-20,3.04
1999-05-21,2.96
1999-05-24,2.78
1999-05-25,2.7
1999-05-26,2.91
1999-05-27,2.78
1999-05-28,2.66
1999-05-31,2.7
1999-06-01,2.59
1999-06-02,2.53
1999-06-04,2.78
1999-06-07,2.71
1999-06-08,2.73
1999-06-09,2.71
1999-06-10,2.75
1999-06-14,2.73
1999-06-15,2.75
1999-06-16,2.78
1999-06-17,2.75
1999-06-18,2.97
1999-06-21,3.04
1999-06-22,2.97
1999-06-23,3.07
1999-06-24,2.91
1999-06-25,2.91
1999-06-28,2.97
1999-06-29,2.97
1999-06-30,3.13
1999-07-01,2.95
1999-07-02,2.95
1999-07-05,3.07
1999-07-06,2.95
1999-07-07,2.97
1999-07-08,2.86
1999-07-12,2.68
1999-07-13,2.97
1999-07-14,2.75
1999-07-15,2.71
1999-07-16,2.68
1999-07-19,2.68
1999-07-20,2.73
1999-07-21,2.75
1999-07-22,2.71
1999-07-23,2.62
1999-07-26,2.46
1999-07-27,2.53
1999-07-28,2.52
1999-07-29,2.53
1999-07-30,2.49
1999-08-02,2.46
1999-08-03,2.53
1999-08-04,2.53
1999-08-05,2.59
1999-08-06,2.53
1999-08-09,2.59
1999-08-10,2.64
1999-08-11,2.67
1999-08-12,2.67
1999-08-13,2.75
1999-08-16,2.78
1999-08-17,2.8
1999-08-18,2.71
1999-08-19,2.66
1999-08-20,2.77
1999-08-23,2.91
1999-08-24,2.95
1999-08-25,3.07
1999-08-26,3.07
1999-08-27,3.04
1999-08-30,2.97
1999-08-31,2.97
1999-09-01,2.97
1999-09-02,2.96
1999-09-03,2.97
1999-09-06,3.07
1999-09-08,2.97
1999-09-09,3.2
1999-09-10,2.97
1999-09-13,3.14
1999-09-14,2.91
1999-09-15,2.82
1999-09-16,2.75
1999-09-17,2.75
1999-09-20,2.91
1999-09-21,3.02
1999-09-22,2.91
1999-09-23,2.91
1999-09-24,2.91
1999-09-27,3.0
1999-09-28,3.03
1999-09-29,3.0
1999-09-30,3.02
1999-10-01,3.07
1999-10-04,2.91
1999-10-05,2.91
1999-10-06,3.0
1999-10-07,3.25
1999-10-08,3.18
1999-10-11,3.24
1999-10-13,3.15
1999-10-14,3.07
1999-10-15,2.88
1999-10-18,2.8
1999-10-19,2.78
1999-10-20,2.8
1999-10-21,2.8
1999-10-22,2.78
1999-10-25,2.78
1999-10-26,2.71
1999-10-27,2.75
1999-10-28,2.82
1999-10-29,2.82
1999-11-01,2.86
1999-11-03,2.88
1999-11-04,2.97
1999-11-05,3.15
1999-11-08,3.24
1999-11-09,3.15
1999-11-10,3.28
1999-11-11,3.4
1999-11-12,3.28
1999-11-16,3.22
1999-11-17,3.07
1999-11-18,3.1
1999-11-19,3.18
1999-11-22,3.24
1999-11-23,3.25
1999-11-24,3.24
1999-11-25,3.29
1999-11-26,3.36
1999-11-29,3.15
1999-11-30,3.24
1999-12-01,3.24
1999-12-02,3.45
1999-12-03,3.45
1999-12-06,3.54
1999-12-07,3.79
1999-12-08,3.97
1999-12-09,4.05
1999-12-10,4.41
1999-12-13,4.55
1999-12-14,4.48
1999-12-15,4.14
1999-12-16,4.14
1999-12-17,4.69
1999-12-20,4.77
1999-12-21,4.88
