,Adj Close
2006-11-28,2105.522
2006-11-29,2123.577
2006-11-30,2072.421
2006-12-01,2036.611
2006-12-04,2036.611
2006-12-05,1995.987
2006-12-06,2001.103
2006-12-07,1977.932
2006-12-08,1977.932
2006-12-11,1921.961
2006-12-12,1875.92
2006-12-13,1825.366
2006-12-14,1868.397
2006-12-15,1893.975
2006-12-18,1893.975
2006-12-19,1881.036
2006-12-20,1886.152
2006-12-21,1934.6
2006-12-22,1924.669
2006-12-26,1962.585
2006-12-27,1975.525
2006-12-28,2003.51
2007-01-02,2062.189
2007-01-03,2138.623
2007-01-04,2100.406
2007-01-05,2054.366
2007-01-08,2059.481
2007-01-09,2046.842
2007-01-10,2021.565
2007-01-11,2003.51
2007-01-12,2021.565
2007-01-15,2003.51
2007-01-16,2031.496
2007-01-17,2031.496
2007-01-19,2011.334
2007-01-22,1937.007
2007-01-23,1980.64
2007-01-24,2011.334
2007-01-26,2011.334
2007-01-29,2001.103
2007-01-30,2006.218
2007-01-31,2011.334
2007-02-01,1980.64
2007-02-02,1985.756
2007-02-05,2006.218
2007-02-06,2006.218
2007-02-07,1972.816
2007-02-08,1965.293
2007-02-09,1934.6
2007-02-12,1942.122
2007-02-13,1934.6
2007-02-14,1929.484
2007-02-15,1939.715
2007-02-16,1952.354
2007-02-21,1924.669
2007-02-22,1929.484
2007-02-23,1906.614
2007-02-26,1924.669
2007-02-27,1868.397
2007-02-28,1888.86
2007-03-01,1878.629
2007-03-02,1896.383
2007-03-05,1863.282
2007-03-06,1914.438
2007-03-07,1804.903
2007-03-08,1791.964
2007-03-09,1786.848
2007-03-12,1758.863
2007-03-13,1669.49
2007-03-14,1697.776
2007-03-15,1643.912
2007-03-16,1593.056
2007-03-19,1554.839
2007-03-20,1509.1
2007-03-21,1501.276
2007-03-22,1475.999
2007-03-23,1526.854
2007-03-26,1593.056
2007-03-27,1661.967
2007-03-28,1633.68
2007-03-29,1575.302
2007-03-30,1536.784
2007-04-02,1557.247
2007-04-03,1565.071
2007-04-04,1577.709
2007-04-05,1557.247
2007-04-09,1544.608
2007-04-10,1526.854
2007-04-11,1509.1
2007-04-12,1509.1
2007-04-13,1526.854
2007-04-16,1531.97
2007-04-17,1536.784
2007-04-18,1544.608
2007-04-19,1529.562
2007-04-20,1526.854
2007-04-23,1531.97
2007-04-24,1519.331
2007-04-25,1544.608
2007-04-26,1503.984
2007-04-27,1649.027
2007-04-30,1585.533
2007-05-02,1585.533
2007-05-03,1565.071
2007-05-04,1549.724
2007-05-07,1544.608
2007-05-08,1519.331
2007-05-09,1544.608
2007-05-10,1547.016
2007-05-11,1633.68
2007-05-14,1656.851
2007-05-15,1669.49
2007-05-16,1687.545
2007-05-17,1804.903
2007-05-18,2039.019
2007-05-21,2192.187
2007-05-22,2314.661
2007-05-23,2222.88
2007-05-24,2153.97
2007-05-25,2192.187
2007-05-28,2235.519
2007-05-29,2243.042
2007-05-30,2200.011
2007-05-31,2171.724
2007-06-01,2268.62
2007-06-04,2146.146
2007-06-05,2161.493
2007-06-06,2123.577
2007-06-08,2046.842
2007-06-11,2031.496
2007-06-12,2001.103
2007-06-13,2021.565
2007-06-14,2095.29
2007-06-15,2077.536
2007-06-18,2044.134
2007-06-19,2062.189
2007-06-20,2205.126
2007-06-21,2146.146
2007-06-22,2100.406
2007-06-25,2108.23
2007-06-26,2072.421
2007-06-27,2049.25
2007-06-28,2095.29
2007-06-29,2059.481
2007-07-02,2174.432
2007-07-03,2230.403
2007-07-04,2250.565
2007-07-05,2342.345
2007-07-06,2515.976
2007-07-10,2447.065
2007-07-11,2411.557
2007-07-12,2426.603
2007-07-13,2360.4
2007-07-16,2291.49
2007-07-17,2416.672
2007-07-18,2378.155
2007-07-19,2393.502
2007-07-20,2398.617
2007-07-23,2411.557
2007-07-24,2334.822
2007-07-25,2339.938
2007-07-26,2141.03
2007-07-27,2148.854
2007-07-30,2235.519
2007-07-31,2181.955
2007-08-01,2197.302
2007-08-02,2164.201
2007-08-03,2161.493
2007-08-06,2210.242
2007-08-07,2222.88
2007-08-08,2258.389
2007-08-09,2174.432
2007-08-10,2021.565
2007-08-13,1921.961
2007-08-14,1863.282
2007-08-15,1842.819
2007-08-16,1679.721
2007-08-17,1758.863
2007-08-20,1855.759
2007-08-21,1830.181
2007-08-22,1868.397
2007-08-23,1888.86
2007-08-24,1914.438
2007-08-27,1998.395
2007-08-28,1977.932
2007-08-29,2079.944
2007-08-30,2082.652
2007-08-31,2146.146
2007-09-03,2197.302
2007-09-04,2230.403
2007-09-05,2202.418
2007-09-06,2181.955
