,Adj Close
2020-10-14,12.204
2020-10-15,12.093
2020-10-16,11.917
2020-10-19,11.862
2020-10-20,12.045
2020-10-21,11.97
2020-10-22,12.185
2020-10-23,12.138
2020-10-26,12.054
2020-10-27,11.848
2020-10-28,11.548
2020-10-29,11.472
2020-10-30,11.116
2020-11-03,10.919
2020-11-04,11.313
2020-11-05,11.407
2020-11-06,11.426
2020-11-09,11.97
2020-11-10,12.082
2020-11-11,11.885
2020-11-12,11.763
2020-11-13,12.214
2020-11-16,12.467
2020-11-17,12.701
2020-11-18,12.974
2020-11-19,13.039
2020-11-20,12.917
2020-11-23,12.88
2020-11-24,12.72
2020-11-25,12.626
2020-11-26,12.786
2020-11-27,13.227
2020-11-30,12.654
2020-12-01,12.926
2020-12-02,13.095
2020-12-03,13.367
2020-12-04,13.489
2020-12-07,13.264
2020-12-08,13.386
2020-12-09,13.433
2020-12-10,13.339
2020-12-11,13.639
2020-12-14,13.705
2020-12-15,13.499
2020-12-16,13.367
2020-12-17,13.518
2020-12-18,13.546
2020-12-21,13.494
2020-12-22,13.56
2020-12-23,13.721
2020-12-28,13.844
2020-12-29,14.071
2020-12-30,13.853
2021-01-04,13.645
2021-01-05,13.333
2021-01-06,12.964
2021-01-07,12.756
2021-01-08,13.333
2021-01-11,13.239
2021-01-12,13.229
2021-01-13,13.201
2021-01-14,13.371
2021-01-15,13.277
2021-01-18,13.163
2021-01-19,12.974
2021-01-20,12.804
2021-01-21,12.577
2021-01-22,12.511
2021-01-26,12.378
2021-01-27,12.596
2021-01-28,12.813
2021-01-29,12.577
2021-02-01,12.586
2021-02-02,12.86
2021-02-03,13.314
2021-02-04,13.097
2021-02-05,13.097
2021-02-08,13.002
2021-02-09,12.936
2021-02-10,13.059
2021-02-11,13.768
2021-02-12,13.617
2021-02-17,13.4
2021-02-18,12.908
2021-02-19,12.955
2021-02-22,12.633
2021-02-23,12.501
2021-02-24,12.577
2021-02-25,12.454
2021-02-26,12.104
2021-03-01,12.028
2021-03-02,12.047
2021-03-03,12.161
2021-03-04,12.34
2021-03-05,12.652
2021-03-08,12.284
2021-03-09,12.161
2021-03-10,12.113
2021-03-11,12.255
2021-03-12,12.359
2021-03-15,12.473
2021-03-16,12.473
2021-03-17,12.567
2021-03-18,12.463
2021-03-19,12.52
2021-03-22,12.416
2021-03-23,12.322
2021-03-24,11.915
2021-03-25,12.066
2021-03-26,12.142
2021-03-29,12.019
2021-03-30,12.18
2021-03-31,11.981
2021-04-01,11.792
2021-04-05,11.66
2021-04-06,11.574
2021-04-07,11.905
2021-04-08,11.915
2021-04-09,11.83
2021-04-12,11.839
2021-04-13,11.631
2021-04-14,11.612
2021-04-15,11.66
2021-04-16,11.603
2021-04-19,11.347
2021-04-20,11.281
2021-04-22,11.206
2021-04-23,11.574
2021-04-26,11.395
2021-04-27,11.376
2021-04-28,11.536
2021-04-29,11.556
2021-04-30,11.527
2021-05-03,11.801
2021-05-04,11.451
2021-05-05,11.603
2021-05-06,11.536
2021-05-07,11.688
2021-05-10,11.886
2021-05-11,11.716
2021-05-12,11.338
2021-05-13,11.499
2021-05-14,11.556
2021-05-17,11.48
2021-05-18,11.338
2021-05-19,11.319
2021-05-20,11.319
2021-05-21,11.253
2021-05-24,11.395
2021-05-25,11.366
2021-05-26,11.442
2021-05-27,11.385
2021-05-28,11.433
2021-05-31,11.508
2021-06-01,11.792
2021-06-02,11.726
2021-06-04,11.726
2021-06-07,11.849
2021-06-08,11.735
2021-06-09,12.028
2021-06-10,12.369
2021-06-11,12.246
2021-06-14,12.35
2021-06-15,12.227
2021-06-16,12.057
2021-06-17,12.274
2021-06-18,12.142
2021-06-21,11.981
2021-06-22,11.507
2021-06-23,11.402
2021-06-24,11.411
2021-06-25,11.239
2021-06-28,11.382
2021-06-29,11.172
2021-06-30,11.01
2021-07-01,10.857
2021-07-02,10.962
2021-07-05,10.867
2021-07-06,10.704
2021-07-07,11.115
2021-07-08,10.733
2021-07-12,11.019
2021-07-13,11.239
2021-07-14,11.325
2021-07-15,11.335
2021-07-16,11.315
2021-07-19,11.354
2021-07-20,11.287
2021-07-21,11.22
2021-07-22,11.287
2021-07-23,11.277
2021-07-26,11.029
2021-07-27,10.943
2021-07-28,11.039
2021-07-29,10.972
2021-07-30,10.809
2021-08-02,10.981
2021-08-03,10.915
2021-08-04,10.896
2021-08-05,10.733
2021-08-06,10.934
2021-08-09,10.943
2021-08-10,10.79
2021-08-11,10.972
2021-08-12,11.019
2021-08-13,11.182
2021-08-16,11.125
2021-08-17,11.086
2021-08-18,11.125
2021-08-19,11.421
2021-08-20,11.545
2021-08-23,11.535
2021-08-24,11.659
2021-08-25,11.698
2021-08-26,11.669
2021-08-27,11.669
2021-08-30,11.669
2021-08-31,11.898
2021-09-01,11.669
2021-09-02,11.306
2021-09-03,11.363
2021-09-06,11.593
2021-09-08,11.211
2021-09-09,11.449
2021-09-10,11.487
2021-09-13,11.726
2021-09-14,11.64
2021-09-15,11.507
2021-09-16,11.669
2021-09-17,11.612
2021-09-20,11.402
2021-09-21,11.526
2021-09-22,11.726
2021-09-23,11.812
2021-09-24,11.688
2021-09-27,11.726
2021-09-28,11.287
2021-09-29,11.277
2021-09-30,11.267
2021-10-01,11.354
2021-10-04,11.181
2021-10-05,11.21
2021-10-06,11.104
2021-10-07,11.123
2021-10-08,11.622
2021-10-11,11.613
2021-10-13,11.938
2021-10-14,11.967
2021-10-15,12.054
2021-10-18,11.967
2021-10-19,11.756
2021-10-20,11.862
2021-10-21,11.488
2021-10-22,11.382
2021-10-25,11.478
2021-10-26,11.104
2021-10-27,10.912
2021-10-28,10.759
2021-10-29,10.759
2021-11-01,10.989
2021-11-03,11.91
2021-11-04,11.843
2021-11-05,12.332
2021-11-08,12.284
2021-11-09,12.284
2021-11-10,12.543
2021-11-11,12.619
2021-11-12,12.571
2021-11-16,12.418
2021-11-17,12.293
2021-11-18,12.293
2021-11-19,12.926
2021-11-22,13.147
2021-11-23,13.291
2021-11-24,13.377
2021-11-25,13.626
2021-11-26,13.3
2021-11-29,13.319
2021-11-30,13.233
2021-12-01,13.223
2021-12-02,13.156
2021-12-03,13.204
2021-12-06,13.041
2021-12-07,12.869
2021-12-08,12.782
2021-12-09,12.533
2021-12-10,12.696
2021-12-13,12.523
2021-12-14,12.456
2021-12-15,12.571
2021-12-16,12.533
