,Adj Close
2001-11-05,22.12
2001-11-06,23.04
2001-11-07,23.94
2001-11-08,23.91
2001-11-09,23.91
2001-11-12,23.81
2001-11-13,24.22
2001-11-14,24.27
2001-11-16,24.41
2001-11-19,25.21
2001-11-20,24.85
2001-11-21,24.51
2001-11-22,24.75
2001-11-23,25.48
2001-11-26,26.08
2001-11-27,26.01
2001-11-28,25.26
2001-11-29,24.58
2001-11-30,25.21
2001-12-03,25.39
2001-12-04,25.45
2001-12-05,26.01
2001-12-06,27.0
2001-12-07,27.22
2001-12-10,27.97
2001-12-11,27.41
2001-12-12,27.29
2001-12-13,26.49
2001-12-14,25.94
2001-12-17,25.86
2001-12-18,26.88
2001-12-19,27.1
2001-12-20,26.57
2001-12-21,27.18
2001-12-26,27.84
2001-12-27,28.38
2001-12-28,28.81
2002-01-02,29.76
2002-01-03,30.57
2002-01-04,30.74
2002-01-07,31.04
2002-01-08,30.43
2002-01-09,30.01
2002-01-10,28.9
2002-01-11,28.77
2002-01-14,27.45
2002-01-15,26.88
2002-01-16,26.88
2002-01-17,27.74
2002-01-18,27.74
2002-01-21,27.06
2002-01-22,26.35
2002-01-23,27.47
2002-01-24,28.23
2002-01-28,27.31
2002-01-29,25.78
2002-01-30,25.34
2002-01-31,25.55
2002-02-01,25.43
2002-02-04,24.97
2002-02-05,25.58
2002-02-06,25.43
2002-02-07,25.11
2002-02-08,24.58
2002-02-13,25.58
2002-02-14,26.83
2002-02-15,26.5
2002-02-18,26.35
2002-02-19,26.4
2002-02-20,26.72
2002-02-21,27.84
2002-02-22,27.85
2002-02-25,28.94
2002-02-26,29.0
2002-02-27,29.22
2002-02-28,29.22
2002-03-01,29.51
2002-03-04,29.73
2002-03-05,27.93
2002-03-06,26.59
2002-03-07,26.46
2002-03-08,26.87
2002-03-11,26.98
2002-03-12,27.98
2002-03-13,28.54
2002-03-14,27.41
2002-03-15,28.47
2002-03-18,28.31
2002-03-19,27.64
2002-03-20,27.18
2002-03-21,26.17
2002-03-22,25.66
2002-03-25,24.49
2002-03-26,25.0
2002-03-27,25.11
2002-03-28,24.49
2002-04-01,24.85
2002-04-02,25.05
2002-04-03,24.94
2002-04-04,25.21
2002-04-05,24.45
2002-04-08,23.94
2002-04-09,24.45
2002-04-10,24.97
2002-04-11,24.97
2002-04-12,25.67
2002-04-15,25.58
2002-04-16,25.69
2002-04-17,25.69
2002-04-18,25.43
2002-04-19,25.39
2002-04-22,24.58
2002-04-23,24.93
2002-04-24,25.85
2002-04-25,25.48
2002-04-26,25.24
2002-04-29,25.21
2002-04-30,24.9
2002-05-02,24.25
2002-05-03,24.0
2002-05-06,23.85
2002-05-07,23.77
2002-05-08,24.9
2002-05-09,24.14
2002-05-10,23.85
2002-05-13,23.54
2002-05-14,24.25
2002-05-15,24.58
2002-05-16,25.24
2002-05-17,24.97
2002-05-20,24.58
2002-05-21,24.7
2002-05-22,23.91
2002-05-23,24.63
2002-05-24,24.49
2002-05-27,24.97
2002-05-28,25.43
2002-05-29,25.92
2002-05-31,25.9
2002-06-03,25.29
2002-06-04,25.11
2002-06-05,25.57
2002-06-06,24.49
2002-06-07,24.9
2002-06-10,25.92
2002-06-11,24.9
2002-06-12,24.5
2002-06-13,24.65
2002-06-14,24.09
2002-06-17,24.45
2002-06-18,24.22
2002-06-19,23.67
2002-06-20,22.29
2002-06-21,21.11
2002-06-24,22.25
2002-06-25,23.04
2002-06-26,22.52
2002-06-27,23.48
2002-06-28,23.99
2002-07-01,23.27
2002-07-02,22.81
2002-07-03,22.42
2002-07-04,22.81
2002-07-05,22.52
2002-07-08,22.7
2002-07-10,22.79
2002-07-11,23.53
2002-07-12,23.99
2002-07-15,22.56
2002-07-16,22.42
2002-07-17,22.43
2002-07-18,22.43
2002-07-19,21.72
2002-07-22,20.41
2002-07-23,20.32
2002-07-24,20.15
2002-07-25,19.44
2002-07-26,17.99
2002-07-29,18.23
2002-07-30,18.23
2002-07-31,19.59
2002-08-01,19.44
2002-08-02,19.59
2002-08-05,18.71
2002-08-06,20.35
2002-08-07,20.45
2002-08-08,21.46
2002-08-09,20.31
2002-08-12,19.1
2002-08-13,18.71
2002-08-14,18.48
2002-08-15,17.99
2002-08-16,19.18
2002-08-19,19.21
2002-08-20,18.71
2002-08-21,18.45
2002-08-22,19.44
2002-08-23,19.72
2002-08-26,21.32
2002-08-27,22.22
2002-08-28,22.25
2002-08-30,22.61
2002-09-02,22.25
2002-09-03,21.81
2002-09-04,21.53
2002-09-05,20.72
2002-09-06,20.96
2002-09-09,21.11
2002-09-10,21.18
2002-09-11,21.57
2002-09-12,21.38
2002-09-13,21.55
2002-09-16,20.43
2002-09-17,20.07
2002-09-18,20.07
2002-09-19,20.07
2002-09-20,20.35
2002-09-23,20.41
2002-09-24,20.15
2002-09-25,20.15
2002-09-26,20.05
2002-09-27,18.96
2002-09-30,18.71
2002-10-01,19.92
2002-10-02,19.57
2002-10-03,20.15
2002-10-04,20.35
2002-10-07,19.54
2002-10-08,19.64
2002-10-09,19.59
2002-10-10,19.88
2002-10-11,19.7
2002-10-14,18.92
2002-10-15,18.99
2002-10-16,18.71
2002-10-17,19.82
2002-10-18,19.2
2002-10-21,18.53
2002-10-22,18.96
2002-10-23,20.58
2002-10-24,21.11
2002-10-25,21.5
2002-10-28,20.1
2002-10-29,19.93
2002-10-30,21.01
2002-10-31,21.4
2002-11-01,21.11
2002-11-04,20.57
2002-11-05,20.27
2002-11-06,19.93
2002-11-07,20.01
2002-11-08,19.72
2002-11-11,19.5
2002-11-12,19.44
2002-11-13,20.07
2002-11-14,20.32
2002-11-18,20.52
2002-11-19,20.15
2002-11-20,20.41
2002-11-21,20.73
2002-11-22,20.64
2002-11-25,20.41
2002-11-26,20.07
2002-11-27,20.15
2002-11-28,20.15
2002-11-29,20.77
2002-12-02,21.32
2002-12-03,21.09
2002-12-04,21.06
2002-12-05,20.32
2002-12-06,20.35
2002-12-09,19.8
2002-12-10,20.11
2002-12-11,20.96
2002-12-12,20.11
2002-12-13,20.15
2002-12-16,21.26
2002-12-17,21.61
2002-12-18,21.95
2002-12-19,21.98
2002-12-20,21.61
2002-12-23,21.36
2002-12-26,20.95
2002-12-27,20.96
2002-12-30,21.59
2003-01-02,22.87
2003-01-03,23.29
2003-01-06,24.66
2003-01-07,24.21
2003-01-08,24.02
2003-01-09,23.53
2003-01-10,23.92
2003-01-13,24.02
2003-01-14,24.21
2003-01-15,23.98
2003-01-16,24.45
2003-01-17,23.54
2003-01-20,23.27
2003-01-21,22.47
2003-01-22,22.27
2003-01-23,22.55
2003-01-24,21.47
2003-01-27,20.91
2003-01-28,20.95
2003-01-29,21.62
2003-01-30,21.23
2003-01-31,21.37
2003-02-03,21.05
2003-02-04,20.27
2003-02-05,20.08
2003-02-06,20.08
2003-02-07,19.71
2003-02-10,19.65
2003-02-11,19.65
2003-02-12,19.72
2003-02-13,18.97
2003-02-14,19.03
2003-02-17,19.07
2003-02-18,19.54
2003-02-19,19.08
2003-02-20,18.96
2003-02-21,19.43
2003-02-24,19.26
2003-02-25,18.95
2003-02-26,18.44
2003-02-27,17.89
2003-02-28,17.7
2003-03-05,18.05
2003-03-06,18.78
2003-03-07,19.13
2003-03-10,18.08
2003-03-11,18.03
2003-03-12,18.56
2003-03-13,18.82
2003-03-14,18.76
2003-03-17,18.66
2003-03-18,19.51
2003-03-19,19.23
2003-03-20,18.9
2003-03-21,19.44
2003-03-24,19.03
2003-03-25,19.44
2003-03-26,19.33
2003-03-27,19.74
2003-03-28,19.72
2003-03-31,19.13
2003-04-01,19.86
2003-04-02,20.22
2003-04-03,20.91
2003-04-04,21.32
2003-04-07,21.62
2003-04-08,21.11
2003-04-09,21.46
2003-04-10,20.63
2003-04-11,21.02
2003-04-14,21.19
2003-04-15,21.69
2003-04-16,21.62
2003-04-17,21.79
2003-04-22,21.79
2003-04-23,21.62
2003-04-24,21.14
2003-04-25,21.11
2003-04-28,21.79
2003-04-29,22.78
2003-04-30,23.01
2003-05-02,23.16
2003-05-05,22.87
2003-05-06,22.47
2003-05-07,22.91
2003-05-08,22.84
2003-05-09,23.27
2003-05-12,23.68
2003-05-13,24.07
2003-05-14,24.41
2003-05-15,23.42
2003-05-16,23.42
2003-05-19,22.09
2003-05-20,21.3
2003-05-21,21.62
2003-05-22,21.02
2003-05-23,21.59
2003-05-26,20.91
2003-05-27,22.02
2003-05-28,23.12
2003-05-29,23.85
2003-05-30,23.12
2003-06-02,21.77
2003-06-03,22.29
2003-06-04,23.82
2003-06-05,24.49
2003-06-06,24.51
2003-06-09,23.29
2003-06-10,23.1
2003-06-11,22.84
2003-06-12,23.27
2003-06-13,22.58
2003-06-16,22.87
2003-06-17,22.47
2003-06-18,22.2
2003-06-20,21.45
2003-06-23,20.16
2003-06-24,20.48
2003-06-25,20.27
2003-06-26,20.22
2003-06-27,20.16
2003-06-30,20.58
2003-07-01,21.05
2003-07-02,20.99
2003-07-03,20.61
2003-07-04,20.5
2003-07-07,20.52
2003-07-08,20.5
2003-07-10,20.41
2003-07-11,20.74
2003-07-14,21.69
2003-07-15,22.63
2003-07-16,21.79
2003-07-17,21.69
2003-07-18,21.62
2003-07-21,21.57
2003-07-22,21.59
2003-07-23,21.47
2003-07-24,21.42
2003-07-25,20.91
2003-07-28,20.71
2003-07-29,20.7
2003-07-30,20.64
2003-07-31,20.74
2003-08-01,20.3
2003-08-04,19.98
2003-08-05,19.96
2003-08-06,19.96
2003-08-07,20.64
