,Adj Close
1998-10-22,7.12
1998-10-23,7.46
1998-10-26,7.96
1998-10-27,8.3
1998-10-28,9.13
1998-10-29,8.3
1998-10-30,8.97
1998-11-03,8.8
1998-11-04,9.13
1998-11-05,9.72
1998-11-06,9.8
1998-11-09,10.14
1998-11-10,10.14
1998-11-11,10.22
1998-11-12,10.05
1998-11-13,9.89
1998-11-16,10.48
1998-11-17,9.8
1998-11-18,9.21
1998-11-19,8.89
1998-11-20,9.64
1998-11-23,10.81
1998-11-24,12.57
1998-11-25,16.18
1998-11-26,15.92
1998-11-27,16.42
1998-11-30,13.83
1998-12-01,13.75
1998-12-02,13.75
1998-12-03,12.16
1998-12-04,11.06
1998-12-07,12.4
1998-12-08,11.32
1998-12-09,11.32
1998-12-10,10.05
1998-12-11,9.21
1998-12-14,8.8
1998-12-15,9.13
1998-12-16,9.3
1998-12-17,9.39
1998-12-18,9.39
1998-12-21,9.89
1998-12-22,10.3
1998-12-23,10.14
1998-12-28,9.64
1998-12-29,9.55
1998-12-30,9.64
1999-01-04,9.72
1999-01-05,9.64
1999-01-06,9.8
1999-01-07,9.47
1999-01-08,9.47
1999-01-11,9.39
1999-01-12,8.97
1999-01-13,8.89
1999-01-14,8.8
1999-01-15,9.72
1999-01-18,9.97
1999-01-19,9.97
1999-01-20,9.8
1999-01-21,9.39
1999-01-22,9.13
1999-01-26,9.55
1999-01-27,10.3
1999-01-28,10.39
1999-01-29,10.39
1999-02-01,11.06
1999-02-02,10.81
1999-02-03,10.39
1999-02-04,10.3
1999-02-05,9.8
1999-02-08,10.98
1999-02-09,10.98
1999-02-10,11.06
1999-02-11,11.73
1999-02-12,12.16
1999-02-17,11.98
1999-02-18,12.23
1999-02-19,12.48
1999-02-22,12.82
1999-02-23,12.82
1999-02-24,12.91
1999-02-25,12.48
1999-02-26,13.57
1999-03-01,13.32
1999-03-02,13.57
1999-03-03,14.5
1999-03-04,15.08
1999-03-05,14.24
1999-03-08,14.83
1999-03-09,14.16
1999-03-10,14.5
1999-03-11,13.75
1999-03-12,13.66
1999-03-15,13.49
1999-03-16,14.59
1999-03-17,15.67
1999-03-18,16.18
1999-03-19,16.59
1999-03-22,15.34
1999-03-23,15.92
1999-03-24,15.5
1999-03-25,16.25
1999-03-26,16.25
1999-03-29,16.76
1999-03-30,16.67
1999-03-31,16.67
1999-04-06,17.01
1999-04-07,17.6
1999-04-08,18.94
1999-04-09,17.93
