,Adj Close
1998-10-02,0.6
1998-10-05,0.58
1998-10-06,0.52
1998-10-07,0.49
1998-10-08,0.52
1998-10-09,0.53
1998-10-13,0.49
1998-10-14,0.5
1998-10-15,0.52
1998-10-16,0.54
1998-10-19,0.58
1998-10-20,0.59
1998-10-21,0.65
1998-10-22,0.68
1998-10-23,0.71
1998-10-26,0.64
1998-10-27,0.7
1998-10-28,0.71
1998-10-29,0.65
1998-10-30,0.67
1998-11-03,0.64
1998-11-04,0.66
1998-11-05,0.72
1998-11-06,0.68
1998-11-09,0.71
1998-11-10,0.77
1998-11-11,0.73
1998-11-12,0.62
1998-11-13,0.62
1998-11-16,0.64
1998-11-17,0.65
1998-11-18,0.67
1998-11-19,0.62
1998-11-20,0.67
1998-11-23,0.79
1998-11-24,0.96
1998-11-25,1.35
1998-11-26,1.38
1998-11-27,1.49
1998-11-30,1.42
1998-12-01,1.43
1998-12-02,1.49
1998-12-03,1.29
1998-12-04,1.21
1998-12-07,1.23
1998-12-08,1.21
1998-12-09,1.11
1998-12-10,1.12
1998-12-11,0.96
1998-12-14,0.98
1998-12-15,1.11
1998-12-16,1.01
1998-12-17,1.01
1998-12-18,1.0
1998-12-21,1.09
1998-12-22,1.06
1998-12-23,1.02
1998-12-28,1.01
1998-12-29,0.95
1998-12-30,0.98
1999-01-04,0.98
1999-01-05,1.07
1999-01-06,1.11
1999-01-07,1.06
1999-01-08,1.06
1999-01-11,1.0
1999-01-12,0.94
1999-01-13,1.0
1999-01-14,0.86
1999-01-15,1.13
1999-01-18,1.14
1999-01-19,1.19
1999-01-20,1.13
1999-01-21,1.01
1999-01-22,1.07
1999-01-26,1.19
1999-01-27,1.17
1999-01-28,1.24
1999-01-29,1.29
1999-02-01,1.42
1999-02-02,1.39
1999-02-03,1.37
1999-02-04,1.3
1999-02-05,1.25
1999-02-08,1.3
1999-02-09,1.25
1999-02-10,1.27
1999-02-11,1.33
1999-02-12,1.33
1999-02-17,1.29
1999-02-18,1.38
1999-02-19,1.43
1999-02-22,1.43
1999-02-23,1.41
1999-02-24,1.39
1999-02-25,1.35
1999-02-26,1.43
1999-03-01,1.47
1999-03-02,1.52
1999-03-03,1.56
1999-03-04,1.58
1999-03-05,1.53
1999-03-08,1.54
1999-03-09,1.49
1999-03-10,1.51
1999-03-11,1.46
1999-03-12,1.52
1999-03-15,1.55
1999-03-16,1.67
1999-03-17,1.67
1999-03-18,1.69
1999-03-19,1.67
1999-03-22,1.76
1999-03-23,1.67
1999-03-24,1.72
1999-03-25,1.78
1999-03-26,1.84
1999-03-29,1.82
1999-03-30,1.83
1999-03-31,1.77
1999-04-06,1.8
1999-04-07,1.83
1999-04-08,1.86
1999-04-09,1.87
1999-04-12,1.85
1999-04-13,1.84
1999-04-14,1.77
1999-04-15,1.71
1999-04-16,1.8
1999-04-19,1.75
1999-04-20,1.7
1999-04-22,1.71
1999-04-23,1.68
1999-04-26,1.63
